# Matrix: coPapersCiteseer
# Path: /home/stu1/Dataset/training_dataset/200k-500k-0.01-0.1/coPapersCiteseer.mtx
# Category: 200k-500k-0.01-0.1
# Date: 2026-03-08 05:34:44
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 434102
# Cols: 434102
# NNZ(A): 32073440
# NNZ(C) estimate: 6822448658
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 109.46    255.53    340.91    14.05     719.97       18.95     | 15627144 0        0        6280705  844277   | 1      71450807       264592608    -       
8      8      1      1/8    | 109.76    256.13    341.00    14.08     721.00       18.93     | 15627144 0        0        6280705  844277   | 8      71450807       264592608    -       
8      8      2      2/8    | 110.20    256.11    316.99    13.95     697.28       19.57     | 15627144 0        2837794  3442911  844277   | 16     71450807       264592608    -       
8      8      3      3/8    | 110.26    256.38    302.90    14.01     683.57       19.96     | 15627144 0        4113670  2167035  844277   | 24     71450807       264592608    -       
8      8      4      4/8    | 110.54    256.81    305.58    14.01     686.96       19.86     | 15627144 0        4859285  1421420  844277   | 32     71450807       264592608    -       
8      8      5      5/8    | 110.30    256.74    286.47    14.04     667.56       20.44     | 15627144 0        5381868  898837   844277   | 40     71450807       264592608    -       
8      8      6      6/8    | 110.43    257.08    280.28    14.07     661.90       20.61     | 15627144 0        5810711  469994   844277   | 48     71450807       264592608    -       
8      8      7      7/8    | 109.70    256.23    273.15    14.10     653.20       20.89     | 15627144 0        6218149  62556    844277   | 56     71450807       264592608    -       
8      8      8      8/8    | 110.91    256.22    275.38    14.03     656.57       20.78     | 15627144 0        7124982  0        0        | 64     71450807       264592608    -       
8      16     0      0/8    | 132.87    266.32    324.24    11.92     735.39       18.55     | 15627129 0        0        6280700  844401   | 1      94229921       264600301    -       
8      16     1      1/8    | 132.17    265.76    324.17    11.96     734.09       18.59     | 15627129 0        0        6280700  844401   | 8      94229921       264600301    -       
8      16     2      2/8    | 132.45    264.79    293.06    11.98     702.30       19.43     | 15627129 0        2837793  3442907  844401   | 16     94229921       264600301    -       
8      16     3      3/8    | 132.24    266.40    276.17    11.91     686.73       19.87     | 15627129 0        4113669  2167031  844401   | 24     94229921       264600301    -       
8      16     4      4/8    | 132.11    266.07    275.30    11.99     685.49       19.91     | 15627129 0        4859284  1421416  844401   | 32     94229921       264600301    -       
8      16     5      5/8    | 132.33    264.33    257.66    12.01     666.35       20.48     | 15627129 0        5381867  898833   844401   | 40     94229921       264600301    -       
8      16     6      6/8    | 132.62    263.96    250.98    11.94     659.52       20.69     | 15627129 0        5810710  469990   844401   | 48     94229921       264600301    -       
8      16     7      7/8    | 132.25    264.81    244.23    12.05     653.37       20.88     | 15627129 0        6218144  62556    844401   | 56     94229921       264600301    -       
8      16     8      8/8    | 132.25    265.48    251.66    12.07     661.49       20.63     | 15627129 0        7125101  0        0        | 64     94229921       264600301    -       
8      32     0      0/8    | 179.08    330.13    341.39    9.47      860.09       15.86     | 15626782 0        0        6280492  846448   | 1      127235935      264725653    -       
8      32     1      1/8    | 179.26    332.00    341.41    9.43      862.12       15.83     | 15626782 0        0        6280492  846448   | 8      127235935      264725653    -       
8      32     2      2/8    | 179.55    327.64    294.23    9.45      810.89       16.83     | 15626783 0        2837685  3442807  846448   | 16     127235935      264725655    -       
8      32     3      3/8    | 180.32    330.82    270.77    9.47      791.40       17.24     | 15626783 0        4113516  2166976  846448   | 24     127235935      264725655    -       
8      32     4      4/8    | 179.83    327.68    256.85    9.44      773.83       17.63     | 15626782 0        4859112  1421380  846448   | 32     127235935      264725653    -       
8      32     5      5/8    | 180.16    329.15    247.12    9.49      765.93       17.81     | 15626782 0        5381677  898815   846448   | 40     127235935      264725653    -       
8      32     6      6/8    | 179.28    327.50    239.71    9.44      755.95       18.05     | 15626782 0        5810507  469985   846448   | 48     127235935      264725653    -       
8      32     7      7/8    | 179.15    328.99    232.86    9.43      750.45       18.18     | 15626782 0        6217938  62554    846448   | 56     127235935      264725653    -       
8      32     8      8/8    | 178.92    330.35    263.94    9.43      782.67       17.43     | 15626782 0        7126940  0        0        | 64     127235935      264725653    -       
16     8      0      0/8    | 46.06     142.88    295.73    8.80      493.49       27.65     | 9227732  0        0        1741071  135654   | 1      35888496       264591624    -       
16     8      1      1/8    | 46.40     142.25    295.76    8.84      493.27       27.66     | 9227732  0        0        1741071  135654   | 32     35888496       264591624    -       
16     8      2      2/8    | 46.27     142.61    270.05    8.82      467.77       29.17     | 9227732  0        832742   908329   135654   | 64     35888496       264591624    -       
16     8      3      3/8    | 46.04     142.61    257.86    8.84      455.38       29.96     | 9227732  0        1173775  567296   135654   | 96     35888496       264591624    -       
16     8      4      4/8    | 46.31     142.41    250.75    8.79      448.28       30.44     | 9227732  0        1367981  373090   135654   | 128    35888496       264591624    -       
16     8      5      5/8    | 46.16     142.50    245.43    8.81      442.93       30.81     | 9227732  0        1502838  238233   135654   | 160    35888496       264591624    -       
16     8      6      6/8    | 46.01     142.81    241.57    8.73      439.14       31.07     | 9227732  0        1599848  141223   135654   | 192    35888496       264591624    -       
16     8      7      7/8    | 46.22     142.57    238.10    8.77      435.68       31.32     | 9227732  0        1688027  53044    135654   | 224    35888496       264591624    -       
16     8      8      8/8    | 46.18     142.58    237.17    8.84      434.80       31.38     | 9227732  0        1876725  0        0        | 256    35888496       264591624    -       
16     16     0      0/8    | 59.25     146.25    263.99    8.18      477.69       28.56     | 9227725  0        0        1741071  135681   | 1      47764374       264598479    -       
16     16     1      1/8    | 59.09     146.52    264.25    8.18      478.05       28.54     | 9227725  0        0        1741071  135681   | 32     47764374       264598479    -       
16     16     2      2/8    | 59.03     145.93    239.77    8.20      452.95       30.12     | 9227725  0        832742   908329   135681   | 64     47764374       264598479    -       
16     16     3      3/8    | 58.85     146.79    228.83    8.27      442.77       30.82     | 9227725  0        1173775  567296   135681   | 96     47764374       264598479    -       
16     16     4      4/8    | 59.23     150.88    222.89    8.16      441.19       30.93     | 9227725  0        1367981  373090   135681   | 128    47764374       264598479    -       
16     16     5      5/8    | 58.99     146.12    218.50    8.14      431.78       31.60     | 9227725  0        1502838  238233   135681   | 160    47764374       264598479    -       
16     16     6      6/8    | 58.90     146.61    215.91    8.16      429.61       31.76     | 9227725  0        1599848  141223   135681   | 192    47764374       264598479    -       
16     16     7      7/8    | 58.80     146.87    213.38    8.17      427.25       31.94     | 9227725  0        1688027  53044    135681   | 224    47764374       264598479    -       
16     16     8      8/8    | 59.14     146.22    232.32    8.18      445.88       30.60     | 9227725  0        1876752  0        0        | 256    47764374       264598479    -       
16     32     0      0/8    | 79.89     166.90    286.98    9.67      543.47       25.11     | 9227676  0        0        1741059  135954   | 1      64880660       264667089    -       
16     32     1      1/8    | 80.14     167.18    287.43    9.64      544.43       25.06     | 9227676  0        0        1741059  135954   | 32     64880660       264667089    -       
16     32     2      2/8    | 80.03     166.72    246.94    9.64      503.35       27.11     | 9227676  0        832735   908324   135954   | 64     64880660       264667089    -       
16     32     3      3/8    | 79.99     166.64    227.77    9.61      484.02       28.19     | 9227676  0        1173765  567294   135954   | 96     64880660       264667089    -       
16     32     4      4/8    | 79.75     165.89    218.82    9.62      474.11       28.78     | 9227676  0        1367969  373090   135954   | 128    64880660       264667089    -       
16     32     5      5/8    | 79.58     165.60    212.69    9.62      467.51       29.19     | 9227676  0        1502826  238233   135954   | 160    64880660       264667089    -       
16     32     6      6/8    | 80.47     165.90    209.13    9.63      465.16       29.33     | 9227676  0        1599836  141223   135954   | 192    64880660       264667089    -       
16     32     7      7/8    | 81.62     167.06    207.36    9.62      465.69       29.30     | 9227676  0        1688015  53044    135954   | 224    64880660       264667089    -       
16     32     8      8/8    | 83.65     166.03    255.96    10.15     515.80       26.45     | 9227676  0        1877013  0        0        | 256    64880660       264667089    -       
32     8      0      0/8    | 2.71      83.47     279.73    5.84      371.77       36.70     | 5459121  0        0        444262   20145    | 1      19213104       264584716    -       
32     8      1      1/8    | 2.56      84.14     278.72    5.81      371.24       36.75     | 5459121  0        0        444262   20145    | 128    19213104       264584716    -       
32     8      2      2/8    | 2.63      83.46     247.98    5.88      339.97       40.14     | 5459121  0        225399   218863   20145    | 256    19213104       264584716    -       
32     8      3      3/8    | 2.62      83.45     234.31    5.84      326.24       41.82     | 5459121  0        314564   129698   20145    | 384    19213104       264584716    -       
32     8      4      4/8    | 2.60      83.49     225.17    5.81      317.09       43.03     | 5459121  0        362375   81887    20145    | 512    19213104       264584716    -       
32     8      5      5/8    | 2.57      83.45     220.29    5.82      312.15       43.71     | 5459121  0        393468   50794    20145    | 640    19213104       264584716    -       
32     8      6      6/8    | 2.62      83.75     217.19    5.93      309.51       44.09     | 5459121  0        414239   30023    20145    | 768    19213104       264584716    -       
32     8      7      7/8    | 2.61      83.65     214.28    5.92      306.49       44.52     | 5459121  0        430719   13543    20145    | 896    19213104       264584716    -       
32     8      8      8/8    | 2.66      83.75     217.39    5.92      309.74       44.05     | 5459121  0        464407   0        0        | 1024   19213104       264584716    -       
32     16     0      0/8    | 2.50      87.14     301.51    6.97      398.14       34.27     | 5459121  0        0        444262   20145    | 1      25594106       264584716    -       
32     16     1      1/8    | 2.57      86.68     301.15    6.89      397.31       34.34     | 5459121  0        0        444262   20145    | 128    25594106       264584716    -       
32     16     2      2/8    | 2.54      86.70     258.34    6.93      354.54       38.49     | 5459121  0        225399   218863   20145    | 256    25594106       264584716    -       
32     16     3      3/8    | 2.49      86.43     240.49    6.90      336.34       40.57     | 5459121  0        314564   129698   20145    | 384    25594106       264584716    -       
32     16     4      4/8    | 2.51      86.89     228.72    6.87      325.01       41.98     | 5459121  0        362375   81887    20145    | 512    25594106       264584716    -       
32     16     5      5/8    | 2.46      86.49     222.48    6.93      318.38       42.86     | 5459121  0        393468   50794    20145    | 640    25594106       264584716    -       
32     16     6      6/8    | 2.61      86.06     217.09    6.91      312.69       43.64     | 5459121  0        414239   30023    20145    | 768    25594106       264584716    -       
32     16     7      7/8    | 2.44      85.46     215.78    6.94      310.65       43.92     | 5459121  0        430719   13543    20145    | 896    25594106       264584716    -       
32     16     8      8/8    | 2.42      85.76     231.62    6.91      326.73       41.76     | 5459121  0        464407   0        0        | 1024   25594106       264584716    -       
32     32     0      0/8    | 2.88      96.04     306.41    8.47      413.82       32.97     | 5459121  0        0        444262   20145    | 1      34772574       264584716    -       
32     32     1      1/8    | 2.95      96.20     306.06    8.45      413.70       32.98     | 5459121  0        0        444262   20145    | 128    34772574       264584716    -       
32     32     2      2/8    | 2.86      96.36     258.42    8.43      366.09       37.27     | 5459121  0        225399   218863   20145    | 256    34772574       264584716    -       
32     32     3      3/8    | 2.77      96.03     238.96    8.44      346.23       39.41     | 5459121  0        314564   129698   20145    | 384    34772574       264584716    -       
32     32     4      4/8    | 2.86      96.30     227.89    12.47     339.55       40.19     | 5459121  0        362375   81887    20145    | 512    34772574       264584716    -       
32     32     5      5/8    | 2.83      96.12     221.36    8.50      328.84       41.49     | 5459121  0        393468   50794    20145    | 640    34772574       264584716    -       
32     32     6      6/8    | 2.89      98.19     218.48    8.51      328.10       41.59     | 5459121  0        414239   30023    20145    | 768    34772574       264584716    -       
32     32     7      7/8    | 2.88      97.57     217.20    8.52      326.19       41.83     | 5459121  0        430719   13543    20145    | 896    34772574       264584716    -       
32     32     8      8/8    | 2.87      97.31     271.14    8.43      379.77       35.93     | 5459121  0        464407   0        0        | 1024   34772574       264584716    -       
