# Matrix: PFlow_742
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001-0.01/PFlow_742.mtx
# Category: 500k-1M-0.001-0.01
# Date: 2026-03-08 12:40:54
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 742793
# Cols: 742793
# NNZ(A): 37138461
# NNZ(C) estimate: 2153163125
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.97      24.93     61.84     2.68      92.44        46.59     | 1728643  0        0        5824546  269355   | 1      9948434        211748975    -       
8      8      1      1/8    | 2.91      24.75     61.86     2.63      92.19        46.71     | 1728643  0        0        5824546  269355   | 8      9948434        211748975    -       
8      8      2      2/8    | 2.93      24.82     60.67     2.62      91.06        47.29     | 1728643  0        1183656  4640890  269355   | 16     9948434        211748975    -       
8      8      3      3/8    | 2.91      24.66     59.60     2.64      89.82        47.94     | 1728643  0        2120014  3704532  269355   | 24     9948434        211748975    -       
8      8      4      4/8    | 2.95      24.96     60.87     2.67      91.47        47.08     | 1728643  0        3243933  2580613  269355   | 32     9948434        211748975    -       
8      8      5      5/8    | 2.91      24.64     57.41     2.61      87.59        49.16     | 1728643  0        4100254  1724292  269355   | 40     9948434        211748975    -       
8      8      6      6/8    | 2.93      24.84     56.28     2.66      86.72        49.66     | 1728643  0        5144187  680359   269355   | 48     9948434        211748975    -       
8      8      7      7/8    | 2.94      24.91     56.56     2.69      87.12        49.43     | 1728643  0        5400343  424203   269355   | 56     9948434        211748975    -       
8      8      8      8/8    | 2.93      27.96     57.74     2.64      91.30        47.17     | 1728643  0        6093901  0        0        | 64     9948434        211748975    -       
8      16     0      0/8    | 2.31      26.78     68.33     2.74      100.18       42.99     | 1728643  0        0        5824546  269355   | 1      10720798       211748975    -       
8      16     1      1/8    | 2.31      26.65     68.33     2.68      99.99        43.07     | 1728643  0        0        5824546  269355   | 8      10720798       211748975    -       
8      16     2      2/8    | 2.29      26.86     65.01     2.64      96.82        44.48     | 1728643  0        1183656  4640890  269355   | 16     10720798       211748975    -       
8      16     3      3/8    | 2.26      26.92     62.78     2.67      94.65        45.50     | 1728643  0        2120014  3704532  269355   | 24     10720798       211748975    -       
8      16     4      4/8    | 2.26      26.87     62.82     2.65      94.62        45.51     | 1728643  0        3243933  2580613  269355   | 32     10720798       211748975    -       
8      16     5      5/8    | 2.31      26.72     58.46     2.66      90.17        47.76     | 1728643  0        4100254  1724292  269355   | 40     10720798       211748975    -       
8      16     6      6/8    | 2.28      26.61     56.58     2.66      88.15        48.85     | 1728643  0        5144187  680359   269355   | 48     10720798       211748975    -       
8      16     7      7/8    | 2.28      27.04     56.51     2.70      88.55        48.63     | 1728643  0        5400343  424203   269355   | 56     10720798       211748975    -       
8      16     8      8/8    | 2.24      26.85     56.99     2.68      88.78        48.50     | 1728643  0        6093901  0        0        | 64     10720798       211748975    -       
8      32     0      0/8    | 1.98      30.16     104.20    2.71      139.07       30.97     | 1728643  0        0        5824546  269355   | 1      12002460       211748975    -       
8      32     1      1/8    | 1.98      30.07     103.74    2.72      138.54       31.08     | 1728643  0        0        5824546  269355   | 8      12002460       211748975    -       
8      32     2      2/8    | 1.98      30.11     95.48     2.68      130.28       33.05     | 1728643  0        1183656  4640890  269355   | 16     12002460       211748975    -       
8      32     3      3/8    | 1.99      30.08     90.03     2.68      124.79       34.51     | 1728643  0        2120014  3704532  269355   | 24     12002460       211748975    -       
