# Matrix: af_5_k101
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001-0.01/af_5_k101.mtx
# Category: 500k-1M-0.001-0.01
# Date: 2026-03-08 07:19:13
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 503625
# Cols: 503625
# NNZ(A): 17550675
# NNZ(C) estimate: 612413375
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.23      3.34      7.90      1.25      13.74        89.16     | 199223   0        0        853295   236600   | 1      1720190        47472025     -       
8      8      1      1/8    | 1.38      3.78      7.93      1.36      14.46        84.69     | 199223   0        0        853295   236600   | 8      1720190        47472025     -       
8      8      2      2/8    | 1.24      5.75      7.91      1.26      16.19        75.67     | 199223   0        151630   701665   236600   | 16     1720190        47472025     -       
8      8      3      3/8    | 1.21      3.16      7.85      1.21      13.45        91.08     | 199223   0        277428   575867   236600   | 24     1720190        47472025     -       
8      8      4      4/8    | 1.22      3.08      8.16      1.23      13.70        89.38     | 199223   0        404540   448755   236600   | 32     1720190        47472025     -       
8      8      5      5/8    | 1.08      3.19      8.00      1.23      13.51        90.67     | 199223   0        454458   398837   236600   | 40     1720190        47472025     -       
8      8      6      6/8    | 1.22      3.35      8.42      1.21      14.22        86.15     | 199223   0        605564   247731   236600   | 48     1720190        47472025     -       
8      8      7      7/8    | 1.36      3.81      9.21      1.32      15.72        77.93     | 199223   0        729334   123961   236600   | 56     1720190        47472025     -       
8      8      8      8/8    | 1.22      3.58      14.12     1.23      20.18        60.70     | 199223   0        1089895  0        0        | 64     1720190        47472025     -       
8      16     0      0/8    | 1.15      3.97      8.09      1.24      14.47        84.63     | 199223   0        0        853295   236600   | 1      2045004        47472025     -       
8      16     1      1/8    | 1.16      3.94      8.10      1.25      14.46        84.72     | 199223   0        0        853295   236600   | 8      2045004        47472025     -       
8      16     2      2/8    | 1.01      3.89      7.99      1.27      14.18        86.38     | 199223   0        151630   701665   236600   | 16     2045004        47472025     -       
8      16     3      3/8    | 1.15      3.92      7.88      1.25      14.22        86.16     | 199223   0        277428   575867   236600   | 24     2045004        47472025     -       
8      16     4      4/8    | 1.27      6.33      8.13      1.41      17.17        71.34     | 199223   0        404540   448755   236600   | 32     2045004        47472025     -       
8      16     5      5/8    | 1.30      7.16      7.96      1.50      17.95        68.24     | 199223   0        454458   398837   236600   | 40     2045004        47472025     -       
8      16     6      6/8    | 1.15      4.29      8.34      1.26      15.05        81.38     | 199223   0        605564   247731   236600   | 48     2045004        47472025     -       
8      16     7      7/8    | 1.14      6.44      9.11      1.45      18.16        67.43     | 199223   0        729334   123961   236600   | 56     2045004        47472025     -       
8      16     8      8/8    | 1.29      6.85      14.00     1.40      23.55        52.02     | 199223   0        1089895  0        0        | 64     2045004        47472025     -       
8      32     0      0/8    | 0.94      7.69      14.19     1.22      24.05        50.92     | 199223   0        0        853295   236600   | 1      3018440        47472025     -       
8      32     1      1/8    | 0.94      7.68      14.19     1.23      24.07        50.89     | 199223   0        0        853295   236600   | 8      3018440        47472025     -       
8      32     2      2/8    | 0.97      7.67      13.51     1.22      23.39        52.36     | 199223   0        151630   701665   236600   | 16     3018440        47472025     -       
8      32     3      3/8    | 0.94      7.72      12.99     1.22      22.89        53.50     | 199223   0        277428   575867   236600   | 24     3018440        47472025     -       
8      32     4      4/8    | 0.94      7.67      12.85     1.27      22.75        53.85     | 199223   0        404540   448755   236600   | 32     3018440        47472025     -       
8      32     5      5/8    | 0.97      7.75      12.88     1.29      22.91        53.46     | 199223   0        454458   398837   236600   | 40     3018440        47472025     -       
8      32     6      6/8    | 0.94      7.68      12.86     1.22      22.73        53.89     | 199223   0        605564   247731   236600   | 48     3018440        47472025     -       
8      32     7      7/8    | 1.11      11.67     12.80     1.36      26.98        45.41     | 199223   0        729334   123961   236600   | 56     3018440        47472025     -       
