# Matrix: af_shell8
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001-0.01/af_shell8.mtx
# Category: 500k-1M-0.001-0.01
# Date: 2026-03-08 08:18:54
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 504855
# Cols: 504855
# NNZ(A): 17588875
# NNZ(C) estimate: 613607875
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.26      5.97      7.67      1.23      16.15        76.01     | 163090   0        0        910119   231658   | 1      1797949        47560375     -       
8      8      1      1/8    | 1.26      3.47      7.67      1.24      13.66        89.86     | 163090   0        0        910119   231658   | 8      1797949        47560375     -       
8      8      2      2/8    | 1.41      6.40      7.65      1.35      16.83        72.92     | 163090   0        249130   660989   231658   | 16     1797949        47560375     -       
8      8      3      3/8    | 1.25      3.46      7.61      1.21      13.54        90.61     | 163090   0        342516   567603   231658   | 24     1797949        47560375     -       
8      8      4      4/8    | 1.24      6.39      7.93      1.34      16.92        72.51     | 163090   0        422459   487660   231658   | 32     1797949        47560375     -       
8      8      5      5/8    | 1.43      4.63      7.78      1.34      15.19        80.80     | 163090   0        508941   401178   231658   | 40     1797949        47560375     -       
8      8      6      6/8    | 1.24      4.04      8.04      1.21      14.55        84.32     | 163090   0        623370   286749   231658   | 48     1797949        47560375     -       
8      8      7      7/8    | 1.38      6.27      9.14      1.34      18.16        67.59     | 163090   0        785421   124698   231658   | 56     1797949        47560375     -       
8      8      8      8/8    | 1.09      3.53      14.12     1.23      20.00        61.37     | 163090   0        1141777  0        0        | 64     1797949        47560375     -       
8      16     0      0/8    | 1.00      3.76      8.35      1.24      14.37        85.43     | 163090   0        0        910119   231658   | 1      2132565        47560375     -       
8      16     1      1/8    | 1.15      3.99      8.35      1.23      14.74        83.25     | 163090   0        0        910119   231658   | 8      2132565        47560375     -       
8      16     2      2/8    | 1.29      5.71      8.16      1.38      16.56        74.10     | 163090   0        249130   660989   231658   | 16     2132565        47560375     -       
8      16     3      3/8    | 1.01      4.38      8.08      1.26      14.74        83.26     | 163090   0        342516   567603   231658   | 24     2132565        47560375     -       
8      16     4      4/8    | 1.18      4.07      8.33      1.30      14.90        82.37     | 163090   0        422459   487660   231658   | 32     2132565        47560375     -       
8      16     5      5/8    | 1.16      4.11      8.14      1.26      14.68        83.58     | 163090   0        508941   401178   231658   | 40     2132565        47560375     -       
8      16     6      6/8    | 1.28      8.77      8.36      1.36      19.79        62.01     | 163090   0        623370   286749   231658   | 48     2132565        47560375     -       
8      16     7      7/8    | 1.00      4.03      9.31      1.23      15.59        78.71     | 163090   0        785421   124698   231658   | 56     2132565        47560375     -       
8      16     8      8/8    | 1.14      3.90      14.01     1.24      20.31        60.42     | 163090   0        1141777  0        0        | 64     2132565        47560375     -       
8      32     0      0/8    | 0.97      7.42      14.34     1.24      23.98        51.17     | 163090   0        0        910119   231658   | 1      2932573        47560375     -       
8      32     1      1/8    | 0.98      7.31      14.33     1.23      23.87        51.41     | 163090   0        0        910119   231658   | 8      2932573        47560375     -       
8      32     2      2/8    | 1.09      7.48      13.40     1.27      23.25        52.77     | 163090   0        249130   660989   231658   | 16     2932573        47560375     -       
8      32     3      3/8    | 0.98      7.29      13.15     1.23      22.67        54.13     | 163090   0        342516   567603   231658   | 24     2932573        47560375     -       
8      32     4      4/8    | 0.97      7.34      13.01     1.23      22.57        54.36     | 163090   0        422459   487660   231658   | 32     2932573        47560375     -       
8      32     5      5/8    | 0.97      7.44      12.90     1.23      22.56        54.41     | 163090   0        508941   401178   231658   | 40     2932573        47560375     -       
