# Matrix: bundle_adj
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001-0.01/bundle_adj.mtx
# Category: 500k-1M-0.001-0.01
# Date: 2026-03-08 09:38:24
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 513351
# Cols: 513351
# NNZ(A): 20208051
# NNZ(C) estimate: 33076865781
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 30.27     204.25    344.54    3.79      582.87       113.50    | 3672220  0        0        33266137 28255536 | 1      80269963       -            -       
8      8      1      1/8    | 30.42     205.94    270.60    3.77      510.76       129.52    | 3672220  0        0        33266137 28255536 | 8      80269963       -            -       
8      8      2      2/8    | 30.32     230.42    261.18    3.79      525.74       125.83    | 3672220  0        5797764  27468373 28255536 | 16     80269963       -            -       
8      8      3      3/8    | 30.30     221.12    274.26    3.76      529.48       124.94    | 3672220  0        19339102 13927035 28255536 | 24     80269963       -            -       
8      8      4      4/8    | 30.42     225.27    266.19    3.75      525.65       125.85    | 3672220  0        22165444 11100693 28255536 | 32     80269963       -            -       
8      8      5      5/8    | 30.46     223.69    330.49    3.76      588.41       112.43    | 3672220  0        28572092 4694045  28255536 | 40     80269963       -            -       
8      8      6      6/8    | 30.39     224.77    251.50    3.79      510.48       129.59    | 3672220  0        31909586 1356551  28255536 | 48     80269963       -            -       
8      8      7      7/8    | 30.24     218.64    268.43    3.77      521.10       126.95    | 3672220  0        33231007 35130    28255536 | 56     80269963       -            -       
8      8      8      8/8    | 30.17     223.86    264.57    3.77      522.40       126.64    | 3672220  0        61521673 0        0        | 64     80269963       -            -       
8      16     0      0/8    | 35.15     275.92    269.89    4.22      585.21       113.04    | 3672220  0        0        33266137 28255536 | 1      92775285       -            -       
8      16     1      1/8    | 35.21     240.47    260.60    4.21      540.51       122.39    | 3672220  0        0        33266137 28255536 | 8      92775285       -            -       
8      16     2      2/8    | 35.27     254.44    259.99    4.24      553.96       119.42    | 3672220  0        5797764  27468373 28255536 | 16     92775285       -            -       
8      16     3      3/8    | 35.41     239.03    274.47    4.26      553.19       119.58    | 3672220  0        19339102 13927035 28255536 | 24     92775285       -            -       
8      16     4      4/8    | 35.19     239.91    268.48    4.21      547.81       120.76    | 3672220  0        22165444 11100693 28255536 | 32     92775285       -            -       
8      16     5      5/8    | 35.31     257.78    331.26    4.27      628.64       105.23    | 3672220  0        28572092 4694045  28255536 | 40     92775285       -            -       
8      16     6      6/8    | 35.40     237.38    272.37    4.27      549.44       120.40    | 3672220  0        31909586 1356551  28255536 | 48     92775285       -            -       
8      16     7      7/8    | 35.38     255.16    260.68    4.26      555.49       119.09    | 3672220  0        33231007 35130    28255536 | 56     92775285       -            -       
8      16     8      8/8    | 35.41     238.99    266.33    4.26      545.02       121.38    | 3672220  0        61521673 0        0        | 64     92775285       -            -       
8      32     0      0/8    | 72.77     307.67    267.29    5.37      653.12       101.29    | 3672220  0        0        33266137 28255536 | 1      120864087      -            -       
8      32     1      1/8    | 72.84     318.89    266.99    5.42      664.15       99.61     | 3672220  0        0        33266137 28255536 | 8      120864087      -            -       
8      32     2      2/8    | 72.98     351.83    268.40    5.51      698.74       94.68     | 3672220  0        5797764  27468373 28255536 | 16     120864087      -            -       
8      32     3      3/8    | 72.89     325.58    330.18    5.42      734.10       90.12     | 3672220  0        19339102 13927035 28255536 | 24     120864087      -            -       
8      32     4      4/8    | 72.74     311.67    272.05    5.50      661.99       99.93     | 3672220  0        22165444 11100693 28255536 | 32     120864087      -            -       
8      32     5      5/8    | 72.74     319.19    262.17    5.42      659.55       100.30    | 3672220  0        28572092 4694045  28255536 | 40     120864087      -            -       
8      32     6      6/8    | 72.85     310.65    269.62    5.43      658.56       100.45    | 3672220  0        31909586 1356551  28255536 | 48     120864087      -            -       
8      32     7      7/8    | 72.69     308.83    269.27    5.43      656.25       100.81    | 3672220  0        33231007 35130    28255536 | 56     120864087      -            -       
8      32     8      8/8    | 72.52     308.67    261.06    5.44      647.72       102.13    | 3672220  0        61521673 0        0        | 64     120864087      -            -       
16     8      0      0/8    | 6.96      58.32     270.52    2.24      338.04       195.70    | 1218622  0        0        11737333 6273848  | 1      22995453       -            -       
16     8      1      1/8    | 6.66      58.44     263.21    2.22      330.55       200.13    | 1218622  0        0        11737333 6273848  | 32     22995453       -            -       
16     8      2      2/8    | 6.82      58.35     265.46    2.27      332.92       198.71    | 1218622  0        4721260  7016073  6273848  | 64     22995453       -            -       
16     8      3      3/8    | 6.82      58.13     327.50    2.25      394.72       167.60    | 1218622  0        7050318  4687015  6273848  | 96     22995453       -            -       
16     8      4      4/8    | 6.87      61.80     271.06    2.36      342.12       193.36    | 1218622  0        8356508  3380825  6273848  | 128    22995453       -            -       
16     8      5      5/8    | 6.87      58.40     268.21    2.23      335.73       197.05    | 1218622  0        10088984 1648349  6273848  | 160    22995453       -            -       
16     8      6      6/8    | 6.99      58.02     272.02    2.33      339.38       194.93    | 1218622  0        10752068 985265   6273848  | 192    22995453       -            -       
16     8      7      7/8    | 6.78      67.54     267.45    2.21      343.99       192.31    | 1218622  0        11608499 128834   6273848  | 224    22995453       -            -       
16     8      8      8/8    | 6.76      66.97     263.37    2.26      339.38       194.92    | 1218622  0        18011181 0        0        | 256    22995453       -            -       
16     16     0      0/8    | 6.57      64.50     261.12    2.43      334.63       197.69    | 1218622  0        0        11737333 6273848  | 1      26038327       -            -       
16     16     1      1/8    | 6.44      61.38     270.49    2.43      340.75       194.14    | 1218622  0        0        11737333 6273848  | 32     26038327       -            -       
16     16     2      2/8    | 6.53      65.93     264.75    2.43      339.65       194.77    | 1218622  0        4721260  7016073  6273848  | 64     26038327       -            -       
16     16     3      3/8    | 6.51      65.60     334.85    2.42      409.40       161.59    | 1218622  0        7050318  4687015  6273848  | 96     26038327       -            -       
16     16     4      4/8    | 6.64      66.05     255.92    2.49      331.12       199.79    | 1218622  0        8356508  3380825  6273848  | 128    26038327       -            -       
16     16     5      5/8    | 6.55      64.75     267.16    2.43      340.90       194.05    | 1218622  0        10088984 1648349  6273848  | 160    26038327       -            -       
16     16     6      6/8    | 6.41      64.92     264.69    2.40      338.45       195.46    | 1218622  0        10752068 985265   6273848  | 192    26038327       -            -       
16     16     7      7/8    | 6.43      64.55     266.21    2.45      339.65       194.77    | 1218622  0        11608499 128834   6273848  | 224    26038327       -            -       
16     16     8      8/8    | 6.55      64.41     269.21    2.42      342.61       193.09    | 1218622  0        18011181 0        0        | 256    26038327       -            -       
16     32     0      0/8    | 9.30      81.98     259.22    3.20      353.72       187.02    | 1218622  0        0        11737333 6273848  | 1      33152569       -            -       
16     32     1      1/8    | 9.44      84.89     269.55    3.28      367.20       180.16    | 1218622  0        0        11737333 6273848  | 32     33152569       -            -       
16     32     2      2/8    | 9.26      84.17     266.65    3.21      363.32       182.08    | 1218622  0        4721260  7016073  6273848  | 64     33152569       -            -       
16     32     3      3/8    | 9.41      83.63     327.26    3.28      423.60       156.17    | 1218622  0        7050318  4687015  6273848  | 96     33152569       -            -       
16     32     4      4/8    | 9.43      85.16     256.44    3.31      354.36       186.69    | 1218622  0        8356508  3380825  6273848  | 128    33152569       -            -       
16     32     5      5/8    | 9.28      83.86     267.66    3.19      364.01       181.74    | 1218622  0        10088984 1648349  6273848  | 160    33152569       -            -       
16     32     6      6/8    | 9.43      84.17     268.78    3.27      365.67       180.91    | 1218622  0        10752068 985265   6273848  | 192    33152569       -            -       
16     32     7      7/8    | 9.42      84.13     265.39    3.24      362.21       182.64    | 1218622  0        11608499 128834   6273848  | 224    33152569       -            -       
16     32     8      8/8    | 9.26      85.04     274.68    3.21      372.21       177.73    | 1218622  0        18011181 0        0        | 256    33152569       -            -       
32     8      0      0/8    | 3.14      18.55     275.22    1.81      298.74       221.44    | 1262269  0        0        2870772  1470444  | 1      6541881        -            -       
32     8      1      1/8    | 3.13      18.55     265.51    1.80      289.01       228.90    | 1262269  0        0        2870772  1470444  | 128    6541881        -            -       
32     8      2      2/8    | 3.21      18.35     326.77    1.80      350.15       188.93    | 1262269  0        821469   2049303  1470444  | 256    6541881        -            -       
32     8      3      3/8    | 3.14      18.38     204.46    1.78      227.77       290.44    | 1262269  0        1589506  1281266  1470444  | 384    6541881        -            -       
32     8      4      4/8    | 3.12      18.26     331.16    1.77      354.33       186.70    | 1262269  0        1995020  875752   1470444  | 512    6541881        -            -       
32     8      5      5/8    | 3.12      18.25     271.71    1.75      294.85       224.36    | 1262269  0        2390663  480109   1470444  | 640    6541881        -            -       
32     8      6      6/8    | 3.14      18.28     268.52    1.78      291.74       226.76    | 1262269  0        2645103  225669   1470444  | 768    6541881        -            -       
32     8      7      7/8    | 3.11      18.34     261.93    1.76      285.16       231.99    | 1262269  0        2790552  80220    1470444  | 896    6541881        -            -       
32     8      8      8/8    | 3.14      18.28     258.83    1.75      282.02       234.57    | 1262269  0        4341216  0        0        | 1024   6541881        -            -       
