# Matrix: Chevron4
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/Chevron4.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-08 13:41:47
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 711450
# Cols: 711450
# NNZ(A): 6376412
# NNZ(C) estimate: 57281204
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.68      3.93      4.69      1.07      11.38        10.07     | 178693   0        0        798093   0        | 1      1686776        17706328     -       
8      8      1      1/8    | 1.63      5.52      4.69      1.05      12.91        8.88      | 178693   0        0        798093   0        | 8      1686776        17706328     -       
8      8      2      2/8    | 1.52      5.45      4.35      0.97      12.30        9.32      | 178693   0        180644   617449   0        | 16     1686776        17706328     -       
8      8      3      3/8    | 1.51      4.99      4.08      0.98      11.57        9.90      | 178693   0        533076   265017   0        | 24     1686776        17706328     -       
8      8      4      4/8    | 1.52      5.05      3.76      1.01      11.35        10.09     | 178693   0        710334   87759    0        | 32     1686776        17706328     -       
8      8      5      5/8    | 1.52      4.97      2.85      1.02      10.37        11.05     | 178693   0        798093   0        0        | 40     1686776        17706328     -       
8      8      6      6/8    | 1.72      4.05      2.88      1.11      9.79         11.70     | 178693   0        798093   0        0        | 48     1686776        17706328     -       
8      8      7      7/8    | 1.42      4.39      2.85      1.01      9.68         11.83     | 178693   0        798093   0        0        | 56     1686776        17706328     -       
8      8      8      8/8    | 1.57      4.28      2.85      1.06      9.78         11.72     | 178693   0        798093   0        0        | 64     1686776        17706328     -       
8      16     0      0/8    | 1.36      3.72      5.18      1.04      11.31        10.12     | 178693   0        0        798093   0        | 1      2219790        17706328     -       
8      16     1      1/8    | 1.32      3.75      5.20      1.07      11.36        10.09     | 178693   0        0        798093   0        | 8      2219790        17706328     -       
8      16     2      2/8    | 1.34      4.42      4.73      1.03      11.54        9.93      | 178693   0        180644   617449   0        | 16     2219790        17706328     -       
8      16     3      3/8    | 1.50      7.91      4.22      1.17      14.81        7.73      | 178693   0        533076   265017   0        | 24     2219790        17706328     -       
