# Matrix: CurlCurl_2
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/CurlCurl_2.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-08 13:52:42
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 806529
# Cols: 806529
# NNZ(A): 8921789
# NNZ(C) estimate: 99377487
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.09      17.80     15.21     1.36      36.47        5.45      | 1144783  0        0        1835458  0        | 1      5387817        44546339     -       
8      8      1      1/8    | 2.25      13.89     15.23     1.44      32.83        6.05      | 1144783  0        0        1835458  0        | 8      5387817        44546339     -       
8      8      2      2/8    | 2.16      17.88     14.12     1.40      35.58        5.59      | 1144783  0        610550   1224908  0        | 16     5387817        44546339     -       
8      8      3      3/8    | 2.08      17.38     12.78     1.38      33.64        5.91      | 1144783  0        1179004  656454   0        | 24     5387817        44546339     -       
8      8      4      4/8    | 2.10      16.88     12.13     1.38      32.51        6.11      | 1144783  0        1622775  212683   0        | 32     5387817        44546339     -       
8      8      5      5/8    | 2.08      16.95     10.35     1.38      30.78        6.46      | 1144783  0        1777186  58272    0        | 40     5387817        44546339     -       
8      8      6      6/8    | 2.23      13.92     9.85      1.47      27.50        7.23      | 1144783  0        1833400  2058     0        | 48     5387817        44546339     -       
8      8      7      7/8    | 2.13      13.46     9.80      1.37      26.77        7.42      | 1144783  0        1835458  0        0        | 56     5387817        44546339     -       
8      8      8      8/8    | 2.23      17.90     9.83      1.43      31.42        6.33      | 1144783  0        1835458  0        0        | 64     5387817        44546339     -       
8      16     0      0/8    | 1.97      22.05     16.52     1.46      42.01        4.73      | 1144783  0        0        1835458  0        | 1      6955627        44546339     -       
8      16     1      1/8    | 1.78      21.69     16.52     1.40      41.41        4.80      | 1144783  0        0        1835458  0        | 8      6955627        44546339     -       
8      16     2      2/8    | 2.11      25.15     14.80     1.58      43.67        4.55      | 1144783  0        610550   1224908  0        | 16     6955627        44546339     -       
8      16     3      3/8    | 1.96      17.27     12.93     1.42      33.60        5.91      | 1144783  0        1179004  656454   0        | 24     6955627        44546339     -       
8      16     4      4/8    | 1.86      17.20     11.69     1.46      32.22        6.17      | 1144783  0        1622775  212683   0        | 32     6955627        44546339     -       
8      16     5      5/8    | 1.97      17.28     9.69      1.45      30.40        6.54      | 1144783  0        1777186  58272    0        | 40     6955627        44546339     -       
8      16     6      6/8    | 1.86      17.18     9.01      1.47      29.54        6.73      | 1144783  0        1833400  2058     0        | 48     6955627        44546339     -       
8      16     7      7/8    | 2.01      21.75     8.98      1.51      34.27        5.80      | 1144783  0        1835458  0        0        | 56     6955627        44546339     -       
8      16     8      8/8    | 2.12      17.55     9.01      1.52      30.21        6.58      | 1144783  0        1835458  0        0        | 64     6955627        44546339     -       
8      32     0      0/8    | 1.79      25.20     24.54     1.58      53.13        3.74      | 1144783  0        0        1835458  0        | 1      10021203       44546339     -       
8      32     1      1/8    | 1.93      25.04     24.54     1.52      53.05        3.75      | 1144783  0        0        1835458  0        | 8      10021203       44546339     -       
8      32     2      2/8    | 1.77      24.74     21.07     1.53      49.12        4.05      | 1144783  0        610550   1224908  0        | 16     10021203       44546339     -       
8      32     3      3/8    | 2.06      31.33     17.68     1.57      52.66        3.77      | 1144783  0        1179004  656454   0        | 24     10021203       44546339     -       
8      32     4      4/8    | 1.76      30.97     13.62     1.56      47.93        4.15      | 1144783  0        1622775  212683   0        | 32     10021203       44546339     -       
8      32     5      5/8    | 2.05      25.18     11.13     1.59      39.98        4.97      | 1144783  0        1777186  58272    0        | 40     10021203       44546339     -       
8      32     6      6/8    | 1.77      25.05     9.63      1.53      38.01        5.23      | 1144783  0        1833400  2058     0        | 48     10021203       44546339     -       
8      32     7      7/8    | 1.79      24.95     9.54      1.53      37.82        5.26      | 1144783  0        1835458  0        0        | 56     10021203       44546339     -       
8      32     8      8/8    | 2.05      31.54     9.57      1.59      44.77        4.44      | 1144783  0        1835458  0        0        | 64     10021203       44546339     -       
16     8      0      0/8    | 1.29      6.42      12.65     1.26      21.64        9.18      | 624693   0        0        604822   0        | 1      1917259        44546339     -       
16     8      1      1/8    | 1.28      6.53      12.65     1.26      21.73        9.15      | 624693   0        0        604822   0        | 32     1917259        44546339     -       
16     8      2      2/8    | 1.29      6.61      10.74     1.30      19.95        9.96      | 624693   0        351024   253798   0        | 64     1917259        44546339     -       
16     8      3      3/8    | 1.30      6.60      8.59      1.28      17.79        11.17     | 624693   0        553603   51219    0        | 96     1917259        44546339     -       
16     8      4      4/8    | 1.31      6.67      8.58      1.33      17.92        11.09     | 624693   0        557279   47543    0        | 128    1917259        44546339     -       
16     8      5      5/8    | 1.30      6.64      7.68      1.30      16.94        11.73     | 624693   0        604697   125      0        | 160    1917259        44546339     -       
16     8      6      6/8    | 1.34      6.47      7.65      1.33      16.79        11.83     | 624693   0        604822   0        0        | 192    1917259        44546339     -       
16     8      7      7/8    | 1.31      6.43      7.64      1.33      16.73        11.88     | 624693   0        604822   0        0        | 224    1917259        44546339     -       
16     8      8      8/8    | 1.30      6.94      7.64      1.26      17.16        11.58     | 624693   0        604822   0        0        | 256    1917259        44546339     -       
16     16     0      0/8    | 1.21      7.54      11.37     1.32      21.46        9.26      | 624693   0        0        604822   0        | 1      2182027        44546339     -       
16     16     1      1/8    | 1.23      7.95      11.37     1.26      21.82        9.11      | 624693   0        0        604822   0        | 32     2182027        44546339     -       
16     16     2      2/8    | 1.21      5.95      9.13      1.37      17.68        11.24     | 624693   0        351024   253798   0        | 64     2182027        44546339     -       
