# Matrix: amazon-2008
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/amazon-2008.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-08 12:47:17
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 735323
# Cols: 735323
# NNZ(A): 5158388
# NNZ(C) estimate: 46082867
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 4.92      57.46     15.19     1.95      79.54        1.16      | 5938605  0        0        609693   5193     | 1      22880558       25366745     -       
8      8      1      1/8    | 5.16      66.55     15.21     2.04      88.99        1.04      | 5938605  0        0        609693   5193     | 8      22880558       25366745     -       
8      8      2      2/8    | 5.07      65.88     13.65     1.96      86.58        1.06      | 5938605  0        330781   278912   5193     | 16     22880558       25366745     -       
8      8      3      3/8    | 5.04      66.50     13.01     1.97      86.54        1.06      | 5938605  0        446735   162958   5193     | 24     22880558       25366745     -       
8      8      4      4/8    | 5.04      58.40     12.98     2.06      78.50        1.17      | 5938605  0        511726   97967    5193     | 32     22880558       25366745     -       
8      8      5      5/8    | 5.16      66.67     12.36     2.03      86.23        1.07      | 5938605  0        553004   56689    5193     | 40     22880558       25366745     -       
8      8      6      6/8    | 5.20      58.03     12.18     1.98      77.42        1.19      | 5938605  0        580037   29656    5193     | 48     22880558       25366745     -       
8      8      7      7/8    | 5.07      57.90     12.02     1.94      76.95        1.20      | 5938605  0        599224   10469    5193     | 56     22880558       25366745     -       
8      8      8      8/8    | 5.03      67.06     11.97     2.01      86.10        1.07      | 5938605  0        614886   0        0        | 64     22880558       25366745     -       
8      16     0      0/8    | 8.85      99.90     17.83     2.44      129.03       0.71      | 5938605  0        0        609693   5193     | 1      36275459       25366745     -       
8      16     1      1/8    | 8.72      101.69    17.82     2.43      130.68       0.71      | 5938605  0        0        609693   5193     | 8      36275459       25366745     -       
8      16     2      2/8    | 8.87      100.06    15.65     2.42      127.02       0.73      | 5938605  0        330781   278912   5193     | 16     36275459       25366745     -       
8      16     3      3/8    | 8.69      100.61    14.76     2.45      126.52       0.73      | 5938605  0        446735   162958   5193     | 24     36275459       25366745     -       
8      16     4      4/8    | 8.85      100.89    14.54     2.40      126.70       0.73      | 5938605  0        511726   97967    5193     | 32     36275459       25366745     -       
