# Matrix: apache2
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/apache2.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-08 12:52:12
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 715176
# Cols: 715176
# NNZ(A): 4817870
# NNZ(C) estimate: 32599768
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.62      6.90      5.83      1.13      15.50        4.21      | 1605266  0        0        578249   0        | 1      2809025        16563324     -       
8      8      1      1/8    | 1.92      9.93      5.86      1.12      18.85        3.46      | 1605266  0        0        578249   0        | 8      2809025        16563324     -       
8      8      2      2/8    | 1.75      7.01      5.06      1.13      14.96        4.36      | 1605266  0        310660   267589   0        | 16     2809025        16563324     -       
8      8      3      3/8    | 1.76      7.10      4.61      1.11      14.60        4.47      | 1605266  0        488852   89397    0        | 24     2809025        16563324     -       
8      8      4      4/8    | 1.61      7.00      4.82      1.14      14.58        4.47      | 1605266  0        490932   87317    0        | 32     2809025        16563324     -       
8      8      5      5/8    | 1.62      6.95      3.90      1.08      13.56        4.81      | 1605266  0        578249   0        0        | 40     2809025        16563324     -       
8      8      6      6/8    | 1.74      6.95      3.90      1.08      13.68        4.77      | 1605266  0        578249   0        0        | 48     2809025        16563324     -       
8      8      7      7/8    | 1.58      7.10      3.89      1.08      13.68        4.77      | 1605266  0        578249   0        0        | 56     2809025        16563324     -       
8      8      8      8/8    | 1.90      9.87      3.93      1.15      16.88        3.86      | 1605266  0        578249   0        0        | 64     2809025        16563324     -       
8      16     0      0/8    | 1.42      11.33     6.67      1.10      20.53        3.18      | 1605266  0        0        578249   0        | 1      4097295        16563324     -       
8      16     1      1/8    | 1.39      11.24     6.64      1.16      20.45        3.19      | 1605266  0        0        578249   0        | 8      4097295        16563324     -       
8      16     2      2/8    | 1.51      13.99     5.61      1.08      22.20        2.94      | 1605266  0        310660   267589   0        | 16     4097295        16563324     -       
8      16     3      3/8    | 1.33      13.59     4.90      1.10      20.94        3.11      | 1605266  0        488852   89397    0        | 24     4097295        16563324     -       
8      16     4      4/8    | 1.50      13.71     5.08      1.12      21.43        3.04      | 1605266  0        490932   87317    0        | 32     4097295        16563324     -       
8      16     5      5/8    | 1.36      14.13     3.92      1.10      20.53        3.18      | 1605266  0        578249   0        0        | 40     4097295        16563324     -       
8      16     6      6/8    | 1.33      13.89     3.92      1.13      20.29        3.21      | 1605266  0        578249   0        0        | 48     4097295        16563324     -       
8      16     7      7/8    | 1.48      14.10     3.92      1.10      20.61        3.16      | 1605266  0        578249   0        0        | 56     4097295        16563324     -       
8      16     8      8/8    | 1.34      14.06     3.92      1.11      20.45        3.19      | 1605266  0        578249   0        0        | 64     4097295        16563324     -       
8      32     0      0/8    | 1.30      44.76     9.17      1.27      56.52        1.15      | 1605266  0        0        578249   0        | 1      6932631        16563324     -       
8      32     1      1/8    | 1.48      22.13     9.17      1.25      34.06        1.91      | 1605266  0        0        578249   0        | 8      6932631        16563324     -       
8      32     2      2/8    | 1.34      18.10     7.19      1.22      27.87        2.34      | 1605266  0        310660   267589   0        | 16     6932631        16563324     -       
8      32     3      3/8    | 1.29      17.23     6.04      1.20      25.79        2.53      | 1605266  0        488852   89397    0        | 24     6932631        16563324     -       
8      32     4      4/8    | 1.44      17.36     6.00      1.20      26.02        2.51      | 1605266  0        490932   87317    0        | 32     6932631        16563324     -       
8      32     5      5/8    | 1.31      17.34     3.97      1.20      23.84        2.73      | 1605266  0        578249   0        0        | 40     6932631        16563324     -       
8      32     6      6/8    | 1.33      17.46     3.98      1.26      24.04        2.71      | 1605266  0        578249   0        0        | 48     6932631        16563324     -       
8      32     7      7/8    | 1.45      17.34     3.97      1.21      23.98        2.72      | 1605266  0        578249   0        0        | 56     6932631        16563324     -       
8      32     8      8/8    | 1.29      17.25     3.98      1.18      23.72        2.75      | 1605266  0        578249   0        0        | 64     6932631        16563324     -       
16     8      0      0/8    | 1.01      2.81      5.49      1.01      10.32        6.31      | 881946   0        0        122513   0        | 1      1083473        16563324     -       
16     8      1      1/8    | 1.18      2.82      5.46      1.03      10.51        6.21      | 881946   0        0        122513   0        | 32     1083473        16563324     -       
16     8      2      2/8    | 1.16      2.76      4.84      1.02      9.79         6.66      | 881946   0        77815    44698    0        | 64     1083473        16563324     -       
16     8      3      3/8    | 1.01      2.79      4.27      1.01      9.10         7.17      | 881946   0        122513   0        0        | 96     1083473        16563324     -       
16     8      4      4/8    | 1.17      2.79      4.27      1.03      9.28         7.03      | 881946   0        122513   0        0        | 128    1083473        16563324     -       
16     8      5      5/8    | 1.28      3.83      4.29      1.12      10.54        6.19      | 881946   0        122513   0        0        | 160    1083473        16563324     -       
16     8      6      6/8    | 1.04      3.71      4.26      1.08      10.11        6.45      | 881946   0        122513   0        0        | 192    1083473        16563324     -       
16     8      7      7/8    | 1.13      3.72      4.27      1.01      10.15        6.42      | 881946   0        122513   0        0        | 224    1083473        16563324     -       
16     8      8      8/8    | 1.19      2.93      4.29      1.19      9.62         6.78      | 881946   0        122513   0        0        | 256    1083473        16563324     -       
16     16     0      0/8    | 1.12      4.72      5.37      1.09      12.32        5.29      | 881946   0        0        122513   0        | 1      1834051        16563324     -       
16     16     1      1/8    | 0.95      4.68      5.36      1.02      12.03        5.42      | 881946   0        0        122513   0        | 32     1834051        16563324     -       
16     16     2      2/8    | 0.94      4.65      4.58      1.07      11.30        5.77      | 881946   0        77815    44698    0        | 64     1834051        16563324     -       
16     16     3      3/8    | 1.10      6.29      3.73      1.04      12.19        5.35      | 881946   0        122513   0        0        | 96     1834051        16563324     -       
16     16     4      4/8    | 1.03      6.71      3.74      1.11      12.61        5.17      | 881946   0        122513   0        0        | 128    1834051        16563324     -       
16     16     5      5/8    | 0.96      6.40      3.74      1.07      12.19        5.35      | 881946   0        122513   0        0        | 160    1834051        16563324     -       
16     16     6      6/8    | 1.15      6.43      3.74      1.10      12.43        5.24      | 881946   0        122513   0        0        | 192    1834051        16563324     -       
16     16     7      7/8    | 0.97      6.44      3.74      1.09      12.25        5.32      | 881946   0        122513   0        0        | 224    1834051        16563324     -       
16     16     8      8/8    | 0.96      6.22      3.74      1.08      12.02        5.42      | 881946   0        122513   0        0        | 256    1834051        16563324     -       
16     32     0      0/8    | 1.01      8.33      7.15      1.12      17.62        3.70      | 881946   0        0        122513   0        | 1      2525413        16563324     -       
16     32     1      1/8    | 0.86      8.42      7.16      1.13      17.58        3.71      | 881946   0        0        122513   0        | 32     2525413        16563324     -       
16     32     2      2/8    | 0.88      9.27      5.67      1.15      16.98        3.84      | 881946   0        77815    44698    0        | 64     2525413        16563324     -       
16     32     3      3/8    | 0.87      8.52      2.98      1.11      13.50        4.83      | 881946   0        122513   0        0        | 96     2525413        16563324     -       
16     32     4      4/8    | 1.01      8.53      2.98      1.11      13.66        4.77      | 881946   0        122513   0        0        | 128    2525413        16563324     -       
16     32     5      5/8    | 0.88      8.63      2.98      1.14      13.64        4.78      | 881946   0        122513   0        0        | 160    2525413        16563324     -       
16     32     6      6/8    | 0.90      6.64      2.98      1.13      11.68        5.58      | 881946   0        122513   0        0        | 192    2525413        16563324     -       
16     32     7      7/8    | 0.87      6.56      2.98      1.12      11.54        5.65      | 881946   0        122513   0        0        | 224    2525413        16563324     -       
16     32     8      8/8    | 0.88      6.55      2.98      1.09      11.51        5.66      | 881946   0        122513   0        0        | 256    2525413        16563324     -       
32     8      0      0/8    | 1.17      1.59      8.22      1.07      12.05        5.41      | 525479   0        0        22349    0        | 1      548430         16563324     -       
32     8      1      1/8    | 0.97      2.08      8.20      0.99      12.26        5.32      | 525479   0        0        22349    0        | 128    548430         16563324     -       
32     8      2      2/8    | 0.97      2.08      3.90      0.97      7.93         8.22      | 525479   0        22349    0        0        | 256    548430         16563324     -       
