# Matrix: delaunay_n19
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/delaunay_n19.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-08 13:56:12
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 524288
# Cols: 524288
# NNZ(A): 3145646
# NNZ(C) estimate: 19812480
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.53      9.16      5.86      1.06      17.63        2.25      | 833143   0        0        415917   62       | 1      3679178        10856500     -       
8      8      1      1/8    | 1.42      13.21     5.86      1.09      21.60        1.83      | 833143   0        0        415917   62       | 8      3679178        10856500     -       
8      8      2      2/8    | 1.40      12.96     4.91      1.08      20.36        1.95      | 833143   0        216709   199208   62       | 16     3679178        10856500     -       
8      8      3      3/8    | 1.52      12.20     4.31      1.03      19.09        2.08      | 833143   0        333459   82458    62       | 24     3679178        10856500     -       
8      8      4      4/8    | 1.42      13.01     4.38      1.10      19.92        1.99      | 833143   0        365731   50186    62       | 32     3679178        10856500     -       
8      8      5      5/8    | 1.40      11.60     4.02      1.10      18.14        2.18      | 833143   0        378832   37085    62       | 40     3679178        10856500     -       
8      8      6      6/8    | 1.52      9.18      3.88      1.12      15.72        2.52      | 833143   0        400461   15456    62       | 48     3679178        10856500     -       
8      8      7      7/8    | 1.45      13.03     3.75      1.11      19.36        2.05      | 833143   0        414006   1911     62       | 56     3679178        10856500     -       
8      8      8      8/8    | 1.69      9.31      3.75      1.14      15.90        2.49      | 833143   0        415979   0        0        | 64     3679178        10856500     -       
8      16     0      0/8    | 1.37      14.32     6.60      1.09      23.41        1.69      | 833143   0        0        415917   62       | 1      5758014        10856500     -       
8      16     1      1/8    | 1.36      14.37     6.60      1.09      23.43        1.69      | 833143   0        0        415917   62       | 8      5758014        10856500     -       
8      16     2      2/8    | 1.39      37.42     5.30      1.16      45.29        0.87      | 833143   0        216709   199208   62       | 16     5758014        10856500     -       
8      16     3      3/8    | 1.58      18.37     4.46      1.14      25.57        1.55      | 833143   0        333459   82458    62       | 24     5758014        10856500     -       
8      16     4      4/8    | 1.38      15.02     4.42      1.13      21.97        1.80      | 833143   0        365731   50186    62       | 32     5758014        10856500     -       
8      16     5      5/8    | 1.41      34.49     4.09      1.20      41.21        0.96      | 833143   0        378832   37085    62       | 40     5758014        10856500     -       
8      16     6      6/8    | 1.40      18.94     3.83      1.14      25.33        1.56      | 833143   0        400461   15456    62       | 48     5758014        10856500     -       
8      16     7      7/8    | 1.54      18.75     3.69      1.13      25.12        1.58      | 833143   0        414006   1911     62       | 56     5758014        10856500     -       
8      16     8      8/8    | 1.41      18.73     3.66      1.14      24.96        1.59      | 833143   0        415979   0        0        | 64     5758014        10856500     -       
8      32     0      0/8    | 1.69      29.51     9.55      1.30      42.08        0.94      | 833143   0        0        415917   62       | 1      9552088        10856500     -       
8      32     1      1/8    | 1.68      29.46     9.56      1.30      42.01        0.94      | 833143   0        0        415917   62       | 8      9552088        10856500     -       
8      32     2      2/8    | 1.86      24.72     6.92      1.32      34.85        1.14      | 833143   0        216709   199208   62       | 16     9552088        10856500     -       
8      32     3      3/8    | 1.70      24.28     5.37      1.26      32.62        1.21      | 833143   0        333459   82458    62       | 24     9552088        10856500     -       
8      32     4      4/8    | 1.70      30.26     4.86      1.28      38.12        1.04      | 833143   0        365731   50186    62       | 32     9552088        10856500     -       
8      32     5      5/8    | 1.73      24.62     4.57      1.30      32.24        1.23      | 833143   0        378832   37085    62       | 40     9552088        10856500     -       
8      32     6      6/8    | 1.69      24.45     4.10      1.26      31.52        1.26      | 833143   0        400461   15456    62       | 48     9552088        10856500     -       
