# Matrix: rgg_n_2_19_s0
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/rgg_n_2_19_s0.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-09 01:16:40
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 524288
# Cols: 524288
# NNZ(A): 6539532
# NNZ(C) estimate: 88151660
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 7.65      97.65     82.89     2.02      190.24       0.93      | 12216119 0        0        27489    0        | 1      22185250       19604004     -       
8      8      1      1/8    | 7.46      99.66     82.76     1.91      191.81       0.92      | 12216119 0        0        27489    0        | 8      22185250       19604004     -       
8      8      2      2/8    | 7.38      96.89     82.35     1.90      188.55       0.94      | 12216119 0        27433    56       0        | 16     22185250       19604004     -       
8      8      3      3/8    | 7.43      96.59     82.33     1.90      188.29       0.94      | 12216119 0        27489    0        0        | 24     22185250       19604004     -       
8      8      4      4/8    | 7.48      96.60     82.47     1.86      188.46       0.94      | 12216119 0        27489    0        0        | 32     22185250       19604004     -       
8      8      5      5/8    | 7.34      96.73     82.36     1.88      188.35       0.94      | 12216119 0        27489    0        0        | 40     22185250       19604004     -       
8      8      6      6/8    | 7.48      96.73     82.33     1.88      188.46       0.94      | 12216119 0        27489    0        0        | 48     22185250       19604004     -       
8      8      7      7/8    | 7.48      96.69     82.35     1.87      188.44       0.94      | 12216119 0        27489    0        0        | 56     22185250       19604004     -       
8      8      8      8/8    | 7.32      96.76     82.32     1.92      188.35       0.94      | 12216119 0        27489    0        0        | 64     22185250       19604004     -       
8      16     0      0/8    | 7.43      102.91    102.42    1.89      214.68       0.82      | 12216119 0        0        27489    0        | 1      22894936       19604004     -       
8      16     1      1/8    | 7.42      102.75    102.43    1.89      214.51       0.82      | 12216119 0        0        27489    0        | 8      22894936       19604004     -       
8      16     2      2/8    | 7.28      103.08    102.06    1.90      214.33       0.82      | 12216119 0        27433    56       0        | 16     22894936       19604004     -       
8      16     3      3/8    | 7.46      102.79    102.03    1.90      214.20       0.82      | 12216119 0        27489    0        0        | 24     22894936       19604004     -       
8      16     4      4/8    | 7.32      102.94    102.14    1.91      214.33       0.82      | 12216119 0        27489    0        0        | 32     22894936       19604004     -       
8      16     5      5/8    | 7.48      102.91    102.07    1.90      214.37       0.82      | 12216119 0        27489    0        0        | 40     22894936       19604004     -       
8      16     6      6/8    | 7.60      102.07    102.06    2.01      213.77       0.82      | 12216119 0        27489    0        0        | 48     22894936       19604004     -       
8      16     7      7/8    | 7.29      102.21    102.03    1.90      213.45       0.83      | 12216119 0        27489    0        0        | 56     22894936       19604004     -       
8      16     8      8/8    | 7.40      101.86    102.03    1.87      213.19       0.83      | 12216119 0        27489    0        0        | 64     22894936       19604004     -       
8      32     0      0/8    | 6.50      78.79     77.68     1.90      164.91       1.07      | 12216119 0        0        27489    0        | 1      23376954       19604004     -       
8      32     1      1/8    | 6.64      78.63     77.70     1.92      164.90       1.07      | 12216119 0        0        27489    0        | 8      23376954       19604004     -       
8      32     2      2/8    | 6.50      78.72     77.66     1.89      164.79       1.07      | 12216119 0        27433    56       0        | 16     23376954       19604004     -       
8      32     3      3/8    | 6.63      78.69     77.52     1.91      164.76       1.07      | 12216119 0        27489    0        0        | 24     23376954       19604004     -       
8      32     4      4/8    | 6.51      78.33     77.50     1.92      164.27       1.07      | 12216119 0        27489    0        0        | 32     23376954       19604004     -       
8      32     5      5/8    | 6.64      78.52     77.47     1.93      164.58       1.07      | 12216119 0        27489    0        0        | 40     23376954       19604004     -       
8      32     6      6/8    | 6.70      80.09     77.52     2.00      166.34       1.06      | 12216119 0        27489    0        0        | 48     23376954       19604004     -       
8      32     7      7/8    | 6.66      79.41     77.48     1.91      165.48       1.07      | 12216119 0        27489    0        0        | 56     23376954       19604004     -       
8      32     8      8/8    | 6.53      79.47     77.48     1.94      165.44       1.07      | 12216119 0        27489    0        0        | 64     23376954       19604004     -       
16     8      0      0/8    | 4.01      63.10     86.92     1.38      155.41       1.13      | 5065698  0        0        68       0        | 1      6044350        19604004     -       
16     8      1      1/8    | 4.16      63.08     86.98     1.47      155.70       1.13      | 5065698  0        0        68       0        | 32     6044350        19604004     -       
16     8      2      2/8    | 4.08      63.14     86.94     1.44      155.63       1.13      | 5065698  0        68       0        0        | 64     6044350        19604004     -       
16     8      3      3/8    | 4.17      63.01     86.97     1.47      155.64       1.13      | 5065698  0        68       0        0        | 96     6044350        19604004     -       
16     8      4      4/8    | 4.22      63.39     86.95     1.47      156.06       1.13      | 5065698  0        68       0        0        | 128    6044350        19604004     -       
16     8      5      5/8    | 3.86      63.21     86.93     1.37      155.40       1.13      | 5065698  0        68       0        0        | 160    6044350        19604004     -       
16     8      6      6/8    | 4.21      62.82     86.96     1.42      155.43       1.13      | 5065698  0        68       0        0        | 192    6044350        19604004     -       
16     8      7      7/8    | 3.96      62.91     86.93     1.34      155.16       1.14      | 5065698  0        68       0        0        | 224    6044350        19604004     -       
16     8      8      8/8    | 3.82      62.85     86.92     1.33      154.94       1.14      | 5065698  0        68       0        0        | 256    6044350        19604004     -       
16     16     0      0/8    | 3.70      47.27     70.12     1.46      122.57       1.44      | 5065698  0        0        68       0        | 1      6171570        19604004     -       
16     16     1      1/8    | 3.39      47.79     70.14     1.38      122.72       1.44      | 5065698  0        0        68       0        | 32     6171570        19604004     -       
16     16     2      2/8    | 3.55      47.20     69.99     1.34      122.10       1.44      | 5065698  0        68       0        0        | 64     6171570        19604004     -       
16     16     3      3/8    | 3.43      47.24     69.99     1.42      122.10       1.44      | 5065698  0        68       0        0        | 96     6171570        19604004     -       
16     16     4      4/8    | 3.68      47.11     70.01     1.44      122.28       1.44      | 5065698  0        68       0        0        | 128    6171570        19604004     -       
16     16     5      5/8    | 3.59      47.38     70.04     1.45      122.49       1.44      | 5065698  0        68       0        0        | 160    6171570        19604004     -       
16     16     6      6/8    | 3.56      47.59     69.98     1.35      122.50       1.44      | 5065698  0        68       0        0        | 192    6171570        19604004     -       
16     16     7      7/8    | 3.55      47.12     70.01     1.43      122.13       1.44      | 5065698  0        68       0        0        | 224    6171570        19604004     -       
16     16     8      8/8    | 3.54      46.84     70.00     1.39      121.78       1.45      | 5065698  0        68       0        0        | 256    6171570        19604004     -       
16     32     0      0/8    | 2.24      29.52     50.04     1.42      83.24        2.12      | 5065698  0        0        68       0        | 1      6251170        19604004     -       
16     32     1      1/8    | 2.40      28.95     50.04     1.43      82.83        2.13      | 5065698  0        0        68       0        | 32     6251170        19604004     -       
16     32     2      2/8    | 2.25      29.16     49.94     1.46      82.83        2.13      | 5065698  0        68       0        0        | 64     6251170        19604004     -       
16     32     3      3/8    | 2.23      28.84     49.96     1.45      82.49        2.14      | 5065698  0        68       0        0        | 96     6251170        19604004     -       
16     32     4      4/8    | 2.39      29.13     49.96     1.43      82.93        2.13      | 5065698  0        68       0        0        | 128    6251170        19604004     -       
16     32     5      5/8    | 2.25      29.12     49.94     1.44      82.75        2.13      | 5065698  0        68       0        0        | 160    6251170        19604004     -       
16     32     6      6/8    | 2.41      28.83     49.95     1.44      82.65        2.13      | 5065698  0        68       0        0        | 192    6251170        19604004     -       
16     32     7      7/8    | 2.24      28.93     49.95     1.45      82.59        2.13      | 5065698  0        68       0        0        | 224    6251170        19604004     -       
16     32     8      8/8    | 2.24      29.06     49.94     1.43      82.68        2.13      | 5065698  0        68       0        0        | 256    6251170        19604004     -       
32     8      0      0/8    | 1.77      29.62     46.12     1.32      78.85        2.24      | 1422326  0        0        0        0        | 1      1665060        19604004     -       
32     8      1      1/8    | 1.75      29.67     46.18     1.29      78.91        2.23      | 1422326  0        0        0        0        | 128    1665060        19604004     -       
32     8      2      2/8    | 1.68      29.57     46.11     1.27      78.65        2.24      | 1422326  0        0        0        0        | 256    1665060        19604004     -       
32     8      3      3/8    | 1.74      29.67     46.16     1.30      78.89        2.23      | 1422326  0        0        0        0        | 384    1665060        19604004     -       
32     8      4      4/8    | 1.66      29.70     46.18     1.28      78.84        2.24      | 1422326  0        0        0        0        | 512    1665060        19604004     -       
32     8      5      5/8    | 1.68      29.55     46.19     1.29      78.72        2.24      | 1422326  0        0        0        0        | 640    1665060        19604004     -       
32     8      6      6/8    | 1.69      29.55     46.17     1.27      78.68        2.24      | 1422326  0        0        0        0        | 768    1665060        19604004     -       
32     8      7      7/8    | 1.61      29.72     46.16     1.60      79.11        2.23      | 1422326  0        0        0        0        | 896    1665060        19604004     -       
32     8      8      8/8    | 1.66      29.59     46.14     1.26      78.67        2.24      | 1422326  0        0        0        0        | 1024   1665060        19604004     -       
32     16     0      0/8    | 1.15      18.89     36.11     1.24      57.41        3.07      | 1422326  0        0        0        0        | 1      1689338        19604004     -       
32     16     1      1/8    | 1.00      18.93     36.15     1.19      57.30        3.08      | 1422326  0        0        0        0        | 128    1689338        19604004     -       
32     16     2      2/8    | 1.14      19.00     36.12     1.22      57.50        3.07      | 1422326  0        0        0        0        | 256    1689338        19604004     -       
32     16     3      3/8    | 1.23      19.14     36.13     1.30      57.82        3.05      | 1422326  0        0        0        0        | 384    1689338        19604004     -       
32     16     4      4/8    | 1.05      19.00     36.13     1.24      57.44        3.07      | 1422326  0        0        0        0        | 512    1689338        19604004     -       
32     16     5      5/8    | 1.15      19.09     36.15     1.22      57.62        3.06      | 1422326  0        0        0        0        | 640    1689338        19604004     -       
32     16     6      6/8    | 0.98      18.95     36.12     1.21      57.28        3.08      | 1422326  0        0        0        0        | 768    1689338        19604004     -       
32     16     7      7/8    | 1.16      18.88     36.14     1.23      57.42        3.07      | 1422326  0        0        0        0        | 896    1689338        19604004     -       
32     16     8      8/8    | 1.05      19.08     36.16     1.28      57.58        3.06      | 1422326  0        0        0        0        | 1024   1689338        19604004     -       
32     32     0      0/8    | 0.76      10.53     29.58     1.26      42.15        4.18      | 1422326  0        0        0        0        | 1      1704296        19604004     -       
32     32     1      1/8    | 0.62      10.57     29.57     1.27      42.05        4.19      | 1422326  0        0        0        0        | 128    1704296        19604004     -       
32     32     2      2/8    | 0.60      10.54     29.56     1.27      41.99        4.20      | 1422326  0        0        0        0        | 256    1704296        19604004     -       
32     32     3      3/8    | 0.76      10.55     29.57     1.29      42.19        4.18      | 1422326  0        0        0        0        | 384    1704296        19604004     -       
