# Matrix: t2em
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/t2em.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-09 01:29:28
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 921632
# Cols: 921632
# NNZ(A): 4590832
# NNZ(C) estimate: 22919488
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.90      2.93      3.00      1.07      7.92         5.79      | 912508   0        0        344886   0        | 1      1482534        11924892     -       
8      8      1      1/8    | 0.80      6.26      3.01      1.16      11.23        4.08      | 912508   0        0        344886   0        | 8      1482534        11924892     -       
8      8      2      2/8    | 0.77      5.46      3.00      1.09      10.34        4.43      | 912508   0        0        344886   0        | 16     1482534        11924892     -       
8      8      3      3/8    | 0.91      5.85      2.57      1.12      10.46        4.38      | 912508   0        229924   114962   0        | 24     1482534        11924892     -       
8      8      4      4/8    | 0.96      5.30      2.64      1.15      10.06        4.56      | 912508   0        232320   112566   0        | 32     1482534        11924892     -       
8      8      5      5/8    | 1.12      6.65      1.95      1.30      11.04        4.15      | 912508   0        344886   0        0        | 40     1482534        11924892     -       
8      8      6      6/8    | 0.95      6.73      1.92      1.12      10.74        4.27      | 912508   0        344886   0        0        | 48     1482534        11924892     -       
8      8      7      7/8    | 1.09      2.81      1.95      1.23      7.09         6.46      | 912508   0        344886   0        0        | 56     1482534        11924892     -       
8      8      8      8/8    | 1.09      2.55      1.97      1.31      6.94         6.60      | 912508   0        344886   0        0        | 64     1482534        11924892     -       
8      16     0      0/8    | 1.14      7.48      3.65      1.05      13.33        3.44      | 912508   0        0        344886   0        | 1      2277166        11924892     -       
8      16     1      1/8    | 1.46      7.54      3.67      1.13      13.81        3.32      | 912508   0        0        344886   0        | 8      2277166        11924892     -       
8      16     2      2/8    | 1.14      7.24      3.65      1.02      13.06        3.51      | 912508   0        0        344886   0        | 16     2277166        11924892     -       
8      16     3      3/8    | 1.46      8.10      2.94      1.16      13.68        3.35      | 912508   0        229924   114962   0        | 24     2277166        11924892     -       
8      16     4      4/8    | 1.16      7.43      2.99      1.06      12.66        3.62      | 912508   0        232320   112566   0        | 32     2277166        11924892     -       
8      16     5      5/8    | 1.12      6.98      2.08      1.02      11.22        4.09      | 912508   0        344886   0        0        | 40     2277166        11924892     -       
8      16     6      6/8    | 1.29      7.73      2.08      1.04      12.15        3.77      | 912508   0        344886   0        0        | 48     2277166        11924892     -       
8      16     7      7/8    | 1.15      7.52      2.08      1.03      11.79        3.89      | 912508   0        344886   0        0        | 56     2277166        11924892     -       
8      16     8      8/8    | 1.27      7.67      2.08      1.03      12.06        3.80      | 912508   0        344886   0        0        | 64     2277166        11924892     -       
8      32     0      0/8    | 1.33      8.84      5.54      1.04      16.78        2.73      | 912508   0        0        344886   0        | 1      3569308        11924892     -       
8      32     1      1/8    | 1.46      8.88      5.57      1.05      16.98        2.70      | 912508   0        0        344886   0        | 8      3569308        11924892     -       
8      32     2      2/8    | 1.33      8.85      5.55      1.05      16.80        2.73      | 912508   0        0        344886   0        | 16     3569308        11924892     -       
8      32     3      3/8    | 1.32      8.73      4.09      1.05      15.20        3.02      | 912508   0        229924   114962   0        | 24     3569308        11924892     -       
8      32     4      4/8    | 1.59      8.82      4.09      1.11      15.64        2.93      | 912508   0        232320   112566   0        | 32     3569308        11924892     -       
8      32     5      5/8    | 1.34      8.90      2.36      1.10      13.72        3.34      | 912508   0        344886   0        0        | 40     3569308        11924892     -       
8      32     6      6/8    | 1.33      8.74      2.36      1.06      13.51        3.39      | 912508   0        344886   0        0        | 48     3569308        11924892     -       
8      32     7      7/8    | 1.49      8.75      2.36      1.07      13.69        3.35      | 912508   0        344886   0        0        | 56     3569308        11924892     -       
8      32     8      8/8    | 1.45      9.08      2.38      1.08      14.01        3.27      | 912508   0        344886   0        0        | 64     3569308        11924892     -       
16     8      0      0/8    | 0.62      1.51      3.51      0.94      6.59         6.96      | 453772   0        0        172236   0        | 1      626012         11924892     -       
16     8      1      1/8    | 0.78      1.34      3.54      1.05      6.72         6.83      | 453772   0        0        172236   0        | 32     626012         11924892     -       
16     8      2      2/8    | 0.65      1.45      3.00      0.97      6.09         7.52      | 453772   0        114870   57366    0        | 64     626012         11924892     -       
16     8      3      3/8    | 0.62      1.35      2.44      0.95      5.38         8.53      | 453772   0        171640   596      0        | 96     626012         11924892     -       
16     8      4      4/8    | 0.50      1.37      2.42      0.95      5.25         8.73      | 453772   0        172236   0        0        | 128    626012         11924892     -       
16     8      5      5/8    | 0.78      1.24      2.45      1.01      5.50         8.34      | 453772   0        172236   0        0        | 160    626012         11924892     -       
16     8      6      6/8    | 0.63      1.15      2.42      0.94      5.16         8.89      | 453772   0        172236   0        0        | 192    626012         11924892     -       
16     8      7      7/8    | 0.64      1.14      2.42      0.93      5.14         8.92      | 453772   0        172236   0        0        | 224    626012         11924892     -       
16     8      8      8/8    | 0.62      1.32      2.42      0.93      5.30         8.65      | 453772   0        172236   0        0        | 256    626012         11924892     -       
16     16     0      0/8    | 0.61      2.00      2.85      0.90      6.37         7.20      | 453772   0        0        172236   0        | 1      741808         11924892     -       
16     16     1      1/8    | 0.75      1.96      2.85      0.89      6.46         7.09      | 453772   0        0        172236   0        | 32     741808         11924892     -       
16     16     2      2/8    | 0.61      1.99      2.17      0.92      5.71         8.03      | 453772   0        114870   57366    0        | 64     741808         11924892     -       
16     16     3      3/8    | 0.75      1.99      1.32      0.89      4.96         9.23      | 453772   0        171640   596      0        | 96     741808         11924892     -       
16     16     4      4/8    | 0.60      2.01      1.27      0.90      4.80         9.55      | 453772   0        172236   0        0        | 128    741808         11924892     -       
16     16     5      5/8    | 0.60      1.96      1.27      0.89      4.74         9.68      | 453772   0        172236   0        0        | 160    741808         11924892     -       
16     16     6      6/8    | 0.87      1.99      1.29      0.98      5.16         8.89      | 453772   0        172236   0        0        | 192    741808         11924892     -       
16     16     7      7/8    | 0.65      2.02      1.27      0.97      4.93         9.30      | 453772   0        172236   0        0        | 224    741808         11924892     -       
16     16     8      8/8    | 0.78      1.95      1.27      0.95      4.96         9.24      | 453772   0        172236   0        0        | 256    741808         11924892     -       
16     32     0      0/8    | 0.83      2.78      5.09      1.00      9.72         4.72      | 453772   0        0        172236   0        | 1      1073260        11924892     -       
16     32     1      1/8    | 0.95      2.84      5.13      1.00      9.94         4.61      | 453772   0        0        172236   0        | 32     1073260        11924892     -       
16     32     2      2/8    | 1.09      2.82      3.47      1.09      8.49         5.40      | 453772   0        114870   57366    0        | 64     1073260        11924892     -       
16     32     3      3/8    | 0.83      2.75      1.41      0.99      6.00         7.64      | 453772   0        171640   596      0        | 96     1073260        11924892     -       
16     32     4      4/8    | 0.81      2.81      1.30      1.01      5.96         7.69      | 453772   0        172236   0        0        | 128    1073260        11924892     -       
16     32     5      5/8    | 0.97      2.83      1.30      0.99      6.11         7.50      | 453772   0        172236   0        0        | 160    1073260        11924892     -       
16     32     6      6/8    | 0.84      2.83      1.30      1.01      6.00         7.64      | 453772   0        172236   0        0        | 192    1073260        11924892     -       
16     32     7      7/8    | 0.86      2.79      1.31      1.07      6.05         7.57      | 453772   0        172236   0        0        | 224    1073260        11924892     -       
16     32     8      8/8    | 0.96      2.84      1.30      0.98      6.09         7.52      | 453772   0        172236   0        0        | 256    1073260        11924892     -       
32     8      0      0/8    | 0.93      1.01      5.62      1.09      8.66         5.29      | 301296   0        0        28737    0        | 1      330035         11924892     -       
32     8      1      1/8    | 0.76      0.99      5.61      0.97      8.35         5.49      | 301296   0        0        28737    0        | 128    330035         11924892     -       
32     8      2      2/8    | 0.91      1.07      2.13      1.08      5.21         8.80      | 301296   0        28737    0        0        | 256    330035         11924892     -       
32     8      3      3/8    | 0.94      0.94      2.13      1.06      5.10         8.99      | 301296   0        28737    0        0        | 384    330035         11924892     -       
32     8      4      4/8    | 0.90      1.09      2.15      1.02      5.18         8.85      | 301296   0        28737    0        0        | 512    330035         11924892     -       
32     8      5      5/8    | 0.76      1.03      2.11      0.96      4.88         9.40      | 301296   0        28737    0        0        | 640    330035         11924892     -       
32     8      6      6/8    | 0.75      1.07      2.11      0.94      4.88         9.39      | 301296   0        28737    0        0        | 768    330035         11924892     -       
32     8      7      7/8    | 0.77      1.00      2.11      0.97      4.87         9.41      | 301296   0        28737    0        0        | 896    330035         11924892     -       
32     8      8      8/8    | 0.80      0.88      2.11      1.00      4.80         9.54      | 301296   0        28737    0        0        | 1024   330035         11924892     -       
32     16     0      0/8    | 0.82      1.01      5.78      1.01      8.65         5.30      | 301296   0        0        28737    0        | 1      331557         11924892     -       
32     16     1      1/8    | 0.68      0.96      5.75      0.95      8.35         5.49      | 301296   0        0        28737    0        | 128    331557         11924892     -       
32     16     2      2/8    | 0.84      1.01      2.14      0.97      4.97         9.23      | 301296   0        28737    0        0        | 256    331557         11924892     -       
32     16     3      3/8    | 0.66      0.97      2.12      0.93      4.70         9.76      | 301296   0        28737    0        0        | 384    331557         11924892     -       
32     16     4      4/8    | 0.51      0.95      2.11      0.94      4.53         10.13     | 301296   0        28737    0        0        | 512    331557         11924892     -       
32     16     5      5/8    | 0.85      1.02      2.14      1.00      5.03         9.11      | 301296   0        28737    0        0        | 640    331557         11924892     -       
32     16     6      6/8    | 0.66      1.01      2.11      0.96      4.76         9.63      | 301296   0        28737    0        0        | 768    331557         11924892     -       
32     16     7      7/8    | 0.82      1.00      2.13      1.01      4.97         9.22      | 301296   0        28737    0        0        | 896    331557         11924892     -       
32     16     8      8/8    | 0.51      0.96      2.11      0.93      4.52         10.14     | 301296   0        28737    0        0        | 1024   331557         11924892     -       
32     32     0      0/8    | 0.90      1.33      5.10      1.03      8.38         5.47      | 301296   0        0        28737    0        | 1      457447         11924892     -       
32     32     1      1/8    | 0.66      1.27      5.08      0.98      8.01         5.72      | 301296   0        0        28737    0        | 128    457447         11924892     -       
32     32     2      2/8    | 0.84      1.32      1.64      0.98      4.80         9.55      | 301296   0        28737    0        0        | 256    457447         11924892     -       
32     32     3      3/8    | 0.77      1.37      1.66      0.98      4.80         9.55      | 301296   0        28737    0        0        | 384    457447         11924892     -       
32     32     4      4/8    | 0.78      1.27      1.64      0.95      4.66         9.83      | 301296   0        28737    0        0        | 512    457447         11924892     -       
32     32     5      5/8    | 0.61      1.30      1.64      0.97      4.53         10.12     | 301296   0        28737    0        0        | 640    457447         11924892     -       
32     32     6      6/8    | 0.80      1.33      1.64      0.99      4.77         9.61      | 301296   0        28737    0        0        | 768    457447         11924892     -       
32     32     7      7/8    | 0.77      1.30      1.66      1.02      4.77         9.61      | 301296   0        28737    0        0        | 896    457447         11924892     -       
32     32     8      8/8    | 0.93      1.34      1.67      1.00      4.96         9.24      | 301296   0        28737    0        0        | 1024   457447         11924892     -       
