# Matrix: tmt_unsym
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/tmt_unsym.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-09 01:42:55
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 917825
# Cols: 917825
# NNZ(A): 4584801
# NNZ(C) estimate: 22909245
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.87      8.15      4.30      1.12      15.46        2.96      | 866357   0        0        423854   0        | 1      2062577        11912637     -       
8      8      1      1/8    | 1.82      3.86      4.30      1.08      11.08        4.14      | 866357   0        0        423854   0        | 8      2062577        11912637     -       
8      8      2      2/8    | 1.82      4.10      3.87      1.07      10.87        4.21      | 866357   0        159754   264100   0        | 16     2062577        11912637     -       
8      8      3      3/8    | 1.86      4.45      3.46      1.08      10.86        4.22      | 866357   0        309126   114728   0        | 24     2062577        11912637     -       
8      8      4      4/8    | 1.82      3.92      3.60      1.08      10.44        4.39      | 866357   0        309238   114616   0        | 32     2062577        11912637     -       
8      8      5      5/8    | 1.81      4.44      2.74      1.05      10.05        4.56      | 866357   0        423549   305      0        | 40     2062577        11912637     -       
8      8      6      6/8    | 1.80      4.14      2.72      1.05      9.72         4.71      | 866357   0        423854   0        0        | 48     2062577        11912637     -       
8      8      7      7/8    | 2.02      3.35      2.76      1.28      9.44         4.85      | 866357   0        423854   0        0        | 56     2062577        11912637     -       
8      8      8      8/8    | 1.86      4.00      2.72      1.09      9.70         4.72      | 866357   0        423854   0        0        | 64     2062577        11912637     -       
8      16     0      0/8    | 1.74      4.55      4.66      1.03      11.99        3.82      | 866357   0        0        423854   0        | 1      2742125        11912637     -       
8      16     1      1/8    | 1.92      4.59      4.69      1.08      12.30        3.73      | 866357   0        0        423854   0        | 8      2742125        11912637     -       
8      16     2      2/8    | 1.57      4.43      4.13      1.02      11.16        4.11      | 866357   0        159754   264100   0        | 16     2742125        11912637     -       
8      16     3      3/8    | 1.73      4.42      3.57      1.00      10.74        4.27      | 866357   0        309126   114728   0        | 24     2742125        11912637     -       
8      16     4      4/8    | 1.59      4.70      3.71      1.04      11.05        4.15      | 866357   0        309238   114616   0        | 32     2742125        11912637     -       
8      16     5      5/8    | 1.91      4.22      2.68      1.15      9.98         4.59      | 866357   0        423549   305      0        | 40     2742125        11912637     -       
8      16     6      6/8    | 1.60      4.36      2.64      1.02      9.64         4.75      | 866357   0        423854   0        0        | 48     2742125        11912637     -       
8      16     7      7/8    | 1.73      4.74      2.63      1.03      10.15        4.51      | 866357   0        423854   0        0        | 56     2742125        11912637     -       
8      16     8      8/8    | 1.73      4.78      2.63      1.00      10.16        4.51      | 866357   0        423854   0        0        | 64     2742125        11912637     -       
8      32     0      0/8    | 1.52      10.19     6.65      1.07      19.45        2.36      | 866357   0        0        423854   0        | 1      4114881        11912637     -       
8      32     1      1/8    | 1.51      10.18     6.64      1.07      19.43        2.36      | 866357   0        0        423854   0        | 8      4114881        11912637     -       
8      32     2      2/8    | 1.68      10.33     5.64      1.09      18.75        2.44      | 866357   0        159754   264100   0        | 16     4114881        11912637     -       
8      32     3      3/8    | 1.50      10.11     4.54      1.04      17.21        2.66      | 866357   0        309126   114728   0        | 24     4114881        11912637     -       
8      32     4      4/8    | 1.84      10.57     4.58      1.11      18.10        2.53      | 866357   0        309238   114616   0        | 32     4114881        11912637     -       
8      32     5      5/8    | 1.69      10.35     2.79      1.11      15.95        2.87      | 866357   0        423549   305      0        | 40     4114881        11912637     -       
8      32     6      6/8    | 1.64      10.48     2.70      1.09      15.93        2.88      | 866357   0        423854   0        0        | 48     4114881        11912637     -       
8      32     7      7/8    | 1.53      10.62     2.70      1.07      15.94        2.88      | 866357   0        423854   0        0        | 56     4114881        11912637     -       
8      32     8      8/8    | 1.84      10.33     2.72      1.11      16.02        2.86      | 866357   0        423854   0        0        | 64     4114881        11912637     -       
16     8      0      0/8    | 0.93      1.80      3.91      1.01      7.67         5.97      | 501185   0        0        133298   0        | 1      774107         11912637     -       
16     8      1      1/8    | 0.94      1.88      3.91      1.03      7.78         5.89      | 501185   0        0        133298   0        | 32     774107         11912637     -       
16     8      2      2/8    | 0.93      1.70      3.39      1.01      7.05         6.50      | 501185   0        75934    57364    0        | 64     774107         11912637     -       
16     8      3      3/8    | 0.93      1.63      2.70      1.01      6.28         7.29      | 501185   0        132950   348      0        | 96     774107         11912637     -       
16     8      4      4/8    | 0.93      2.02      2.68      1.02      6.67         6.87      | 501185   0        133298   0        0        | 128    774107         11912637     -       
16     8      5      5/8    | 0.93      1.64      2.68      1.00      6.26         7.31      | 501185   0        133298   0        0        | 160    774107         11912637     -       
16     8      6      6/8    | 0.91      1.73      2.68      1.02      6.36         7.21      | 501185   0        133298   0        0        | 192    774107         11912637     -       
16     8      7      7/8    | 1.03      1.66      2.70      1.04      6.44         7.11      | 501185   0        133298   0        0        | 224    774107         11912637     -       
16     8      8      8/8    | 1.10      1.73      2.70      1.13      6.68         6.86      | 501185   0        133298   0        0        | 256    774107         11912637     -       
16     16     0      0/8    | 1.25      2.80      3.53      1.04      8.64         5.30      | 501185   0        0        133298   0        | 1      1049241        11912637     -       
16     16     1      1/8    | 1.16      2.85      3.53      1.07      8.63         5.31      | 501185   0        0        133298   0        | 32     1049241        11912637     -       
16     16     2      2/8    | 1.12      2.74      2.87      1.01      7.76         5.91      | 501185   0        75934    57364    0        | 64     1049241        11912637     -       
16     16     3      3/8    | 0.98      2.69      1.96      1.02      6.68         6.86      | 501185   0        132950   348      0        | 96     1049241        11912637     -       
16     16     4      4/8    | 1.14      2.68      1.90      1.01      6.74         6.79      | 501185   0        133298   0        0        | 128    1049241        11912637     -       
