# Matrix: tx2010
# Path: /home/stu1/Dataset/training_dataset/500k-1M-0.001/tx2010.mtx
# Category: 500k-1M-0.001
# Date: 2026-03-09 01:51:19
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 914231
# Cols: 914231
# NNZ(A): 4456272
# NNZ(C) estimate: 30224356
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 8.61      110.09    23.27     2.65      144.64       0.42      | 9957342  0        0        179268   1        | 1      42690749       20379291     -       
8      8      1      1/8    | 8.57      109.28    23.27     2.65      143.79       0.42      | 9957342  0        0        179268   1        | 8      42690749       20379291     -       
8      8      2      2/8    | 8.50      108.08    21.36     2.64      140.59       0.43      | 9957342  0        164176   15092    1        | 16     42690749       20379291     -       
8      8      3      3/8    | 8.50      106.89    21.21     2.67      139.30       0.43      | 9957342  0        177616   1652     1        | 24     42690749       20379291     -       
8      8      4      4/8    | 8.67      110.40    21.44     2.72      143.24       0.42      | 9957342  0        179033   235      1        | 32     42690749       20379291     -       
8      8      5      5/8    | 8.49      118.48    21.13     2.66      150.78       0.40      | 9957342  0        179225   43       1        | 40     42690749       20379291     -       
8      8      6      6/8    | 8.50      118.01    21.14     2.64      150.29       0.40      | 9957342  0        179258   10       1        | 48     42690749       20379291     -       
8      8      7      7/8    | 8.51      118.39    21.14     2.65      150.71       0.40      | 9957342  0        179268   0        1        | 56     42690749       20379291     -       
8      8      8      8/8    | 8.71      119.11    21.13     2.67      151.64       0.40      | 9957342  0        179269   0        0        | 64     42690749       20379291     -       
8      16     0      0/8    | 15.20     232.92    29.43     3.45      281.02       0.22      | 9957342  0        0        179268   1        | 1      65385301       20379291     -       
8      16     1      1/8    | 15.06     178.82    29.44     3.42      226.77       0.27      | 9957342  0        0        179268   1        | 8      65385301       20379291     -       
8      16     2      2/8    | 14.97     179.38    26.40     3.48      224.24       0.27      | 9957342  0        164176   15092    1        | 16     65385301       20379291     -       
8      16     3      3/8    | 15.22     178.30    26.14     3.50      223.17       0.27      | 9957342  0        177616   1652     1        | 24     65385301       20379291     -       
8      16     4      4/8    | 15.26     163.83    26.38     3.46      208.95       0.29      | 9957342  0        179033   235      1        | 32     65385301       20379291     -       
