# Matrix: 2cubes_sphere
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/2cubes_sphere.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 02:33:27
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 101492
# Cols: 101492
# NNZ(A): 1647264
# NNZ(C) estimate: 27450606
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.16      33.82     12.83     1.41      49.22        1.12      | 2459580  0        0        218312   25       | 1      13429921       8974526      -       
8      8      1      1/8    | 1.13      33.48     12.82     1.39      48.84        1.12      | 2459580  0        0        218312   25       | 8      13429921       8974526      -       
8      8      2      2/8    | 1.14      33.97     11.04     1.39      47.55        1.15      | 2459580  0        160654   57658    25       | 16     13429921       8974526      -       
8      8      3      3/8    | 1.13      34.95     10.49     1.44      48.03        1.14      | 2459580  0        200661   17651    25       | 24     13429921       8974526      -       
8      8      4      4/8    | 1.15      34.01     10.65     1.41      47.24        1.16      | 2459580  0        212713   5599     25       | 32     13429921       8974526      -       
8      8      5      5/8    | 1.12      33.62     10.24     1.40      46.39        1.18      | 2459580  0        216408   1904     25       | 40     13429921       8974526      -       
8      8      6      6/8    | 1.14      33.78     10.24     1.41      46.58        1.18      | 2459580  0        217776   536      25       | 48     13429921       8974526      -       
8      8      7      7/8    | 1.16      33.80     10.23     1.40      46.61        1.18      | 2459580  0        218191   121      25       | 56     13429921       8974526      -       
8      8      8      8/8    | 1.14      34.12     10.23     1.43      46.94        1.17      | 2459580  0        218337   0        0        | 64     13429921       8974526      -       
8      16     0      0/8    | 1.36      42.87     13.89     1.52      59.65        0.92      | 2459580  0        0        218312   25       | 1      16717395       8974526      -       
8      16     1      1/8    | 1.39      42.27     13.89     1.54      59.11        0.93      | 2459580  0        0        218312   25       | 8      16717395       8974526      -       
8      16     2      2/8    | 1.38      41.97     11.31     1.52      56.20        0.98      | 2459580  0        160654   57658    25       | 16     16717395       8974526      -       
8      16     3      3/8    | 1.36      43.08     10.58     1.67      56.72        0.97      | 2459580  0        200661   17651    25       | 24     16717395       8974526      -       
8      16     4      4/8    | 1.36      42.27     10.59     1.54      55.79        0.98      | 2459580  0        212713   5599     25       | 32     16717395       8974526      -       
8      16     5      5/8    | 1.40      41.95     10.26     1.50      55.13        1.00      | 2459580  0        216408   1904     25       | 40     16717395       8974526      -       
8      16     6      6/8    | 1.37      42.05     10.24     1.51      55.19        0.99      | 2459580  0        217776   536      25       | 48     16717395       8974526      -       
8      16     7      7/8    | 1.39      42.34     10.25     1.55      55.55        0.99      | 2459580  0        218191   121      25       | 56     16717395       8974526      -       
8      16     8      8/8    | 1.37      42.16     10.22     1.53      55.29        0.99      | 2459580  0        218337   0        0        | 64     16717395       8974526      -       
8      32     0      0/8    | 1.64      51.02     16.49     1.66      70.82        0.78      | 2459580  0        0        218312   25       | 1      20277735       8974526      -       
8      32     1      1/8    | 1.60      51.59     16.50     1.68      71.40        0.77      | 2459580  0        0        218312   25       | 8      20277735       8974526      -       
