# Matrix: 3D_51448_3D
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/3D_51448_3D.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 02:35:43
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 51448
# Cols: 51448
# NNZ(A): 1056610
# NNZ(C) estimate: 28572895
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.26      10.48     7.01      1.00      20.77        2.75      | 1879505  0        0        158858   10       | 1      4045681        10514149     -       
8      8      1      1/8    | 2.28      10.45     6.71      1.00      20.45        2.79      | 1879505  0        0        158858   10       | 8      4045681        10514149     -       
8      8      2      2/8    | 2.27      10.75     7.04      1.03      21.11        2.71      | 1879505  0        73627    85231    10       | 16     4045681        10514149     -       
8      8      3      3/8    | 2.25      10.56     5.24      1.00      19.07        3.00      | 1879505  0        106826   52032    10       | 24     4045681        10514149     -       
8      8      4      4/8    | 2.26      10.85     5.17      1.02      19.32        2.96      | 1879505  0        128482   30376    10       | 32     4045681        10514149     -       
8      8      5      5/8    | 2.27      10.44     5.22      1.02      18.97        3.01      | 1879505  0        147637   11221    10       | 40     4045681        10514149     -       
8      8      6      6/8    | 2.25      10.73     5.28      1.00      19.27        2.96      | 1879505  0        151901   6957     10       | 48     4045681        10514149     -       
8      8      7      7/8    | 2.27      10.62     5.16      1.00      19.06        3.00      | 1879505  0        158818   40       10       | 56     4045681        10514149     -       
8      8      8      8/8    | 2.25      10.57     5.08      1.01      18.92        3.02      | 1879505  0        158868   0        0        | 64     4045681        10514149     -       
8      16     0      0/8    | 1.79      11.01     7.37      0.99      21.17        2.70      | 1879505  0        0        158858   10       | 1      4176607        10514149     -       
8      16     1      1/8    | 1.84      11.10     7.34      0.98      21.28        2.69      | 1879505  0        0        158858   10       | 8      4176607        10514149     -       
8      16     2      2/8    | 1.81      11.18     7.09      1.04      21.14        2.70      | 1879505  0        73627    85231    10       | 16     4176607        10514149     -       
8      16     3      3/8    | 1.82      10.60     5.03      1.02      18.48        3.09      | 1879505  0        106826   52032    10       | 24     4176607        10514149     -       
8      16     4      4/8    | 1.81      10.59     5.14      1.00      18.56        3.08      | 1879505  0        128482   30376    10       | 32     4176607        10514149     -       
8      16     5      5/8    | 1.81      10.58     5.02      1.00      18.43        3.10      | 1879505  0        147637   11221    10       | 40     4176607        10514149     -       
8      16     6      6/8    | 1.84      10.61     5.11      1.01      18.58        3.07      | 1879505  0        151901   6957     10       | 48     4176607        10514149     -       
8      16     7      7/8    | 1.82      10.60     5.02      1.00      18.46        3.10      | 1879505  0        158818   40       10       | 56     4176607        10514149     -       
8      16     8      8/8    | 1.78      11.11     5.09      1.03      19.03        3.00      | 1879505  0        158868   0        0        | 64     4176607        10514149     -       
8      32     0      0/8    | 1.46      11.53     7.43      1.02      21.45        2.66      | 1879505  0        0        158858   10       | 1      4420419        10514149     -       
8      32     1      1/8    | 1.47      11.69     7.27      1.06      21.50        2.66      | 1879505  0        0        158858   10       | 8      4420419        10514149     -       
8      32     2      2/8    | 1.43      11.35     7.04      1.07      20.90        2.73      | 1879505  0        73627    85231    10       | 16     4420419        10514149     -       
8      32     3      3/8    | 1.46      11.85     4.65      1.05      19.02        3.00      | 1879505  0        106826   52032    10       | 24     4420419        10514149     -       
8      32     4      4/8    | 1.48      11.54     4.64      1.04      18.71        3.05      | 1879505  0        128482   30376    10       | 32     4420419        10514149     -       
8      32     5      5/8    | 1.44      11.64     4.69      1.05      18.83        3.03      | 1879505  0        147637   11221    10       | 40     4420419        10514149     -       
8      32     6      6/8    | 1.43      11.64     4.73      1.02      18.84        3.03      | 1879505  0        151901   6957     10       | 48     4420419        10514149     -       
8      32     7      7/8    | 1.47      11.69     4.74      1.08      19.00        3.01      | 1879505  0        158818   40       10       | 56     4420419        10514149     -       
8      32     8      8/8    | 1.44      11.32     4.66      1.04      18.48        3.09      | 1879505  0        158868   0        0        | 64     4420419        10514149     -       
16     8      0      0/8    | 2.12      7.39      4.81      1.03      15.37        3.72      | 1472820  0        0        45042    0        | 1      2742329        10514149     -       
16     8      1      1/8    | 2.13      7.30      4.78      1.06      15.29        3.74      | 1472820  0        0        45042    0        | 32     2742329        10514149     -       
16     8      2      2/8    | 2.11      7.35      4.90      1.04      15.42        3.71      | 1472820  0        28711    16331    0        | 64     2742329        10514149     -       
16     8      3      3/8    | 2.13      7.39      5.06      1.05      15.65        3.65      | 1472820  0        40039    5003     0        | 96     2742329        10514149     -       
16     8      4      4/8    | 2.14      6.97      4.87      1.01      15.01        3.81      | 1472820  0        44857    185      0        | 128    2742329        10514149     -       
16     8      5      5/8    | 2.13      7.06      5.40      1.03      15.64        3.65      | 1472820  0        45021    21       0        | 160    2742329        10514149     -       
16     8      6      6/8    | 2.13      6.97      4.84      1.03      14.99        3.81      | 1472820  0        45036    6        0        | 192    2742329        10514149     -       
16     8      7      7/8    | 2.13      6.99      4.83      1.09      15.05        3.80      | 1472820  0        45036    6        0        | 224    2742329        10514149     -       
16     8      8      8/8    | 2.11      7.04      4.88      1.04      15.09        3.79      | 1472820  0        45042    0        0        | 256    2742329        10514149     -       
16     16     0      0/8    | 1.63      7.43      4.42      1.04      14.54        3.93      | 1472820  0        0        45042    0        | 1      2771818        10514149     -       
16     16     1      1/8    | 1.66      7.52      4.36      1.06      14.62        3.91      | 1472820  0        0        45042    0        | 32     2771818        10514149     -       
16     16     2      2/8    | 1.64      7.52      4.47      1.02      14.65        3.90      | 1472820  0        28711    16331    0        | 64     2771818        10514149     -       
16     16     3      3/8    | 1.65      7.51      4.49      1.11      14.79        3.86      | 1472820  0        40039    5003     0        | 96     2771818        10514149     -       
16     16     4      4/8    | 1.63      7.04      4.52      1.02      14.23        4.02      | 1472820  0        44857    185      0        | 128    2771818        10514149     -       
16     16     5      5/8    | 1.63      7.41      4.54      1.03      14.63        3.91      | 1472820  0        45021    21       0        | 160    2771818        10514149     -       
16     16     6      6/8    | 1.63      7.36      4.52      1.04      14.58        3.92      | 1472820  0        45036    6        0        | 192    2771818        10514149     -       
16     16     7      7/8    | 1.63      7.37      4.58      1.02      14.62        3.91      | 1472820  0        45036    6        0        | 224    2771818        10514149     -       
16     16     8      8/8    | 1.64      7.40      4.54      1.00      14.60        3.91      | 1472820  0        45042    0        0        | 256    2771818        10514149     -       
16     32     0      0/8    | 1.21      7.58      4.22      1.06      14.09        4.06      | 1472820  0        0        45042    0        | 1      2817412        10514149     -       
16     32     1      1/8    | 1.21      7.50      4.11      1.10      13.93        4.10      | 1472820  0        0        45042    0        | 32     2817412        10514149     -       
16     32     2      2/8    | 1.21      7.48      4.18      1.05      13.94        4.10      | 1472820  0        28711    16331    0        | 64     2817412        10514149     -       
16     32     3      3/8    | 1.23      7.61      4.20      1.10      14.16        4.04      | 1472820  0        40039    5003     0        | 96     2817412        10514149     -       
16     32     4      4/8    | 1.22      7.22      4.23      1.08      13.76        4.15      | 1472820  0        44857    185      0        | 128    2817412        10514149     -       
16     32     5      5/8    | 1.21      7.15      4.35      1.09      13.82        4.14      | 1472820  0        45021    21       0        | 160    2817412        10514149     -       
16     32     6      6/8    | 1.22      7.31      4.17      1.06      13.77        4.15      | 1472820  0        45036    6        0        | 192    2817412        10514149     -       
16     32     7      7/8    | 1.22      7.61      4.32      1.07      14.23        4.01      | 1472820  0        45036    6        0        | 224    2817412        10514149     -       
16     32     8      8/8    | 1.20      7.47      4.18      1.05      13.92        4.11      | 1472820  0        45042    0        0        | 256    2817412        10514149     -       
32     8      0      0/8    | 1.98      4.13      7.52      1.10      14.74        3.88      | 1116044  0        0        7186     0        | 1      1556186        10514149     -       
32     8      1      1/8    | 1.98      4.35      7.45      1.09      14.89        3.84      | 1116044  0        0        7186     0        | 128    1556186        10514149     -       
32     8      2      2/8    | 1.98      4.29      4.76      1.13      12.17        4.70      | 1116044  0        6823     363      0        | 256    1556186        10514149     -       
32     8      3      3/8    | 1.99      4.43      4.73      1.15      12.31        4.64      | 1116044  0        7156     30       0        | 384    1556186        10514149     -       
32     8      4      4/8    | 1.98      4.22      4.76      1.12      12.11        4.72      | 1116044  0        7175     11       0        | 512    1556186        10514149     -       
32     8      5      5/8    | 1.98      4.53      4.75      1.12      12.39        4.61      | 1116044  0        7182     4        0        | 640    1556186        10514149     -       
32     8      6      6/8    | 1.99      4.51      4.70      1.11      12.32        4.64      | 1116044  0        7186     0        0        | 768    1556186        10514149     -       
32     8      7      7/8    | 1.98      4.66      4.71      1.14      12.50        4.57      | 1116044  0        7186     0        0        | 896    1556186        10514149     -       
