# Matrix: Baumann
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/Baumann.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 03:21:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 112211
# Cols: 112211
# NNZ(A): 760631
# NNZ(C) estimate: 5177045
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.18      0.98      1.01      0.75      2.94         3.52      | 193532   0        0        97249    0        | 1      374563         2632205      -       
8      8      1      1/8    | 0.19      0.90      1.01      0.76      2.88         3.60      | 193532   0        0        97249    0        | 8      374563         2632205      -       
8      8      2      2/8    | 0.20      0.94      0.93      0.80      2.89         3.59      | 193532   0        40299    56950    0        | 16     374563         2632205      -       
8      8      3      3/8    | 0.19      0.97      0.76      0.78      2.72         3.81      | 193532   0        83223    14026    0        | 24     374563         2632205      -       
8      8      4      4/8    | 0.18      0.94      0.74      0.76      2.64         3.92      | 193532   0        92148    5101     0        | 32     374563         2632205      -       
8      8      5      5/8    | 0.18      0.97      0.64      0.75      2.56         4.05      | 193532   0        97249    0        0        | 40     374563         2632205      -       
8      8      6      6/8    | 0.18      0.92      0.63      0.74      2.48         4.17      | 193532   0        97249    0        0        | 48     374563         2632205      -       
8      8      7      7/8    | 0.18      0.97      0.63      0.76      2.56         4.05      | 193532   0        97249    0        0        | 56     374563         2632205      -       
8      8      8      8/8    | 0.20      0.94      0.64      0.87      2.67         3.88      | 193532   0        97249    0        0        | 64     374563         2632205      -       
8      16     0      0/8    | 0.19      1.34      1.07      0.82      3.44         3.01      | 193532   0        0        97249    0        | 1      457735         2632205      -       
8      16     1      1/8    | 0.18      1.33      1.07      0.80      3.40         3.04      | 193532   0        0        97249    0        | 8      457735         2632205      -       
8      16     2      2/8    | 0.20      1.41      0.93      0.78      3.34         3.10      | 193532   0        40299    56950    0        | 16     457735         2632205      -       
8      16     3      3/8    | 0.18      1.31      0.73      0.78      3.01         3.44      | 193532   0        83223    14026    0        | 24     457735         2632205      -       
8      16     4      4/8    | 0.18      1.35      0.67      0.77      3.00         3.46      | 193532   0        92148    5101     0        | 32     457735         2632205      -       
8      16     5      5/8    | 0.18      1.35      0.57      0.77      2.88         3.59      | 193532   0        97249    0        0        | 40     457735         2632205      -       
8      16     6      6/8    | 0.20      1.44      0.57      0.99      3.23         3.20      | 193532   0        97249    0        0        | 48     457735         2632205      -       
8      16     7      7/8    | 0.19      1.28      0.57      0.80      2.86         3.62      | 193532   0        97249    0        0        | 56     457735         2632205      -       
8      16     8      8/8    | 0.20      1.40      0.57      0.80      2.98         3.48      | 193532   0        97249    0        0        | 64     457735         2632205      -       
8      32     0      0/8    | 0.19      1.73      1.60      0.79      4.32         2.40      | 193532   0        0        97249    0        | 1      603601         2632205      -       
8      32     1      1/8    | 0.18      1.77      1.59      0.82      4.38         2.36      | 193532   0        0        97249    0        | 8      603601         2632205      -       
8      32     2      2/8    | 0.18      1.72      1.30      0.82      4.02         2.58      | 193532   0        40299    56950    0        | 16     603601         2632205      -       
8      32     3      3/8    | 0.18      1.77      0.91      0.80      3.68         2.81      | 193532   0        83223    14026    0        | 24     603601         2632205      -       
8      32     4      4/8    | 0.18      1.73      0.75      0.81      3.48         2.97      | 193532   0        92148    5101     0        | 32     603601         2632205      -       
8      32     5      5/8    | 0.18      1.72      0.62      0.79      3.32         3.12      | 193532   0        97249    0        0        | 40     603601         2632205      -       
8      32     6      6/8    | 0.21      1.77      0.62      0.84      3.45         3.00      | 193532   0        97249    0        0        | 48     603601         2632205      -       
8      32     7      7/8    | 0.19      1.65      0.62      0.82      3.29         3.15      | 193532   0        97249    0        0        | 56     603601         2632205      -       
8      32     8      8/8    | 0.18      1.67      0.62      0.84      3.33         3.11      | 193532   0        97249    0        0        | 64     603601         2632205      -       
16     8      0      0/8    | 0.12      0.43      0.98      0.51      2.06         5.03      | 69517    0        0        48149    0        | 1      117982         2632205      -       
