# Matrix: Chevron2
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/Chevron2.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 04:56:32
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 90249
# Cols: 90249
# NNZ(A): 803173
# NNZ(C) estimate: 7192333
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      0.67      0.57      0.58      1.98         7.26      | 67696    0        0        78222    0        | 1      213179         2229013      -       
8      8      1      1/8    | 0.17      0.71      0.57      0.61      2.08         6.92      | 67696    0        0        78222    0        | 8      213179         2229013      -       
8      8      2      2/8    | 0.15      0.71      0.54      0.57      1.99         7.24      | 67696    0        21968    56254    0        | 16     213179         2229013      -       
8      8      3      3/8    | 0.15      0.68      0.53      0.56      1.94         7.43      | 67696    0        22900    55322    0        | 24     213179         2229013      -       
8      8      4      4/8    | 0.16      0.69      0.55      0.63      2.05         7.03      | 67696    0        45816    32406    0        | 32     213179         2229013      -       
8      8      5      5/8    | 0.15      0.69      0.41      0.60      1.88         7.67      | 67696    0        78222    0        0        | 40     213179         2229013      -       
8      8      6      6/8    | 0.16      0.72      0.41      0.59      1.91         7.55      | 67696    0        78222    0        0        | 48     213179         2229013      -       
8      8      7      7/8    | 0.16      0.69      0.41      0.59      1.87         7.69      | 67696    0        78222    0        0        | 56     213179         2229013      -       
8      8      8      8/8    | 0.15      0.69      0.41      0.60      1.87         7.70      | 67696    0        78222    0        0        | 64     213179         2229013      -       
8      16     0      0/8    | 0.17      0.87      0.62      0.75      2.42         5.93      | 67696    0        0        78222    0        | 1      280640         2229013      -       
8      16     1      1/8    | 0.16      0.91      0.62      0.70      2.40         5.99      | 67696    0        0        78222    0        | 8      280640         2229013      -       
8      16     2      2/8    | 0.15      0.85      0.58      0.71      2.31         6.21      | 67696    0        21968    56254    0        | 16     280640         2229013      -       
8      16     3      3/8    | 0.15      0.88      0.58      0.69      2.31         6.23      | 67696    0        22900    55322    0        | 24     280640         2229013      -       
8      16     4      4/8    | 0.15      0.87      0.57      0.71      2.31         6.22      | 67696    0        45816    32406    0        | 32     280640         2229013      -       
8      16     5      5/8    | 0.15      0.88      0.38      0.71      2.13         6.74      | 67696    0        78222    0        0        | 40     280640         2229013      -       
8      16     6      6/8    | 0.15      0.90      0.39      0.73      2.17         6.62      | 67696    0        78222    0        0        | 48     280640         2229013      -       
8      16     7      7/8    | 0.15      0.91      0.39      0.75      2.21         6.52      | 67696    0        78222    0        0        | 56     280640         2229013      -       
8      16     8      8/8    | 0.15      0.87      0.38      0.70      2.12         6.78      | 67696    0        78222    0        0        | 64     280640         2229013      -       
8      32     0      0/8    | 0.17      1.29      0.89      0.79      3.16         4.55      | 67696    0        0        78222    0        | 1      437985         2229013      -       
8      32     1      1/8    | 0.16      1.39      0.90      0.74      3.21         4.49      | 67696    0        0        78222    0        | 8      437985         2229013      -       
8      32     2      2/8    | 0.16      1.26      0.84      0.76      3.03         4.74      | 67696    0        21968    56254    0        | 16     437985         2229013      -       
8      32     3      3/8    | 0.15      1.28      0.83      0.76      3.04         4.74      | 67696    0        22900    55322    0        | 24     437985         2229013      -       
8      32     4      4/8    | 0.17      1.31      0.78      0.82      3.10         4.64      | 67696    0        45816    32406    0        | 32     437985         2229013      -       
