# Matrix: Dubcova2
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/Dubcova2.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:20:23
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 65025
# Cols: 65025
# NNZ(A): 1030225
# NNZ(C) estimate: 18481401
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.32      6.21      4.04      0.90      11.49        3.22      | 294376   0        0        146767   1458     | 1      2348777        4092529      -       
8      8      1      1/8    | 0.34      6.43      4.04      0.94      11.78        3.14      | 294376   0        0        146767   1458     | 8      2348777        4092529      -       
8      8      2      2/8    | 0.34      6.32      3.38      0.92      10.97        3.37      | 294376   0        74015    72752    1458     | 16     2348777        4092529      -       
8      8      3      3/8    | 0.33      6.16      3.08      0.92      10.50        3.52      | 294376   0        103850   42917    1458     | 24     2348777        4092529      -       
8      8      4      4/8    | 0.34      6.28      3.03      0.95      10.62        3.48      | 294376   0        124023   22744    1458     | 32     2348777        4092529      -       
8      8      5      5/8    | 0.33      6.29      2.71      0.94      10.29        3.59      | 294376   0        137454   9313     1458     | 40     2348777        4092529      -       
8      8      6      6/8    | 0.33      6.17      2.64      0.90      10.05        3.68      | 294376   0        144979   1788     1458     | 48     2348777        4092529      -       
8      8      7      7/8    | 0.32      6.16      2.62      0.92      10.04        3.68      | 294376   0        146060   707      1458     | 56     2348777        4092529      -       
8      8      8      8/8    | 0.34      6.23      2.58      0.94      10.11        3.66      | 294376   0        148225   0        0        | 64     2348777        4092529      -       
8      16     0      0/8    | 0.42      9.66      4.55      0.97      15.62        2.37      | 294376   0        0        146767   1458     | 1      3661399        4092529      -       
8      16     1      1/8    | 0.40      9.73      4.55      0.99      15.69        2.36      | 294376   0        0        146767   1458     | 8      3661399        4092529      -       
8      16     2      2/8    | 0.42      9.68      3.59      1.02      14.72        2.51      | 294376   0        74015    72752    1458     | 16     3661399        4092529      -       
8      16     3      3/8    | 0.42      9.68      3.16      0.97      14.25        2.59      | 294376   0        103850   42917    1458     | 24     3661399        4092529      -       
8      16     4      4/8    | 0.41      9.54      3.02      0.94      13.92        2.66      | 294376   0        124023   22744    1458     | 32     3661399        4092529      -       
8      16     5      5/8    | 0.41      9.55      2.66      0.93      13.56        2.73      | 294376   0        137454   9313     1458     | 40     3661399        4092529      -       
8      16     6      6/8    | 0.40      9.55      2.56      0.96      13.48        2.74      | 294376   0        144979   1788     1458     | 48     3661399        4092529      -       
8      16     7      7/8    | 0.41      9.49      2.54      0.96      13.42        2.76      | 294376   0        146060   707      1458     | 56     3661399        4092529      -       
8      16     8      8/8    | 0.40      9.57      2.48      0.95      13.43        2.75      | 294376   0        148225   0        0        | 64     3661399        4092529      -       
8      32     0      0/8    | 0.59      16.29     6.87      1.14      24.91        1.48      | 294376   0        0        146767   1458     | 1      6054381        4092529      -       
8      32     1      1/8    | 0.59      15.82     6.86      1.08      24.38        1.52      | 294376   0        0        146767   1458     | 8      6054381        4092529      -       
8      32     2      2/8    | 0.59      15.97     4.84      1.10      22.52        1.64      | 294376   0        74015    72752    1458     | 16     6054381        4092529      -       
8      32     3      3/8    | 0.59      16.10     3.97      1.11      21.78        1.70      | 294376   0        103850   42917    1458     | 24     6054381        4092529      -       
8      32     4      4/8    | 0.59      16.01     3.33      1.11      21.06        1.76      | 294376   0        124023   22744    1458     | 32     6054381        4092529      -       
8      32     5      5/8    | 0.59      15.95     2.89      1.13      20.58        1.80      | 294376   0        137454   9313     1458     | 40     6054381        4092529      -       
8      32     6      6/8    | 0.60      16.18     2.68      1.17      20.66        1.79      | 294376   0        144979   1788     1458     | 48     6054381        4092529      -       
8      32     7      7/8    | 0.60      15.97     2.62      1.10      20.32        1.82      | 294376   0        146060   707      1458     | 56     6054381        4092529      -       
8      32     8      8/8    | 0.59      15.69     2.46      1.09      19.84        1.86      | 294376   0        148225   0        0        | 64     6054381        4092529      -       
16     8      0      0/8    | 0.34      2.78      3.39      0.83      7.34         5.03      | 169205   0        0        36388    0        | 1      1004089        4092529      -       
16     8      1      1/8    | 0.34      2.79      3.40      0.84      7.38         5.01      | 169205   0        0        36388    0        | 32     1004089        4092529      -       
16     8      2      2/8    | 0.34      2.83      2.88      0.84      6.91         5.35      | 169205   0        19691    16697    0        | 64     1004089        4092529      -       
16     8      3      3/8    | 0.35      2.91      2.58      0.87      6.73         5.49      | 169205   0        29319    7069     0        | 96     1004089        4092529      -       
16     8      4      4/8    | 0.35      2.92      2.44      0.84      6.57         5.63      | 169205   0        33987    2401     0        | 128    1004089        4092529      -       
16     8      5      5/8    | 0.34      2.73      2.46      0.84      6.38         5.79      | 169205   0        34963    1425     0        | 160    1004089        4092529      -       
16     8      6      6/8    | 0.37      2.90      2.45      0.89      6.63         5.58      | 169205   0        35828    560      0        | 192    1004089        4092529      -       
16     8      7      7/8    | 0.35      2.74      2.40      0.87      6.37         5.80      | 169205   0        36388    0        0        | 224    1004089        4092529      -       
16     8      8      8/8    | 0.35      2.87      2.40      0.85      6.49         5.69      | 169205   0        36388    0        0        | 256    1004089        4092529      -       
16     16     0      0/8    | 0.36      4.18      3.17      0.91      8.64         4.28      | 169205   0        0        36388    0        | 1      1540809        4092529      -       
16     16     1      1/8    | 0.35      4.10      3.18      0.92      8.56         4.32      | 169205   0        0        36388    0        | 32     1540809        4092529      -       
16     16     2      2/8    | 0.35      4.15      2.58      0.93      8.03         4.61      | 169205   0        19691    16697    0        | 64     1540809        4092529      -       
16     16     3      3/8    | 0.35      4.28      2.26      0.92      7.82         4.72      | 169205   0        29319    7069     0        | 96     1540809        4092529      -       
16     16     4      4/8    | 0.35      4.12      2.10      0.93      7.53         4.91      | 169205   0        33987    2401     0        | 128    1540809        4092529      -       
16     16     5      5/8    | 0.34      4.07      2.13      0.89      7.45         4.96      | 169205   0        34963    1425     0        | 160    1540809        4092529      -       
16     16     6      6/8    | 0.35      4.25      2.14      0.92      7.69         4.81      | 169205   0        35828    560      0        | 192    1540809        4092529      -       
16     16     7      7/8    | 0.35      4.15      1.97      0.99      7.47         4.95      | 169205   0        36388    0        0        | 224    1540809        4092529      -       
16     16     8      8/8    | 0.36      4.27      1.97      0.90      7.51         4.92      | 169205   0        36388    0        0        | 256    1540809        4092529      -       
16     32     0      0/8    | 0.42      6.60      5.06      1.00      13.10        2.82      | 169205   0        0        36388    0        | 1      2522777        4092529      -       
16     32     1      1/8    | 0.42      6.63      5.10      1.01      13.19        2.80      | 169205   0        0        36388    0        | 32     2522777        4092529      -       
16     32     2      2/8    | 0.44      6.76      3.50      1.04      11.75        3.15      | 169205   0        19691    16697    0        | 64     2522777        4092529      -       
16     32     3      3/8    | 0.43      6.77      2.71      1.01      10.95        3.38      | 169205   0        29319    7069     0        | 96     2522777        4092529      -       
16     32     4      4/8    | 0.42      6.57      2.27      0.98      10.25        3.60      | 169205   0        33987    2401     0        | 128    2522777        4092529      -       
16     32     5      5/8    | 0.42      6.61      2.31      0.99      10.35        3.57      | 169205   0        34963    1425     0        | 160    2522777        4092529      -       
16     32     6      6/8    | 0.44      6.81      2.29      1.04      10.60        3.49      | 169205   0        35828    560      0        | 192    2522777        4092529      -       
16     32     7      7/8    | 0.43      6.81      1.86      1.03      10.15        3.64      | 169205   0        36388    0        0        | 224    2522777        4092529      -       
16     32     8      8/8    | 0.43      6.62      1.86      0.99      9.92         3.73      | 169205   0        36388    0        0        | 256    2522777        4092529      -       
32     8      0      0/8    | 0.51      1.98      3.88      0.95      7.34         5.03      | 88058    0        0        9165     0        | 1      430621         4092529      -       
32     8      1      1/8    | 0.50      2.03      3.90      0.85      7.29         5.07      | 88058    0        0        9165     0        | 128    430621         4092529      -       
32     8      2      2/8    | 0.50      1.94      3.14      0.85      6.44         5.74      | 88058    0        7158     2007     0        | 256    430621         4092529      -       
32     8      3      3/8    | 0.51      1.86      2.96      0.85      6.19         5.97      | 88058    0        8237     928      0        | 384    430621         4092529      -       
32     8      4      4/8    | 0.50      1.94      2.94      0.86      6.25         5.91      | 88058    0        8728     437      0        | 512    430621         4092529      -       
32     8      5      5/8    | 0.51      2.00      2.94      0.86      6.32         5.84      | 88058    0        9165     0        0        | 640    430621         4092529      -       
32     8      6      6/8    | 0.49      1.93      2.88      0.84      6.15         6.01      | 88058    0        9165     0        0        | 768    430621         4092529      -       
32     8      7      7/8    | 0.51      2.03      2.91      0.90      6.37         5.80      | 88058    0        9165     0        0        | 896    430621         4092529      -       
32     8      8      8/8    | 0.51      2.02      2.87      0.95      6.37         5.80      | 88058    0        9165     0        0        | 1024   430621         4092529      -       
32     16     0      0/8    | 0.47      2.17      4.64      0.93      8.21         4.50      | 88058    0        0        9165     0        | 1      645041         4092529      -       
32     16     1      1/8    | 0.46      2.07      4.63      0.92      8.10         4.56      | 88058    0        0        9165     0        | 128    645041         4092529      -       
32     16     2      2/8    | 0.46      2.12      3.11      0.91      6.62         5.58      | 88058    0        7158     2007     0        | 256    645041         4092529      -       
32     16     3      3/8    | 0.48      2.12      3.09      0.99      6.70         5.52      | 88058    0        8237     928      0        | 384    645041         4092529      -       
32     16     4      4/8    | 0.47      2.18      2.99      0.93      6.58         5.61      | 88058    0        8728     437      0        | 512    645041         4092529      -       
32     16     5      5/8    | 0.46      2.12      2.98      0.89      6.47         5.72      | 88058    0        9165     0        0        | 640    645041         4092529      -       
32     16     6      6/8    | 0.48      2.19      2.99      0.96      6.63         5.58      | 88058    0        9165     0        0        | 768    645041         4092529      -       
32     16     7      7/8    | 0.47      2.13      3.09      0.91      6.61         5.59      | 88058    0        9165     0        0        | 896    645041         4092529      -       
32     16     8      8/8    | 0.47      2.11      3.09      0.89      6.57         5.62      | 88058    0        9165     0        0        | 1024   645041         4092529      -       
32     32     0      0/8    | 0.45      2.80      4.52      1.03      8.81         4.19      | 88058    0        0        9165     0        | 1      1033083        4092529      -       
32     32     1      1/8    | 0.46      2.85      4.55      1.00      8.87         4.17      | 88058    0        0        9165     0        | 128    1033083        4092529      -       
32     32     2      2/8    | 0.45      2.89      2.55      1.04      6.94         5.33      | 88058    0        7158     2007     0        | 256    1033083        4092529      -       
32     32     3      3/8    | 0.46      2.86      2.36      1.02      6.72         5.50      | 88058    0        8237     928      0        | 384    1033083        4092529      -       
32     32     4      4/8    | 0.46      2.91      2.11      1.04      6.53         5.66      | 88058    0        8728     437      0        | 512    1033083        4092529      -       
32     32     5      5/8    | 0.46      2.83      2.10      1.04      6.45         5.73      | 88058    0        9165     0        0        | 640    1033083        4092529      -       
32     32     6      6/8    | 0.46      2.83      2.13      1.04      6.48         5.70      | 88058    0        9165     0        0        | 768    1033083        4092529      -       
32     32     7      7/8    | 0.47      2.95      2.07      1.07      6.58         5.62      | 88058    0        9165     0        0        | 896    1033083        4092529      -       
