# Matrix: G_n_pin_pout
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/G_n_pin_pout.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:47:52
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 100000
# Cols: 100000
# NNZ(A): 1002396
# NNZ(C) estimate: 11053676
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.74      102.06    16.30     2.48      123.61       0.18      | 7548108  0        0        45294    0        | 1      39882250       10050823     -       
8      8      1      1/8    | 2.70      100.93    16.30     2.42      122.37       0.18      | 7548108  0        0        45294    0        | 8      39882250       10050823     -       
8      8      2      2/8    | 2.72      100.78    16.15     2.43      122.10       0.18      | 7548108  0        44349    945      0        | 16     39882250       10050823     -       
8      8      3      3/8    | 2.72      101.29    15.69     2.45      122.17       0.18      | 7548108  0        45277    17       0        | 24     39882250       10050823     -       
8      8      4      4/8    | 2.72      100.70    15.77     2.44      121.65       0.18      | 7548108  0        45294    0        0        | 32     39882250       10050823     -       
8      8      5      5/8    | 2.71      100.30    15.67     2.43      121.14       0.18      | 7548108  0        45294    0        0        | 40     39882250       10050823     -       
8      8      6      6/8    | 2.71      101.38    15.67     2.43      122.21       0.18      | 7548108  0        45294    0        0        | 48     39882250       10050823     -       
8      8      7      7/8    | 2.69      100.07    15.67     2.48      120.93       0.18      | 7548108  0        45294    0        0        | 56     39882250       10050823     -       
8      8      8      8/8    | 2.70      100.42    15.68     2.46      121.27       0.18      | 7548108  0        45294    0        0        | 64     39882250       10050823     -       
8      16     0      0/8    | 4.20      151.69    18.15     3.19      177.24       0.12      | 7548108  0        0        45294    0        | 1      59976934       10050823     -       
8      16     1      1/8    | 4.18      151.74    18.15     3.21      177.29       0.12      | 7548108  0        0        45294    0        | 8      59976934       10050823     -       
8      16     2      2/8    | 4.20      157.84    17.39     3.20      182.66       0.12      | 7548108  0        44349    945      0        | 16     59976934       10050823     -       
8      16     3      3/8    | 4.19      156.41    17.38     3.20      181.21       0.12      | 7548108  0        45277    17       0        | 24     59976934       10050823     -       
8      16     4      4/8    | 4.18      157.52    17.46     3.26      182.44       0.12      | 7548108  0        45294    0        0        | 32     59976934       10050823     -       
8      16     5      5/8    | 4.17      158.31    17.36     3.27      183.13       0.12      | 7548108  0        45294    0        0        | 40     59976934       10050823     -       
8      16     6      6/8    | 4.18      152.69    17.37     3.18      177.43       0.12      | 7548108  0        45294    0        0        | 48     59976934       10050823     -       
8      16     7      7/8    | 4.17      153.43    17.37     3.17      178.15       0.12      | 7548108  0        45294    0        0        | 56     59976934       10050823     -       
8      16     8      8/8    | 4.17      151.93    17.36     3.18      176.65       0.13      | 7548108  0        45294    0        0        | 64     59976934       10050823     -       
8      32     0      0/8    | 6.02      213.65    17.84     4.04      241.57       0.09      | 7548108  0        0        45294    0        | 1      84468802       10050823     -       
8      32     1      1/8    | 6.04      213.63    17.84     4.05      241.58       0.09      | 7548108  0        0        45294    0        | 8      84468802       10050823     -       
8      32     2      2/8    | 6.05      222.51    16.91     4.05      249.53       0.09      | 7548108  0        44349    945      0        | 16     84468802       10050823     -       
8      32     3      3/8    | 6.05      221.57    16.90     4.08      248.62       0.09      | 7548108  0        45277    17       0        | 24     84468802       10050823     -       
8      32     4      4/8    | 6.02      220.56    16.89     4.05      247.54       0.09      | 7548108  0        45294    0        0        | 32     84468802       10050823     -       
8      32     5      5/8    | 6.06      222.24    16.89     4.15      249.37       0.09      | 7548108  0        45294    0        0        | 40     84468802       10050823     -       
8      32     6      6/8    | 6.02      221.27    16.88     4.03      248.21       0.09      | 7548108  0        45294    0        0        | 48     84468802       10050823     -       
8      32     7      7/8    | 6.05      221.27    16.89     4.08      248.31       0.09      | 7548108  0        45294    0        0        | 56     84468802       10050823     -       
8      32     8      8/8    | 6.02      222.49    16.89     4.06      249.48       0.09      | 7548108  0        45294    0        0        | 64     84468802       10050823     -       
16     8      0      0/8    | 2.01      69.22     21.52     2.44      95.22        0.23      | 6501086  0        0        4732     0        | 1      24104504       10050823     -       
16     8      1      1/8    | 2.02      69.31     21.51     2.42      95.28        0.23      | 6501086  0        0        4732     0        | 32     24104504       10050823     -       
16     8      2      2/8    | 2.02      69.17     21.37     2.40      94.98        0.23      | 6501086  0        4731     1        0        | 64     24104504       10050823     -       
16     8      3      3/8    | 2.01      69.86     21.37     2.44      95.70        0.23      | 6501086  0        4732     0        0        | 96     24104504       10050823     -       
16     8      4      4/8    | 2.01      69.06     21.38     2.45      94.93        0.23      | 6501086  0        4732     0        0        | 128    24104504       10050823     -       
16     8      5      5/8    | 2.00      68.95     21.38     2.42      94.78        0.23      | 6501086  0        4732     0        0        | 160    24104504       10050823     -       
16     8      6      6/8    | 1.99      68.34     21.38     2.48      94.21        0.23      | 6501086  0        4732     0        0        | 192    24104504       10050823     -       
16     8      7      7/8    | 2.02      68.06     21.37     2.39      93.86        0.24      | 6501086  0        4732     0        0        | 224    24104504       10050823     -       
16     8      8      8/8    | 1.99      68.03     21.36     2.41      93.81        0.24      | 6501086  0        4732     0        0        | 256    24104504       10050823     -       
16     16     0      0/8    | 2.62      81.49     20.45     2.86      107.44       0.21      | 6501086  0        0        4732     0        | 1      30643368       10050823     -       
16     16     1      1/8    | 2.64      81.54     20.45     2.88      107.52       0.21      | 6501086  0        0        4732     0        | 32     30643368       10050823     -       
16     16     2      2/8    | 2.62      81.64     20.27     2.88      107.44       0.21      | 6501086  0        4731     1        0        | 64     30643368       10050823     -       
16     16     3      3/8    | 2.64      83.29     20.21     2.90      109.06       0.20      | 6501086  0        4732     0        0        | 96     30643368       10050823     -       
16     16     4      4/8    | 2.63      83.23     20.25     2.89      109.01       0.20      | 6501086  0        4732     0        0        | 128    30643368       10050823     -       
16     16     5      5/8    | 2.62      82.75     20.21     2.86      108.46       0.20      | 6501086  0        4732     0        0        | 160    30643368       10050823     -       
16     16     6      6/8    | 2.63      82.81     20.22     2.88      108.56       0.20      | 6501086  0        4732     0        0        | 192    30643368       10050823     -       
16     16     7      7/8    | 2.65      81.45     20.20     2.89      107.20       0.21      | 6501086  0        4732     0        0        | 224    30643368       10050823     -       
16     16     8      8/8    | 2.66      81.41     20.19     2.87      107.14       0.21      | 6501086  0        4732     0        0        | 256    30643368       10050823     -       
16     32     0      0/8    | 3.23      98.81     21.50     3.55      127.11       0.17      | 6501086  0        0        4732     0        | 1      36048544       10050823     -       
16     32     1      1/8    | 3.21      99.03     21.46     3.56      127.28       0.17      | 6501086  0        0        4732     0        | 32     36048544       10050823     -       
16     32     2      2/8    | 3.24      98.76     21.26     3.54      126.82       0.17      | 6501086  0        4731     1        0        | 64     36048544       10050823     -       
