# Matrix: GaAsH6
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/GaAsH6.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:44:55
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 61349
# Cols: 61349
# NNZ(A): 3381809
# NNZ(C) estimate: 1297898357
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.15      14.48     51.57     1.18      68.40        37.95     | 1946646  0        0        824829   35052    | 1      4017205        37611445     -       
8      8      1      1/8    | 1.11      14.60     51.65     1.27      68.66        37.81     | 1946646  0        0        824829   35052    | 8      4017205        37611445     -       
8      8      2      2/8    | 1.09      14.52     49.73     1.20      66.56        39.00     | 1946646  0        224874   599955   35052    | 16     4017205        37611445     -       
8      8      3      3/8    | 1.12      14.66     48.12     1.20      65.11        39.86     | 1946646  0        349560   475269   35052    | 24     4017205        37611445     -       
8      8      4      4/8    | 1.10      14.39     47.26     1.20      63.97        40.58     | 1946646  0        441481   383348   35052    | 32     4017205        37611445     -       
8      8      5      5/8    | 1.08      14.32     44.40     1.20      61.01        42.55     | 1946646  0        536063   288766   35052    | 40     4017205        37611445     -       
8      8      6      6/8    | 1.10      14.45     42.31     1.17      59.05        43.96     | 1946646  0        605559   219270   35052    | 48     4017205        37611445     -       
8      8      7      7/8    | 1.09      14.33     38.80     1.20      55.44        46.82     | 1946646  0        708721   116108   35052    | 56     4017205        37611445     -       
8      8      8      8/8    | 1.12      14.61     37.53     1.21      54.49        47.64     | 1946646  0        859881   0        0        | 64     4017205        37611445     -       
8      16     0      0/8    | 0.99      16.05     54.46     1.26      72.78        35.66     | 1946646  0        0        824829   35052    | 1      5355299        37611445     -       
8      16     1      1/8    | 0.98      16.08     54.46     1.29      72.83        35.64     | 1946646  0        0        824829   35052    | 8      5355299        37611445     -       
8      16     2      2/8    | 0.96      16.12     51.47     1.27      69.84        37.17     | 1946646  0        224874   599955   35052    | 16     5355299        37611445     -       
8      16     3      3/8    | 0.96      16.08     49.23     1.26      67.54        38.43     | 1946646  0        349560   475269   35052    | 24     5355299        37611445     -       
8      16     4      4/8    | 0.98      16.09     47.46     1.26      65.81        39.44     | 1946646  0        441481   383348   35052    | 32     5355299        37611445     -       
8      16     5      5/8    | 1.00      16.08     44.11     1.35      62.56        41.49     | 1946646  0        536063   288766   35052    | 40     5355299        37611445     -       
8      16     6      6/8    | 0.96      16.03     41.64     1.27      59.93        43.32     | 1946646  0        605559   219270   35052    | 48     5355299        37611445     -       
8      16     7      7/8    | 0.96      16.02     37.76     1.25      56.01        46.34     | 1946646  0        708721   116108   35052    | 56     5355299        37611445     -       
8      16     8      8/8    | 0.98      16.33     36.95     1.30      55.57        46.71     | 1946646  0        859881   0        0        | 64     5355299        37611445     -       
8      32     0      0/8    | 0.96      17.84     65.49     1.31      85.62        30.32     | 1946646  0        0        824829   35052    | 1      6866069        37611445     -       
8      32     1      1/8    | 0.94      17.75     65.43     1.33      85.47        30.37     | 1946646  0        0        824829   35052    | 8      6866069        37611445     -       
8      32     2      2/8    | 0.98      17.27     59.75     1.30      79.32        32.73     | 1946646  0        224874   599955   35052    | 16     6866069        37611445     -       
8      32     3      3/8    | 0.97      17.25     55.97     1.31      75.51        34.38     | 1946646  0        349560   475269   35052    | 24     6866069        37611445     -       
8      32     4      4/8    | 0.99      18.01     52.78     1.36      73.16        35.48     | 1946646  0        441481   383348   35052    | 32     6866069        37611445     -       
8      32     5      5/8    | 0.98      17.98     48.93     1.35      69.27        37.47     | 1946646  0        536063   288766   35052    | 40     6866069        37611445     -       
8      32     6      6/8    | 0.96      18.02     45.86     1.31      66.16        39.23     | 1946646  0        605559   219270   35052    | 48     6866069        37611445     -       
8      32     7      7/8    | 0.95      17.14     40.50     1.32      59.93        43.31     | 1946646  0        708721   116108   35052    | 56     6866069        37611445     -       
8      32     8      8/8    | 0.96      17.22     36.80     1.32      56.31        46.10     | 1946646  0        859881   0        0        | 64     6866069        37611445     -       
16     8      0      0/8    | 0.72      8.89      51.86     1.10      62.58        41.48     | 969803   0        0        287501   51       | 1      1503647        37611445     -       
16     8      1      1/8    | 0.72      8.93      51.78     1.10      62.55        41.50     | 969803   0        0        287501   51       | 32     1503647        37611445     -       
16     8      2      2/8    | 0.72      8.90      46.66     1.12      57.42        45.21     | 969803   0        104084   183417   51       | 64     1503647        37611445     -       
16     8      3      3/8    | 0.72      8.94      42.22     1.11      53.00        48.98     | 969803   0        166604   120897   51       | 96     1503647        37611445     -       
16     8      4      4/8    | 0.72      9.01      39.40     1.12      50.27        51.64     | 969803   0        207778   79723    51       | 128    1503647        37611445     -       
16     8      5      5/8    | 0.71      9.04      37.46     1.11      48.34        53.70     | 969803   0        249637   37864    51       | 160    1503647        37611445     -       
16     8      6      6/8    | 0.73      9.26      35.79     1.16      46.96        55.28     | 969803   0        276408   11093    51       | 192    1503647        37611445     -       
16     8      7      7/8    | 0.74      8.99      35.33     1.12      46.19        56.19     | 969803   0        282142   5359     51       | 224    1503647        37611445     -       
16     8      8      8/8    | 0.74      8.91      35.00     1.12      45.79        56.69     | 969803   0        287552   0        0        | 256    1503647        37611445     -       
