# Matrix: TSOPF_FS_b39_c30
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/TSOPF_FS_b39_c30.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:05:49
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 120216
# Cols: 120216
# NNZ(A): 3121160
# NNZ(C) estimate: 36206586224
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 10.39     157.56    334.23    2.74      504.94       143.41    | 104638   0        0        207646   56344519 | 1      57175847       -            -       
8      8      1      1/8    | 10.33     148.39    266.19    2.84      427.77       169.28    | 104638   0        0        207646   56344519 | 8      57175847       -            -       
8      8      2      2/8    | 10.01     146.46    270.37    2.76      429.64       168.54    | 104638   0        27707    179939   56344519 | 16     57175847       -            -       
8      8      3      3/8    | 10.10     146.74    269.26    2.78      428.89       168.84    | 104638   0        27745    179901   56344519 | 24     57175847       -            -       
8      8      4      4/8    | 10.14     145.52    275.26    2.76      433.71       166.96    | 104638   0        103789   103857   56344519 | 32     57175847       -            -       
8      8      5      5/8    | 10.19     144.61    265.26    2.78      422.86       171.25    | 104638   0        128015   79631    56344519 | 40     57175847       -            -       
8      8      6      6/8    | 10.52     159.34    266.99    2.77      439.64       164.71    | 104638   0        194250   13396    56344519 | 48     57175847       -            -       
8      8      7      7/8    | 10.41     158.68    267.04    2.72      438.86       165.00    | 104638   0        206146   1500     56344519 | 56     57175847       -            -       
8      8      8      8/8    | 10.32     156.82    331.92    2.75      501.84       144.30    | 104638   0        56552165 0        0        | 64     57175847       -            -       
8      16     0      0/8    | 6.61      155.32    261.75    2.74      426.43       169.81    | 104638   0        0        207646   56344519 | 1      57207827       -            -       
8      16     1      1/8    | 6.75      154.68    268.03    2.74      432.22       167.54    | 104638   0        0        207646   56344519 | 8      57207827       -            -       
8      16     2      2/8    | 6.49      147.51    270.10    2.78      426.90       169.63    | 104638   0        27707    179939   56344519 | 16     57207827       -            -       
8      16     3      3/8    | 7.09      146.60    258.28    2.76      414.76       174.59    | 104638   0        27745    179901   56344519 | 24     57207827       -            -       
8      16     4      4/8    | 6.53      147.13    263.28    2.79      419.75       172.52    | 104638   0        103789   103857   56344519 | 32     57207827       -            -       
8      16     5      5/8    | 6.79      144.90    265.77    2.79      420.27       172.30    | 104638   0        128015   79631    56344519 | 40     57207827       -            -       
8      16     6      6/8    | 6.65      148.78    269.82    2.82      428.08       169.16    | 104638   0        194250   13396    56344519 | 48     57207827       -            -       
8      16     7      7/8    | 6.98      143.83    270.09    2.76      423.68       170.91    | 104638   0        206146   1500     56344519 | 56     57207827       -            -       
8      16     8      8/8    | 6.71      150.38    257.64    2.78      417.52       173.43    | 104638   0        56552165 0        0        | 64     57207827       -            -       
8      32     0      0/8    | 5.71      154.65    328.45    2.74      491.56       147.31    | 104638   0        0        207646   56344519 | 1      57833457       -            -       
8      32     1      1/8    | 5.59      156.44    353.49    2.75      518.29       139.72    | 104638   0        0        207646   56344519 | 8      57833457       -            -       
8      32     2      2/8    | 5.61      150.47    277.10    2.81      436.01       166.08    | 104638   0        27707    179939   56344519 | 16     57833457       -            -       
8      32     3      3/8    | 5.69      147.98    267.17    2.75      423.61       170.94    | 104638   0        27745    179901   56344519 | 24     57833457       -            -       
8      32     4      4/8    | 5.67      149.02    271.21    2.79      428.71       168.91    | 104638   0        103789   103857   56344519 | 32     57833457       -            -       
8      32     5      5/8    | 5.56      148.92    270.27    2.78      427.55       169.37    | 104638   0        128015   79631    56344519 | 40     57833457       -            -       
8      32     6      6/8    | 5.83      148.84    354.08    2.78      511.54       141.56    | 104638   0        194250   13396    56344519 | 48     57833457       -            -       
8      32     7      7/8    | 5.77      145.67    264.75    2.80      419.00       172.82    | 104638   0        206146   1500     56344519 | 56     57833457       -            -       
8      32     8      8/8    | 5.63      155.67    272.18    2.74      436.24       165.99    | 104638   0        56552165 0        0        | 64     57833457       -            -       
16     8      0      0/8    | 6.88      36.00     263.51    1.53      307.94       235.15    | 40945    0        0        106026   14059445 | 1      14447080       -            -       
16     8      1      1/8    | 6.90      36.11     349.31    1.54      393.88       183.84    | 40945    0        0        106026   14059445 | 32     14447080       -            -       
16     8      2      2/8    | 6.92      36.97     343.42    1.58      388.92       186.19    | 40945    0        8052     97974    14059445 | 64     14447080       -            -       
16     8      3      3/8    | 6.89      36.56     271.19    1.54      316.20       229.01    | 40945    0        24129    81897    14059445 | 96     14447080       -            -       
16     8      4      4/8    | 6.94      36.01     277.52    1.53      322.02       224.87    | 40945    0        61769    44257    14059445 | 128    14447080       -            -       
16     8      5      5/8    | 6.93      37.11     270.17    1.57      315.80       229.30    | 40945    0        84805    21221    14059445 | 160    14447080       -            -       
16     8      6      6/8    | 6.88      36.63     278.29    1.55      323.37       223.93    | 40945    0        95425    10601    14059445 | 192    14447080       -            -       
16     8      7      7/8    | 6.87      36.49     346.41    1.55      391.34       185.04    | 40945    0        103050   2976     14059445 | 224    14447080       -            -       
16     8      8      8/8    | 6.88      36.90     269.52    1.55      314.87       229.98    | 40945    0        14165471 0        0        | 256    14447080       -            -       
16     16     0      0/8    | 4.17      36.50     268.45    1.55      310.72       233.05    | 40945    0        0        106026   14059445 | 1      14447346       -            -       
16     16     1      1/8    | 4.11      36.03     264.29    1.55      305.99       236.65    | 40945    0        0        106026   14059445 | 32     14447346       -            -       
16     16     2      2/8    | 4.14      36.12     344.09    1.53      385.90       187.65    | 40945    0        8052     97974    14059445 | 64     14447346       -            -       
16     16     3      3/8    | 4.05      36.92     267.44    1.54      309.96       233.62    | 40945    0        24129    81897    14059445 | 96     14447346       -            -       
16     16     4      4/8    | 4.20      37.61     342.48    1.58      385.89       187.65    | 40945    0        61769    44257    14059445 | 128    14447346       -            -       
16     16     5      5/8    | 4.16      36.87     271.93    1.54      314.52       230.23    | 40945    0        84805    21221    14059445 | 160    14447346       -            -       
16     16     6      6/8    | 4.13      36.84     265.07    1.58      307.66       235.37    | 40945    0        95425    10601    14059445 | 192    14447346       -            -       
16     16     7      7/8    | 4.15      38.84     270.56    1.71      315.29       229.67    | 40945    0        103050   2976     14059445 | 224    14447346       -            -       
16     16     8      8/8    | 4.14      36.22     334.98    1.55      376.91       192.12    | 40945    0        14165471 0        0        | 256    14447346       -            -       
16     32     0      0/8    | 2.67      36.21     270.61    1.70      311.21       232.69    | 40945    0        0        106026   14059445 | 1      14592148       -            -       
16     32     1      1/8    | 2.65      36.45     280.44    1.68      321.24       225.42    | 40945    0        0        106026   14059445 | 32     14592148       -            -       
16     32     2      2/8    | 2.72      38.07     272.02    1.73      314.57       230.20    | 40945    0        8052     97974    14059445 | 64     14592148       -            -       
16     32     3      3/8    | 2.66      36.93     345.29    1.72      386.61       187.30    | 40945    0        24129    81897    14059445 | 96     14592148       -            -       
16     32     4      4/8    | 2.72      36.82     271.18    1.71      312.45       231.76    | 40945    0        61769    44257    14059445 | 128    14592148       -            -       
16     32     5      5/8    | 2.67      36.77     267.31    1.69      308.45       234.76    | 40945    0        84805    21221    14059445 | 160    14592148       -            -       
16     32     6      6/8    | 2.67      36.79     270.10    1.69      311.27       232.64    | 40945    0        95425    10601    14059445 | 192    14592148       -            -       
16     32     7      7/8    | 2.77      38.08     342.86    1.74      385.48       187.85    | 40945    0        103050   2976     14059445 | 224    14592148       -            -       
16     32     8      8/8    | 2.65      37.02     271.98    1.72      313.39       231.06    | 40945    0        14165471 0        0        | 256    14592148       -            -       
32     8      0      0/8    | 5.30      21.62     263.27    1.31      291.52       248.40    | 23693    0        0        41215    3508129  | 1      3687833        -            -       
32     8      1      1/8    | 5.31      21.59     337.74    1.31      365.97       197.87    | 23693    0        0        41215    3508129  | 128    3687833        -            -       
32     8      2      2/8    | 5.30      21.57     272.92    1.29      301.10       240.49    | 23693    0        9346     31869    3508129  | 256    3687833        -            -       
32     8      3      3/8    | 5.31      21.62     272.00    1.28      300.23       241.19    | 23693    0        15010    26205    3508129  | 384    3687833        -            -       
32     8      4      4/8    | 5.30      21.57     270.82    1.30      299.01       242.17    | 23693    0        24338    16877    3508129  | 512    3687833        -            -       
32     8      5      5/8    | 5.31      21.57     277.67    1.28      305.85       236.76    | 23693    0        29892    11323    3508129  | 640    3687833        -            -       
32     8      6      6/8    | 5.30      21.57     345.99    1.30      374.18       193.53    | 23693    0        37462    3753     3508129  | 768    3687833        -            -       
32     8      7      7/8    | 5.32      21.52     341.06    1.31      369.23       196.12    | 23693    0        37468    3747     3508129  | 896    3687833        -            -       
32     8      8      8/8    | 5.30      21.48     259.26    1.30      287.36       252.00    | 23693    0        3549344  0        0        | 1024   3687833        -            -       
32     16     0      0/8    | 2.97      13.69     271.79    1.39      289.85       249.83    | 23693    0        0        41215    3508129  | 1      3688007        -            -       
32     16     1      1/8    | 2.97      13.95     264.34    1.41      282.69       256.16    | 23693    0        0        41215    3508129  | 128    3688007        -            -       
32     16     2      2/8    | 2.90      13.82     348.65    1.29      366.68       197.48    | 23693    0        9346     31869    3508129  | 256    3688007        -            -       
32     16     3      3/8    | 2.91      13.81     264.09    1.30      282.13       256.67    | 23693    0        15010    26205    3508129  | 384    3688007        -            -       
32     16     4      4/8    | 2.91      13.87     268.82    1.30      286.92       252.38    | 23693    0        24338    16877    3508129  | 512    3688007        -            -       
32     16     5      5/8    | 2.90      13.86     268.52    1.31      286.60       252.66    | 23693    0        29892    11323    3508129  | 640    3688007        -            -       
32     16     6      6/8    | 2.89      13.84     357.01    1.29      375.05       193.08    | 23693    0        37462    3753     3508129  | 768    3688007        -            -       
32     16     7      7/8    | 2.89      13.85     274.96    1.29      293.00       247.14    | 23693    0        37468    3747     3508129  | 896    3688007        -            -       
32     16     8      8/8    | 2.96      13.69     264.56    1.39      282.63       256.21    | 23693    0        3549344  0        0        | 1024   3688007        -            -       
32     32     0      0/8    | 1.71      9.67      328.55    1.30      341.25       212.20    | 23693    0        0        41215    3508129  | 1      3722525        -            -       
32     32     1      1/8    | 1.71      10.09     276.48    1.29      289.58       250.07    | 23693    0        0        41215    3508129  | 128    3722525        -            -       
32     32     2      2/8    | 1.71      10.11     340.64    1.28      353.76       204.70    | 23693    0        9346     31869    3508129  | 256    3722525        -            -       
32     32     3      3/8    | 1.85      10.07     273.45    1.30      286.68       252.59    | 23693    0        15010    26205    3508129  | 384    3722525        -            -       
32     32     4      4/8    | 1.78      9.96      267.93    1.45      281.13       257.57    | 23693    0        24338    16877    3508129  | 512    3722525        -            -       
32     32     5      5/8    | 1.72      10.22     273.03    1.32      286.31       252.92    | 23693    0        29892    11323    3508129  | 640    3722525        -            -       
32     32     6      6/8    | 1.71      9.87      345.21    1.35      358.15       202.19    | 23693    0        37462    3753     3508129  | 768    3722525        -            -       
32     32     7      7/8    | 1.71      10.25     271.07    1.33      284.38       254.64    | 23693    0        37468    3747     3508129  | 896    3722525        -            -       
32     32     8      8/8    | 1.73      10.29     271.10    1.33      284.47       254.56    | 23693    0        3549344  0        0        | 1024   3722525        -            -       
