# Matrix: apache1
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/apache1.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 02:40:33
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 80800
# Cols: 80800
# NNZ(A): 542184
# NNZ(C) estimate: 3656464
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.14      0.75      0.66      0.76      2.33         3.13      | 180488   0        0        64698    0        | 1      315786         1856924      -       
8      8      1      1/8    | 0.14      0.79      0.66      0.73      2.33         3.14      | 180488   0        0        64698    0        | 8      315786         1856924      -       
8      8      2      2/8    | 0.15      0.80      0.57      0.72      2.26         3.23      | 180488   0        34600    30098    0        | 16     315786         1856924      -       
8      8      3      3/8    | 0.15      0.78      0.52      0.72      2.19         3.34      | 180488   0        54598    10100    0        | 24     315786         1856924      -       
8      8      4      4/8    | 0.15      0.80      0.54      0.72      2.22         3.29      | 180488   0        55298    9400     0        | 32     315786         1856924      -       
8      8      5      5/8    | 0.15      0.79      0.45      0.74      2.13         3.43      | 180488   0        64698    0        0        | 40     315786         1856924      -       
8      8      6      6/8    | 0.14      0.74      0.45      0.71      2.05         3.57      | 180488   0        64698    0        0        | 48     315786         1856924      -       
8      8      7      7/8    | 0.14      0.79      0.45      0.71      2.10         3.49      | 180488   0        64698    0        0        | 56     315786         1856924      -       
8      8      8      8/8    | 0.14      0.81      0.44      0.70      2.11         3.47      | 180488   0        64698    0        0        | 64     315786         1856924      -       
8      16     0      0/8    | 0.14      1.25      0.76      0.74      2.89         2.53      | 180488   0        0        64698    0        | 1      462336         1856924      -       
8      16     1      1/8    | 0.13      1.21      0.75      0.73      2.83         2.58      | 180488   0        0        64698    0        | 8      462336         1856924      -       
8      16     2      2/8    | 0.15      1.27      0.63      0.78      2.85         2.57      | 180488   0        34600    30098    0        | 16     462336         1856924      -       
8      16     3      3/8    | 0.14      1.32      0.55      0.75      2.77         2.64      | 180488   0        54598    10100    0        | 24     462336         1856924      -       
8      16     4      4/8    | 0.14      1.24      0.56      0.73      2.69         2.72      | 180488   0        55298    9400     0        | 32     462336         1856924      -       
8      16     5      5/8    | 0.15      1.28      0.44      0.77      2.66         2.75      | 180488   0        64698    0        0        | 40     462336         1856924      -       
8      16     6      6/8    | 0.15      1.25      0.44      0.73      2.58         2.83      | 180488   0        64698    0        0        | 48     462336         1856924      -       
8      16     7      7/8    | 0.13      1.22      0.44      0.71      2.52         2.90      | 180488   0        64698    0        0        | 56     462336         1856924      -       
8      16     8      8/8    | 0.15      1.29      0.44      0.77      2.67         2.74      | 180488   0        64698    0        0        | 64     462336         1856924      -       
8      32     0      0/8    | 0.15      2.12      1.09      0.80      4.18         1.75      | 180488   0        0        64698    0        | 1      752594         1856924      -       
8      32     1      1/8    | 0.15      2.13      1.08      0.81      4.18         1.75      | 180488   0        0        64698    0        | 8      752594         1856924      -       
8      32     2      2/8    | 0.15      2.00      0.88      0.78      3.82         1.91      | 180488   0        34600    30098    0        | 16     752594         1856924      -       
8      32     3      3/8    | 0.15      1.99      0.74      0.78      3.68         1.99      | 180488   0        54598    10100    0        | 24     752594         1856924      -       
8      32     4      4/8    | 0.16      2.00      0.73      0.79      3.69         1.98      | 180488   0        55298    9400     0        | 32     752594         1856924      -       
8      32     5      5/8    | 0.15      2.00      0.49      0.78      3.43         2.13      | 180488   0        64698    0        0        | 40     752594         1856924      -       
8      32     6      6/8    | 0.15      2.01      0.49      0.80      3.46         2.12      | 180488   0        64698    0        0        | 48     752594         1856924      -       
8      32     7      7/8    | 0.15      2.11      0.49      0.77      3.52         2.07      | 180488   0        64698    0        0        | 56     752594         1856924      -       
8      32     8      8/8    | 0.14      2.06      0.49      0.76      3.46         2.11      | 180488   0        64698    0        0        | 64     752594         1856924      -       
16     8      0      0/8    | 0.12      0.46      0.63      0.50      1.72         4.26      | 100340   0        0        12850    0        | 1      122390         1856924      -       
16     8      1      1/8    | 0.11      0.44      0.63      0.46      1.66         4.40      | 100340   0        0        12850    0        | 32     122390         1856924      -       
16     8      2      2/8    | 0.10      0.41      0.55      0.47      1.55         4.72      | 100340   0        7800     5050     0        | 64     122390         1856924      -       
16     8      3      3/8    | 0.12      0.43      0.48      0.47      1.52         4.82      | 100340   0        12850    0        0        | 96     122390         1856924      -       
