# Matrix: ar2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/ar2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 02:41:53
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 186211
# Cols: 186211
# NNZ(A): 904310
# NNZ(C) estimate: 5985124
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.64      16.03     4.48      1.15      23.32        0.51      | 1702917  0        0        46012    0        | 1      6389661        4013217      -       
8      8      1      1/8    | 1.48      15.95     4.49      1.16      23.10        0.52      | 1702917  0        0        46012    0        | 8      6389661        4013217      -       
8      8      2      2/8    | 1.49      15.89     3.99      1.15      22.53        0.53      | 1702917  0        42056    3956     0        | 16     6389661        4013217      -       
8      8      3      3/8    | 1.51      16.00     3.96      1.19      22.67        0.53      | 1702917  0        45621    391      0        | 24     6389661        4013217      -       
8      8      4      4/8    | 1.53      15.95     4.01      1.17      22.67        0.53      | 1702917  0        45955    57       0        | 32     6389661        4013217      -       
8      8      5      5/8    | 1.48      16.05     3.94      1.16      22.65        0.53      | 1702917  0        46003    9        0        | 40     6389661        4013217      -       
8      8      6      6/8    | 1.52      16.03     3.94      1.19      22.69        0.53      | 1702917  0        46011    1        0        | 48     6389661        4013217      -       
8      8      7      7/8    | 1.51      16.05     3.94      1.24      22.76        0.53      | 1702917  0        46012    0        0        | 56     6389661        4013217      -       
8      8      8      8/8    | 1.50      15.94     3.94      1.17      22.56        0.53      | 1702917  0        46012    0        0        | 64     6389661        4013217      -       
8      16     0      0/8    | 1.95      22.35     5.66      1.26      31.25        0.38      | 1702917  0        0        46012    0        | 1      8850309        4013217      -       
8      16     1      1/8    | 1.94      22.30     5.67      1.29      31.21        0.38      | 1702917  0        0        46012    0        | 8      8850309        4013217      -       
8      16     2      2/8    | 1.98      22.01     4.91      1.29      30.21        0.40      | 1702917  0        42056    3956     0        | 16     8850309        4013217      -       
8      16     3      3/8    | 1.93      22.06     4.84      1.31      30.16        0.40      | 1702917  0        45621    391      0        | 24     8850309        4013217      -       
8      16     4      4/8    | 1.94      22.02     4.88      1.28      30.14        0.40      | 1702917  0        45955    57       0        | 32     8850309        4013217      -       
8      16     5      5/8    | 1.95      22.17     4.80      1.30      30.24        0.40      | 1702917  0        46003    9        0        | 40     8850309        4013217      -       
8      16     6      6/8    | 1.95      22.18     4.80      1.33      30.28        0.40      | 1702917  0        46011    1        0        | 48     8850309        4013217      -       
8      16     7      7/8    | 1.97      22.32     4.80      1.28      30.39        0.39      | 1702917  0        46012    0        0        | 56     8850309        4013217      -       
8      16     8      8/8    | 1.99      22.42     4.80      1.30      30.54        0.39      | 1702917  0        46012    0        0        | 64     8850309        4013217      -       
8      32     0      0/8    | 2.70      28.19     7.38      1.32      39.60        0.30      | 1702917  0        0        46012    0        | 1      11252059       4013217      -       
8      32     1      1/8    | 2.68      28.43     7.37      1.35      39.85        0.30      | 1702917  0        0        46012    0        | 8      11252059       4013217      -       
8      32     2      2/8    | 2.65      28.18     5.64      1.37      37.87        0.32      | 1702917  0        42056    3956     0        | 16     11252059       4013217      -       
8      32     3      3/8    | 2.69      28.07     5.53      1.35      37.66        0.32      | 1702917  0        45621    391      0        | 24     11252059       4013217      -       
8      32     4      4/8    | 2.71      28.27     5.46      1.35      37.80        0.32      | 1702917  0        45955    57       0        | 32     11252059       4013217      -       
