# Matrix: barrier2-1
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/barrier2-1.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 03:04:55
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 113076
# Cols: 113076
# NNZ(A): 3805068
# NNZ(C) estimate: 198352590
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 9.06      88.84     65.80     2.69      166.39       2.38      | 21099634 0        0        756311   344      | 1      35042209       69153902     -       
8      8      1      1/8    | 8.91      88.13     65.89     2.70      165.65       2.39      | 21099634 0        0        756311   344      | 8      35042209       69153902     -       
8      8      2      2/8    | 8.88      88.07     60.78     2.66      160.41       2.47      | 21099634 0        471460   284851   344      | 16     35042209       69153902     -       
8      8      3      3/8    | 9.15      88.30     58.61     2.69      158.77       2.50      | 21099634 0        642955   113356   344      | 24     35042209       69153902     -       
8      8      4      4/8    | 9.08      88.72     59.81     2.74      160.37       2.47      | 21099634 0        717348   38963    344      | 32     35042209       69153902     -       
8      8      5      5/8    | 9.07      88.62     59.09     2.69      159.48       2.49      | 21099634 0        742878   13433    344      | 40     35042209       69153902     -       
8      8      6      6/8    | 8.87      88.39     59.19     2.68      159.15       2.49      | 21099634 0        752107   4204     344      | 48     35042209       69153902     -       
8      8      7      7/8    | 9.14      88.21     59.16     2.73      159.26       2.49      | 21099634 0        755846   465      344      | 56     35042209       69153902     -       
8      8      8      8/8    | 9.13      89.38     59.18     2.72      160.43       2.47      | 21099634 0        756655   0        0        | 64     35042209       69153902     -       
8      16     0      0/8    | 10.29     108.20    71.58     3.02      193.12       2.05      | 21099634 0        0        756311   344      | 1      42771377       69153902     -       
8      16     1      1/8    | 10.41     108.31    71.62     3.02      193.38       2.05      | 21099634 0        0        756311   344      | 8      42771377       69153902     -       
8      16     2      2/8    | 10.24     108.05    65.91     2.99      187.22       2.12      | 21099634 0        471460   284851   344      | 16     42771377       69153902     -       
8      16     3      3/8    | 10.01     107.35    61.94     2.96      182.28       2.18      | 21099634 0        642955   113356   344      | 24     42771377       69153902     -       
8      16     4      4/8    | 9.94      108.19    62.88     3.01      184.04       2.16      | 21099634 0        717348   38963    344      | 32     42771377       69153902     -       
8      16     5      5/8    | 10.01     108.65    62.09     2.97      183.73       2.16      | 21099634 0        742878   13433    344      | 40     42771377       69153902     -       
8      16     6      6/8    | 9.86      108.08    62.05     2.95      182.96       2.17      | 21099634 0        752107   4204     344      | 48     42771377       69153902     -       
8      16     7      7/8    | 10.02     108.40    62.09     2.96      183.51       2.16      | 21099634 0        755846   465      344      | 56     42771377       69153902     -       
8      16     8      8/8    | 10.11     108.08    62.16     2.96      183.33       2.16      | 21099634 0        756655   0        0        | 64     42771377       69153902     -       
8      32     0      0/8    | 8.30      135.17    79.76     3.32      226.56       1.75      | 21099634 0        0        756311   344      | 1      53237127       69153902     -       
8      32     1      1/8    | 8.56      134.57    79.67     3.31      226.13       1.75      | 21099634 0        0        756311   344      | 8      53237127       69153902     -       
8      32     2      2/8    | 8.54      133.61    67.94     3.29      213.41       1.86      | 21099634 0        471460   284851   344      | 16     53237127       69153902     -       
8      32     3      3/8    | 8.68      135.18    61.70     3.39      208.98       1.90      | 21099634 0        642955   113356   344      | 24     53237127       69153902     -       
8      32     4      4/8    | 8.71      134.17    58.69     3.41      205.00       1.94      | 21099634 0        717348   38963    344      | 32     53237127       69153902     -       
8      32     5      5/8    | 8.57      134.67    58.26     3.33      204.85       1.94      | 21099634 0        742878   13433    344      | 40     53237127       69153902     -       
8      32     6      6/8    | 8.79      133.66    58.10     3.30      203.88       1.95      | 21099634 0        752107   4204     344      | 48     53237127       69153902     -       
8      32     7      7/8    | 8.53      134.99    58.15     3.31      205.01       1.94      | 21099634 0        755846   465      344      | 56     53237127       69153902     -       
8      32     8      8/8    | 8.63      133.52    58.22     3.32      203.71       1.95      | 21099634 0        756655   0        0        | 64     53237127       69153902     -       
16     8      0      0/8    | 7.98      71.40     80.99     2.90      163.29       2.43      | 18515822 0        0        153619   1        | 1      24739046       69153902     -       
16     8      1      1/8    | 8.12      72.97     81.56     2.94      165.60       2.40      | 18515822 0        0        153619   1        | 32     24739046       69153902     -       
16     8      2      2/8    | 8.01      71.50     76.88     2.93      159.34       2.49      | 18515822 0        124266   29353    1        | 64     24739046       69153902     -       
16     8      3      3/8    | 8.03      71.51     76.99     2.89      159.44       2.49      | 18515822 0        145771   7848     1        | 96     24739046       69153902     -       
16     8      4      4/8    | 7.97      71.48     77.37     2.90      159.74       2.48      | 18515822 0        151064   2555     1        | 128    24739046       69153902     -       
16     8      5      5/8    | 8.04      71.28     77.05     2.89      159.29       2.49      | 18515822 0        152918   701      1        | 160    24739046       69153902     -       
16     8      6      6/8    | 8.02      71.26     77.26     2.90      159.45       2.49      | 18515822 0        153474   145      1        | 192    24739046       69153902     -       
16     8      7      7/8    | 8.06      71.44     77.22     2.88      159.62       2.49      | 18515822 0        153615   4        1        | 224    24739046       69153902     -       
16     8      8      8/8    | 8.04      71.45     76.86     2.87      159.24       2.49      | 18515822 0        153620   0        0        | 256    24739046       69153902     -       
16     16     0      0/8    | 8.53      75.53     77.65     3.11      164.85       2.41      | 18515822 0        0        153619   1        | 1      27472884       69153902     -       
16     16     1      1/8    | 8.61      74.40     77.72     3.09      163.84       2.42      | 18515822 0        0        153619   1        | 32     27472884       69153902     -       
16     16     2      2/8    | 8.47      73.76     71.37     3.06      156.67       2.53      | 18515822 0        124266   29353    1        | 64     27472884       69153902     -       
16     16     3      3/8    | 8.47      74.28     71.58     3.04      157.39       2.52      | 18515822 0        145771   7848     1        | 96     27472884       69153902     -       
16     16     4      4/8    | 8.39      73.86     72.07     3.03      157.37       2.52      | 18515822 0        151064   2555     1        | 128    27472884       69153902     -       
16     16     5      5/8    | 8.54      73.83     71.89     3.05      157.33       2.52      | 18515822 0        152918   701      1        | 160    27472884       69153902     -       
16     16     6      6/8    | 8.46      73.80     72.01     3.03      157.31       2.52      | 18515822 0        153474   145      1        | 192    27472884       69153902     -       
16     16     7      7/8    | 8.54      76.12     71.89     3.11      159.67       2.48      | 18515822 0        153615   4        1        | 224    27472884       69153902     -       
16     16     8      8/8    | 8.48      75.00     71.91     3.06      158.47       2.50      | 18515822 0        153620   0        0        | 256    27472884       69153902     -       
16     32     0      0/8    | 7.03      82.79     78.62     3.60      172.06       2.31      | 18515822 0        0        153619   1        | 1      30787828       69153902     -       
16     32     1      1/8    | 6.92      82.91     78.26     3.58      171.70       2.31      | 18515822 0        0        153619   1        | 32     30787828       69153902     -       
16     32     2      2/8    | 7.00      82.91     68.23     3.63      161.78       2.45      | 18515822 0        124266   29353    1        | 64     30787828       69153902     -       
16     32     3      3/8    | 7.01      81.67     68.50     3.64      160.86       2.47      | 18515822 0        145771   7848     1        | 96     30787828       69153902     -       
16     32     4      4/8    | 7.02      81.92     68.55     3.60      161.11       2.46      | 18515822 0        151064   2555     1        | 128    30787828       69153902     -       
16     32     5      5/8    | 6.94      81.68     68.73     3.57      160.94       2.46      | 18515822 0        152918   701      1        | 160    30787828       69153902     -       
16     32     6      6/8    | 7.14      83.75     68.96     3.67      163.54       2.43      | 18515822 0        153474   145      1        | 192    30787828       69153902     -       
16     32     7      7/8    | 6.94      81.73     68.77     3.68      161.14       2.46      | 18515822 0        153615   4        1        | 224    30787828       69153902     -       
16     32     8      8/8    | 6.96      81.73     68.98     3.60      161.29       2.46      | 18515822 0        153620   0        0        | 256    30787828       69153902     -       
32     8      0      0/8    | 6.54      45.81     74.31     2.82      129.51       3.06      | 7304851  0        0        28317    0        | 1      9320170        69153902     -       
32     8      1      1/8    | 6.54      45.67     74.40     2.83      129.47       3.06      | 7304851  0        0        28317    0        | 128    9320170        69153902     -       
32     8      2      2/8    | 6.57      46.33     70.67     2.89      126.48       3.14      | 7304851  0        25362    2955     0        | 256    9320170        69153902     -       
32     8      3      3/8    | 6.55      46.20     70.05     2.87      125.69       3.16      | 7304851  0        27647    670      0        | 384    9320170        69153902     -       
32     8      4      4/8    | 6.56      46.22     70.06     2.88      125.73       3.16      | 7304851  0        28154    163      0        | 512    9320170        69153902     -       
32     8      5      5/8    | 6.53      46.40     70.18     2.88      126.01       3.15      | 7304851  0        28310    7        0        | 640    9320170        69153902     -       
32     8      6      6/8    | 6.58      45.79     70.17     2.86      125.42       3.16      | 7304851  0        28317    0        0        | 768    9320170        69153902     -       
32     8      7      7/8    | 6.57      46.46     70.15     2.96      126.18       3.14      | 7304851  0        28317    0        0        | 896    9320170        69153902     -       
32     8      8      8/8    | 6.59      45.59     70.22     2.96      125.39       3.16      | 7304851  0        28317    0        0        | 1024   9320170        69153902     -       
32     16     0      0/8    | 6.39      46.06     70.17     3.01      125.64       3.16      | 7304851  0        0        28317    0        | 1      10014876       69153902     -       
32     16     1      1/8    | 6.38      45.60     70.30     3.00      125.30       3.17      | 7304851  0        0        28317    0        | 128    10014876       69153902     -       
32     16     2      2/8    | 6.34      45.59     65.31     3.05      120.30       3.30      | 7304851  0        25362    2955     0        | 256    10014876       69153902     -       
32     16     3      3/8    | 6.38      45.68     64.69     2.98      119.74       3.31      | 7304851  0        27647    670      0        | 384    10014876       69153902     -       
32     16     4      4/8    | 6.41      46.12     64.68     3.01      120.27       3.30      | 7304851  0        28154    163      0        | 512    10014876       69153902     -       
32     16     5      5/8    | 6.37      45.77     64.75     3.01      119.94       3.31      | 7304851  0        28310    7        0        | 640    10014876       69153902     -       
32     16     6      6/8    | 6.33      45.53     64.70     2.97      119.54       3.32      | 7304851  0        28317    0        0        | 768    10014876       69153902     -       
32     16     7      7/8    | 6.36      46.33     64.65     3.00      120.36       3.30      | 7304851  0        28317    0        0        | 896    10014876       69153902     -       
32     16     8      8/8    | 6.31      45.93     64.66     3.02      119.94       3.31      | 7304851  0        28317    0        0        | 1024   10014876       69153902     -       
32     32     0      0/8    | 4.83      47.40     68.55     3.08      123.89       3.20      | 7304851  0        0        28317    0        | 1      10688574       69153902     -       
