# Matrix: brack2
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/brack2.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 03:58:06
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 62631
# Cols: 62631
# NNZ(A): 733118
# NNZ(C) estimate: 10068922
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.18      2.44      2.30      0.85      5.77         3.49      | 199204   0        0        146982   1007     | 1      968957         3944481      -       
8      8      1      1/8    | 0.19      2.41      2.31      0.85      5.78         3.49      | 199204   0        0        146982   1007     | 8      968957         3944481      -       
8      8      2      2/8    | 0.18      2.41      2.02      0.83      5.46         3.69      | 199204   0        64560    82422    1007     | 16     968957         3944481      -       
8      8      3      3/8    | 0.19      2.51      1.81      0.82      5.34         3.77      | 199204   0        100088   46894    1007     | 24     968957         3944481      -       
8      8      4      4/8    | 0.17      2.44      1.76      0.82      5.22         3.86      | 199204   0        121304   25678    1007     | 32     968957         3944481      -       
8      8      5      5/8    | 0.17      2.41      1.57      0.81      4.98         4.05      | 199204   0        133819   13163    1007     | 40     968957         3944481      -       
8      8      6      6/8    | 0.18      2.40      1.52      0.82      4.94         4.07      | 199204   0        140646   6336     1007     | 48     968957         3944481      -       
8      8      7      7/8    | 0.19      2.40      1.47      0.87      4.94         4.08      | 199204   0        144778   2204     1007     | 56     968957         3944481      -       
8      8      8      8/8    | 0.18      2.54      1.46      0.82      5.03         4.01      | 199204   0        147989   0        0        | 64     968957         3944481      -       
8      16     0      0/8    | 0.19      3.81      2.64      0.81      7.47         2.70      | 199204   0        0        146982   1007     | 1      1435577        3944481      -       
8      16     1      1/8    | 0.19      3.82      2.64      0.83      7.50         2.69      | 199204   0        0        146982   1007     | 8      1435577        3944481      -       
