# Matrix: c-73b
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/c-73b.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 04:26:50
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 169422
# Cols: 169422
# NNZ(A): 1279274
# NNZ(C) estimate: 3897967980
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 80.02     85.85     190.89    23.13     379.90       20.52     | 4077134  0        0        1399391  25673079 | 1      33530142       1706139858   -       
8      8      1      1/8    | 78.82     84.49     192.37    22.99     378.69       20.59     | 4077134  0        0        1399391  25673079 | 8      33530142       1706139858   -       
8      8      2      2/8    | 78.63     84.03     191.97    23.12     377.77       20.64     | 4077134  0        171545   1227846  25673079 | 16     33530142       1706139858   -       
8      8      3      3/8    | 78.61     85.31     192.18    23.15     379.26       20.56     | 4077134  0        422190   977201   25673079 | 24     33530142       1706139858   -       
8      8      4      4/8    | 79.25     84.75     190.78    23.05     377.84       20.63     | 4077134  0        909512   489879   25673079 | 32     33530142       1706139858   -       
8      8      5      5/8    | 78.78     85.13     190.65    23.07     377.65       20.64     | 4077134  0        1061274  338117   25673079 | 40     33530142       1706139858   -       
8      8      6      6/8    | 78.80     85.28     190.55    23.34     378.00       20.62     | 4077134  0        1355475  43916    25673079 | 48     33530142       1706139858   -       
8      8      7      7/8    | 78.96     85.04     190.33    23.09     377.45       20.65     | 4077134  0        1399169  222      25673079 | 56     33530142       1706139858   -       
8      8      8      8/8    | 78.53     85.55     144.98    23.12     332.20       23.47     | 4077134  0        27072470 0        0        | 64     33530142       1706139858   -       
8      16     0      0/8    | 65.57     91.47     125.58    22.40     305.05       25.56     | 4081667  0        0        1400087  25667850 | 1      35815838       1705845986   -       
8      16     1      1/8    | 65.82     90.67     125.52    22.27     304.30       25.62     | 4081667  0        0        1400087  25667850 | 8      35815838       1705845986   -       
8      16     2      2/8    | 65.05     91.61     125.16    22.79     304.64       25.59     | 4081667  0        172173   1227914  25667850 | 16     35815838       1705845986   -       
8      16     3      3/8    | 65.69     91.12     124.86    22.18     303.86       25.66     | 4081667  0        422826   977261   25667850 | 24     35815838       1705845986   -       
8      16     4      4/8    | 66.12     91.33     124.51    22.17     304.16       25.63     | 4081667  0        910155   489932   25667850 | 32     35815838       1705845986   -       
8      16     5      5/8    | 65.59     90.91     124.12    22.43     303.08       25.72     | 4081667  0        1061950  338137   25667850 | 40     35815838       1705845986   -       
8      16     6      6/8    | 65.44     91.25     123.81    22.59     303.12       25.72     | 4081667  0        1356171  43916    25667850 | 48     35815838       1705845986   -       
8      16     7      7/8    | 65.71     91.02     123.72    22.22     302.69       25.76     | 4081667  0        1399865  222      25667850 | 56     35815838       1705845986   -       
8      16     8      8/8    | 65.53     91.06     105.48    22.80     284.88       27.37     | 4081667  0        27067937 0        0        | 64     35815838       1705845986   -       
8      32     0      0/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     1      1/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     2      2/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     3      3/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     4      4/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     5      5/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     6      6/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     7      7/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
8      32     8      8/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
16     8      0      0/8    | 4.77      25.64     101.44    12.61     144.47       53.96     | 2386196  0        0        434375   6338712  | 1      9909201        1705845986   -       
16     8      1      1/8    | 4.80      24.90     101.32    12.55     143.60       54.29     | 2386196  0        0        434375   6338712  | 32     9909201        1705845986   -       
16     8      2      2/8    | 4.74      25.11     101.80    12.59     144.26       54.04     | 2386196  0        39999    394376   6338712  | 64     9909201        1705845986   -       
16     8      3      3/8    | 4.79      25.90     100.94    12.65     144.29       54.03     | 2386196  0        94426    339949   6338712  | 96     9909201        1705845986   -       
16     8      4      4/8    | 4.74      25.80     102.10    12.63     145.29       53.66     | 2386196  0        230862   203513   6338712  | 128    9909201        1705845986   -       
16     8      5      5/8    | 4.75      24.92     100.61    12.58     142.88       54.56     | 2386196  0        253890   180485   6338712  | 160    9909201        1705845986   -       
16     8      6      6/8    | 4.75      25.03     100.25    12.59     142.64       54.66     | 2386196  0        293789   140586   6338712  | 192    9909201        1705845986   -       
16     8      7      7/8    | 4.76      24.86     101.05    12.55     143.24       54.42     | 2386196  0        415489   18886    6338712  | 224    9909201        1705845986   -       
16     8      8      8/8    | 4.79      24.92     100.31    12.59     142.63       54.66     | 2386196  0        6773087  0        0        | 256    9909201        1705845986   -       
16     16     0      0/8    | 2.79      27.52     84.16     12.63     127.12       61.33     | 2386196  0        0        434375   6338712  | 1      10590815       1705845986   -       
16     16     1      1/8    | 2.83      27.78     84.84     12.72     128.19       60.82     | 2386196  0        0        434375   6338712  | 32     10590815       1705845986   -       
16     16     2      2/8    | 2.81      27.52     84.06     12.63     127.05       61.36     | 2386196  0        39999    394376   6338712  | 64     10590815       1705845986   -       
16     16     3      3/8    | 2.79      27.71     84.80     12.68     128.01       60.90     | 2386196  0        94426    339949   6338712  | 96     10590815       1705845986   -       
16     16     4      4/8    | 2.79      27.76     84.20     12.66     127.43       61.18     | 2386196  0        230862   203513   6338712  | 128    10590815       1705845986   -       
16     16     5      5/8    | 2.86      27.92     83.77     12.77     127.34       61.22     | 2386196  0        253890   180485   6338712  | 160    10590815       1705845986   -       
16     16     6      6/8    | 2.80      27.78     83.93     12.66     127.19       61.29     | 2386196  0        293789   140586   6338712  | 192    10590815       1705845986   -       
16     16     7      7/8    | 2.76      27.74     83.81     12.67     127.00       61.38     | 2386196  0        415489   18886    6338712  | 224    10590815       1705845986   -       
16     16     8      8/8    | 2.82      27.55     85.70     12.63     128.72       60.57     | 2386196  0        6773087  0        0        | 256    10590815       1705845986   -       
16     32     0      0/8    | 1.91      31.05     121.20    12.94     167.11       46.65     | 2386196  0        0        434375   6338712  | 1      11718579       1705845986   -       
16     32     1      1/8    | 1.88      30.45     121.18    12.87     166.39       46.85     | 2386196  0        0        434375   6338712  | 32     11718579       1705845986   -       
16     32     2      2/8    | 1.96      30.16     121.27    12.89     166.29       46.88     | 2386196  0        39999    394376   6338712  | 64     11718579       1705845986   -       
16     32     3      3/8    | 1.93      30.17     120.48    12.91     165.51       47.10     | 2386196  0        94426    339949   6338712  | 96     11718579       1705845986   -       
16     32     4      4/8    | 1.90      30.32     120.03    12.87     165.14       47.21     | 2386196  0        230862   203513   6338712  | 128    11718579       1705845986   -       
16     32     5      5/8    | 1.94      31.12     119.83    12.90     165.81       47.02     | 2386196  0        253890   180485   6338712  | 160    11718579       1705845986   -       
16     32     6      6/8    | 1.91      30.84     119.46    12.91     165.14       47.21     | 2386196  0        293789   140586   6338712  | 192    11718579       1705845986   -       
16     32     7      7/8    | 1.92      30.35     119.08    12.89     164.26       47.46     | 2386196  0        415489   18886    6338712  | 224    11718579       1705845986   -       
16     32     8      8/8    | 1.87      30.27     85.26     12.86     130.27       59.84     | 2386196  0        6773087  0        0        | 256    11718579       1705845986   -       
32     8      0      0/8    | 3.96      19.35     79.72     12.53     115.58       67.45     | 1165296  0        0        141092   1555645  | 1      3145331        1705845986   -       
32     8      1      1/8    | 3.97      19.39     79.36     12.53     115.26       67.64     | 1165296  0        0        141092   1555645  | 128    3145331        1705845986   -       
32     8      2      2/8    | 3.97      19.43     79.20     12.51     115.13       67.71     | 1165296  0        13084    128008   1555645  | 256    3145331        1705845986   -       
32     8      3      3/8    | 3.97      19.38     79.10     12.52     114.99       67.80     | 1165296  0        22239    118853   1555645  | 384    3145331        1705845986   -       
32     8      4      4/8    | 3.98      19.41     78.57     12.63     114.61       68.02     | 1165296  0        64263    76829    1555645  | 512    3145331        1705845986   -       
32     8      5      5/8    | 3.99      19.40     79.18     12.48     115.07       67.75     | 1165296  0        66749    74343    1555645  | 640    3145331        1705845986   -       
32     8      6      6/8    | 3.98      19.40     79.12     12.49     115.01       67.78     | 1165296  0        73192    67900    1555645  | 768    3145331        1705845986   -       
32     8      7      7/8    | 3.98      19.37     78.98     12.51     114.86       67.87     | 1165296  0        91145    49947    1555645  | 896    3145331        1705845986   -       
32     8      8      8/8    | 3.98      19.32     127.52    12.60     163.44       47.70     | 1165296  0        1696737  0        0        | 1024   3145331        1705845986   -       
32     16     0      0/8    | 2.15      15.18     94.44     12.50     124.28       62.73     | 1165296  0        0        141092   1555645  | 1      3421131        1705845986   -       
32     16     1      1/8    | 2.15      15.21     94.59     12.67     124.63       62.55     | 1165296  0        0        141092   1555645  | 128    3421131        1705845986   -       
32     16     2      2/8    | 2.15      15.23     93.89     12.54     123.83       62.96     | 1165296  0        13084    128008   1555645  | 256    3421131        1705845986   -       
32     16     3      3/8    | 2.15      15.20     93.42     12.56     123.35       63.20     | 1165296  0        22239    118853   1555645  | 384    3421131        1705845986   -       
32     16     4      4/8    | 2.14      15.20     93.22     12.50     123.08       63.34     | 1165296  0        64263    76829    1555645  | 512    3421131        1705845986   -       
32     16     5      5/8    | 2.15      15.45     93.33     12.59     123.53       63.11     | 1165296  0        66749    74343    1555645  | 640    3421131        1705845986   -       
32     16     6      6/8    | 2.15      15.31     93.24     12.70     123.42       63.17     | 1165296  0        73192    67900    1555645  | 768    3421131        1705845986   -       
32     16     7      7/8    | 2.16      15.32     93.18     12.52     123.19       63.28     | 1165296  0        91145    49947    1555645  | 896    3421131        1705845986   -       
32     16     8      8/8    | 2.17      15.37     115.39    12.57     145.53       53.57     | 1165296  0        1696737  0        0        | 1024   3421131        1705845986   -       
32     32     0      0/8    | 1.27      13.45     107.00    12.82     134.55       57.94     | 1165296  0        0        141092   1555645  | 1      3799587        1705845986   -       
32     32     1      1/8    | 1.26      12.95     107.06    12.58     133.87       58.23     | 1165296  0        0        141092   1555645  | 128    3799587        1705845986   -       
32     32     2      2/8    | 1.28      13.15     106.12    12.65     133.22       58.52     | 1165296  0        13084    128008   1555645  | 256    3799587        1705845986   -       
32     32     3      3/8    | 1.25      13.11     105.90    12.61     132.90       58.66     | 1165296  0        22239    118853   1555645  | 384    3799587        1705845986   -       
32     32     4      4/8    | 1.26      13.12     105.19    12.68     132.26       58.94     | 1165296  0        64263    76829    1555645  | 512    3799587        1705845986   -       
32     32     5      5/8    | 1.25      13.12     105.05    12.65     132.09       59.02     | 1165296  0        66749    74343    1555645  | 640    3799587        1705845986   -       
32     32     6      6/8    | 1.26      12.89     104.73    12.59     131.48       59.29     | 1165296  0        73192    67900    1555645  | 768    3799587        1705845986   -       
32     32     7      7/8    | 1.25      13.24     104.54    12.58     131.62       59.23     | 1165296  0        91145    49947    1555645  | 896    3799587        1705845986   -       
32     32     8      8/8    | 1.26      12.84     109.69    12.65     136.45       57.13     | 1165296  0        1696737  0        0        | 1024   3799587        1705845986   -       
