# Matrix: caidaRouterLevel
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/caidaRouterLevel.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 04:51:11
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 192244
# Cols: 192244
# NNZ(A): 1218132
# NNZ(C) estimate: 46155586
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 93.09     145.30    39.83     8.24      286.48       0.32      | 15614818 0        0        44000    131      | 1      57469651       22152022     -       
8      8      1      1/8    | 92.95     145.28    39.94     8.33      286.51       0.32      | 15614818 0        0        44000    131      | 8      57469651       22152022     -       
8      8      2      2/8    | 93.66     151.70    39.84     8.17      293.38       0.31      | 15614818 0        37861    6139     131      | 16     57469651       22152022     -       
8      8      3      3/8    | 91.52     150.53    39.52     8.18      289.78       0.32      | 15614818 0        41803    2197     131      | 24     57469651       22152022     -       
8      8      4      4/8    | 91.32     150.38    39.64     8.56      289.92       0.32      | 15614818 0        43022    978      131      | 32     57469651       22152022     -       
8      8      5      5/8    | 92.13     145.25    39.51     8.20      285.10       0.32      | 15614818 0        43506    494      131      | 40     57469651       22152022     -       
8      8      6      6/8    | 92.19     144.39    39.64     8.25      284.50       0.32      | 15614818 0        43768    232      131      | 48     57469651       22152022     -       
8      8      7      7/8    | 91.73     144.57    39.61     8.16      284.09       0.32      | 15614818 0        44000    0        131      | 56     57469651       22152022     -       
8      8      8      8/8    | 93.74     144.44    39.61     8.17      285.99       0.32      | 15614818 0        44131    0        0        | 64     57469651       22152022     -       
8      16     0      0/8    | 176.96    232.21    50.42     7.86      467.47       0.20      | 15614818 0        0        44000    131      | 1      92160869       22152022     -       
8      16     1      1/8    | 176.32    233.96    50.36     7.64      468.30       0.20      | 15614818 0        0        44000    131      | 8      92160869       22152022     -       
8      16     2      2/8    | 178.56    231.09    50.15     7.59      467.41       0.20      | 15614818 0        37861    6139     131      | 16     92160869       22152022     -       
8      16     3      3/8    | 178.52    244.04    49.98     7.70      480.26       0.19      | 15614818 0        41803    2197     131      | 24     92160869       22152022     -       
8      16     4      4/8    | 176.89    243.73    49.93     7.57      478.14       0.19      | 15614818 0        43022    978      131      | 32     92160869       22152022     -       
8      16     5      5/8    | 180.50    242.92    49.96     7.55      480.95       0.19      | 15614818 0        43506    494      131      | 40     92160869       22152022     -       
8      16     6      6/8    | 175.48    240.26    49.95     7.60      473.30       0.20      | 15614818 0        43768    232      131      | 48     92160869       22152022     -       
8      16     7      7/8    | 175.81    234.73    49.97     7.85      468.39       0.20      | 15614818 0        44000    0        131      | 56     92160869       22152022     -       
8      16     8      8/8    | 176.52    233.08    49.98     7.64      467.23       0.20      | 15614818 0        44131    0        0        | 64     92160869       22152022     -       
8      32     0      0/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     1      1/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     2      2/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     3      3/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     4      4/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     5      5/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     6      6/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     7      7/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
8      32     8      8/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            cuda_error
16     8      0      0/8    | 3.94      102.29    55.00     3.42      164.67       0.56      | 12688599 0        0        4117     10       | 1      38805920       22152022     -       
16     8      1      1/8    | 3.90      98.32     54.66     3.39      160.28       0.58      | 12688599 0        0        4117     10       | 32     38805920       22152022     -       
16     8      2      2/8    | 3.90      98.31     54.32     3.37      159.91       0.58      | 12688599 0        3364     753      10       | 64     38805920       22152022     -       
16     8      3      3/8    | 3.90      98.21     54.46     3.39      159.97       0.58      | 12688599 0        3863     254      10       | 96     38805920       22152022     -       
16     8      4      4/8    | 3.91      98.05     54.25     3.40      159.62       0.58      | 12688599 0        4005     112      10       | 128    38805920       22152022     -       
16     8      5      5/8    | 3.93      102.32    54.43     3.49      164.19       0.56      | 12688599 0        4036     81       10       | 160    38805920       22152022     -       
16     8      6      6/8    | 3.93      101.17    54.32     3.39      162.84       0.57      | 12688599 0        4074     43       10       | 192    38805920       22152022     -       
16     8      7      7/8    | 3.91      98.79     54.48     3.42      160.62       0.57      | 12688599 0        4109     8        10       | 224    38805920       22152022     -       
16     8      8      8/8    | 3.91      98.04     54.42     3.37      159.76       0.58      | 12688599 0        4127     0        0        | 256    38805920       22152022     -       
16     16     0      0/8    | 5.27      141.66    65.69     4.38      217.02       0.43      | 12688599 0        0        4117     10       | 1      55861674       22152022     -       
16     16     1      1/8    | 5.24      141.64    65.73     4.36      216.99       0.43      | 12688599 0        0        4117     10       | 32     55861674       22152022     -       
16     16     2      2/8    | 5.25      141.74    65.39     4.37      216.77       0.43      | 12688599 0        3364     753      10       | 64     55861674       22152022     -       
16     16     3      3/8    | 5.30      141.42    65.39     4.35      216.48       0.43      | 12688599 0        3863     254      10       | 96     55861674       22152022     -       
16     16     4      4/8    | 5.26      140.92    65.33     4.36      215.88       0.43      | 12688599 0        4005     112      10       | 128    55861674       22152022     -       
16     16     5      5/8    | 5.28      141.07    65.31     4.35      216.02       0.43      | 12688599 0        4036     81       10       | 160    55861674       22152022     -       
16     16     6      6/8    | 5.27      141.71    65.39     4.38      216.77       0.43      | 12688599 0        4074     43       10       | 192    55861674       22152022     -       
16     16     7      7/8    | 5.27      141.10    65.36     4.36      216.10       0.43      | 12688599 0        4109     8        10       | 224    55861674       22152022     -       
16     16     8      8/8    | 5.30      141.43    65.29     4.42      216.46       0.43      | 12688599 0        4127     0        0        | 256    55861674       22152022     -       
16     32     0      0/8    | 7.08      202.74    94.81     6.53      311.17       0.30      | 12688599 0        0        4117     10       | 1      76395404       22152022     -       
16     32     1      1/8    | 7.09      208.31    94.74     6.57      316.73       0.29      | 12688599 0        0        4117     10       | 32     76395404       22152022     -       
16     32     2      2/8    | 7.04      203.01    94.05     6.58      310.70       0.30      | 12688599 0        3364     753      10       | 64     76395404       22152022     -       
16     32     3      3/8    | 7.08      207.77    94.14     6.55      315.56       0.29      | 12688599 0        3863     254      10       | 96     76395404       22152022     -       
16     32     4      4/8    | 7.03      205.31    94.12     6.54      313.03       0.29      | 12688599 0        4005     112      10       | 128    76395404       22152022     -       
16     32     5      5/8    | 7.07      203.45    94.55     6.56      311.66       0.30      | 12688599 0        4036     81       10       | 160    76395404       22152022     -       
16     32     6      6/8    | 7.04      207.30    94.16     6.53      315.05       0.29      | 12688599 0        4074     43       10       | 192    76395404       22152022     -       
16     32     7      7/8    | 7.12      206.13    94.12     6.56      313.94       0.29      | 12688599 0        4109     8        10       | 224    76395404       22152022     -       
16     32     8      8/8    | 7.12      205.54    94.20     6.50      313.38       0.29      | 12688599 0        4127     0        0        | 256    76395404       22152022     -       
32     8      0      0/8    | 3.19      82.98     80.16     4.45      170.81       0.54      | 8741677  0        0        482      1        | 1      20161420       22152022     -       
32     8      1      1/8    | 3.20      82.96     80.20     4.42      170.81       0.54      | 8741677  0        0        482      1        | 128    20161420       22152022     -       
32     8      2      2/8    | 3.19      83.03     79.67     4.45      170.37       0.54      | 8741677  0        391      91       1        | 256    20161420       22152022     -       
32     8      3      3/8    | 3.17      83.11     79.60     4.51      170.43       0.54      | 8741677  0        450      32       1        | 384    20161420       22152022     -       
32     8      4      4/8    | 3.19      82.97     79.62     4.39      170.22       0.54      | 8741677  0        463      19       1        | 512    20161420       22152022     -       
32     8      5      5/8    | 3.19      83.14     79.58     4.45      170.40       0.54      | 8741677  0        471      11       1        | 640    20161420       22152022     -       
