# Matrix: copter2
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/copter2.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:01:26
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 55476
# Cols: 55476
# NNZ(A): 759952
# NNZ(C) estimate: 11383564
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.21      3.94      3.23      0.84      8.23         2.77      | 359270   0        0        148238   23       | 1      1491963        3752130      -       
8      8      1      1/8    | 0.22      3.92      3.22      0.82      8.20         2.78      | 359270   0        0        148238   23       | 8      1491963        3752130      -       
8      8      2      2/8    | 0.21      3.95      2.65      0.84      7.66         2.97      | 359270   0        89838    58400    23       | 16     1491963        3752130      -       
8      8      3      3/8    | 0.21      3.95      2.35      0.83      7.34         3.10      | 359270   0        124766   23472    23       | 24     1491963        3752130      -       
8      8      4      4/8    | 0.21      3.98      2.35      0.85      7.39         3.08      | 359270   0        138511   9727     23       | 32     1491963        3752130      -       
8      8      5      5/8    | 0.21      3.96      2.12      0.85      7.16         3.18      | 359270   0        145252   2986     23       | 40     1491963        3752130      -       
8      8      6      6/8    | 0.22      3.96      2.13      0.83      7.16         3.18      | 359270   0        147185   1053     23       | 48     1491963        3752130      -       
8      8      7      7/8    | 0.23      4.05      2.14      0.87      7.30         3.12      | 359270   0        148059   179      23       | 56     1491963        3752130      -       
8      8      8      8/8    | 0.22      4.10      2.10      0.85      7.29         3.12      | 359270   0        148261   0        0        | 64     1491963        3752130      -       
8      16     0      0/8    | 0.25      5.66      3.76      0.91      10.60        2.15      | 359270   0        0        148238   23       | 1      2149077        3752130      -       
8      16     1      1/8    | 0.25      5.69      3.77      0.91      10.63        2.14      | 359270   0        0        148238   23       | 8      2149077        3752130      -       
8      16     2      2/8    | 0.25      5.87      2.91      0.92      9.96         2.29      | 359270   0        89838    58400    23       | 16     2149077        3752130      -       
8      16     3      3/8    | 0.25      5.65      2.51      0.93      9.36         2.43      | 359270   0        124766   23472    23       | 24     2149077        3752130      -       
8      16     4      4/8    | 0.24      5.63      2.43      0.88      9.20         2.47      | 359270   0        138511   9727     23       | 32     2149077        3752130      -       
8      16     5      5/8    | 0.25      5.87      2.18      0.94      9.25         2.46      | 359270   0        145252   2986     23       | 40     2149077        3752130      -       
8      16     6      6/8    | 0.25      5.84      2.17      0.90      9.18         2.48      | 359270   0        147185   1053     23       | 48     2149077        3752130      -       
8      16     7      7/8    | 0.26      5.91      2.15      0.95      9.29         2.45      | 359270   0        148059   179      23       | 56     2149077        3752130      -       
8      16     8      8/8    | 0.24      5.68      2.12      0.91      8.97         2.54      | 359270   0        148261   0        0        | 64     2149077        3752130      -       
8      32     0      0/8    | 0.31      7.99      5.79      0.94      15.04        1.51      | 359270   0        0        148238   23       | 1      3026423        3752130      -       
8      32     1      1/8    | 0.31      8.17      5.80      0.93      15.23        1.49      | 359270   0        0        148238   23       | 8      3026423        3752130      -       
8      32     2      2/8    | 0.30      7.83      3.97      0.93      13.05        1.75      | 359270   0        89838    58400    23       | 16     3026423        3752130      -       
8      32     3      3/8    | 0.30      7.85      3.08      0.96      12.21        1.87      | 359270   0        124766   23472    23       | 24     3026423        3752130      -       
8      32     4      4/8    | 0.32      8.10      2.64      0.98      12.06        1.89      | 359270   0        138511   9727     23       | 32     3026423        3752130      -       
8      32     5      5/8    | 0.31      8.07      2.45      0.98      11.83        1.92      | 359270   0        145252   2986     23       | 40     3026423        3752130      -       
8      32     6      6/8    | 0.32      8.16      2.44      0.96      11.89        1.91      | 359270   0        147185   1053     23       | 48     3026423        3752130      -       
8      32     7      7/8    | 0.31      7.95      2.40      0.95      11.62        1.96      | 359270   0        148059   179      23       | 56     3026423        3752130      -       
8      32     8      8/8    | 0.31      7.90      2.19      0.92      11.34        2.01      | 359270   0        148261   0        0        | 64     3026423        3752130      -       
16     8      0      0/8    | 0.20      1.85      2.78      0.82      5.66         4.02      | 239483   0        0        30875    0        | 1      625990         3752130      -       
16     8      1      1/8    | 0.20      1.87      2.79      0.81      5.68         4.00      | 239483   0        0        30875    0        | 32     625990         3752130      -       
16     8      2      2/8    | 0.18      1.85      2.19      0.76      5.00         4.55      | 239483   0        24322    6553     0        | 64     625990         3752130      -       
16     8      3      3/8    | 0.19      1.84      2.03      0.80      4.87         4.67      | 239483   0        29335    1540     0        | 96     625990         3752130      -       
16     8      4      4/8    | 0.20      1.82      2.05      0.84      4.93         4.62      | 239483   0        30461    414      0        | 128    625990         3752130      -       
16     8      5      5/8    | 0.19      1.83      2.05      0.79      4.88         4.67      | 239483   0        30797    78       0        | 160    625990         3752130      -       
16     8      6      6/8    | 0.18      1.84      2.06      0.79      4.88         4.66      | 239483   0        30874    1        0        | 192    625990         3752130      -       
16     8      7      7/8    | 0.19      1.77      2.05      0.79      4.82         4.73      | 239483   0        30875    0        0        | 224    625990         3752130      -       
16     8      8      8/8    | 0.19      1.83      2.05      0.78      4.86         4.68      | 239483   0        30875    0        0        | 256    625990         3752130      -       
16     16     0      0/8    | 0.20      2.32      2.73      0.91      6.17         3.69      | 239483   0        0        30875    0        | 1      828210         3752130      -       
16     16     1      1/8    | 0.19      2.27      2.72      0.84      6.04         3.77      | 239483   0        0        30875    0        | 32     828210         3752130      -       
16     16     2      2/8    | 0.19      2.28      2.10      0.85      5.43         4.19      | 239483   0        24322    6553     0        | 64     828210         3752130      -       
16     16     3      3/8    | 0.19      2.46      1.99      0.82      5.47         4.16      | 239483   0        29335    1540     0        | 96     828210         3752130      -       
16     16     4      4/8    | 0.19      2.29      2.00      0.81      5.30         4.29      | 239483   0        30461    414      0        | 128    828210         3752130      -       
16     16     5      5/8    | 0.19      2.45      1.99      0.85      5.49         4.15      | 239483   0        30797    78       0        | 160    828210         3752130      -       
16     16     6      6/8    | 0.18      2.27      1.88      0.82      5.16         4.41      | 239483   0        30874    1        0        | 192    828210         3752130      -       
16     16     7      7/8    | 0.18      2.27      1.85      0.83      5.15         4.42      | 239483   0        30875    0        0        | 224    828210         3752130      -       
16     16     8      8/8    | 0.19      2.38      1.84      0.83      5.26         4.33      | 239483   0        30875    0        0        | 256    828210         3752130      -       
16     32     0      0/8    | 0.20      3.00      4.18      0.85      8.25         2.76      | 239483   0        0        30875    0        | 1      1112986        3752130      -       
16     32     1      1/8    | 0.20      3.00      4.21      0.84      8.27         2.75      | 239483   0        0        30875    0        | 32     1112986        3752130      -       
16     32     2      2/8    | 0.20      2.97      2.67      0.85      6.70         3.40      | 239483   0        24322    6553     0        | 64     1112986        3752130      -       
16     32     3      3/8    | 0.20      3.13      2.28      0.87      6.49         3.51      | 239483   0        29335    1540     0        | 96     1112986        3752130      -       
