# Matrix: ct20stif
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/ct20stif.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:04:44
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 52329
# Cols: 52329
# NNZ(A): 2698463
# NNZ(C) estimate: 154237335
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.18      1.82      2.67      0.89      5.57         55.35     | 57455    0        0        219334   46607    | 1      634610         10016951     -       
8      8      1      1/8    | 0.19      1.86      2.67      1.08      5.80         53.18     | 57455    0        0        219334   46607    | 8      634610         10016951     -       
8      8      2      2/8    | 0.17      1.72      2.63      0.83      5.36         57.56     | 57455    0        56791    162543   46607    | 16     634610         10016951     -       
8      8      3      3/8    | 0.18      1.88      2.60      0.91      5.58         55.28     | 57455    0        99961    119373   46607    | 24     634610         10016951     -       
8      8      4      4/8    | 0.17      1.83      2.71      0.86      5.58         55.27     | 57455    0        136339   82995    46607    | 32     634610         10016951     -       
8      8      5      5/8    | 0.17      1.85      2.65      0.90      5.61         55.04     | 57455    0        163669   55665    46607    | 40     634610         10016951     -       
8      8      6      6/8    | 0.16      1.84      2.74      0.89      5.66         54.46     | 57455    0        188455   30879    46607    | 48     634610         10016951     -       
8      8      7      7/8    | 0.17      1.85      2.84      0.93      5.81         53.08     | 57455    0        208739   10595    46607    | 56     634610         10016951     -       
8      8      8      8/8    | 0.17      1.82      3.87      0.87      6.74         45.75     | 57455    0        265941   0        0        | 64     634610         10016951     -       
8      16     0      0/8    | 0.15      2.14      2.72      0.89      5.91         52.21     | 57455    0        0        219334   46607    | 1      783532         10016951     -       
8      16     1      1/8    | 0.16      2.15      2.73      0.86      5.92         52.12     | 57455    0        0        219334   46607    | 8      783532         10016951     -       
8      16     2      2/8    | 0.15      2.19      2.62      0.85      5.83         52.92     | 57455    0        56791    162543   46607    | 16     783532         10016951     -       
8      16     3      3/8    | 0.15      2.09      2.56      0.84      5.65         54.64     | 57455    0        99961    119373   46607    | 24     783532         10016951     -       
8      16     4      4/8    | 0.16      2.20      2.63      0.87      5.88         52.47     | 57455    0        136339   82995    46607    | 32     783532         10016951     -       
8      16     5      5/8    | 0.16      2.12      2.56      0.86      5.72         53.89     | 57455    0        163669   55665    46607    | 40     783532         10016951     -       
8      16     6      6/8    | 0.16      2.13      2.66      0.86      5.83         52.96     | 57455    0        188455   30879    46607    | 48     783532         10016951     -       
8      16     7      7/8    | 0.16      2.16      2.73      0.89      5.96         51.77     | 57455    0        208739   10595    46607    | 56     783532         10016951     -       
8      16     8      8/8    | 0.16      2.17      3.75      0.86      6.96         44.29     | 57455    0        265941   0        0        | 64     783532         10016951     -       
8      32     0      0/8    | 0.17      2.79      4.34      0.90      8.20         37.61     | 57455    0        0        219334   46607    | 1      1004786        10016951     -       
8      32     1      1/8    | 0.17      2.84      4.35      0.96      8.34         37.01     | 57455    0        0        219334   46607    | 8      1004786        10016951     -       
8      32     2      2/8    | 0.17      2.84      4.05      0.92      8.00         38.58     | 57455    0        56791    162543   46607    | 16     1004786        10016951     -       
