# Matrix: dc2
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/dc2.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:12:34
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 116835
# Cols: 116835
# NNZ(A): 766396
# NNZ(C) estimate: 13044214110
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 28.41     544.90    340.38    9.35      923.07       28.26     | 274546   0        0        21856151 187813319 | 1      209952368      152720080    -       
8      8      1      1/8    | 28.51     530.10    268.88    9.40      836.91       31.17     | 274546   0        0        21856151 187813319 | 8      209952368      152720080    -       
8      8      2      2/8    | 28.62     529.80    272.41    9.29      840.14       31.05     | 274546   0        372187   21483964 187813319 | 16     209952368      152720080    -       
8      8      3      3/8    | 28.47     532.20    333.95    9.33      903.99       28.86     | 274546   0        1164224  20691927 187813319 | 24     209952368      152720080    -       
8      8      4      4/8    | 28.65     528.39    265.49    9.35      831.91       31.36     | 274546   0        3171946  18684205 187813319 | 32     209952368      152720080    -       
8      8      5      5/8    | 28.63     533.70    279.73    9.37      851.44       30.64     | 274546   0        5317229  16538922 187813319 | 40     209952368      152720080    -       
8      8      6      6/8    | 28.48     534.11    269.65    9.21      841.47       31.00     | 274546   0        15702707 6153444  187813319 | 48     209952368      152720080    -       
8      8      7      7/8    | 28.66     533.23    336.62    9.33      907.86       28.74     | 274546   0        21854605 1546     187813319 | 56     209952368      152720080    -       
8      8      8      8/8    | 28.32     531.59    274.73    9.36      844.02       30.91     | 274546   0        209669470 0        0        | 64     209952368      152720080    -       
8      16     0      0/8    | 22.89     596.64    266.65    9.49      895.70       29.13     | 274546   0        0        21856151 187813319 | 1      209961884      152720080    -       
8      16     1      1/8    | 22.88     592.24    339.56    9.52      964.23       27.06     | 274546   0        0        21856151 187813319 | 8      209961884      152720080    -       
8      16     2      2/8    | 23.02     591.12    272.03    9.39      895.58       29.13     | 274546   0        372187   21483964 187813319 | 16     209961884      152720080    -       
8      16     3      3/8    | 22.80     576.28    275.68    9.50      884.28       29.50     | 274546   0        1164224  20691927 187813319 | 24     209961884      152720080    -       
8      16     4      4/8    | 23.07     597.87    269.09    9.55      899.60       29.00     | 274546   0        3171946  18684205 187813319 | 32     209961884      152720080    -       
8      16     5      5/8    | 22.63     580.32    341.43    9.53      953.93       27.35     | 274546   0        5317229  16538922 187813319 | 40     209961884      152720080    -       
8      16     6      6/8    | 23.06     531.57    271.15    9.57      835.38       31.23     | 274546   0        15702707 6153444  187813319 | 48     209961884      152720080    -       
8      16     7      7/8    | 22.73     592.31    273.21    9.48      897.75       29.06     | 274546   0        21854605 1546     187813319 | 56     209961884      152720080    -       
8      16     8      8/8    | 23.06     580.80    340.56    9.55      954.00       27.35     | 274546   0        209669470 0        0        | 64     209961884      152720080    -       
8      32     0      0/8    | 19.88     533.29    274.98    9.46      837.64       31.15     | 274546   0        0        21856151 187813319 | 1      209977770      152720080    -       
8      32     1      1/8    | 19.69     550.81    277.24    9.49      857.34       30.43     | 274546   0        0        21856151 187813319 | 8      209977770      152720080    -       
8      32     2      2/8    | 19.85     547.99    346.02    9.44      923.33       28.25     | 274546   0        372187   21483964 187813319 | 16     209977770      152720080    -       
8      32     3      3/8    | 20.03     535.31    264.43    9.47      829.25       31.46     | 274546   0        1164224  20691927 187813319 | 24     209977770      152720080    -       
8      32     4      4/8    | 19.72     532.93    279.34    9.45      841.47       31.00     | 274546   0        3171946  18684205 187813319 | 32     209977770      152720080    -       
8      32     5      5/8    | 19.99     553.82    272.24    9.43      855.57       30.49     | 274546   0        5317229  16538922 187813319 | 40     209977770      152720080    -       
8      32     6      6/8    | 19.94     550.08    354.12    9.49      933.65       27.94     | 274546   0        15702707 6153444  187813319 | 48     209977770      152720080    -       
8      32     7      7/8    | 19.84     547.98    272.94    9.41      850.21       30.68     | 274546   0        21854605 1546     187813319 | 56     209977770      152720080    -       
8      32     8      8/8    | 19.90     544.99    270.85    9.44      845.20       30.87     | 274546   0        209669470 0        0        | 64     209977770      152720080    -       
16     8      0      0/8    | 15.40     136.41    333.39    5.07      490.30       53.21     | 165543   0        0        9216662  43309560 | 1      52694496       152720080    -       
16     8      1      1/8    | 15.29     135.03    271.12    5.03      426.49       61.17     | 165543   0        0        9216662  43309560 | 32     52694496       152720080    -       
16     8      2      2/8    | 15.37     134.42    353.13    5.02      507.96       51.36     | 165543   0        88241    9128421  43309560 | 64     52694496       152720080    -       
16     8      3      3/8    | 15.37     134.20    271.10    5.06      425.74       61.28     | 165543   0        205266   9011396  43309560 | 96     52694496       152720080    -       
16     8      4      4/8    | 15.32     135.56    267.33    5.04      423.27       61.64     | 165543   0        334174   8882488  43309560 | 128    52694496       152720080    -       
16     8      5      5/8    | 15.41     138.84    280.19    5.05      439.52       59.36     | 165543   0        704901   8511761  43309560 | 160    52694496       152720080    -       
16     8      6      6/8    | 15.33     138.36    343.54    5.09      502.35       51.93     | 165543   0        2194427  7022235  43309560 | 192    52694496       152720080    -       
16     8      7      7/8    | 15.40     138.16    267.15    5.09      425.82       61.27     | 165543   0        7667295  1549367  43309560 | 224    52694496       152720080    -       
16     8      8      8/8    | 15.39     139.16    266.38    5.04      426.00       61.24     | 165543   0        52526222 0        0        | 256    52694496       152720080    -       
16     16     0      0/8    | 10.15     136.99    342.53    5.08      494.76       52.73     | 165543   0        0        9216662  43309560 | 1      52695886       152720080    -       
16     16     1      1/8    | 10.26     135.74    426.56    5.01      577.60       45.17     | 165543   0        0        9216662  43309560 | 32     52695886       152720080    -       
16     16     2      2/8    | 10.16     135.54    518.87    4.99      669.60       38.96     | 165543   0        88241    9128421  43309560 | 64     52695886       152720080    -       
