# Matrix: fem_filter
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/fem_filter.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:29:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 74062
# Cols: 74062
# NNZ(A): 1731206
# NNZ(C) estimate: 366086732
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.84      9.11      19.69     0.96      30.62        23.91     | 536231   0        0        291105   154      | 1      2481532        8424292      -       
8      8      1      1/8    | 0.81      9.10      19.71     0.96      30.60        23.93     | 536231   0        0        291105   154      | 8      2481532        8424292      -       
8      8      2      2/8    | 0.82      8.72      18.51     0.95      29.02        25.23     | 536231   0        133072   158033   154      | 16     2481532        8424292      -       
8      8      3      3/8    | 0.82      9.01      17.04     0.95      27.84        26.30     | 536231   0        197324   93781    154      | 24     2481532        8424292      -       
8      8      4      4/8    | 0.82      8.64      16.73     0.95      27.16        26.96     | 536231   0        228764   62341    154      | 32     2481532        8424292      -       
8      8      5      5/8    | 0.82      9.03      14.73     0.98      25.59        28.61     | 536231   0        254283   36822    154      | 40     2481532        8424292      -       
8      8      6      6/8    | 0.81      8.72      13.46     1.00      24.02        30.48     | 536231   0        279250   11855    154      | 48     2481532        8424292      -       
8      8      7      7/8    | 0.82      8.92      13.03     0.95      23.74        30.84     | 536231   0        289081   2024     154      | 56     2481532        8424292      -       
8      8      8      8/8    | 0.82      8.66      12.57     0.93      23.00        31.83     | 536231   0        291259   0        0        | 64     2481532        8424292      -       
8      16     0      0/8    | 0.63      9.28      19.64     0.98      30.54        23.97     | 536231   0        0        291105   154      | 1      3456240        8424292      -       
8      16     1      1/8    | 0.64      8.81      19.68     1.01      30.17        24.27     | 536231   0        0        291105   154      | 8      3456240        8424292      -       
8      16     2      2/8    | 0.64      9.06      17.87     1.02      28.61        25.59     | 536231   0        133072   158033   154      | 16     3456240        8424292      -       
8      16     3      3/8    | 0.63      9.08      15.77     0.99      26.49        27.64     | 536231   0        197324   93781    154      | 24     3456240        8424292      -       
8      16     4      4/8    | 0.64      9.22      14.85     1.02      25.74        28.44     | 536231   0        228764   62341    154      | 32     3456240        8424292      -       
8      16     5      5/8    | 0.64      9.10      12.76     0.99      23.50        31.15     | 536231   0        254283   36822    154      | 40     3456240        8424292      -       
8      16     6      6/8    | 0.63      8.97      11.50     1.02      22.15        33.06     | 536231   0        279250   11855    154      | 48     3456240        8424292      -       
8      16     7      7/8    | 0.64      8.85      11.09     1.00      21.59        33.91     | 536231   0        289081   2024     154      | 56     3456240        8424292      -       
8      16     8      8/8    | 0.65      9.17      10.90     1.02      21.75        33.66     | 536231   0        291259   0        0        | 64     3456240        8424292      -       
8      32     0      0/8    | 0.63      13.28     20.67     1.09      35.69        20.52     | 536231   0        0        291105   154      | 1      5076424        8424292      -       
8      32     1      1/8    | 0.61      13.54     20.60     1.08      35.85        20.42     | 536231   0        0        291105   154      | 8      5076424        8424292      -       
8      32     2      2/8    | 0.62      13.21     17.98     1.07      32.89        22.26     | 536231   0        133072   158033   154      | 16     5076424        8424292      -       
8      32     3      3/8    | 0.62      13.11     15.62     1.06      30.42        24.07     | 536231   0        197324   93781    154      | 24     5076424        8424292      -       
