# Matrix: id2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/id2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 05:59:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 149842
# Cols: 149842
# NNZ(A): 728264
# NNZ(C) estimate: 5578664
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.61      16.82     4.48      1.10      24.02        0.46      | 1905225  0        0        29342    0        | 1      6609441        3898244      -       
8      8      1      1/8    | 1.54      16.64     4.48      1.05      23.73        0.47      | 1905225  0        0        29342    0        | 8      6609441        3898244      -       
8      8      2      2/8    | 1.60      17.74     4.19      1.11      24.67        0.45      | 1905225  0        27047    2295     0        | 16     6609441        3898244      -       
8      8      3      3/8    | 1.76      17.49     4.18      1.16      24.62        0.45      | 1905225  0        29064    278      0        | 24     6609441        3898244      -       
8      8      4      4/8    | 1.58      17.16     4.19      1.12      24.07        0.46      | 1905225  0        29285    57       0        | 32     6609441        3898244      -       
8      8      5      5/8    | 1.59      17.29     4.13      1.09      24.12        0.46      | 1905225  0        29328    14       0        | 40     6609441        3898244      -       
8      8      6      6/8    | 1.58      17.39     4.13      1.09      24.22        0.46      | 1905225  0        29339    3        0        | 48     6609441        3898244      -       
8      8      7      7/8    | 1.62      17.21     4.13      1.07      24.05        0.46      | 1905225  0        29342    0        0        | 56     6609441        3898244      -       
8      8      8      8/8    | 1.59      16.51     4.14      1.07      23.33        0.48      | 1905225  0        29342    0        0        | 64     6609441        3898244      -       
8      16     0      0/8    | 2.15      22.81     5.69      1.17      31.83        0.35      | 1905225  0        0        29342    0        | 1      9125089        3898244      -       
8      16     1      1/8    | 2.23      23.92     5.70      1.18      33.05        0.34      | 1905225  0        0        29342    0        | 8      9125089        3898244      -       
8      16     2      2/8    | 2.19      23.76     5.23      1.19      32.39        0.34      | 1905225  0        27047    2295     0        | 16     9125089        3898244      -       
8      16     3      3/8    | 2.20      23.89     5.20      1.21      32.52        0.34      | 1905225  0        29064    278      0        | 24     9125089        3898244      -       
8      16     4      4/8    | 2.17      23.69     5.20      1.21      32.29        0.35      | 1905225  0        29285    57       0        | 32     9125089        3898244      -       
8      16     5      5/8    | 2.16      23.67     5.16      1.20      32.20        0.35      | 1905225  0        29328    14       0        | 40     9125089        3898244      -       
8      16     6      6/8    | 2.20      23.55     5.17      1.21      32.15        0.35      | 1905225  0        29339    3        0        | 48     9125089        3898244      -       
8      16     7      7/8    | 2.19      24.04     5.17      1.25      32.67        0.34      | 1905225  0        29342    0        0        | 56     9125089        3898244      -       
8      16     8      8/8    | 2.16      23.78     5.17      1.17      32.30        0.35      | 1905225  0        29342    0        0        | 64     9125089        3898244      -       
8      32     0      0/8    | 3.05      30.32     7.13      1.30      41.83        0.27      | 1905225  0        0        29342    0        | 1      11557431       3898244      -       
8      32     1      1/8    | 3.04      29.86     7.13      1.29      41.35        0.27      | 1905225  0        0        29342    0        | 8      11557431       3898244      -       
8      32     2      2/8    | 3.04      29.86     6.00      1.31      40.23        0.28      | 1905225  0        27047    2295     0        | 16     11557431       3898244      -       
8      32     3      3/8    | 3.08      30.27     5.94      1.31      40.63        0.27      | 1905225  0        29064    278      0        | 24     11557431       3898244      -       
8      32     4      4/8    | 3.05      29.97     5.88      1.31      40.23        0.28      | 1905225  0        29285    57       0        | 32     11557431       3898244      -       
8      32     5      5/8    | 3.05      30.00     5.80      1.32      40.18        0.28      | 1905225  0        29328    14       0        | 40     11557431       3898244      -       
8      32     6      6/8    | 3.07      30.05     5.80      1.30      40.24        0.28      | 1905225  0        29339    3        0        | 48     11557431       3898244      -       
8      32     7      7/8    | 3.08      30.37     5.81      1.30      40.57        0.28      | 1905225  0        29342    0        0        | 56     11557431       3898244      -       
8      32     8      8/8    | 3.07      30.25     5.81      1.30      40.45        0.28      | 1905225  0        29342    0        0        | 64     11557431       3898244      -       
16     8      0      0/8    | 0.43      7.39      4.84      1.01      13.70        0.81      | 1227826  0        0        1440     0        | 1      2743528        3898244      -       
16     8      1      1/8    | 0.44      7.28      4.82      1.00      13.55        0.82      | 1227826  0        0        1440     0        | 32     2743528        3898244      -       
16     8      2      2/8    | 0.44      7.18      4.80      0.98      13.42        0.83      | 1227826  0        1399     41       0        | 64     2743528        3898244      -       
16     8      3      3/8    | 0.44      7.17      4.80      0.99      13.41        0.83      | 1227826  0        1429     11       0        | 96     2743528        3898244      -       
16     8      4      4/8    | 0.45      7.38      4.80      1.04      13.70        0.81      | 1227826  0        1440     0        0        | 128    2743528        3898244      -       
16     8      5      5/8    | 0.44      7.38      4.79      1.05      13.68        0.82      | 1227826  0        1440     0        0        | 160    2743528        3898244      -       
16     8      6      6/8    | 0.45      7.44      4.80      1.07      13.78        0.81      | 1227826  0        1440     0        0        | 192    2743528        3898244      -       
16     8      7      7/8    | 0.45      7.33      4.81      0.99      13.59        0.82      | 1227826  0        1440     0        0        | 224    2743528        3898244      -       
16     8      8      8/8    | 0.45      7.44      4.79      0.97      13.67        0.82      | 1227826  0        1440     0        0        | 256    2743528        3898244      -       
16     16     0      0/8    | 0.50      9.31      5.64      1.05      16.51        0.68      | 1227826  0        0        1440     0        | 1      3298852        3898244      -       
