# Matrix: ky2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/ky2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 06:06:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 161672
# Cols: 161672
# NNZ(A): 787778
# NNZ(C) estimate: 5418222
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.25      11.44     4.13      1.06      17.90        0.61      | 1493144  0        0        39621    0        | 1      4488489        3676088      -       
8      8      1      1/8    | 1.35      11.32     4.14      0.99      17.81        0.61      | 1493144  0        0        39621    0        | 8      4488489        3676088      -       
8      8      2      2/8    | 1.23      11.18     3.71      1.00      17.14        0.63      | 1493144  0        36739    2882     0        | 16     4488489        3676088      -       
8      8      3      3/8    | 1.20      11.20     3.67      0.97      17.05        0.64      | 1493144  0        39370    251      0        | 24     4488489        3676088      -       
8      8      4      4/8    | 1.21      11.23     3.73      0.98      17.17        0.63      | 1493144  0        39590    31       0        | 32     4488489        3676088      -       
8      8      5      5/8    | 1.24      11.21     3.66      1.00      17.13        0.63      | 1493144  0        39617    4        0        | 40     4488489        3676088      -       
8      8      6      6/8    | 1.22      11.30     3.66      1.00      17.21        0.63      | 1493144  0        39621    0        0        | 48     4488489        3676088      -       
8      8      7      7/8    | 1.21      11.26     3.66      0.99      17.15        0.63      | 1493144  0        39621    0        0        | 56     4488489        3676088      -       
8      8      8      8/8    | 1.20      11.40     3.67      1.00      17.30        0.63      | 1493144  0        39621    0        0        | 64     4488489        3676088      -       
8      16     0      0/8    | 1.50      14.85     5.25      1.08      22.70        0.48      | 1493144  0        0        39621    0        | 1      5871699        3676088      -       
8      16     1      1/8    | 1.52      15.02     5.24      1.07      22.86        0.47      | 1493144  0        0        39621    0        | 8      5871699        3676088      -       
8      16     2      2/8    | 1.50      14.87     4.55      1.08      22.02        0.49      | 1493144  0        36739    2882     0        | 16     5871699        3676088      -       
8      16     3      3/8    | 1.51      14.97     4.52      1.07      22.07        0.49      | 1493144  0        39370    251      0        | 24     5871699        3676088      -       
8      16     4      4/8    | 1.51      14.89     4.57      1.10      22.08        0.49      | 1493144  0        39590    31       0        | 32     5871699        3676088      -       
8      16     5      5/8    | 1.51      14.80     4.49      1.10      21.92        0.49      | 1493144  0        39617    4        0        | 40     5871699        3676088      -       
8      16     6      6/8    | 1.49      14.77     4.49      1.06      21.83        0.50      | 1493144  0        39621    0        0        | 48     5871699        3676088      -       
8      16     7      7/8    | 1.56      15.41     4.49      1.11      22.58        0.48      | 1493144  0        39621    0        0        | 56     5871699        3676088      -       
8      16     8      8/8    | 1.52      15.68     4.49      1.09      22.80        0.48      | 1493144  0        39621    0        0        | 64     5871699        3676088      -       
8      32     0      0/8    | 1.89      19.48     6.71      1.14      29.24        0.37      | 1493144  0        0        39621    0        | 1      7455247        3676088      -       
8      32     1      1/8    | 1.91      19.49     6.71      1.12      29.24        0.37      | 1493144  0        0        39621    0        | 8      7455247        3676088      -       
8      32     2      2/8    | 1.92      19.57     5.18      1.13      27.81        0.39      | 1493144  0        36739    2882     0        | 16     7455247        3676088      -       
