# Matrix: majorbasis
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/majorbasis.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 06:17:30
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 160000
# Cols: 160000
# NNZ(A): 1750416
# NNZ(C) estimate: 19178064
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.80      2.57      2.37      0.83      6.57         5.84      | 535296   0        0        278800   0        | 1      996992         8243392      -       
8      8      1      1/8    | 0.61      2.62      2.36      0.79      6.41         5.99      | 535296   0        0        278800   0        | 8      996992         8243392      -       
8      8      2      2/8    | 0.62      2.60      2.36      0.80      6.39         6.00      | 535296   0        0        278800   0        | 16     996992         8243392      -       
8      8      3      3/8    | 0.61      2.64      2.04      0.80      6.11         6.28      | 535296   0        179400   99400    0        | 24     996992         8243392      -       
8      8      4      4/8    | 0.62      2.57      2.10      0.80      6.11         6.28      | 535296   0        179400   99400    0        | 32     996992         8243392      -       
8      8      5      5/8    | 0.76      2.63      1.61      0.82      5.84         6.57      | 535296   0        278800   0        0        | 40     996992         8243392      -       
8      8      6      6/8    | 0.65      2.75      1.61      0.86      5.88         6.52      | 535296   0        278800   0        0        | 48     996992         8243392      -       
8      8      7      7/8    | 0.62      2.70      1.61      0.83      5.78         6.63      | 535296   0        278800   0        0        | 56     996992         8243392      -       
8      8      8      8/8    | 0.65      2.65      1.61      0.83      5.75         6.67      | 535296   0        278800   0        0        | 64     996992         8243392      -       
8      16     0      0/8    | 0.59      3.47      2.70      0.91      7.69         4.99      | 535296   0        0        278800   0        | 1      1341928        8243392      -       
8      16     1      1/8    | 0.57      3.52      2.69      0.86      7.67         5.00      | 535296   0        0        278800   0        | 8      1341928        8243392      -       
