# Matrix: matrix-new_3
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/matrix-new_3.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 06:21:22
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 125329
# Cols: 125329
# NNZ(A): 2678750
# NNZ(C) estimate: 88656889
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 6.55      30.22     14.62     1.54      52.94        3.35      | 3097156  0        0        1305179  12408    | 1      11616260       36615210     -       
8      8      1      1/8    | 6.48      30.48     14.51     1.53      53.02        3.34      | 3097156  0        0        1305179  12408    | 8      11616260       36615210     -       
8      8      2      2/8    | 6.40      29.27     14.19     1.53      51.40        3.45      | 3097156  0        715581   589598   12408    | 16     11616260       36615210     -       
8      8      3      3/8    | 6.40      29.04     10.54     1.52      47.51        3.73      | 3097156  0        1176137  129042   12408    | 24     11616260       36615210     -       
8      8      4      4/8    | 6.29      29.11     10.82     1.49      47.74        3.71      | 3097156  0        1225052  80127    12408    | 32     11616260       36615210     -       
8      8      5      5/8    | 6.41      28.86     10.38     1.51      47.19        3.76      | 3097156  0        1241185  63994    12408    | 40     11616260       36615210     -       
8      8      6      6/8    | 6.33      29.27     10.72     1.52      47.87        3.70      | 3097156  0        1263950  41229    12408    | 48     11616260       36615210     -       
8      8      7      7/8    | 6.46      29.21     10.80     1.51      48.00        3.69      | 3097156  0        1300470  4709     12408    | 56     11616260       36615210     -       
8      8      8      8/8    | 6.65      29.21     10.60     1.52      48.01        3.69      | 3097156  0        1317587  0        0        | 64     11616260       36615210     -       
8      16     0      0/8    | 5.49      38.71     15.30     1.67      61.19        2.90      | 3097156  0        0        1305179  12408    | 1      15453339       36615210     -       
8      16     1      1/8    | 5.46      38.87     15.40     1.66      61.41        2.89      | 3097156  0        0        1305179  12408    | 8      15453339       36615210     -       
8      16     2      2/8    | 5.59      38.64     14.07     1.65      59.98        2.96      | 3097156  0        715581   589598   12408    | 16     15453339       36615210     -       
8      16     3      3/8    | 5.46      40.70     9.65      1.71      57.53        3.08      | 3097156  0        1176137  129042   12408    | 24     15453339       36615210     -       
8      16     4      4/8    | 5.36      40.30     10.03     1.68      57.38        3.09      | 3097156  0        1225052  80127    12408    | 32     15453339       36615210     -       
8      16     5      5/8    | 5.38      40.80     10.02     1.79      58.01        3.06      | 3097156  0        1241185  63994    12408    | 40     15453339       36615210     -       
