# Matrix: ms2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/ms2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 06:23:52
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 171778
# Cols: 171778
# NNZ(A): 839980
# NNZ(C) estimate: 5537586
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.56      14.92     4.33      1.07      21.90        0.51      | 1719740  0        0        29829    0        | 1      5928485        3686612      -       
8      8      1      1/8    | 1.52      14.91     4.32      1.05      21.82        0.51      | 1719740  0        0        29829    0        | 8      5928485        3686612      -       
8      8      2      2/8    | 1.50      14.91     3.98      1.02      21.43        0.52      | 1719740  0        27791    2038     0        | 16     5928485        3686612      -       
8      8      3      3/8    | 1.54      14.82     3.97      1.03      21.38        0.52      | 1719740  0        29638    191      0        | 24     5928485        3686612      -       
8      8      4      4/8    | 1.55      15.75     4.00      1.07      22.39        0.49      | 1719740  0        29815    14       0        | 32     5928485        3686612      -       
8      8      5      5/8    | 1.56      14.94     3.95      1.05      21.51        0.51      | 1719740  0        29827    2        0        | 40     5928485        3686612      -       
8      8      6      6/8    | 1.67      14.90     3.94      1.03      21.56        0.51      | 1719740  0        29829    0        0        | 48     5928485        3686612      -       
8      8      7      7/8    | 1.53      14.89     3.94      1.05      21.43        0.52      | 1719740  0        29829    0        0        | 56     5928485        3686612      -       
8      8      8      8/8    | 1.51      14.92     3.94      1.05      21.44        0.52      | 1719740  0        29829    0        0        | 64     5928485        3686612      -       
8      16     0      0/8    | 1.92      19.68     5.49      1.13      28.24        0.39      | 1719740  0        0        29829    0        | 1      7805899        3686612      -       
8      16     1      1/8    | 1.96      19.45     5.49      1.14      28.05        0.39      | 1719740  0        0        29829    0        | 8      7805899        3686612      -       
8      16     2      2/8    | 1.93      19.57     4.92      1.13      27.58        0.40      | 1719740  0        27791    2038     0        | 16     7805899        3686612      -       
8      16     3      3/8    | 1.98      19.53     4.90      1.15      27.57        0.40      | 1719740  0        29638    191      0        | 24     7805899        3686612      -       
8      16     4      4/8    | 1.94      19.66     4.93      1.14      27.69        0.40      | 1719740  0        29815    14       0        | 32     7805899        3686612      -       
8      16     5      5/8    | 2.02      20.59     4.86      1.17      28.67        0.39      | 1719740  0        29827    2        0        | 40     7805899        3686612      -       
8      16     6      6/8    | 1.98      20.24     4.86      1.15      28.25        0.39      | 1719740  0        29829    0        0        | 48     7805899        3686612      -       
8      16     7      7/8    | 2.01      20.16     4.86      1.14      28.19        0.39      | 1719740  0        29829    0        0        | 56     7805899        3686612      -       
8      16     8      8/8    | 1.94      19.70     4.86      1.14      27.65        0.40      | 1719740  0        29829    0        0        | 64     7805899        3686612      -       
8      32     0      0/8    | 2.41      23.57     6.98      1.16      34.15        0.32      | 1719740  0        0        29829    0        | 1      9470763        3686612      -       
8      32     1      1/8    | 2.40      24.16     6.97      1.21      34.76        0.32      | 1719740  0        0        29829    0        | 8      9470763        3686612      -       
8      32     2      2/8    | 2.48      24.75     5.67      1.23      34.15        0.32      | 1719740  0        27791    2038     0        | 16     9470763        3686612      -       
8      32     3      3/8    | 2.44      24.58     5.59      1.21      33.83        0.33      | 1719740  0        29638    191      0        | 24     9470763        3686612      -       
8      32     4      4/8    | 2.45      24.97     5.55      1.24      34.23        0.32      | 1719740  0        29815    14       0        | 32     9470763        3686612      -       
8      32     5      5/8    | 2.41      24.76     5.43      1.20      33.82        0.33      | 1719740  0        29827    2        0        | 40     9470763        3686612      -       
8      32     6      6/8    | 2.51      24.72     5.41      1.20      33.87        0.33      | 1719740  0        29829    0        0        | 48     9470763        3686612      -       
8      32     7      7/8    | 2.39      23.83     5.41      1.19      32.83        0.34      | 1719740  0        29829    0        0        | 56     9470763        3686612      -       
8      32     8      8/8    | 2.43      23.78     5.41      1.20      32.84        0.34      | 1719740  0        29829    0        0        | 64     9470763        3686612      -       
16     8      0      0/8    | 0.36      6.41      4.39      0.96      12.15        0.91      | 1058750  0        0        1671     0        | 1      2321915        3686612      -       
16     8      1      1/8    | 0.36      6.45      4.39      0.96      12.17        0.91      | 1058750  0        0        1671     0        | 32     2321915        3686612      -       
16     8      2      2/8    | 0.36      6.57      4.38      0.95      12.28        0.90      | 1058750  0        1661     10       0        | 64     2321915        3686612      -       
16     8      3      3/8    | 0.36      6.61      4.37      0.94      12.29        0.90      | 1058750  0        1671     0        0        | 96     2321915        3686612      -       
16     8      4      4/8    | 0.38      6.60      4.38      0.97      12.35        0.90      | 1058750  0        1671     0        0        | 128    2321915        3686612      -       
16     8      5      5/8    | 0.37      6.50      4.38      0.98      12.25        0.90      | 1058750  0        1671     0        0        | 160    2321915        3686612      -       
16     8      6      6/8    | 0.37      6.54      4.38      0.97      12.28        0.90      | 1058750  0        1671     0        0        | 192    2321915        3686612      -       
16     8      7      7/8    | 0.37      6.55      4.37      0.96      12.27        0.90      | 1058750  0        1671     0        0        | 224    2321915        3686612      -       
