# Matrix: nd2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/nd2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 06:30:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 133769
# Cols: 133769
# NNZ(A): 625946
# NNZ(C) estimate: 3850110
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.09      9.84      2.82      0.96      14.72        0.52      | 982245   0        0        37999    0        | 1      3722932        2576227      -       
8      8      1      1/8    | 1.07      9.75      2.81      0.95      14.61        0.53      | 982245   0        0        37999    0        | 8      3722932        2576227      -       
8      8      2      2/8    | 1.04      9.34      2.41      0.91      13.71        0.56      | 982245   0        34395    3604     0        | 16     3722932        2576227      -       
8      8      3      3/8    | 1.07      9.38      2.38      0.93      13.76        0.56      | 982245   0        37681    318      0        | 24     3722932        2576227      -       
8      8      4      4/8    | 1.06      9.29      2.42      0.93      13.72        0.56      | 982245   0        37967    32       0        | 32     3722932        2576227      -       
8      8      5      5/8    | 1.05      9.31      2.37      0.93      13.67        0.56      | 982245   0        37997    2        0        | 40     3722932        2576227      -       
8      8      6      6/8    | 1.22      9.43      2.37      0.95      13.98        0.55      | 982245   0        37998    1        0        | 48     3722932        2576227      -       
8      8      7      7/8    | 1.05      9.35      2.37      0.92      13.70        0.56      | 982245   0        37999    0        0        | 56     3722932        2576227      -       
8      8      8      8/8    | 1.08      9.27      2.37      0.94      13.67        0.56      | 982245   0        37999    0        0        | 64     3722932        2576227      -       
8      16     0      0/8    | 1.32      14.10     3.50      1.01      19.94        0.39      | 982245   0        0        37999    0        | 1      5431188        2576227      -       
8      16     1      1/8    | 1.30      14.12     3.50      1.03      19.97        0.39      | 982245   0        0        37999    0        | 8      5431188        2576227      -       
8      16     2      2/8    | 1.33      14.47     2.91      1.01      19.75        0.39      | 982245   0        34395    3604     0        | 16     5431188        2576227      -       
8      16     3      3/8    | 1.35      14.44     2.86      0.99      19.66        0.39      | 982245   0        37681    318      0        | 24     5431188        2576227      -       
8      16     4      4/8    | 1.33      14.11     2.91      1.01      19.37        0.40      | 982245   0        37967    32       0        | 32     5431188        2576227      -       
8      16     5      5/8    | 1.32      14.14     2.84      1.01      19.32        0.40      | 982245   0        37997    2        0        | 40     5431188        2576227      -       
8      16     6      6/8    | 1.33      14.17     2.85      1.02      19.39        0.40      | 982245   0        37998    1        0        | 48     5431188        2576227      -       
8      16     7      7/8    | 1.37      14.33     2.84      1.05      19.61        0.39      | 982245   0        37999    0        0        | 56     5431188        2576227      -       
8      16     8      8/8    | 1.34      14.13     2.85      1.03      19.36        0.40      | 982245   0        37999    0        0        | 64     5431188        2576227      -       
8      32     0      0/8    | 1.71      19.19     4.65      1.05      26.62        0.29      | 982245   0        0        37999    0        | 1      7377850        2576227      -       
8      32     1      1/8    | 1.79      19.66     4.62      1.08      27.18        0.28      | 982245   0        0        37999    0        | 8      7377850        2576227      -       
8      32     2      2/8    | 1.74      19.04     3.34      1.06      25.20        0.31      | 982245   0        34395    3604     0        | 16     7377850        2576227      -       
8      32     3      3/8    | 1.74      19.63     3.26      1.09      25.74        0.30      | 982245   0        37681    318      0        | 24     7377850        2576227      -       
8      32     4      4/8    | 1.76      19.41     3.24      1.11      25.54        0.30      | 982245   0        37967    32       0        | 32     7377850        2576227      -       
8      32     5      5/8    | 1.73      19.31     3.12      1.11      25.30        0.30      | 982245   0        37997    2        0        | 40     7377850        2576227      -       
8      32     6      6/8    | 1.81      19.06     3.12      1.08      25.09        0.31      | 982245   0        37998    1        0        | 48     7377850        2576227      -       
8      32     7      7/8    | 1.78      19.19     3.12      1.10      25.20        0.31      | 982245   0        37999    0        0        | 56     7377850        2576227      -       
8      32     8      8/8    | 1.81      19.42     3.12      1.13      25.48        0.30      | 982245   0        37999    0        0        | 64     7377850        2576227      -       
16     8      0      0/8    | 0.29      4.23      2.65      0.91      8.10         0.95      | 657497   0        0        2746     0        | 1      1709483        2576227      -       
16     8      1      1/8    | 0.29      4.15      2.64      0.90      8.00         0.96      | 657497   0        0        2746     0        | 32     1709483        2576227      -       
16     8      2      2/8    | 0.29      4.16      2.57      0.91      7.94         0.97      | 657497   0        2740     6        0        | 64     1709483        2576227      -       
16     8      3      3/8    | 0.30      4.13      2.58      0.98      8.00         0.96      | 657497   0        2746     0        0        | 96     1709483        2576227      -       
16     8      4      4/8    | 0.29      4.21      2.57      0.92      8.01         0.96      | 657497   0        2746     0        0        | 128    1709483        2576227      -       
16     8      5      5/8    | 0.28      4.23      2.56      0.89      7.97         0.97      | 657497   0        2746     0        0        | 160    1709483        2576227      -       
16     8      6      6/8    | 0.29      4.16      2.56      0.92      7.94         0.97      | 657497   0        2746     0        0        | 192    1709483        2576227      -       
16     8      7      7/8    | 0.28      4.13      2.57      0.90      7.89         0.98      | 657497   0        2746     0        0        | 224    1709483        2576227      -       
16     8      8      8/8    | 0.28      4.04      2.57      0.91      7.82         0.98      | 657497   0        2746     0        0        | 256    1709483        2576227      -       
16     16     0      0/8    | 0.32      5.66      2.92      0.93      9.85         0.78      | 657497   0        0        2746     0        | 1      2164219        2576227      -       
16     16     1      1/8    | 0.32      5.76      2.92      0.97      9.99         0.77      | 657497   0        0        2746     0        | 32     2164219        2576227      -       
16     16     2      2/8    | 0.32      5.74      2.86      0.98      9.92         0.78      | 657497   0        2740     6        0        | 64     2164219        2576227      -       
16     16     3      3/8    | 0.32      5.70      2.78      0.94      9.74         0.79      | 657497   0        2746     0        0        | 96     2164219        2576227      -       
16     16     4      4/8    | 0.32      5.72      2.77      0.95      9.78         0.79      | 657497   0        2746     0        0        | 128    2164219        2576227      -       
16     16     5      5/8    | 0.31      5.65      2.77      0.92      9.66         0.80      | 657497   0        2746     0        0        | 160    2164219        2576227      -       
16     16     6      6/8    | 0.33      5.71      2.78      0.94      9.77         0.79      | 657497   0        2746     0        0        | 192    2164219        2576227      -       
16     16     7      7/8    | 0.31      5.65      2.78      0.94      9.70         0.79      | 657497   0        2746     0        0        | 224    2164219        2576227      -       
16     16     8      8/8    | 0.31      5.62      2.77      0.93      9.66         0.80      | 657497   0        2746     0        0        | 256    2164219        2576227      -       
16     32     0      0/8    | 0.36      6.94      3.72      0.98      12.02        0.64      | 657497   0        0        2746     0        | 1      2639217        2576227      -       
16     32     1      1/8    | 0.39      7.00      3.75      1.02      12.17        0.63      | 657497   0        0        2746     0        | 32     2639217        2576227      -       
16     32     2      2/8    | 0.37      7.00      3.50      1.07      11.96        0.64      | 657497   0        2740     6        0        | 64     2639217        2576227      -       
16     32     3      3/8    | 0.38      6.91      3.19      1.01      11.50        0.67      | 657497   0        2746     0        0        | 96     2639217        2576227      -       
16     32     4      4/8    | 0.38      6.97      3.19      1.01      11.56        0.67      | 657497   0        2746     0        0        | 128    2639217        2576227      -       
16     32     5      5/8    | 0.37      6.93      3.18      1.04      11.53        0.67      | 657497   0        2746     0        0        | 160    2639217        2576227      -       
16     32     6      6/8    | 0.37      6.87      3.18      1.01      11.45        0.67      | 657497   0        2746     0        0        | 192    2639217        2576227      -       
16     32     7      7/8    | 0.38      6.94      3.19      1.04      11.56        0.67      | 657497   0        2746     0        0        | 224    2639217        2576227      -       
16     32     8      8/8    | 0.37      6.93      3.18      1.02      11.52        0.67      | 657497   0        2746     0        0        | 256    2639217        2576227      -       
32     8      0      0/8    | 0.27      3.20      3.37      0.88      7.73         1.00      | 361226   0        0        7        0        | 1      679131         2576227      -       
32     8      1      1/8    | 0.27      3.13      3.38      0.95      7.75         0.99      | 361226   0        0        7        0        | 128    679131         2576227      -       
32     8      2      2/8    | 0.27      3.20      3.36      0.90      7.75         0.99      | 361226   0        7        0        0        | 256    679131         2576227      -       
