# Matrix: nj2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/nj2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 06:34:50
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 169588
# Cols: 169588
# NNZ(A): 829912
# NNZ(C) estimate: 5337990
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.66      16.14     3.98      1.07      22.85        0.47      | 1480793  0        0        41564    0        | 1      6467649        3518812      -       
8      8      1      1/8    | 1.68      16.21     3.97      1.07      22.95        0.47      | 1480793  0        0        41564    0        | 8      6467649        3518812      -       
8      8      2      2/8    | 1.71      17.02     3.53      1.10      23.39        0.46      | 1480793  0        37680    3884     0        | 16     6467649        3518812      -       
8      8      3      3/8    | 1.67      16.77     3.49      1.06      23.01        0.46      | 1480793  0        41185    379      0        | 24     6467649        3518812      -       
8      8      4      4/8    | 1.87      16.22     3.54      1.09      22.73        0.47      | 1480793  0        41532    32       0        | 32     6467649        3518812      -       
8      8      5      5/8    | 1.67      16.26     3.47      1.09      22.52        0.47      | 1480793  0        41560    4        0        | 40     6467649        3518812      -       
8      8      6      6/8    | 1.66      16.12     3.48      1.08      22.36        0.48      | 1480793  0        41563    1        0        | 48     6467649        3518812      -       
8      8      7      7/8    | 1.73      16.27     3.47      1.07      22.56        0.47      | 1480793  0        41564    0        0        | 56     6467649        3518812      -       
8      8      8      8/8    | 1.67      16.31     3.48      1.08      22.55        0.47      | 1480793  0        41564    0        0        | 64     6467649        3518812      -       
8      16     0      0/8    | 2.56      26.34     4.96      1.28      35.15        0.30      | 1480793  0        0        41564    0        | 1      10555065       3518812      -       
8      16     1      1/8    | 2.55      26.26     4.96      1.23      35.02        0.30      | 1480793  0        0        41564    0        | 8      10555065       3518812      -       
8      16     2      2/8    | 2.54      26.50     4.27      1.27      34.59        0.31      | 1480793  0        37680    3884     0        | 16     10555065       3518812      -       
8      16     3      3/8    | 2.61      27.70     4.20      1.28      35.81        0.30      | 1480793  0        41185    379      0        | 24     10555065       3518812      -       
8      16     4      4/8    | 2.59      27.41     4.25      1.26      35.54        0.30      | 1480793  0        41532    32       0        | 32     10555065       3518812      -       
8      16     5      5/8    | 2.58      27.49     4.17      1.26      35.52        0.30      | 1480793  0        41560    4        0        | 40     10555065       3518812      -       
8      16     6      6/8    | 2.61      27.46     4.18      1.26      35.53        0.30      | 1480793  0        41563    1        0        | 48     10555065       3518812      -       
8      16     7      7/8    | 2.56      27.61     4.17      1.28      35.65        0.30      | 1480793  0        41564    0        0        | 56     10555065       3518812      -       
8      16     8      8/8    | 2.59      27.78     4.18      1.32      35.89        0.30      | 1480793  0        41564    0        0        | 64     10555065       3518812      -       
8      32     0      0/8    | 4.17      41.67     6.38      1.53      53.76        0.20      | 1480793  0        0        41564    0        | 1      16366505       3518812      -       
8      32     1      1/8    | 4.16      43.59     6.38      1.55      55.69        0.19      | 1480793  0        0        41564    0        | 8      16366505       3518812      -       
8      32     2      2/8    | 4.18      42.67     4.79      1.49      53.15        0.20      | 1480793  0        37680    3884     0        | 16     16366505       3518812      -       
8      32     3      3/8    | 4.10      42.92     4.70      1.48      53.23        0.20      | 1480793  0        41185    379      0        | 24     16366505       3518812      -       
8      32     4      4/8    | 4.11      42.95     4.67      1.48      53.23        0.20      | 1480793  0        41532    32       0        | 32     16366505       3518812      -       
8      32     5      5/8    | 4.25      42.94     4.60      1.51      53.32        0.20      | 1480793  0        41560    4        0        | 40     16366505       3518812      -       
