# Matrix: nm2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/nm2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 06:36:11
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 168609
# Cols: 168609
# NNZ(A): 830970
# NNZ(C) estimate: 6085586
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.12      21.04     4.83      1.15      29.16        0.42      | 2062228  0        0        34236    5        | 1      8449567        4173131      -       
8      8      1      1/8    | 2.08      21.23     4.84      1.18      29.35        0.41      | 2062228  0        0        34236    5        | 8      8449567        4173131      -       
8      8      2      2/8    | 2.12      21.31     4.54      1.18      29.17        0.42      | 2062228  0        31345    2891     5        | 16     8449567        4173131      -       
8      8      3      3/8    | 2.27      22.23     4.45      1.19      30.15        0.40      | 2062228  0        33880    356      5        | 24     8449567        4173131      -       
8      8      4      4/8    | 2.11      22.21     4.50      1.17      30.01        0.41      | 2062228  0        34166    70       5        | 32     8449567        4173131      -       
8      8      5      5/8    | 2.11      22.32     4.45      1.21      30.11        0.40      | 2062228  0        34222    14       5        | 40     8449567        4173131      -       
8      8      6      6/8    | 2.14      21.34     4.45      1.16      29.09        0.42      | 2062228  0        34232    4        5        | 48     8449567        4173131      -       
8      8      7      7/8    | 2.14      22.29     4.46      1.20      30.10        0.40      | 2062228  0        34236    0        5        | 56     8449567        4173131      -       
8      8      8      8/8    | 2.13      22.27     4.45      1.22      30.10        0.40      | 2062228  0        34241    0        0        | 64     8449567        4173131      -       
8      16     0      0/8    | 3.19      33.19     6.06      1.33      43.78        0.28      | 2062228  0        0        34236    5        | 1      12689041       4173131      -       
8      16     1      1/8    | 3.14      33.12     6.06      1.32      43.66        0.28      | 2062228  0        0        34236    5        | 8      12689041       4173131      -       
8      16     2      2/8    | 3.16      33.21     5.57      1.34      43.30        0.28      | 2062228  0        31345    2891     5        | 16     12689041       4173131      -       
8      16     3      3/8    | 3.21      33.32     5.46      1.40      43.42        0.28      | 2062228  0        33880    356      5        | 24     12689041       4173131      -       
8      16     4      4/8    | 3.17      33.06     5.50      1.31      43.07        0.28      | 2062228  0        34166    70       5        | 32     12689041       4173131      -       
8      16     5      5/8    | 3.18      31.97     5.47      1.35      42.00        0.29      | 2062228  0        34222    14       5        | 40     12689041       4173131      -       
8      16     6      6/8    | 3.13      32.00     5.46      1.33      41.93        0.29      | 2062228  0        34232    4        5        | 48     12689041       4173131      -       
8      16     7      7/8    | 3.18      31.80     5.47      1.34      41.81        0.29      | 2062228  0        34236    0        5        | 56     12689041       4173131      -       
8      16     8      8/8    | 3.18      32.17     5.46      1.34      42.17        0.29      | 2062228  0        34241    0        0        | 64     12689041       4173131      -       
8      32     0      0/8    | 5.06      44.71     7.57      1.55      58.90        0.21      | 2062228  0        0        34236    5        | 1      17828741       4173131      -       
8      32     1      1/8    | 5.12      44.99     7.56      1.52      59.22        0.21      | 2062228  0        0        34236    5        | 8      17828741       4173131      -       
8      32     2      2/8    | 4.98      44.48     6.28      1.53      57.29        0.21      | 2062228  0        31345    2891     5        | 16     17828741       4173131      -       
8      32     3      3/8    | 5.00      44.89     6.21      1.54      57.65        0.21      | 2062228  0        33880    356      5        | 24     17828741       4173131      -       
8      32     4      4/8    | 5.05      44.88     6.18      1.55      57.69        0.21      | 2062228  0        34166    70       5        | 32     17828741       4173131      -       
8      32     5      5/8    | 5.00      44.86     6.09      1.54      57.50        0.21      | 2062228  0        34222    14       5        | 40     17828741       4173131      -       
8      32     6      6/8    | 5.01      44.92     6.07      1.56      57.58        0.21      | 2062228  0        34232    4        5        | 48     17828741       4173131      -       
8      32     7      7/8    | 4.99      44.55     6.07      1.55      57.17        0.21      | 2062228  0        34236    0        5        | 56     17828741       4173131      -       
8      32     8      8/8    | 5.03      44.98     6.05      1.54      57.62        0.21      | 2062228  0        34241    0        0        | 64     17828741       4173131      -       
16     8      0      0/8    | 0.49      10.52     5.27      1.12      17.42        0.70      | 1446990  0        0        1835     0        | 1      3991627        4173131      -       
16     8      1      1/8    | 0.49      10.47     5.25      1.10      17.34        0.70      | 1446990  0        0        1835     0        | 32     3991627        4173131      -       
16     8      2      2/8    | 0.49      10.01     5.26      1.07      16.84        0.72      | 1446990  0        1813     22       0        | 64     3991627        4173131      -       
16     8      3      3/8    | 0.48      9.88      5.25      1.04      16.68        0.73      | 1446990  0        1833     2        0        | 96     3991627        4173131      -       
16     8      4      4/8    | 0.48      10.00     5.25      1.07      16.82        0.72      | 1446990  0        1835     0        0        | 128    3991627        4173131      -       
16     8      5      5/8    | 0.49      9.98      5.25      1.08      16.81        0.72      | 1446990  0        1835     0        0        | 160    3991627        4173131      -       
16     8      6      6/8    | 0.49      10.06     5.26      1.06      16.89        0.72      | 1446990  0        1835     0        0        | 192    3991627        4173131      -       
16     8      7      7/8    | 0.50      10.38     5.28      1.09      17.27        0.70      | 1446990  0        1835     0        0        | 224    3991627        4173131      -       
16     8      8      8/8    | 0.48      10.50     5.26      1.10      17.36        0.70      | 1446990  0        1835     0        0        | 256    3991627        4173131      -       
16     16     0      0/8    | 0.60      13.43     6.00      1.21      21.27        0.57      | 1446990  0        0        1835     0        | 1      5104811        4173131      -       
16     16     1      1/8    | 0.60      13.32     5.99      1.19      21.11        0.58      | 1446990  0        0        1835     0        | 32     5104811        4173131      -       
16     16     2      2/8    | 0.59      13.23     5.88      1.17      20.90        0.58      | 1446990  0        1813     22       0        | 64     5104811        4173131      -       
16     16     3      3/8    | 0.61      13.31     5.88      1.19      21.00        0.58      | 1446990  0        1833     2        0        | 96     5104811        4173131      -       
16     16     4      4/8    | 0.59      13.24     5.88      1.17      20.89        0.58      | 1446990  0        1835     0        0        | 128    5104811        4173131      -       
16     16     5      5/8    | 0.60      13.28     5.89      1.20      20.98        0.58      | 1446990  0        1835     0        0        | 160    5104811        4173131      -       
16     16     6      6/8    | 0.59      13.30     5.89      1.20      20.99        0.58      | 1446990  0        1835     0        0        | 192    5104811        4173131      -       
16     16     7      7/8    | 0.58      12.80     5.87      1.16      20.43        0.60      | 1446990  0        1835     0        0        | 224    5104811        4173131      -       
16     16     8      8/8    | 0.58      12.78     5.89      1.14      20.41        0.60      | 1446990  0        1835     0        0        | 256    5104811        4173131      -       
16     32     0      0/8    | 0.74      16.80     7.60      1.28      26.45        0.46      | 1446990  0        0        1835     0        | 1      6218997        4173131      -       
16     32     1      1/8    | 0.74      16.77     7.59      1.29      26.40        0.46      | 1446990  0        0        1835     0        | 32     6218997        4173131      -       
16     32     2      2/8    | 0.74      17.21     7.36      1.31      26.65        0.46      | 1446990  0        1813     22       0        | 64     6218997        4173131      -       
16     32     3      3/8    | 0.73      17.07     7.25      1.30      26.37        0.46      | 1446990  0        1833     2        0        | 96     6218997        4173131      -       
16     32     4      4/8    | 0.74      17.10     7.14      1.31      26.31        0.46      | 1446990  0        1835     0        0        | 128    6218997        4173131      -       
16     32     5      5/8    | 0.76      17.04     7.13      1.31      26.25        0.46      | 1446990  0        1835     0        0        | 160    6218997        4173131      -       
16     32     6      6/8    | 0.75      17.11     7.15      1.33      26.35        0.46      | 1446990  0        1835     0        0        | 192    6218997        4173131      -       
16     32     7      7/8    | 0.74      17.02     7.15      1.31      26.23        0.46      | 1446990  0        1835     0        0        | 224    6218997        4173131      -       
16     32     8      8/8    | 0.74      16.90     7.14      1.29      26.10        0.47      | 1446990  0        1835     0        0        | 256    6218997        4173131      -       
32     8      0      0/8    | 0.37      7.41      7.26      1.08      16.14        0.75      | 837078   0        0        4        0        | 1      1537646        4173131      -       
32     8      1      1/8    | 0.37      7.42      7.27      1.11      16.19        0.75      | 837078   0        0        4        0        | 128    1537646        4173131      -       
32     8      2      2/8    | 0.37      7.44      7.27      1.08      16.17        0.75      | 837078   0        4        0        0        | 256    1537646        4173131      -       
32     8      3      3/8    | 0.38      7.48      7.29      1.13      16.30        0.75      | 837078   0        4        0        0        | 384    1537646        4173131      -       
32     8      4      4/8    | 0.38      7.46      7.26      1.08      16.20        0.75      | 837078   0        4        0        0        | 512    1537646        4173131      -       
32     8      5      5/8    | 0.38      7.46      7.25      1.10      16.20        0.75      | 837078   0        4        0        0        | 640    1537646        4173131      -       
32     8      6      6/8    | 0.39      7.47      7.27      1.11      16.25        0.75      | 837078   0        4        0        0        | 768    1537646        4173131      -       
32     8      7      7/8    | 0.38      7.42      7.27      1.07      16.16        0.75      | 837078   0        4        0        0        | 896    1537646        4173131      -       
32     8      8      8/8    | 0.38      7.47      7.24      1.10      16.21        0.75      | 837078   0        4        0        0        | 1024   1537646        4173131      -       
32     16     0      0/8    | 0.42      9.59      9.76      1.23      21.02        0.58      | 837078   0        0        4        0        | 1      1791802        4173131      -       
32     16     1      1/8    | 0.42      9.61      9.81      1.16      21.01        0.58      | 837078   0        0        4        0        | 128    1791802        4173131      -       
32     16     2      2/8    | 0.42      9.60      9.75      1.14      20.93        0.58      | 837078   0        4        0        0        | 256    1791802        4173131      -       
32     16     3      3/8    | 0.42      9.62      9.76      1.16      20.98        0.58      | 837078   0        4        0        0        | 384    1791802        4173131      -       
32     16     4      4/8    | 0.42      9.63      9.74      1.15      20.96        0.58      | 837078   0        4        0        0        | 512    1791802        4173131      -       
32     16     5      5/8    | 0.42      9.57      9.76      1.13      20.90        0.58      | 837078   0        4        0        0        | 640    1791802        4173131      -       
32     16     6      6/8    | 0.43      9.63      9.78      1.15      21.00        0.58      | 837078   0        4        0        0        | 768    1791802        4173131      -       
32     16     7      7/8    | 0.43      9.62      9.79      1.14      20.99        0.58      | 837078   0        4        0        0        | 896    1791802        4173131      -       
32     16     8      8/8    | 0.43      9.56      9.77      1.12      20.89        0.58      | 837078   0        4        0        0        | 1024   1791802        4173131      -       
32     32     0      0/8    | 0.51      12.05     12.88     1.17      26.62        0.46      | 837078   0        0        4        0        | 1      2096012        4173131      -       
32     32     1      1/8    | 0.52      12.05     12.90     1.17      26.66        0.46      | 837078   0        0        4        0        | 128    2096012        4173131      -       
32     32     2      2/8    | 0.52      12.28     12.81     1.20      26.83        0.45      | 837078   0        4        0        0        | 256    2096012        4173131      -       
32     32     3      3/8    | 0.51      12.24     12.81     1.17      26.75        0.45      | 837078   0        4        0        0        | 384    2096012        4173131      -       
32     32     4      4/8    | 0.52      12.33     12.84     1.21      26.92        0.45      | 837078   0        4        0        0        | 512    2096012        4173131      -       
32     32     5      5/8    | 0.51      12.08     12.81     1.18      26.60        0.46      | 837078   0        4        0        0        | 640    2096012        4173131      -       
32     32     6      6/8    | 0.51      12.14     12.84     1.17      26.67        0.46      | 837078   0        4        0        0        | 768    2096012        4173131      -       
32     32     7      7/8    | 0.51      12.29     12.83     1.21      26.87        0.45      | 837078   0        4        0        0        | 896    2096012        4173131      -       
32     32     8      8/8    | 0.52      12.26     12.82     1.19      26.81        0.45      | 837078   0        4        0        0        | 1024   2096012        4173131      -       
