# Matrix: pfinan512
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/pfinan512.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 09:21:40
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 74752
# Cols: 74752
# NNZ(A): 596992
# NNZ(C) estimate: 7713792
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      1.60      2.20      0.80      4.78         3.23      | 240384   0        0        192448   640      | 1      592256         4597248      -       
8      8      1      1/8    | 0.15      1.62      2.20      0.81      4.80         3.21      | 240384   0        0        192448   640      | 8      592256         4597248      -       
8      8      2      2/8    | 0.16      1.65      1.92      0.79      4.53         3.40      | 240384   0        80384    112064   640      | 16     592256         4597248      -       
8      8      3      3/8    | 0.15      1.60      1.56      0.78      4.11         3.75      | 240384   0        149376   43072    640      | 24     592256         4597248      -       
8      8      4      4/8    | 0.15      1.61      1.52      0.81      4.10         3.76      | 240384   0        177344   15104    640      | 32     592256         4597248      -       
8      8      5      5/8    | 0.17      1.73      1.33      0.85      4.09         3.77      | 240384   0        188096   4352     640      | 40     592256         4597248      -       
8      8      6      6/8    | 0.16      1.68      1.30      0.82      3.98         3.88      | 240384   0        190784   1664     640      | 48     592256         4597248      -       
8      8      7      7/8    | 0.15      1.61      1.30      0.81      3.88         3.97      | 240384   0        191680   768      640      | 56     592256         4597248      -       
8      8      8      8/8    | 0.16      1.64      1.27      0.82      3.90         3.95      | 240384   0        193088   0        0        | 64     592256         4597248      -       
8      16     0      0/8    | 0.14      1.78      2.48      0.77      5.19         2.97      | 240384   0        0        192448   640      | 1      663104         4597248      -       
8      16     1      1/8    | 0.14      1.80      2.49      0.79      5.24         2.94      | 240384   0        0        192448   640      | 8      663104         4597248      -       
8      16     2      2/8    | 0.14      1.77      2.07      0.78      4.78         3.23      | 240384   0        80384    112064   640      | 16     663104         4597248      -       
8      16     3      3/8    | 0.16      1.87      1.55      0.81      4.42         3.49      | 240384   0        149376   43072    640      | 24     663104         4597248      -       
8      16     4      4/8    | 0.14      1.89      1.43      0.80      4.28         3.61      | 240384   0        177344   15104    640      | 32     663104         4597248      -       
8      16     5      5/8    | 0.15      1.95      1.24      0.78      4.14         3.72      | 240384   0        188096   4352     640      | 40     663104         4597248      -       
8      16     6      6/8    | 0.16      1.91      1.21      0.82      4.12         3.75      | 240384   0        190784   1664     640      | 48     663104         4597248      -       
8      16     7      7/8    | 0.15      1.88      1.21      0.83      4.08         3.78      | 240384   0        191680   768      640      | 56     663104         4597248      -       
8      16     8      8/8    | 0.16      1.93      1.18      0.87      4.16         3.71      | 240384   0        193088   0        0        | 64     663104         4597248      -       
8      32     0      0/8    | 0.15      2.09      3.69      0.87      6.81         2.27      | 240384   0        0        192448   640      | 1      749632         4597248      -       
8      32     1      1/8    | 0.15      2.10      3.68      0.88      6.83         2.26      | 240384   0        0        192448   640      | 8      749632         4597248      -       
8      32     2      2/8    | 0.15      2.04      2.79      0.84      5.83         2.64      | 240384   0        80384    112064   640      | 16     749632         4597248      -       
8      32     3      3/8    | 0.16      2.10      1.83      0.89      4.99         3.09      | 240384   0        149376   43072    640      | 24     749632         4597248      -       
8      32     4      4/8    | 0.15      2.09      1.45      0.85      4.56         3.38      | 240384   0        177344   15104    640      | 32     749632         4597248      -       
8      32     5      5/8    | 0.15      1.98      1.28      0.86      4.29         3.60      | 240384   0        188096   4352     640      | 40     749632         4597248      -       
8      32     6      6/8    | 0.16      2.12      1.24      0.88      4.41         3.50      | 240384   0        190784   1664     640      | 48     749632         4597248      -       
8      32     7      7/8    | 0.16      2.08      1.23      0.88      4.36         3.54      | 240384   0        191680   768      640      | 56     749632         4597248      -       
8      32     8      8/8    | 0.15      2.10      1.15      0.83      4.25         3.63      | 240384   0        193088   0        0        | 64     749632         4597248      -       
16     8      0      0/8    | 0.12      0.57      1.67      0.53      2.91         5.31      | 89728    0        0        52672    0        | 1      168640         4597248      -       
16     8      1      1/8    | 0.13      0.58      1.67      0.57      2.97         5.20      | 89728    0        0        52672    0        | 32     168640         4597248      -       
16     8      2      2/8    | 0.13      0.57      1.42      0.54      2.67         5.77      | 89728    0        23680    28992    0        | 64     168640         4597248      -       
16     8      3      3/8    | 0.12      0.58      1.09      0.55      2.35         6.56      | 89728    0        46208    6464     0        | 96     168640         4597248      -       
16     8      4      4/8    | 0.12      0.59      1.02      0.53      2.28         6.76      | 89728    0        50304    2368     0        | 128    168640         4597248      -       
16     8      5      5/8    | 0.11      0.58      0.98      0.54      2.22         6.96      | 89728    0        52224    448      0        | 160    168640         4597248      -       
16     8      6      6/8    | 0.11      0.57      0.98      0.52      2.19         7.04      | 89728    0        52672    0        0        | 192    168640         4597248      -       
16     8      7      7/8    | 0.11      0.56      0.98      0.53      2.19         7.03      | 89728    0        52672    0        0        | 224    168640         4597248      -       
16     8      8      8/8    | 0.12      0.59      0.98      0.54      2.25         6.87      | 89728    0        52672    0        0        | 256    168640         4597248      -       
16     16     0      0/8    | 0.11      0.64      1.50      0.63      2.90         5.33      | 89728    0        0        52672    0        | 1      186112         4597248      -       
16     16     1      1/8    | 0.10      0.58      1.50      0.61      2.82         5.48      | 89728    0        0        52672    0        | 32     186112         4597248      -       
16     16     2      2/8    | 0.12      0.63      1.21      0.64      2.61         5.91      | 89728    0        23680    28992    0        | 64     186112         4597248      -       
16     16     3      3/8    | 0.12      0.60      0.87      0.64      2.24         6.88      | 89728    0        46208    6464     0        | 96     186112         4597248      -       
16     16     4      4/8    | 0.12      0.62      0.76      0.62      2.13         7.24      | 89728    0        50304    2368     0        | 128    186112         4597248      -       
16     16     5      5/8    | 0.12      0.61      0.78      0.63      2.16         7.16      | 89728    0        52224    448      0        | 160    186112         4597248      -       
16     16     6      6/8    | 0.10      0.62      0.69      0.64      2.07         7.44      | 89728    0        52672    0        0        | 192    186112         4597248      -       
16     16     7      7/8    | 0.10      0.58      0.69      0.61      1.99         7.74      | 89728    0        52672    0        0        | 224    186112         4597248      -       
16     16     8      8/8    | 0.11      0.59      0.69      0.62      2.04         7.58      | 89728    0        52672    0        0        | 256    186112         4597248      -       
16     32     0      0/8    | 0.12      0.67      2.37      0.62      3.80         4.06      | 89728    0        0        52672    0        | 1      205184         4597248      -       
16     32     1      1/8    | 0.11      0.65      2.37      0.61      3.75         4.11      | 89728    0        0        52672    0        | 32     205184         4597248      -       
16     32     2      2/8    | 0.11      0.67      1.68      0.62      3.09         5.00      | 89728    0        23680    28992    0        | 64     205184         4597248      -       
16     32     3      3/8    | 0.10      0.69      0.95      0.61      2.36         6.54      | 89728    0        46208    6464     0        | 96     205184         4597248      -       
16     32     4      4/8    | 0.10      0.63      0.74      0.61      2.09         7.38      | 89728    0        50304    2368     0        | 128    205184         4597248      -       
16     32     5      5/8    | 0.12      0.67      0.76      0.62      2.18         7.07      | 89728    0        52224    448      0        | 160    205184         4597248      -       
16     32     6      6/8    | 0.11      0.67      0.59      0.62      2.00         7.70      | 89728    0        52672    0        0        | 192    205184         4597248      -       
16     32     7      7/8    | 0.12      0.69      0.58      0.61      2.02         7.65      | 89728    0        52672    0        0        | 224    205184         4597248      -       
16     32     8      8/8    | 0.12      0.67      0.59      0.66      2.05         7.51      | 89728    0        52672    0        0        | 256    205184         4597248      -       
32     8      0      0/8    | 0.11      0.34      2.48      0.37      3.32         4.64      | 29440    0        0        14880    0        | 1      50400          4597248      -       
32     8      1      1/8    | 0.12      0.35      2.46      0.37      3.32         4.65      | 29440    0        0        14880    0        | 128    50400          4597248      -       
32     8      2      2/8    | 0.11      0.35      1.54      0.37      2.39         6.45      | 29440    0        9280     5600     0        | 256    50400          4597248      -       
32     8      3      3/8    | 0.11      0.35      1.23      0.38      2.08         7.41      | 29440    0        14368    512      0        | 384    50400          4597248      -       
32     8      4      4/8    | 0.11      0.35      0.90      0.37      1.74         8.86      | 29440    0        14880    0        0        | 512    50400          4597248      -       
32     8      5      5/8    | 0.12      0.35      0.90      0.37      1.75         8.84      | 29440    0        14880    0        0        | 640    50400          4597248      -       
32     8      6      6/8    | 0.11      0.35      0.89      0.38      1.75         8.83      | 29440    0        14880    0        0        | 768    50400          4597248      -       
32     8      7      7/8    | 0.12      0.35      0.89      0.39      1.77         8.73      | 29440    0        14880    0        0        | 896    50400          4597248      -       
32     8      8      8/8    | 0.11      0.35      0.90      0.37      1.74         8.86      | 29440    0        14880    0        0        | 1024   50400          4597248      -       
32     16     0      0/8    | 0.10      0.26      2.78      0.43      3.59         4.30      | 29440    0        0        14880    0        | 1      53280          4597248      -       
32     16     1      1/8    | 0.11      0.26      2.75      0.42      3.55         4.34      | 29440    0        0        14880    0        | 128    53280          4597248      -       
32     16     2      2/8    | 0.10      0.28      1.71      0.44      2.54         6.07      | 29440    0        9280     5600     0        | 256    53280          4597248      -       
32     16     3      3/8    | 0.24      0.28      0.96      0.42      1.91         8.09      | 29440    0        14368    512      0        | 384    53280          4597248      -       
32     16     4      4/8    | 0.10      0.29      0.68      0.43      1.51         10.18     | 29440    0        14880    0        0        | 512    53280          4597248      -       
32     16     5      5/8    | 0.10      0.29      0.68      0.43      1.52         10.16     | 29440    0        14880    0        0        | 640    53280          4597248      -       
32     16     6      6/8    | 0.11      0.28      0.68      0.44      1.52         10.15     | 29440    0        14880    0        0        | 768    53280          4597248      -       
32     16     7      7/8    | 0.11      0.29      0.68      0.43      1.52         10.12     | 29440    0        14880    0        0        | 896    53280          4597248      -       
32     16     8      8/8    | 0.10      0.31      0.68      0.42      1.53         10.10     | 29440    0        14880    0        0        | 1024   53280          4597248      -       
32     32     0      0/8    | 0.09      0.22      2.19      0.43      2.95         5.23      | 29440    0        0        14880    0        | 1      55200          4597248      -       
32     32     1      1/8    | 0.09      0.22      2.18      0.42      2.93         5.27      | 29440    0        0        14880    0        | 128    55200          4597248      -       
32     32     2      2/8    | 0.09      0.22      1.26      0.41      1.99         7.75      | 29440    0        9280     5600     0        | 256    55200          4597248      -       
32     32     3      3/8    | 0.10      0.22      0.59      0.42      1.35         11.43     | 29440    0        14368    512      0        | 384    55200          4597248      -       
32     32     4      4/8    | 0.11      0.24      0.47      0.44      1.28         12.07     | 29440    0        14880    0        0        | 512    55200          4597248      -       
32     32     5      5/8    | 0.10      0.24      0.47      0.43      1.25         12.34     | 29440    0        14880    0        0        | 640    55200          4597248      -       
32     32     6      6/8    | 0.10      0.21      0.47      0.41      1.21         12.71     | 29440    0        14880    0        0        | 768    55200          4597248      -       
32     32     7      7/8    | 0.10      0.24      0.47      0.45      1.28         12.04     | 29440    0        14880    0        0        | 896    55200          4597248      -       
32     32     8      8/8    | 0.10      0.22      0.48      0.43      1.24         12.41     | 29440    0        14880    0        0        | 1024   55200          4597248      -       
