# Matrix: power9
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/power9.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 09:33:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 155376
# Cols: 155376
# NNZ(A): 2512300
# NNZ(C) estimate: 55838830
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.86      3.72      7.32      0.97      12.88        8.67      | 869424   0        0        265362   219024   | 1      1450038        24273930     -       
8      8      1      1/8    | 1.00      3.80      7.46      1.02      13.29        8.41      | 869424   0        0        265362   219024   | 8      1450038        24273930     -       
8      8      2      2/8    | 0.84      3.69      7.26      1.01      12.82        8.71      | 869424   0        6        265356   219024   | 16     1450038        24273930     -       
8      8      3      3/8    | 0.85      3.71      6.60      0.97      12.15        9.19      | 869424   0        208500   56862    219024   | 24     1450038        24273930     -       
8      8      4      4/8    | 0.90      3.93      6.51      1.04      12.40        9.01      | 869424   0        208500   56862    219024   | 32     1450038        24273930     -       
8      8      5      5/8    | 1.02      3.82      5.67      1.00      11.53        9.68      | 869424   0        265362   0        219024   | 40     1450038        24273930     -       
8      8      6      6/8    | 0.90      4.09      5.85      1.03      11.88        9.40      | 869424   0        265362   0        219024   | 48     1450038        24273930     -       
8      8      7      7/8    | 0.89      3.86      5.76      1.02      11.55        9.67      | 869424   0        265362   0        219024   | 56     1450038        24273930     -       
8      8      8      8/8    | 0.86      3.87      3.92      1.01      9.68         11.54     | 869424   0        484386   0        0        | 64     1450038        24273930     -       
8      16     0      0/8    | 0.76      6.36      8.29      1.05      16.48        6.78      | 869424   0        0        265362   219024   | 1      2410854        24273930     -       
8      16     1      1/8    | 0.76      6.49      8.42      1.06      16.75        6.67      | 869424   0        0        265362   219024   | 8      2410854        24273930     -       
8      16     2      2/8    | 0.77      6.14      8.19      1.06      16.19        6.90      | 869424   0        6        265356   219024   | 16     2410854        24273930     -       
8      16     3      3/8    | 0.74      6.11      6.99      1.03      14.89        7.50      | 869424   0        208500   56862    219024   | 24     2410854        24273930     -       
8      16     4      4/8    | 0.78      6.48      7.11      1.07      15.46        7.22      | 869424   0        208500   56862    219024   | 32     2410854        24273930     -       
8      16     5      5/8    | 0.76      6.39      5.93      1.04      14.13        7.90      | 869424   0        265362   0        219024   | 40     2410854        24273930     -       
8      16     6      6/8    | 0.75      6.44      5.72      1.06      13.98        7.99      | 869424   0        265362   0        219024   | 48     2410854        24273930     -       
8      16     7      7/8    | 0.76      6.43      5.85      1.04      14.10        7.92      | 869424   0        265362   0        219024   | 56     2410854        24273930     -       
8      16     8      8/8    | 0.75      6.47      3.61      1.05      11.90        9.38      | 869424   0        484386   0        0        | 64     2410854        24273930     -       
8      32     0      0/8    | 1.15      11.81     11.73     1.13      25.84        4.32      | 869424   0        0        265362   219024   | 1      4503346        24273930     -       
8      32     1      1/8    | 1.13      11.85     11.53     1.13      25.66        4.35      | 869424   0        0        265362   219024   | 8      4503346        24273930     -       
8      32     2      2/8    | 1.16      11.92     11.78     1.14      26.02        4.29      | 869424   0        6        265356   219024   | 16     4503346        24273930     -       
8      32     3      3/8    | 1.16      11.31     8.85      1.14      22.48        4.97      | 869424   0        208500   56862    219024   | 24     4503346        24273930     -       
8      32     4      4/8    | 1.12      11.23     8.87      1.11      22.35        5.00      | 869424   0        208500   56862    219024   | 32     4503346        24273930     -       
8      32     5      5/8    | 1.13      11.21     6.49      1.14      19.99        5.59      | 869424   0        265362   0        219024   | 40     4503346        24273930     -       
8      32     6      6/8    | 1.14      11.48     6.25      1.15      20.02        5.58      | 869424   0        265362   0        219024   | 48     4503346        24273930     -       
8      32     7      7/8    | 1.17      11.85     6.50      1.15      20.69        5.40      | 869424   0        265362   0        219024   | 56     4503346        24273930     -       
8      32     8      8/8    | 1.21      11.72     4.09      1.14      18.19        6.14      | 869424   0        484386   0        0        | 64     4503346        24273930     -       
16     8      0      0/8    | 0.46      1.96      8.63      0.95      12.02        9.29      | 536772   0        0        85293    54756    | 1      676821         24273930     -       
16     8      1      1/8    | 0.46      1.92      8.57      0.98      11.95        9.35      | 536772   0        0        85293    54756    | 32     676821         24273930     -       
16     8      2      2/8    | 0.46      1.90      8.41      0.95      11.74        9.51      | 536772   0        56862    28431    54756    | 64     676821         24273930     -       
16     8      3      3/8    | 0.47      1.96      7.46      0.98      10.88        10.26     | 536772   0        85293    0        54756    | 96     676821         24273930     -       
16     8      4      4/8    | 0.47      1.94      7.99      0.95      11.36        9.83      | 536772   0        85293    0        54756    | 128    676821         24273930     -       
16     8      5      5/8    | 0.47      1.84      7.94      0.96      11.23        9.94      | 536772   0        85293    0        54756    | 160    676821         24273930     -       
16     8      6      6/8    | 0.46      1.92      7.81      0.96      11.16        10.00     | 536772   0        85293    0        54756    | 192    676821         24273930     -       
16     8      7      7/8    | 0.46      1.93      7.96      0.97      11.34        9.85      | 536772   0        85293    0        54756    | 224    676821         24273930     -       
16     8      8      8/8    | 0.46      1.85      8.11      0.95      11.38        9.81      | 536772   0        140049   0        0        | 256    676821         24273930     -       
16     16     0      0/8    | 0.30      2.49      7.76      1.06      11.63        9.60      | 536772   0        0        85293    54756    | 1      898437         24273930     -       
16     16     1      1/8    | 0.29      2.44      7.70      0.99      11.44        9.76      | 536772   0        0        85293    54756    | 32     898437         24273930     -       
16     16     2      2/8    | 0.29      2.47      6.77      0.95      10.50        10.64     | 536772   0        56862    28431    54756    | 64     898437         24273930     -       
16     16     3      3/8    | 0.29      2.41      5.93      0.95      9.60         11.63     | 536772   0        85293    0        54756    | 96     898437         24273930     -       
16     16     4      4/8    | 0.28      2.38      6.46      0.94      10.08        11.08     | 536772   0        85293    0        54756    | 128    898437         24273930     -       
16     16     5      5/8    | 0.28      2.40      5.93      0.97      9.59         11.64     | 536772   0        85293    0        54756    | 160    898437         24273930     -       
16     16     6      6/8    | 0.28      2.41      6.50      0.97      10.17        10.98     | 536772   0        85293    0        54756    | 192    898437         24273930     -       
16     16     7      7/8    | 0.28      2.35      6.36      0.97      9.98         11.19     | 536772   0        85293    0        54756    | 224    898437         24273930     -       
16     16     8      8/8    | 0.30      2.50      3.99      0.98      7.78         14.35     | 536772   0        140049   0        0        | 256    898437         24273930     -       
16     32     0      0/8    | 0.23      3.87      10.46     1.01      15.58        7.17      | 536772   0        0        85293    54756    | 1      1434931        24273930     -       
16     32     1      1/8    | 0.23      4.07      10.59     1.02      15.92        7.01      | 536772   0        0        85293    54756    | 32     1434931        24273930     -       
16     32     2      2/8    | 0.23      3.76      8.63      1.01      13.64        8.18      | 536772   0        56862    28431    54756    | 64     1434931        24273930     -       
16     32     3      3/8    | 0.23      3.72      5.74      0.98      10.68        10.46     | 536772   0        85293    0        54756    | 96     1434931        24273930     -       
