# Matrix: preferentialAttachment
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/preferentialAttachment.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 09:36:03
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 100000
# Cols: 100000
# NNZ(A): 999970
# NNZ(C) estimate: 34165320
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 14.20     241.83    74.09     4.55      334.68       0.20      | 25284089 0        0        74635    22       | 1      94860196       32981080     -       
8      8      1      1/8    | 14.32     241.58    73.94     4.57      334.44       0.20      | 25284089 0        0        74635    22       | 8      94860196       32981080     -       
8      8      2      2/8    | 14.17     241.16    71.28     4.56      331.20       0.21      | 25284089 0        59640    14995    22       | 16     94860196       32981080     -       
8      8      3      3/8    | 14.24     239.26    70.49     4.56      328.57       0.21      | 25284089 0        69684    4951     22       | 24     94860196       32981080     -       
8      8      4      4/8    | 14.18     254.81    71.28     4.61      344.89       0.20      | 25284089 0        72730    1905     22       | 32     94860196       32981080     -       
8      8      5      5/8    | 14.28     241.10    70.54     4.58      330.52       0.21      | 25284089 0        73800    835      22       | 40     94860196       32981080     -       
8      8      6      6/8    | 14.24     240.48    70.66     4.58      329.97       0.21      | 25284089 0        74281    354      22       | 48     94860196       32981080     -       
8      8      7      7/8    | 14.26     241.09    70.70     4.57      330.64       0.21      | 25284089 0        74507    128      22       | 56     94860196       32981080     -       
8      8      8      8/8    | 14.12     239.93    69.68     4.57      328.31       0.21      | 25284089 0        74657    0        0        | 64     94860196       32981080     -       
8      16     0      0/8    | 18.04     313.29    103.42    5.58      440.36       0.16      | 25284089 0        0        74635    22       | 1      123396290      32981080     -       
8      16     1      1/8    | 17.96     313.74    103.12    5.60      440.45       0.16      | 25284089 0        0        74635    22       | 8      123396290      32981080     -       
8      16     2      2/8    | 18.01     311.90    99.61     5.58      435.11       0.16      | 25284089 0        59640    14995    22       | 16     123396290      32981080     -       
8      16     3      3/8    | 18.09     312.01    98.73     5.56      434.42       0.16      | 25284089 0        69684    4951     22       | 24     123396290      32981080     -       
8      16     4      4/8    | 18.04     313.41    99.65     5.58      436.69       0.16      | 25284089 0        72730    1905     22       | 32     123396290      32981080     -       
8      16     5      5/8    | 18.09     325.15    98.63     5.60      447.49       0.15      | 25284089 0        73800    835      22       | 40     123396290      32981080     -       
8      16     6      6/8    | 18.04     322.96    97.93     5.57      444.51       0.15      | 25284089 0        74281    354      22       | 48     123396290      32981080     -       
8      16     7      7/8    | 18.20     310.56    98.05     5.56      432.40       0.16      | 25284089 0        74507    128      22       | 56     123396290      32981080     -       
8      16     8      8/8    | 17.90     313.54    96.30     5.54      433.29       0.16      | 25284089 0        74657    0        0        | 64     123396290      32981080     -       
8      32     0      0/8    | 19.28     366.94    132.26    6.27      524.77       0.13      | 25284089 0        0        74635    22       | 1      144068852      32981080     -       
8      32     1      1/8    | 19.35     364.22    132.44    6.28      522.30       0.13      | 25284089 0        0        74635    22       | 8      144068852      32981080     -       
8      32     2      2/8    | 19.27     364.54    131.05    6.32      521.20       0.13      | 25284089 0        59640    14995    22       | 16     144068852      32981080     -       
