# Matrix: sc2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/sc2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 09:55:40
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 181908
# Cols: 181908
# NNZ(A): 893160
# NNZ(C) estimate: 6062270
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.82      20.56     4.83      1.21      28.42        0.43      | 2026267  0        0        31172    0        | 1      8182309        4057652      -       
8      8      1      1/8    | 1.82      20.71     4.83      1.20      28.58        0.42      | 2026267  0        0        31172    0        | 8      8182309        4057652      -       
8      8      2      2/8    | 1.96      20.68     4.46      1.22      28.33        0.43      | 2026267  0        28935    2237     0        | 16     8182309        4057652      -       
8      8      3      3/8    | 1.82      20.64     4.46      1.19      28.13        0.43      | 2026267  0        30978    194      0        | 24     8182309        4057652      -       
8      8      4      4/8    | 1.83      20.57     4.50      1.21      28.12        0.43      | 2026267  0        31160    12       0        | 32     8182309        4057652      -       
8      8      5      5/8    | 1.83      20.68     4.43      1.19      28.16        0.43      | 2026267  0        31169    3        0        | 40     8182309        4057652      -       
8      8      6      6/8    | 1.88      21.49     4.44      1.29      29.12        0.42      | 2026267  0        31172    0        0        | 48     8182309        4057652      -       
8      8      7      7/8    | 1.84      21.35     4.43      1.21      28.85        0.42      | 2026267  0        31172    0        0        | 56     8182309        4057652      -       
8      8      8      8/8    | 1.83      21.56     4.44      1.23      29.07        0.42      | 2026267  0        31172    0        0        | 64     8182309        4057652      -       
8      16     0      0/8    | 2.68      31.51     6.09      1.38      41.67        0.29      | 2026267  0        0        31172    0        | 1      12031993       4057652      -       
8      16     1      1/8    | 2.72      31.64     6.10      1.38      41.85        0.29      | 2026267  0        0        31172    0        | 8      12031993       4057652      -       
8      16     2      2/8    | 2.68      30.09     5.53      1.41      39.73        0.31      | 2026267  0        28935    2237     0        | 16     12031993       4057652      -       
