# Matrix: sd2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/sd2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 09:58:00
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 88360
# Cols: 88360
# NNZ(A): 410722
# NNZ(C) estimate: 2427566
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.27      5.26      1.76      0.85      8.15         0.60      | 594393   0        0        24060    0        | 1      2016449        1615570      -       
8      8      1      1/8    | 0.27      5.22      1.76      0.84      8.11         0.60      | 594393   0        0        24060    0        | 8      2016449        1615570      -       
8      8      2      2/8    | 0.27      5.17      1.52      0.85      7.83         0.62      | 594393   0        21786    2274     0        | 16     2016449        1615570      -       
8      8      3      3/8    | 0.27      5.17      1.49      0.85      7.80         0.62      | 594393   0        23873    187      0        | 24     2016449        1615570      -       
8      8      4      4/8    | 0.26      5.18      1.51      0.83      7.79         0.62      | 594393   0        24038    22       0        | 32     2016449        1615570      -       
8      8      5      5/8    | 0.26      5.15      1.48      0.85      7.76         0.63      | 594393   0        24056    4        0        | 40     2016449        1615570      -       
8      8      6      6/8    | 0.28      5.52      1.49      0.87      8.18         0.59      | 594393   0        24059    1        0        | 48     2016449        1615570      -       
8      8      7      7/8    | 0.27      5.33      1.49      0.86      7.97         0.61      | 594393   0        24060    0        0        | 56     2016449        1615570      -       
8      8      8      8/8    | 0.27      5.18      1.49      0.86      7.81         0.62      | 594393   0        24060    0        0        | 64     2016449        1615570      -       
8      16     0      0/8    | 0.33      6.91      2.20      0.87      10.32        0.47      | 594393   0        0        24060    0        | 1      2745271        1615570      -       
8      16     1      1/8    | 0.33      7.33      2.20      0.92      10.80        0.45      | 594393   0        0        24060    0        | 8      2745271        1615570      -       
8      16     2      2/8    | 0.34      7.28      1.82      0.90      10.36        0.47      | 594393   0        21786    2274     0        | 16     2745271        1615570      -       
8      16     3      3/8    | 0.34      7.00      1.79      0.89      10.04        0.48      | 594393   0        23873    187      0        | 24     2745271        1615570      -       
8      16     4      4/8    | 0.33      7.29      1.80      0.92      10.37        0.47      | 594393   0        24038    22       0        | 32     2745271        1615570      -       
8      16     5      5/8    | 0.33      7.14      1.78      0.92      10.19        0.48      | 594393   0        24056    4        0        | 40     2745271        1615570      -       
8      16     6      6/8    | 0.32      6.99      1.77      0.88      9.98         0.49      | 594393   0        24059    1        0        | 48     2745271        1615570      -       
8      16     7      7/8    | 0.32      6.96      1.77      0.88      9.96         0.49      | 594393   0        24060    0        0        | 56     2745271        1615570      -       
8      16     8      8/8    | 0.32      6.96      1.77      0.90      9.97         0.49      | 594393   0        24060    0        0        | 64     2745271        1615570      -       
8      32     0      0/8    | 0.42      9.43      2.88      0.95      13.69        0.35      | 594393   0        0        24060    0        | 1      3536943        1615570      -       
8      32     1      1/8    | 0.41      9.03      2.90      0.91      13.26        0.37      | 594393   0        0        24060    0        | 8      3536943        1615570      -       
8      32     2      2/8    | 0.42      8.95      2.13      0.91      12.42        0.39      | 594393   0        21786    2274     0        | 16     3536943        1615570      -       
8      32     3      3/8    | 0.42      9.41      2.05      0.95      12.84        0.38      | 594393   0        23873    187      0        | 24     3536943        1615570      -       
8      32     4      4/8    | 0.43      8.96      2.00      0.92      12.32        0.39      | 594393   0        24038    22       0        | 32     3536943        1615570      -       
8      32     5      5/8    | 0.43      9.45      1.98      1.03      12.92        0.38      | 594393   0        24056    4        0        | 40     3536943        1615570      -       
8      32     6      6/8    | 0.42      9.33      1.93      0.93      12.62        0.38      | 594393   0        24059    1        0        | 48     3536943        1615570      -       
8      32     7      7/8    | 0.42      9.30      1.93      0.93      12.60        0.39      | 594393   0        24060    0        0        | 56     3536943        1615570      -       
8      32     8      8/8    | 0.43      9.24      1.93      0.93      12.55        0.39      | 594393   0        24060    0        0        | 64     3536943        1615570      -       
16     8      0      0/8    | 0.21      2.38      1.59      0.84      5.05         0.96      | 367386   0        0        1991     0        | 1      856601         1615570      -       
16     8      1      1/8    | 0.21      2.34      1.60      0.84      5.01         0.97      | 367386   0        0        1991     0        | 32     856601         1615570      -       
