# Matrix: shipsec8
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/shipsec8.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:07:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 114919
# Cols: 114919
# NNZ(A): 6653399
# NNZ(C) estimate: 408693553
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.36      5.38      7.30      1.23      14.30        57.18     | 220272   0        0        679621   43544    | 1      2024129        22723223     -       
8      8      1      1/8    | 0.27      5.31      7.28      1.05      13.93        58.69     | 220272   0        0        679621   43544    | 8      2024129        22723223     -       
8      8      2      2/8    | 0.27      5.41      7.21      1.10      14.02        58.31     | 220272   0        195980   483641   43544    | 16     2024129        22723223     -       
8      8      3      3/8    | 0.26      5.36      7.25      1.02      13.91        58.77     | 220272   0        343650   335971   43544    | 24     2024129        22723223     -       
8      8      4      4/8    | 0.27      5.37      7.85      1.02      14.53        56.26     | 220272   0        474390   205231   43544    | 32     2024129        22723223     -       
8      8      5      5/8    | 0.26      5.14      8.17      1.02      14.61        55.95     | 220272   0        576929   102692   43544    | 40     2024129        22723223     -       
8      8      6      6/8    | 0.28      5.44      8.66      1.04      15.43        52.98     | 220272   0        641177   38444    43544    | 48     2024129        22723223     -       
8      8      7      7/8    | 0.27      5.31      8.90      1.03      15.53        52.64     | 220272   0        670925   8696     43544    | 56     2024129        22723223     -       
8      8      8      8/8    | 0.27      5.32      9.82      1.04      16.47        49.64     | 220272   0        723165   0        0        | 64     2024129        22723223     -       
8      16     0      0/8    | 0.26      6.24      7.56      1.06      15.14        54.00     | 220272   0        0        679621   43544    | 1      2475871        22723223     -       
