# Matrix: soc-Epinions1
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/soc-Epinions1.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:09:11
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 75888
# Cols: 75888
# NNZ(A): 508837
# NNZ(C) estimate: 39924100
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.44      36.57     48.98     1.38      89.38        0.89      | 4518989  0        0        554338   2524     | 1      10238335       20580980     -       
8      8      1      1/8    | 2.45      36.66     48.90     1.33      89.35        0.89      | 4518989  0        0        554338   2524     | 8      10238335       20580980     -       
8      8      2      2/8    | 2.46      37.54     44.26     1.38      85.66        0.93      | 4518989  0        345823   208515   2524     | 16     10238335       20580980     -       
8      8      3      3/8    | 2.43      36.47     42.10     1.36      82.37        0.97      | 4518989  0        455531   98807    2524     | 24     10238335       20580980     -       
8      8      4      4/8    | 2.45      36.57     43.80     1.29      84.13        0.95      | 4518989  0        504463   49875    2524     | 32     10238335       20580980     -       
8      8      5      5/8    | 2.43      36.58     40.15     1.32      80.50        0.99      | 4518989  0        529883   24455    2524     | 40     10238335       20580980     -       
8      8      6      6/8    | 2.44      36.15     39.64     1.33      79.57        1.00      | 4518989  0        543920   10418    2524     | 48     10238335       20580980     -       
8      8      7      7/8    | 2.45      36.96     39.40     1.37      80.20        1.00      | 4518989  0        551492   2846     2524     | 56     10238335       20580980     -       
8      8      8      8/8    | 2.49      37.24     39.06     1.36      80.17        1.00      | 4518989  0        556862   0        0        | 64     10238335       20580980     -       
8      16     0      0/8    | 2.46      42.72     57.07     1.55      103.81       0.77      | 4518989  0        0        554338   2524     | 1      13151978       20580980     -       
8      16     1      1/8    | 2.46      41.83     57.04     1.45      102.80       0.78      | 4518989  0        0        554338   2524     | 8      13151978       20580980     -       
8      16     2      2/8    | 2.45      43.03     50.49     1.51      97.51        0.82      | 4518989  0        345823   208515   2524     | 16     13151978       20580980     -       
8      16     3      3/8    | 2.45      42.33     47.38     1.47      93.65        0.85      | 4518989  0        455531   98807    2524     | 24     13151978       20580980     -       
8      16     4      4/8    | 2.44      42.42     48.44     1.48      94.79        0.84      | 4518989  0        504463   49875    2524     | 32     13151978       20580980     -       
8      16     5      5/8    | 2.43      42.72     44.75     1.48      91.39        0.87      | 4518989  0        529883   24455    2524     | 40     13151978       20580980     -       
8      16     6      6/8    | 2.46      41.80     44.12     1.46      89.86        0.89      | 4518989  0        543920   10418    2524     | 48     13151978       20580980     -       
8      16     7      7/8    | 2.46      41.59     43.76     1.44      89.27        0.89      | 4518989  0        551492   2846     2524     | 56     13151978       20580980     -       
8      16     8      8/8    | 2.44      41.92     43.39     1.43      89.19        0.90      | 4518989  0        556862   0        0        | 64     13151978       20580980     -       
8      32     0      0/8    | 2.50      48.54     57.17     1.62      109.84       0.73      | 4518989  0        0        554338   2524     | 1      16728400       20580980     -       
8      32     1      1/8    | 2.50      48.05     57.19     1.59      109.36       0.73      | 4518989  0        0        554338   2524     | 8      16728400       20580980     -       
8      32     2      2/8    | 2.52      47.73     51.47     1.58      103.32       0.77      | 4518989  0        345823   208515   2524     | 16     16728400       20580980     -       
8      32     3      3/8    | 2.53      47.39     49.56     1.59      101.08       0.79      | 4518989  0        455531   98807    2524     | 24     16728400       20580980     -       
8      32     4      4/8    | 2.50      48.41     48.81     1.67      101.41       0.79      | 4518989  0        504463   49875    2524     | 32     16728400       20580980     -       
8      32     5      5/8    | 2.49      48.47     48.21     1.59      100.79       0.79      | 4518989  0        529883   24455    2524     | 40     16728400       20580980     -       
8      32     6      6/8    | 2.53      48.27     47.84     1.60      100.26       0.80      | 4518989  0        543920   10418    2524     | 48     16728400       20580980     -       
8      32     7      7/8    | 2.49      48.42     47.67     1.60      100.20       0.80      | 4518989  0        551492   2846     2524     | 56     16728400       20580980     -       
8      32     8      8/8    | 2.52      47.68     47.30     1.60      99.11        0.81      | 4518989  0        556862   0        0        | 64     16728400       20580980     -       
16     8      0      0/8    | 2.14      27.43     43.84     1.23      74.65        1.07      | 2580396  0        0        126612   298      | 1      4684431        20580980     -       
16     8      1      1/8    | 2.15      27.51     43.82     1.18      74.68        1.07      | 2580396  0        0        126612   298      | 32     4684431        20580980     -       
16     8      2      2/8    | 2.16      27.82     39.10     1.24      70.34        1.14      | 2580396  0        80696    45916    298      | 64     4684431        20580980     -       
16     8      3      3/8    | 2.18      27.50     37.40     1.24      68.33        1.17      | 2580396  0        105687   20925    298      | 96     4684431        20580980     -       
16     8      4      4/8    | 2.17      27.47     36.59     1.20      67.45        1.18      | 2580396  0        116723   9889     298      | 128    4684431        20580980     -       
16     8      5      5/8    | 2.14      27.68     36.37     1.21      67.41        1.18      | 2580396  0        122057   4555     298      | 160    4684431        20580980     -       
16     8      6      6/8    | 2.15      27.54     36.16     1.22      67.08        1.19      | 2580396  0        124833   1779     298      | 192    4684431        20580980     -       
