# Matrix: soc-Slashdot0902
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/soc-Slashdot0902.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:19:16
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 82168
# Cols: 82168
# NNZ(A): 948464
# NNZ(C) estimate: 117126458
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 4.61      106.61    163.95    2.42      277.61       0.84      | 16131015 0        0        2097282  158900   | 1      28905621       81362487     -       
8      8      1      1/8    | 4.60      105.83    163.97    2.45      276.88       0.85      | 16131015 0        0        2097282  158900   | 8      28905621       81362487     -       
8      8      2      2/8    | 4.57      105.59    140.93    2.41      253.51       0.92      | 16131015 0        1574031  523251   158900   | 16     28905621       81362487     -       
8      8      3      3/8    | 4.61      105.40    133.92    2.39      246.35       0.95      | 16131015 0        1944644  152638   158900   | 24     28905621       81362487     -       
8      8      4      4/8    | 4.53      104.72    140.12    2.39      251.79       0.93      | 16131015 0        2046853  50429    158900   | 32     28905621       81362487     -       
8      8      5      5/8    | 4.63      106.40    130.31    2.43      243.79       0.96      | 16131015 0        2075270  22012    158900   | 40     28905621       81362487     -       
8      8      6      6/8    | 4.64      104.43    130.18    2.38      241.65       0.97      | 16131015 0        2085839  11443    158900   | 48     28905621       81362487     -       
8      8      7      7/8    | 4.59      104.56    129.78    2.35      241.31       0.97      | 16131015 0        2096008  1274     158900   | 56     28905621       81362487     -       
8      8      8      8/8    | 4.53      104.65    126.87    2.36      238.42       0.98      | 16131015 0        2256182  0        0        | 64     28905621       81362487     -       
8      16     0      0/8    | 5.09      130.36    228.07    2.61      366.14       0.64      | 16131015 0        0        2097282  158900   | 1      34794205       81362487     -       
8      16     1      1/8    | 4.97      133.28    228.02    2.62      368.91       0.63      | 16131015 0        0        2097282  158900   | 8      34794205       81362487     -       
8      16     2      2/8    | 4.98      130.91    193.02    2.61      331.53       0.71      | 16131015 0        1574031  523251   158900   | 16     34794205       81362487     -       
8      16     3      3/8    | 4.93      130.52    182.37    2.58      320.42       0.73      | 16131015 0        1944644  152638   158900   | 24     34794205       81362487     -       
8      16     4      4/8    | 5.01      133.12    188.56    2.63      329.35       0.71      | 16131015 0        2046853  50429    158900   | 32     34794205       81362487     -       
8      16     5      5/8    | 4.91      130.84    178.18    2.58      316.52       0.74      | 16131015 0        2075270  22012    158900   | 40     34794205       81362487     -       
8      16     6      6/8    | 5.07      132.55    177.85    2.62      318.11       0.74      | 16131015 0        2085839  11443    158900   | 48     34794205       81362487     -       
8      16     7      7/8    | 4.87      130.99    177.44    2.59      315.90       0.74      | 16131015 0        2096008  1274     158900   | 56     34794205       81362487     -       
8      16     8      8/8    | 4.93      133.03    174.41    2.61      315.00       0.74      | 16131015 0        2256182  0        0        | 64     34794205       81362487     -       
8      32     0      0/8    | 5.49      164.09    278.32    2.84      450.76       0.52      | 16131015 0        0        2097282  158900   | 1      41583265       81362487     -       
8      32     1      1/8    | 5.59      163.93    278.49    2.82      450.85       0.52      | 16131015 0        0        2097282  158900   | 8      41583265       81362487     -       
8      32     2      2/8    | 5.53      167.26    247.65    2.87      423.34       0.55      | 16131015 0        1574031  523251   158900   | 16     41583265       81362487     -       
8      32     3      3/8    | 5.63      163.77    240.62    2.82      412.86       0.57      | 16131015 0        1944644  152638   158900   | 24     41583265       81362487     -       
8      32     4      4/8    | 5.61      166.50    238.42    2.87      413.43       0.57      | 16131015 0        2046853  50429    158900   | 32     41583265       81362487     -       
8      32     5      5/8    | 5.63      164.23    237.67    2.84      410.39       0.57      | 16131015 0        2075270  22012    158900   | 40     41583265       81362487     -       
8      32     6      6/8    | 6.02      166.96    237.41    2.87      413.27       0.57      | 16131015 0        2085839  11443    158900   | 48     41583265       81362487     -       
8      32     7      7/8    | 5.61      164.25    236.71    2.83      409.42       0.57      | 16131015 0        2096008  1274     158900   | 56     41583265       81362487     -       
8      32     8      8/8    | 5.50      166.66    235.05    2.92      410.16       0.57      | 16131015 0        2256182  0        0        | 64     41583265       81362487     -       
16     8      0      0/8    | 4.17      83.56     168.22    2.12      258.10       0.91      | 7754888  0        0        457430   37988    | 1      11404409       81362487     -       
16     8      1      1/8    | 4.17      83.45     168.47    2.05      258.16       0.91      | 7754888  0        0        457430   37988    | 32     11404409       81362487     -       
16     8      2      2/8    | 4.19      83.37     149.35    2.07      238.99       0.98      | 7754888  0        355410   102020   37988    | 64     11404409       81362487     -       
16     8      3      3/8    | 4.16      83.70     144.31    2.07      234.26       1.00      | 7754888  0        430911   26519    37988    | 96     11404409       81362487     -       
16     8      4      4/8    | 4.18      83.71     142.91    2.12      232.94       1.01      | 7754888  0        447595   9835     37988    | 128    11404409       81362487     -       
16     8      5      5/8    | 4.18      83.30     142.73    2.06      232.29       1.01      | 7754888  0        451607   5823     37988    | 160    11404409       81362487     -       
