# Matrix: soc-sign-Slashdot090216
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/soc-sign-Slashdot090216.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:13:58
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 81871
# Cols: 81871
# NNZ(A): 545671
# NNZ(C) estimate: 22202425
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.10      44.84     36.16     1.58      84.70        0.52      | 6620686  0        0        241475   316      | 1      17099297       16254526     -       
8      8      1      1/8    | 2.13      44.44     36.10     1.61      84.30        0.53      | 6620686  0        0        241475   316      | 8      17099297       16254526     -       
8      8      2      2/8    | 2.14      43.72     33.18     1.61      80.67        0.55      | 6620686  0        192891   48584    316      | 16     17099297       16254526     -       
8      8      3      3/8    | 2.14      43.33     32.38     1.62      79.48        0.56      | 6620686  0        225060   16415    316      | 24     17099297       16254526     -       
8      8      4      4/8    | 2.14      43.15     33.56     1.59      80.45        0.55      | 6620686  0        234597   6878     316      | 32     17099297       16254526     -       
8      8      5      5/8    | 2.12      43.13     32.15     1.56      78.98        0.56      | 6620686  0        238834   2641     316      | 40     17099297       16254526     -       
8      8      6      6/8    | 2.13      44.59     32.26     1.61      80.60        0.55      | 6620686  0        240631   844      316      | 48     17099297       16254526     -       
8      8      7      7/8    | 2.11      45.12     32.04     1.62      80.91        0.55      | 6620686  0        241417   58       316      | 56     17099297       16254526     -       
8      8      8      8/8    | 2.12      43.00     32.05     1.64      78.82        0.56      | 6620686  0        241791   0        0        | 64     17099297       16254526     -       
8      16     0      0/8    | 2.54      57.35     51.70     1.81      113.42       0.39      | 6620686  0        0        241475   316      | 1      22698560       16254526     -       
8      16     1      1/8    | 2.53      57.11     51.74     1.80      113.19       0.39      | 6620686  0        0        241475   316      | 8      22698560       16254526     -       
8      16     2      2/8    | 2.51      56.79     47.09     1.80      108.21       0.41      | 6620686  0        192891   48584    316      | 16     22698560       16254526     -       
8      16     3      3/8    | 2.54      57.06     45.99     1.80      107.41       0.41      | 6620686  0        225060   16415    316      | 24     22698560       16254526     -       
8      16     4      4/8    | 2.54      59.44     47.05     1.84      110.89       0.40      | 6620686  0        234597   6878     316      | 32     22698560       16254526     -       
8      16     5      5/8    | 2.54      57.36     45.69     1.82      107.43       0.41      | 6620686  0        238834   2641     316      | 40     22698560       16254526     -       
8      16     6      6/8    | 2.52      57.66     45.80     1.81      107.81       0.41      | 6620686  0        240631   844      316      | 48     22698560       16254526     -       
