# Matrix: srb1
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/srb1.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:22:48
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 54924
# Cols: 54924
# NNZ(A): 2962152
# NNZ(C) estimate: 161074224
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      0.96      1.66      0.89      3.67         87.80     | 20768    0        0        107937   71267    | 1      316430         8388936      -       
8      8      1      1/8    | 0.15      1.04      1.59      0.87      3.67         87.78     | 20768    0        0        107937   71267    | 8      316430         8388936      -       
8      8      2      2/8    | 0.16      0.99      1.62      0.89      3.67         87.90     | 20768    0        16681    91256    71267    | 16     316430         8388936      -       
8      8      3      3/8    | 0.15      0.99      1.66      0.87      3.69         87.40     | 20768    0        41243    66694    71267    | 24     316430         8388936      -       
8      8      4      4/8    | 0.15      0.93      1.81      0.85      3.76         85.75     | 20768    0        69052    38885    71267    | 32     316430         8388936      -       
8      8      5      5/8    | 0.15      0.94      1.45      0.88      3.44         93.65     | 20768    0        73973    33964    71267    | 40     316430         8388936      -       
8      8      6      6/8    | 0.16      1.01      1.56      0.90      3.65         88.19     | 20768    0        84623    23314    71267    | 48     316430         8388936      -       
8      8      7      7/8    | 0.15      0.98      1.68      0.89      3.73         86.46     | 20768    0        98837    9100     71267    | 56     316430         8388936      -       
8      8      8      8/8    | 0.15      0.95      3.94      0.85      5.91         54.52     | 20768    0        179204   0        0        | 64     316430         8388936      -       
8      16     0      0/8    | 0.13      1.17      1.64      0.88      3.84         83.85     | 20768    0        0        107937   71267    | 1      402024         8388936      -       
8      16     1      1/8    | 0.13      1.21      1.62      0.86      3.84         83.85     | 20768    0        0        107937   71267    | 8      402024         8388936      -       
8      16     2      2/8    | 0.13      1.13      1.67      0.83      3.78         85.27     | 20768    0        16681    91256    71267    | 16     402024         8388936      -       
8      16     3      3/8    | 0.12      1.13      1.70      0.83      3.80         84.71     | 20768    0        41243    66694    71267    | 24     402024         8388936      -       
8      16     4      4/8    | 0.14      1.22      1.83      0.89      4.10         78.52     | 20768    0        69052    38885    71267    | 32     402024         8388936      -       
8      16     5      5/8    | 0.14      1.19      1.55      0.87      3.75         85.84     | 20768    0        73973    33964    71267    | 40     402024         8388936      -       
8      16     6      6/8    | 0.14      1.19      1.64      0.87      3.85         83.57     | 20768    0        84623    23314    71267    | 48     402024         8388936      -       
8      16     7      7/8    | 0.13      1.19      1.76      0.89      3.99         80.74     | 20768    0        98837    9100     71267    | 56     402024         8388936      -       
8      16     8      8/8    | 0.15      1.20      3.77      0.88      6.02         53.52     | 20768    0        179204   0        0        | 64     402024         8388936      -       
8      32     0      0/8    | 0.13      1.44      2.45      0.86      4.89         65.92     | 20768    0        0        107937   71267    | 1      486308         8388936      -       
8      32     1      1/8    | 0.12      1.36      2.45      0.84      4.79         67.25     | 20768    0        0        107937   71267    | 8      486308         8388936      -       
8      32     2      2/8    | 0.12      1.33      2.41      0.84      4.71         68.41     | 20768    0        16681    91256    71267    | 16     486308         8388936      -       
8      32     3      3/8    | 0.13      1.35      2.38      0.85      4.72         68.18     | 20768    0        41243    66694    71267    | 24     486308         8388936      -       
8      32     4      4/8    | 0.12      1.35      2.34      0.84      4.67         68.98     | 20768    0        69052    38885    71267    | 32     486308         8388936      -       
8      32     5      5/8    | 0.14      1.40      2.34      0.88      4.78         67.44     | 20768    0        73973    33964    71267    | 40     486308         8388936      -       
8      32     6      6/8    | 0.13      1.39      2.35      0.85      4.74         68.01     | 20768    0        84623    23314    71267    | 48     486308         8388936      -       
8      32     7      7/8    | 0.14      1.39      2.37      0.84      4.76         67.66     | 20768    0        98837    9100     71267    | 56     486308         8388936      -       
8      32     8      8/8    | 0.13      1.34      3.75      0.81      6.05         53.21     | 20768    0        179204   0        0        | 64     486308         8388936      -       
16     8      0      0/8    | 0.13      0.45      1.80      0.52      2.91         110.63    | 23172    0        0        53896    2983     | 1      116353         8388936      -       
16     8      1      1/8    | 0.14      0.47      1.87      0.57      3.06         105.17    | 23172    0        0        53896    2983     | 32     116353         8388936      -       
16     8      2      2/8    | 0.13      0.48      1.89      0.55      3.07         104.97    | 23172    0        15120    38776    2983     | 64     116353         8388936      -       
16     8      3      3/8    | 0.14      0.46      1.35      0.53      2.49         129.22    | 23172    0        19823    34073    2983     | 96     116353         8388936      -       
16     8      4      4/8    | 0.14      0.47      1.72      0.54      2.88         111.70    | 23172    0        30237    23659    2983     | 128    116353         8388936      -       
16     8      5      5/8    | 0.13      0.47      1.88      0.55      3.05         105.52    | 23172    0        33237    20659    2983     | 160    116353         8388936      -       
16     8      6      6/8    | 0.13      0.45      2.23      0.54      3.36         95.85     | 23172    0        40537    13359    2983     | 192    116353         8388936      -       
16     8      7      7/8    | 0.14      0.47      2.54      0.57      3.73         86.48     | 23172    0        47635    6261     2983     | 224    116353         8388936      -       
16     8      8      8/8    | 0.14      0.46      3.40      0.55      4.56         70.66     | 23172    0        56879    0        0        | 256    116353         8388936      -       
16     16     0      0/8    | 0.11      0.49      1.75      0.55      2.92         110.32    | 23172    0        0        53896    2983     | 1      144931         8388936      -       
16     16     1      1/8    | 0.12      0.49      1.77      0.57      2.97         108.54    | 23172    0        0        53896    2983     | 32     144931         8388936      -       
16     16     2      2/8    | 0.12      0.48      1.83      0.58      3.03         106.32    | 23172    0        15120    38776    2983     | 64     144931         8388936      -       
16     16     3      3/8    | 0.12      0.49      1.34      0.55      2.52         128.04    | 23172    0        19823    34073    2983     | 96     144931         8388936      -       
16     16     4      4/8    | 0.12      0.50      1.72      0.56      2.91         110.74    | 23172    0        30237    23659    2983     | 128    144931         8388936      -       
16     16     5      5/8    | 0.13      0.50      1.85      0.56      3.05         105.62    | 23172    0        33237    20659    2983     | 160    144931         8388936      -       
16     16     6      6/8    | 0.12      0.48      2.19      0.55      3.35         96.11     | 23172    0        40537    13359    2983     | 192    144931         8388936      -       
16     16     7      7/8    | 0.12      0.50      2.50      0.54      3.67         87.78     | 23172    0        47635    6261     2983     | 224    144931         8388936      -       
16     16     8      8/8    | 0.11      0.49      3.50      0.55      4.67         69.03     | 23172    0        56879    0        0        | 256    144931         8388936      -       
16     32     0      0/8    | 0.10      0.60      2.40      0.58      3.69         87.21     | 23172    0        0        53896    2983     | 1      174275         8388936      -       
16     32     1      1/8    | 0.10      0.59      2.44      0.59      3.73         86.37     | 23172    0        0        53896    2983     | 32     174275         8388936      -       
16     32     2      2/8    | 0.14      0.60      2.28      0.63      3.66         87.95     | 23172    0        15120    38776    2983     | 64     174275         8388936      -       
16     32     3      3/8    | 0.11      0.63      2.32      0.60      3.68         87.61     | 23172    0        19823    34073    2983     | 96     174275         8388936      -       
16     32     4      4/8    | 0.10      0.58      2.44      0.60      3.74         86.21     | 23172    0        30237    23659    2983     | 128    174275         8388936      -       
16     32     5      5/8    | 0.10      0.59      2.48      0.60      3.79         84.93     | 23172    0        33237    20659    2983     | 160    174275         8388936      -       
16     32     6      6/8    | 0.12      0.61      2.72      0.64      4.11         78.36     | 23172    0        40537    13359    2983     | 192    174275         8388936      -       
16     32     7      7/8    | 0.11      0.60      2.91      0.60      4.24         75.91     | 23172    0        47635    6261     2983     | 224    174275         8388936      -       
16     32     8      8/8    | 0.11      0.61      3.69      0.60      5.03         64.10     | 23172    0        56879    0        0        | 256    174275         8388936      -       
32     8      0      0/8    | 0.12      0.35      2.64      0.44      3.57         90.34     | 18095    0        0        17926    68       | 1      51543          8388936      -       
32     8      1      1/8    | 0.14      0.37      2.58      0.46      3.56         90.54     | 18095    0        0        17926    68       | 128    51543          8388936      -       
32     8      2      2/8    | 0.13      0.36      2.48      0.47      3.46         93.16     | 18095    0        5092     12834    68       | 256    51543          8388936      -       
32     8      3      3/8    | 0.13      0.36      2.56      0.44      3.50         92.02     | 18095    0        9864     8062     68       | 384    51543          8388936      -       
32     8      4      4/8    | 0.12      0.37      2.83      0.45      3.79         85.04     | 18095    0        11406    6520     68       | 512    51543          8388936      -       
32     8      5      5/8    | 0.12      0.37      3.05      0.44      4.00         80.64     | 18095    0        13711    4215     68       | 640    51543          8388936      -       
32     8      6      6/8    | 0.13      0.37      3.64      0.46      4.62         69.65     | 18095    0        17849    77       68       | 768    51543          8388936      -       
32     8      7      7/8    | 0.13      0.36      3.65      0.45      4.61         69.88     | 18095    0        17919    7        68       | 896    51543          8388936      -       
32     8      8      8/8    | 0.12      0.36      3.62      0.45      4.57         70.51     | 18095    0        17994    0        0        | 1024   51543          8388936      -       
32     16     0      0/8    | 0.10      0.33      3.05      0.45      3.94         81.85     | 18095    0        0        17926    68       | 1      61977          8388936      -       
32     16     1      1/8    | 0.12      0.33      3.08      0.48      4.03         80.04     | 18095    0        0        17926    68       | 128    61977          8388936      -       
32     16     2      2/8    | 0.11      0.36      2.77      0.47      3.73         86.32     | 18095    0        5092     12834    68       | 256    61977          8388936      -       
32     16     3      3/8    | 0.10      0.35      2.67      0.47      3.59         89.64     | 18095    0        9864     8062     68       | 384    61977          8388936      -       
32     16     4      4/8    | 0.12      0.37      2.84      0.51      3.86         83.52     | 18095    0        11406    6520     68       | 512    61977          8388936      -       
32     16     5      5/8    | 0.11      0.32      3.07      0.49      4.01         80.26     | 18095    0        13711    4215     68       | 640    61977          8388936      -       
