# Matrix: thermomech_TC
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/thermomech_TC.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:26:48
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 102158
# Cols: 102158
# NNZ(A): 711558
# NNZ(C) estimate: 5008454
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.37      51.70     3.98      1.61      58.67        0.17      | 1753547  0        0        1395     0        | 1      20657080       1968538      -       
8      8      1      1/8    | 1.36      52.15     3.98      1.62      59.14        0.17      | 1753547  0        0        1395     0        | 8      20657080       1968538      -       
8      8      2      2/8    | 1.37      52.15     3.97      1.62      59.13        0.17      | 1753547  0        1095     300      0        | 16     20657080       1968538      -       
8      8      3      3/8    | 1.37      52.09     3.96      1.63      59.07        0.17      | 1753547  0        1163     232      0        | 24     20657080       1968538      -       
8      8      4      4/8    | 1.37      53.80     3.96      1.63      60.77        0.16      | 1753547  0        1190     205      0        | 32     20657080       1968538      -       
8      8      5      5/8    | 1.36      53.94     3.96      1.63      60.92        0.16      | 1753547  0        1395     0        0        | 40     20657080       1968538      -       
8      8      6      6/8    | 1.37      52.25     3.97      1.66      59.26        0.17      | 1753547  0        1395     0        0        | 48     20657080       1968538      -       
8      8      7      7/8    | 1.38      54.05     3.97      1.68      61.10        0.16      | 1753547  0        1395     0        0        | 56     20657080       1968538      -       
8      8      8      8/8    | 1.37      52.29     3.97      1.65      59.29        0.17      | 1753547  0        1395     0        0        | 64     20657080       1968538      -       
8      16     0      0/8    | 2.43      91.26     4.82      2.22      100.74       0.10      | 1753547  0        0        1395     0        | 1      35996400       1968538      -       
8      16     1      1/8    | 2.46      91.16     4.83      2.26      100.72       0.10      | 1753547  0        0        1395     0        | 8      35996400       1968538      -       
8      16     2      2/8    | 2.45      90.49     4.81      2.25      100.02       0.10      | 1753547  0        1095     300      0        | 16     35996400       1968538      -       
8      16     3      3/8    | 2.45      90.97     4.81      2.23      100.47       0.10      | 1753547  0        1163     232      0        | 24     35996400       1968538      -       
8      16     4      4/8    | 2.44      90.88     4.80      2.22      100.36       0.10      | 1753547  0        1190     205      0        | 32     35996400       1968538      -       
8      16     5      5/8    | 2.46      90.67     4.80      2.24      100.19       0.10      | 1753547  0        1395     0        0        | 40     35996400       1968538      -       
8      16     6      6/8    | 2.46      91.06     4.79      2.22      100.55       0.10      | 1753547  0        1395     0        0        | 48     35996400       1968538      -       
8      16     7      7/8    | 2.43      90.69     4.79      2.24      100.18       0.10      | 1753547  0        1395     0        0        | 56     35996400       1968538      -       
8      16     8      8/8    | 2.46      90.82     4.80      2.24      100.33       0.10      | 1753547  0        1395     0        0        | 64     35996400       1968538      -       
8      32     0      0/8    | 3.98      140.71    5.32      2.94      152.97       0.07      | 1753547  0        0        1395     0        | 1      55589616       1968538      -       
8      32     1      1/8    | 3.99      140.80    5.38      2.92      153.10       0.07      | 1753547  0        0        1395     0        | 8      55589616       1968538      -       
8      32     2      2/8    | 3.96      140.05    5.37      2.94      152.34       0.07      | 1753547  0        1095     300      0        | 16     55589616       1968538      -       
8      32     3      3/8    | 3.97      139.71    5.28      2.96      151.93       0.07      | 1753547  0        1163     232      0        | 24     55589616       1968538      -       
8      32     4      4/8    | 4.00      140.23    5.22      2.94      152.40       0.07      | 1753547  0        1190     205      0        | 32     55589616       1968538      -       
8      32     5      5/8    | 3.96      146.88    5.15      2.97      158.97       0.06      | 1753547  0        1395     0        0        | 40     55589616       1968538      -       
8      32     6      6/8    | 3.97      141.34    5.14      2.96      153.43       0.07      | 1753547  0        1395     0        0        | 48     55589616       1968538      -       
8      32     7      7/8    | 3.98      141.34    5.14      2.93      153.42       0.07      | 1753547  0        1395     0        0        | 56     55589616       1968538      -       
8      32     8      8/8    | 3.99      140.14    5.14      2.92      152.20       0.07      | 1753547  0        1395     0        0        | 64     55589616       1968538      -       
16     8      0      0/8    | 1.16      35.31     5.76      1.68      43.92        0.23      | 1601542  0        0        179      0        | 1      13502481       1968538      -       
16     8      1      1/8    | 1.15      35.25     5.75      1.68      43.85        0.23      | 1601542  0        0        179      0        | 32     13502481       1968538      -       
16     8      2      2/8    | 1.15      35.19     5.74      1.69      43.78        0.23      | 1601542  0        66       113      0        | 64     13502481       1968538      -       
16     8      3      3/8    | 1.16      35.51     5.74      1.73      44.15        0.23      | 1601542  0        179      0        0        | 96     13502481       1968538      -       
16     8      4      4/8    | 1.17      35.20     5.73      1.70      43.82        0.23      | 1601542  0        179      0        0        | 128    13502481       1968538      -       
16     8      5      5/8    | 1.15      35.38     5.75      1.70      43.99        0.23      | 1601542  0        179      0        0        | 160    13502481       1968538      -       
16     8      6      6/8    | 1.14      35.30     5.74      1.68      43.88        0.23      | 1601542  0        179      0        0        | 192    13502481       1968538      -       
16     8      7      7/8    | 1.17      33.85     5.74      1.71      42.49        0.24      | 1601542  0        179      0        0        | 224    13502481       1968538      -       
16     8      8      8/8    | 1.15      33.94     5.74      1.68      42.53        0.24      | 1601542  0        179      0        0        | 256    13502481       1968538      -       
16     16     0      0/8    | 1.68      47.56     6.12      2.04      57.42        0.17      | 1601542  0        0        179      0        | 1      18929467       1968538      -       
16     16     1      1/8    | 1.69      47.39     6.13      2.02      57.25        0.17      | 1601542  0        0        179      0        | 32     18929467       1968538      -       
16     16     2      2/8    | 1.69      49.64     6.11      2.09      59.55        0.17      | 1601542  0        66       113      0        | 64     18929467       1968538      -       
