# Matrix: thermomech_TK
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/thermomech_TK.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:28:18
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 102158
# Cols: 102158
# NNZ(A): 711558
# NNZ(C) estimate: 5008454
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.38      53.71     3.98      1.66      60.76        0.16      | 1753547  0        0        1395     0        | 1      20657080       1968538      -       
8      8      1      1/8    | 1.38      52.52     3.98      1.64      59.55        0.17      | 1753547  0        0        1395     0        | 8      20657080       1968538      -       
8      8      2      2/8    | 1.37      52.21     3.96      1.64      59.20        0.17      | 1753547  0        1095     300      0        | 16     20657080       1968538      -       
8      8      3      3/8    | 1.35      52.27     3.98      1.61      59.23        0.17      | 1753547  0        1163     232      0        | 24     20657080       1968538      -       
8      8      4      4/8    | 1.36      52.46     3.96      1.61      59.40        0.17      | 1753547  0        1190     205      0        | 32     20657080       1968538      -       
8      8      5      5/8    | 1.38      54.05     3.97      1.67      61.09        0.16      | 1753547  0        1395     0        0        | 40     20657080       1968538      -       
8      8      6      6/8    | 1.38      53.92     3.97      1.65      60.94        0.16      | 1753547  0        1395     0        0        | 48     20657080       1968538      -       
8      8      7      7/8    | 1.39      53.81     3.96      1.63      60.80        0.16      | 1753547  0        1395     0        0        | 56     20657080       1968538      -       
8      8      8      8/8    | 1.37      54.31     3.96      1.70      61.37        0.16      | 1753547  0        1395     0        0        | 64     20657080       1968538      -       
8      16     0      0/8    | 2.46      91.22     4.82      2.25      100.76       0.10      | 1753547  0        0        1395     0        | 1      35996400       1968538      -       
8      16     1      1/8    | 2.45      94.50     4.82      2.26      104.05       0.10      | 1753547  0        0        1395     0        | 8      35996400       1968538      -       
8      16     2      2/8    | 2.46      94.10     4.84      2.24      103.66       0.10      | 1753547  0        1095     300      0        | 16     35996400       1968538      -       
8      16     3      3/8    | 2.45      91.17     4.80      2.27      100.70       0.10      | 1753547  0        1163     232      0        | 24     35996400       1968538      -       
8      16     4      4/8    | 2.44      91.36     4.79      2.24      100.86       0.10      | 1753547  0        1190     205      0        | 32     35996400       1968538      -       
8      16     5      5/8    | 2.45      90.29     4.80      2.21      99.77        0.10      | 1753547  0        1395     0        0        | 40     35996400       1968538      -       
8      16     6      6/8    | 2.46      95.39     4.81      2.26      104.95       0.10      | 1753547  0        1395     0        0        | 48     35996400       1968538      -       
8      16     7      7/8    | 2.45      94.49     4.80      2.22      103.98       0.10      | 1753547  0        1395     0        0        | 56     35996400       1968538      -       
8      16     8      8/8    | 2.45      93.69     4.80      2.23      103.19       0.10      | 1753547  0        1395     0        0        | 64     35996400       1968538      -       
8      32     0      0/8    | 3.99      140.65    5.35      2.95      152.95       0.07      | 1753547  0        0        1395     0        | 1      55589616       1968538      -       
8      32     1      1/8    | 3.95      140.75    5.31      2.95      152.98       0.07      | 1753547  0        0        1395     0        | 8      55589616       1968538      -       
8      32     2      2/8    | 3.98      146.09    5.35      2.96      158.40       0.06      | 1753547  0        1095     300      0        | 16     55589616       1968538      -       
8      32     3      3/8    | 3.97      140.40    5.29      3.00      152.68       0.07      | 1753547  0        1163     232      0        | 24     55589616       1968538      -       
8      32     4      4/8    | 3.96      140.61    5.22      2.93      152.75       0.07      | 1753547  0        1190     205      0        | 32     55589616       1968538      -       
8      32     5      5/8    | 3.98      146.81    5.14      2.94      158.90       0.06      | 1753547  0        1395     0        0        | 40     55589616       1968538      -       
8      32     6      6/8    | 3.98      146.80    5.15      3.03      158.98       0.06      | 1753547  0        1395     0        0        | 48     55589616       1968538      -       
8      32     7      7/8    | 3.98      140.89    5.14      3.04      153.08       0.07      | 1753547  0        1395     0        0        | 56     55589616       1968538      -       
8      32     8      8/8    | 3.97      147.38    5.14      2.98      159.49       0.06      | 1753547  0        1395     0        0        | 64     55589616       1968538      -       
16     8      0      0/8    | 1.15      34.16     5.76      1.68      42.77        0.23      | 1601542  0        0        179      0        | 1      13502481       1968538      -       
16     8      1      1/8    | 1.16      35.66     5.75      1.79      44.39        0.23      | 1601542  0        0        179      0        | 32     13502481       1968538      -       
16     8      2      2/8    | 1.16      33.98     5.74      1.68      42.58        0.24      | 1601542  0        66       113      0        | 64     13502481       1968538      -       
16     8      3      3/8    | 1.16      35.69     5.74      1.73      44.34        0.23      | 1601542  0        179      0        0        | 96     13502481       1968538      -       
16     8      4      4/8    | 1.16      35.24     5.73      1.68      43.82        0.23      | 1601542  0        179      0        0        | 128    13502481       1968538      -       
16     8      5      5/8    | 1.16      35.60     5.79      1.76      44.33        0.23      | 1601542  0        179      0        0        | 160    13502481       1968538      -       
16     8      6      6/8    | 1.18      35.28     5.75      1.69      43.93        0.23      | 1601542  0        179      0        0        | 192    13502481       1968538      -       
16     8      7      7/8    | 1.17      35.17     5.74      1.68      43.78        0.23      | 1601542  0        179      0        0        | 224    13502481       1968538      -       
16     8      8      8/8    | 1.16      35.09     5.73      1.68      43.68        0.23      | 1601542  0        179      0        0        | 256    13502481       1968538      -       
16     16     0      0/8    | 1.70      49.57     6.12      2.06      59.46        0.17      | 1601542  0        0        179      0        | 1      18929467       1968538      -       
16     16     1      1/8    | 1.71      47.78     6.12      2.05      57.67        0.17      | 1601542  0        0        179      0        | 32     18929467       1968538      -       
16     16     2      2/8    | 1.67      49.79     6.11      2.10      59.68        0.17      | 1601542  0        66       113      0        | 64     18929467       1968538      -       
16     16     3      3/8    | 1.68      47.93     6.02      2.08      57.73        0.17      | 1601542  0        179      0        0        | 96     18929467       1968538      -       
16     16     4      4/8    | 1.67      47.49     6.01      2.02      57.21        0.18      | 1601542  0        179      0        0        | 128    18929467       1968538      -       
16     16     5      5/8    | 1.67      50.08     6.03      2.09      59.89        0.17      | 1601542  0        179      0        0        | 160    18929467       1968538      -       
16     16     6      6/8    | 1.70      47.94     6.02      2.05      57.73        0.17      | 1601542  0        179      0        0        | 192    18929467       1968538      -       
16     16     7      7/8    | 1.71      47.81     6.02      2.07      57.63        0.17      | 1601542  0        179      0        0        | 224    18929467       1968538      -       
16     16     8      8/8    | 1.68      49.84     6.03      2.08      59.65        0.17      | 1601542  0        179      0        0        | 256    18929467       1968538      -       
16     32     0      0/8    | 2.17      61.52     7.48      2.61      73.80        0.14      | 1601542  0        0        179      0        | 1      23431139       1968538      -       
16     32     1      1/8    | 2.20      62.92     7.47      2.65      75.26        0.13      | 1601542  0        0        179      0        | 32     23431139       1968538      -       
16     32     2      2/8    | 2.20      62.23     7.51      2.59      74.55        0.13      | 1601542  0        66       113      0        | 64     23431139       1968538      -       
16     32     3      3/8    | 2.17      62.23     7.11      2.56      74.08        0.14      | 1601542  0        179      0        0        | 96     23431139       1968538      -       
16     32     4      4/8    | 2.16      62.13     7.11      2.56      73.98        0.14      | 1601542  0        179      0        0        | 128    23431139       1968538      -       
16     32     5      5/8    | 2.18      62.38     7.11      2.64      74.32        0.13      | 1601542  0        179      0        0        | 160    23431139       1968538      -       
16     32     6      6/8    | 2.16      62.05     7.11      2.57      73.90        0.14      | 1601542  0        179      0        0        | 192    23431139       1968538      -       
16     32     7      7/8    | 2.16      61.46     7.11      2.61      73.35        0.14      | 1601542  0        179      0        0        | 224    23431139       1968538      -       
16     32     8      8/8    | 2.18      61.33     7.11      2.57      73.20        0.14      | 1601542  0        179      0        0        | 256    23431139       1968538      -       
32     8      0      0/8    | 0.77      22.60     8.72      1.83      33.93        0.30      | 1276809  0        0        56       0        | 1      5825655        1968538      -       
32     8      1      1/8    | 0.77      22.68     8.68      1.81      33.95        0.30      | 1276809  0        0        56       0        | 128    5825655        1968538      -       
32     8      2      2/8    | 0.76      22.67     8.62      1.85      33.92        0.30      | 1276809  0        56       0        0        | 256    5825655        1968538      -       
32     8      3      3/8    | 0.77      22.64     8.60      1.82      33.84        0.30      | 1276809  0        56       0        0        | 384    5825655        1968538      -       
32     8      4      4/8    | 0.76      22.69     8.63      1.85      33.95        0.30      | 1276809  0        56       0        0        | 512    5825655        1968538      -       
32     8      5      5/8    | 0.76      22.72     8.70      1.83      34.03        0.29      | 1276809  0        56       0        0        | 640    5825655        1968538      -       
32     8      6      6/8    | 0.78      23.03     8.63      1.88      34.34        0.29      | 1276809  0        56       0        0        | 768    5825655        1968538      -       
32     8      7      7/8    | 0.77      22.77     8.64      1.86      34.06        0.29      | 1276809  0        56       0        0        | 896    5825655        1968538      -       
32     8      8      8/8    | 0.78      23.03     8.62      1.87      34.31        0.29      | 1276809  0        56       0        0        | 1024   5825655        1968538      -       
32     16     0      0/8    | 0.90      29.63     11.46     1.97      43.98        0.23      | 1276809  0        0        56       0        | 1      6657007        1968538      -       
32     16     1      1/8    | 0.89      29.42     11.44     1.94      43.72        0.23      | 1276809  0        0        56       0        | 128    6657007        1968538      -       
32     16     2      2/8    | 0.91      29.56     11.35     1.95      43.79        0.23      | 1276809  0        56       0        0        | 256    6657007        1968538      -       
32     16     3      3/8    | 0.90      29.38     11.35     1.96      43.60        0.23      | 1276809  0        56       0        0        | 384    6657007        1968538      -       
32     16     4      4/8    | 0.90      29.19     11.34     1.92      43.37        0.23      | 1276809  0        56       0        0        | 512    6657007        1968538      -       
32     16     5      5/8    | 0.91      29.59     11.35     1.97      43.85        0.23      | 1276809  0        56       0        0        | 640    6657007        1968538      -       
32     16     6      6/8    | 0.90      29.61     11.35     1.92      43.80        0.23      | 1276809  0        56       0        0        | 768    6657007        1968538      -       
32     16     7      7/8    | 0.91      29.48     11.36     1.92      43.68        0.23      | 1276809  0        56       0        0        | 896    6657007        1968538      -       
32     16     8      8/8    | 0.90      29.53     11.33     1.97      43.74        0.23      | 1276809  0        56       0        0        | 1024   6657007        1968538      -       
32     32     0      0/8    | 1.00      39.16     16.33     2.01      58.52        0.17      | 1276809  0        0        56       0        | 1      7113255        1968538      -       
32     32     1      1/8    | 0.98      38.95     16.33     2.02      58.30        0.17      | 1276809  0        0        56       0        | 128    7113255        1968538      -       
32     32     2      2/8    | 0.98      38.89     16.05     2.02      57.96        0.17      | 1276809  0        56       0        0        | 256    7113255        1968538      -       
32     32     3      3/8    | 1.00      39.33     16.03     2.07      58.45        0.17      | 1276809  0        56       0        0        | 384    7113255        1968538      -       
32     32     4      4/8    | 0.99      38.93     16.06     2.03      58.02        0.17      | 1276809  0        56       0        0        | 512    7113255        1968538      -       
32     32     5      5/8    | 1.00      38.85     16.05     2.01      57.93        0.17      | 1276809  0        56       0        0        | 640    7113255        1968538      -       
32     32     6      6/8    | 0.99      38.85     16.03     1.99      57.87        0.17      | 1276809  0        56       0        0        | 768    7113255        1968538      -       
32     32     7      7/8    | 0.98      38.89     16.07     2.00      57.96        0.17      | 1276809  0        56       0        0        | 896    7113255        1968538      -       
32     32     8      8/8    | 1.00      38.89     16.05     2.01      57.97        0.17      | 1276809  0        56       0        0        | 1024   7113255        1968538      -       
