# Matrix: torso2
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/torso2.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 10:29:35
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 115967
# Cols: 115967
# NNZ(A): 1033473
# NNZ(C) estimate: 9239885
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.19      1.13      0.86      0.75      2.95         6.27      | 123860   0        0        91206    0        | 1      394917         2858293      -       
8      8      1      1/8    | 0.20      1.17      0.86      0.76      3.00         6.17      | 123860   0        0        91206    0        | 8      394917         2858293      -       
8      8      2      2/8    | 0.19      1.16      0.83      0.78      2.97         6.22      | 123860   0        19623    71583    0        | 16     394917         2858293      -       
8      8      3      3/8    | 0.19      1.16      0.83      0.80      3.00         6.17      | 123860   0        21375    69831    0        | 24     394917         2858293      -       
8      8      4      4/8    | 0.19      1.13      0.80      0.77      2.91         6.35      | 123860   0        46583    44623    0        | 32     394917         2858293      -       
8      8      5      5/8    | 0.22      1.25      0.61      0.83      2.92         6.32      | 123860   0        91206    0        0        | 40     394917         2858293      -       
8      8      6      6/8    | 0.20      1.20      0.61      0.76      2.78         6.65      | 123860   0        91206    0        0        | 48     394917         2858293      -       
8      8      7      7/8    | 0.20      1.13      0.60      0.76      2.71         6.83      | 123860   0        91206    0        0        | 56     394917         2858293      -       
8      8      8      8/8    | 0.20      1.16      0.61      0.78      2.76         6.69      | 123860   0        91206    0        0        | 64     394917         2858293      -       
8      16     0      0/8    | 0.20      1.49      0.93      0.82      3.45         5.35      | 123860   0        0        91206    0        | 1      515366         2858293      -       
8      16     1      1/8    | 0.19      1.50      0.93      0.81      3.45         5.36      | 123860   0        0        91206    0        | 8      515366         2858293      -       
8      16     2      2/8    | 0.19      1.42      0.90      0.78      3.30         5.59      | 123860   0        19623    71583    0        | 16     515366         2858293      -       
8      16     3      3/8    | 0.21      1.54      0.89      0.82      3.48         5.31      | 123860   0        21375    69831    0        | 24     515366         2858293      -       
8      16     4      4/8    | 0.20      1.47      0.83      0.80      3.31         5.58      | 123860   0        46583    44623    0        | 32     515366         2858293      -       
8      16     5      5/8    | 0.19      1.43      0.58      0.81      3.02         6.12      | 123860   0        91206    0        0        | 40     515366         2858293      -       
8      16     6      6/8    | 0.19      1.46      0.57      0.77      3.01         6.13      | 123860   0        91206    0        0        | 48     515366         2858293      -       
8      16     7      7/8    | 0.19      1.43      0.57      0.76      2.97         6.22      | 123860   0        91206    0        0        | 56     515366         2858293      -       
8      16     8      8/8    | 0.21      1.51      0.58      0.84      3.15         5.88      | 123860   0        91206    0        0        | 64     515366         2858293      -       
8      32     0      0/8    | 0.20      1.94      1.27      0.79      4.22         4.38      | 123860   0        0        91206    0        | 1      693267         2858293      -       
8      32     1      1/8    | 0.20      1.98      1.27      0.80      4.26         4.33      | 123860   0        0        91206    0        | 8      693267         2858293      -       
8      32     2      2/8    | 0.21      1.96      1.24      0.76      4.19         4.41      | 123860   0        19623    71583    0        | 16     693267         2858293      -       
8      32     3      3/8    | 0.19      1.86      1.23      0.77      4.06         4.55      | 123860   0        21375    69831    0        | 24     693267         2858293      -       
8      32     4      4/8    | 0.21      1.96      1.06      0.80      4.04         4.58      | 123860   0        46583    44623    0        | 32     693267         2858293      -       
8      32     5      5/8    | 0.20      1.92      0.60      0.75      3.48         5.31      | 123860   0        91206    0        0        | 40     693267         2858293      -       
8      32     6      6/8    | 0.19      1.86      0.60      0.77      3.44         5.37      | 123860   0        91206    0        0        | 48     693267         2858293      -       
8      32     7      7/8    | 0.19      1.89      0.60      0.75      3.47         5.33      | 123860   0        91206    0        0        | 56     693267         2858293      -       
