# Matrix: turon_m
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/turon_m.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:09:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 189924
# Cols: 189924
# NNZ(A): 1690876
# NNZ(C) estimate: 16502518
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.76      2.77      3.73      0.93      8.21         4.02      | 569284   0        0        307676   269      | 1      1604693        7688032      -       
8      8      1      1/8    | 0.79      2.90      3.73      0.91      8.36         3.95      | 569284   0        0        307676   269      | 8      1604693        7688032      -       
8      8      2      2/8    | 0.74      2.94      3.25      0.90      7.85         4.21      | 569284   0        164418   143258   269      | 16     1604693        7688032      -       
8      8      3      3/8    | 0.88      2.97      2.88      0.91      7.66         4.31      | 569284   0        239265   68411    269      | 24     1604693        7688032      -       
8      8      4      4/8    | 0.77      2.83      2.85      0.94      7.40         4.46      | 569284   0        275912   31764    269      | 32     1604693        7688032      -       
8      8      5      5/8    | 0.74      3.08      2.55      0.91      7.29         4.52      | 569284   0        294952   12724    269      | 40     1604693        7688032      -       
8      8      6      6/8    | 0.74      2.95      2.48      0.90      7.08         4.66      | 569284   0        300224   7452     269      | 48     1604693        7688032      -       
8      8      7      7/8    | 0.75      2.82      2.44      0.90      6.93         4.76      | 569284   0        307181   495      269      | 56     1604693        7688032      -       
8      8      8      8/8    | 0.73      2.86      2.40      0.92      6.92         4.77      | 569284   0        307945   0        0        | 64     1604693        7688032      -       
8      16     0      0/8    | 0.71      4.97      4.13      0.92      10.75        3.07      | 569284   0        0        307676   269      | 1      1921637        7688032      -       
8      16     1      1/8    | 0.71      4.93      4.12      0.89      10.67        3.09      | 569284   0        0        307676   269      | 8      1921637        7688032      -       
8      16     2      2/8    | 0.73      4.98      3.43      0.90      10.07        3.28      | 569284   0        164418   143258   269      | 16     1921637        7688032      -       
8      16     3      3/8    | 0.70      4.88      2.94      0.90      9.43         3.50      | 569284   0        239265   68411    269      | 24     1921637        7688032      -       
8      16     4      4/8    | 0.73      4.99      2.83      0.94      9.50         3.47      | 569284   0        275912   31764    269      | 32     1921637        7688032      -       
8      16     5      5/8    | 0.71      5.00      2.50      0.91      9.13         3.62      | 569284   0        294952   12724    269      | 40     1921637        7688032      -       
8      16     6      6/8    | 0.70      4.95      2.44      0.90      9.01         3.66      | 569284   0        300224   7452     269      | 48     1921637        7688032      -       
8      16     7      7/8    | 0.73      4.96      2.35      0.90      8.96         3.69      | 569284   0        307181   495      269      | 56     1921637        7688032      -       
8      16     8      8/8    | 0.70      4.84      2.30      0.90      8.75         3.77      | 569284   0        307945   0        0        | 64     1921637        7688032      -       
8      32     0      0/8    | 0.77      6.66      5.92      0.93      14.30        2.31      | 569284   0        0        307676   269      | 1      2495641        7688032      -       
8      32     1      1/8    | 0.71      6.39      5.92      0.91      13.95        2.37      | 569284   0        0        307676   269      | 8      2495641        7688032      -       
8      32     2      2/8    | 0.73      6.36      4.56      0.94      12.60        2.62      | 569284   0        164418   143258   269      | 16     2495641        7688032      -       
8      32     3      3/8    | 0.73      6.40      3.62      0.92      11.68        2.83      | 569284   0        239265   68411    269      | 24     2495641        7688032      -       
8      32     4      4/8    | 0.74      6.38      3.09      0.93      11.16        2.96      | 569284   0        275912   31764    269      | 32     2495641        7688032      -       
8      32     5      5/8    | 0.72      6.37      2.80      0.90      10.81        3.05      | 569284   0        294952   12724    269      | 40     2495641        7688032      -       
