# Matrix: twotone
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/twotone.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:10:32
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 120750
# Cols: 120750
# NNZ(A): 1224224
# NNZ(C) estimate: 23305015
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.43      9.16      6.99      1.02      17.63        2.64      | 882450   0        0        609244   46467    | 1      3602089        18527722     -       
8      8      1      1/8    | 0.44      9.19      7.00      1.07      17.72        2.63      | 882450   0        0        609244   46467    | 8      3602089        18527722     -       
8      8      2      2/8    | 0.41      9.04      5.69      1.03      16.19        2.88      | 882450   0        310493   298751   46467    | 16     3602089        18527722     -       
8      8      3      3/8    | 0.43      9.47      5.13      1.07      16.11        2.89      | 882450   0        493225   116019   46467    | 24     3602089        18527722     -       
8      8      4      4/8    | 0.42      9.13      5.10      1.05      15.73        2.96      | 882450   0        561448   47796    46467    | 32     3602089        18527722     -       
8      8      5      5/8    | 0.40      9.27      4.64      1.04      15.37        3.03      | 882450   0        582874   26370    46467    | 40     3602089        18527722     -       
8      8      6      6/8    | 0.41      9.20      4.59      1.09      15.30        3.05      | 882450   0        596183   13061    46467    | 48     3602089        18527722     -       
8      8      7      7/8    | 0.41      9.57      4.54      1.08      15.61        2.99      | 882450   0        607941   1303     46467    | 56     3602089        18527722     -       
8      8      8      8/8    | 0.41      9.12      4.45      1.04      15.04        3.10      | 882450   0        655711   0        0        | 64     3602089        18527722     -       
8      16     0      0/8    | 0.47      11.52     8.39      1.09      21.49        2.17      | 882450   0        0        609244   46467    | 1      4512905        18527722     -       
8      16     1      1/8    | 0.47      11.49     8.39      1.17      21.54        2.16      | 882450   0        0        609244   46467    | 8      4512905        18527722     -       
8      16     2      2/8    | 0.46      11.53     6.33      1.11      19.45        2.40      | 882450   0        310493   298751   46467    | 16     4512905        18527722     -       
8      16     3      3/8    | 0.48      11.57     5.46      1.09      18.63        2.50      | 882450   0        493225   116019   46467    | 24     4512905        18527722     -       
8      16     4      4/8    | 0.46      11.64     5.23      1.10      18.45        2.53      | 882450   0        561448   47796    46467    | 32     4512905        18527722     -       
8      16     5      5/8    | 0.46      11.37     4.75      1.10      17.70        2.63      | 882450   0        582874   26370    46467    | 40     4512905        18527722     -       
8      16     6      6/8    | 0.47      11.94     4.66      1.11      18.20        2.56      | 882450   0        596183   13061    46467    | 48     4512905        18527722     -       
8      16     7      7/8    | 0.46      11.42     4.58      1.09      17.57        2.65      | 882450   0        607941   1303     46467    | 56     4512905        18527722     -       
8      16     8      8/8    | 0.47      11.41     4.41      1.10      17.41        2.68      | 882450   0        655711   0        0        | 64     4512905        18527722     -       
8      32     0      0/8    | 0.53      13.53     12.44     1.13      27.64        1.69      | 882450   0        0        609244   46467    | 1      5157209        18527722     -       
8      32     1      1/8    | 0.52      12.97     12.43     1.11      27.05        1.72      | 882450   0        0        609244   46467    | 8      5157209        18527722     -       
8      32     2      2/8    | 0.54      13.57     8.34      1.13      23.60        1.98      | 882450   0        310493   298751   46467    | 16     5157209        18527722     -       
8      32     3      3/8    | 0.52      13.58     6.71      1.12      21.93        2.13      | 882450   0        493225   116019   46467    | 24     5157209        18527722     -       
8      32     4      4/8    | 0.53      15.06     5.70      1.50      22.81        2.04      | 882450   0        561448   47796    46467    | 32     5157209        18527722     -       
8      32     5      5/8    | 0.54      13.42     5.37      1.18      20.53        2.27      | 882450   0        582874   26370    46467    | 40     5157209        18527722     -       
8      32     6      6/8    | 0.54      13.21     5.19      1.11      20.07        2.32      | 882450   0        596183   13061    46467    | 48     5157209        18527722     -       
8      32     7      7/8    | 0.54      13.23     5.04      1.11      19.94        2.34      | 882450   0        607941   1303     46467    | 56     5157209        18527722     -       
