# Matrix: uni_chimera_i5
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/uni_chimera_i5.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:18:40
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 100000
# Cols: 100000
# NNZ(A): 499982
# NNZ(C) estimate: 3105448
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.81      32.17     3.33      1.28      37.62        0.17      | 2199854  0        0        70       0        | 1      12799068       2304660      -       
8      8      1      1/8    | 0.82      34.51     3.33      1.41      40.08        0.15      | 2199854  0        0        70       0        | 8      12799068       2304660      -       
8      8      2      2/8    | 0.83      32.90     3.31      1.30      38.36        0.16      | 2199854  0        70       0        0        | 16     12799068       2304660      -       
8      8      3      3/8    | 0.83      32.72     3.31      1.30      38.19        0.16      | 2199854  0        70       0        0        | 24     12799068       2304660      -       
8      8      4      4/8    | 0.82      32.66     3.32      1.29      38.10        0.16      | 2199854  0        70       0        0        | 32     12799068       2304660      -       
8      8      5      5/8    | 0.82      33.20     3.34      1.31      38.69        0.16      | 2199854  0        70       0        0        | 40     12799068       2304660      -       
8      8      6      6/8    | 0.83      33.16     3.35      1.33      38.68        0.16      | 2199854  0        70       0        0        | 48     12799068       2304660      -       
8      8      7      7/8    | 0.82      32.88     3.33      1.31      38.36        0.16      | 2199854  0        70       0        0        | 56     12799068       2304660      -       
8      8      8      8/8    | 0.83      32.93     3.32      1.32      38.41        0.16      | 2199854  0        70       0        0        | 64     12799068       2304660      -       
8      16     0      0/8    | 1.50      62.42     4.11      1.85      69.90        0.09      | 2199854  0        0        70       0        | 1      24621606       2304660      -       
8      16     1      1/8    | 1.52      62.20     4.10      1.80      69.63        0.09      | 2199854  0        0        70       0        | 8      24621606       2304660      -       
8      16     2      2/8    | 1.53      64.11     4.09      1.84      71.58        0.09      | 2199854  0        70       0        0        | 16     24621606       2304660      -       
8      16     3      3/8    | 1.51      63.37     4.09      1.84      70.82        0.09      | 2199854  0        70       0        0        | 24     24621606       2304660      -       
8      16     4      4/8    | 1.53      63.55     4.10      1.83      71.02        0.09      | 2199854  0        70       0        0        | 32     24621606       2304660      -       
8      16     5      5/8    | 1.52      63.21     4.09      1.84      70.68        0.09      | 2199854  0        70       0        0        | 40     24621606       2304660      -       
8      16     6      6/8    | 1.51      63.94     4.08      1.83      71.38        0.09      | 2199854  0        70       0        0        | 48     24621606       2304660      -       
8      16     7      7/8    | 1.52      62.04     4.09      1.82      69.49        0.09      | 2199854  0        70       0        0        | 56     24621606       2304660      -       
8      16     8      8/8    | 1.51      64.73     4.09      1.86      72.21        0.09      | 2199854  0        70       0        0        | 64     24621606       2304660      -       
8      32     0      0/8    | 2.85      113.71    4.54      2.56      123.67       0.05      | 2199854  0        0        70       0        | 1      45215992       2304660      -       
8      32     1      1/8    | 2.85      114.01    4.52      2.53      123.93       0.05      | 2199854  0        0        70       0        | 8      45215992       2304660      -       
8      32     2      2/8    | 2.83      114.22    4.37      2.52      123.94       0.05      | 2199854  0        70       0        0        | 16     45215992       2304660      -       
8      32     3      3/8    | 2.84      113.50    4.37      2.54      123.27       0.05      | 2199854  0        70       0        0        | 24     45215992       2304660      -       
