# Matrix: vsp_bump2_e18_aa01_model1_crew1
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/vsp_bump2_e18_aa01_model1_crew1.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:27:48
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 56438
# Cols: 56438
# NNZ(A): 601602
# NNZ(C) estimate: 32315864
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.32      27.64     20.97     1.38      51.33        1.26      | 2536575  0        0        1000801  341      | 1      10710985       25081922     -       
8      8      1      1/8    | 1.37      28.33     21.01     1.40      52.12        1.24      | 2536575  0        0        1000801  341      | 8      10710985       25081922     -       
8      8      2      2/8    | 1.35      27.90     18.41     1.40      49.08        1.32      | 2536575  0        377534   623267   341      | 16     10710985       25081922     -       
8      8      3      3/8    | 1.38      28.09     14.52     1.40      45.40        1.42      | 2536575  0        834622   166179   341      | 24     10710985       25081922     -       
8      8      4      4/8    | 1.37      27.76     14.00     1.38      44.53        1.45      | 2536575  0        963662   37139    341      | 32     10710985       25081922     -       
8      8      5      5/8    | 1.38      28.27     12.87     1.42      43.95        1.47      | 2536575  0        991025   9776     341      | 40     10710985       25081922     -       
8      8      6      6/8    | 1.34      27.51     12.86     1.38      43.11        1.50      | 2536575  0        997622   3179     341      | 48     10710985       25081922     -       
8      8      7      7/8    | 1.34      27.43     12.91     1.38      43.08        1.50      | 2536575  0        999953   848      341      | 56     10710985       25081922     -       
8      8      8      8/8    | 1.36      27.47     13.23     1.38      43.46        1.49      | 2536575  0        1001142  0        0        | 64     10710985       25081922     -       
8      16     0      0/8    | 1.45      41.44     22.21     1.63      66.75        0.97      | 2536575  0        0        1000801  341      | 1      15799983       25081922     -       
8      16     1      1/8    | 1.45      41.02     22.22     1.62      66.33        0.97      | 2536575  0        0        1000801  341      | 8      15799983       25081922     -       
8      16     2      2/8    | 1.46      41.87     18.23     1.65      63.23        1.02      | 2536575  0        377534   623267   341      | 16     15799983       25081922     -       
8      16     3      3/8    | 1.46      41.46     13.83     1.61      58.38        1.11      | 2536575  0        834622   166179   341      | 24     15799983       25081922     -       
8      16     4      4/8    | 1.47      41.48     12.95     1.60      57.51        1.12      | 2536575  0        963662   37139    341      | 32     15799983       25081922     -       
8      16     5      5/8    | 1.46      41.36     11.94     1.60      56.38        1.15      | 2536575  0        991025   9776     341      | 40     15799983       25081922     -       
8      16     6      6/8    | 1.45      41.12     11.75     1.59      55.92        1.16      | 2536575  0        997622   3179     341      | 48     15799983       25081922     -       
8      16     7      7/8    | 1.45      41.41     11.71     1.63      56.22        1.15      | 2536575  0        999953   848      341      | 56     15799983       25081922     -       
8      16     8      8/8    | 1.47      40.73     11.46     1.68      55.35        1.17      | 2536575  0        1001142  0        0        | 64     15799983       25081922     -       
8      32     0      0/8    | 2.05      58.10     30.42     1.86      92.45        0.70      | 2536575  0        0        1000801  341      | 1      22503225       25081922     -       
8      32     1      1/8    | 1.99      58.97     30.31     1.87      93.15        0.69      | 2536575  0        0        1000801  341      | 8      22503225       25081922     -       
8      32     2      2/8    | 1.99      58.49     21.90     1.85      84.25        0.77      | 2536575  0        377534   623267   341      | 16     22503225       25081922     -       
8      32     3      3/8    | 1.98      57.94     14.89     1.85      76.67        0.84      | 2536575  0        834622   166179   341      | 24     22503225       25081922     -       
8      32     4      4/8    | 1.95      58.37     12.58     1.90      74.82        0.86      | 2536575  0        963662   37139    341      | 32     22503225       25081922     -       
8      32     5      5/8    | 1.98      58.26     11.92     1.88      74.05        0.87      | 2536575  0        991025   9776     341      | 40     22503225       25081922     -       
8      32     6      6/8    | 2.01      58.73     11.64     1.90      74.30        0.87      | 2536575  0        997622   3179     341      | 48     22503225       25081922     -       
8      32     7      7/8    | 2.01      57.94     11.61     1.89      73.47        0.88      | 2536575  0        999953   848      341      | 56     22503225       25081922     -       
8      32     8      8/8    | 1.94      58.58     10.99     1.87      73.39        0.88      | 2536575  0        1001142  0        0        | 64     22503225       25081922     -       
16     8      0      0/8    | 0.95      16.41     14.92     1.29      33.57        1.93      | 1694619  0        0        242362   5        | 1      5365818        25081922     -       
16     8      1      1/8    | 0.93      16.84     15.13     1.34      34.26        1.89      | 1694619  0        0        242362   5        | 32     5365818        25081922     -       
16     8      2      2/8    | 0.94      16.72     13.47     1.30      32.45        1.99      | 1694619  0        76014    166348   5        | 64     5365818        25081922     -       
16     8      3      3/8    | 0.93      16.85     11.56     1.30      30.66        2.11      | 1694619  0        215080   27282    5        | 96     5365818        25081922     -       
16     8      4      4/8    | 0.95      16.76     11.49     1.33      30.54        2.12      | 1694619  0        236262   6100     5        | 128    5365818        25081922     -       
16     8      5      5/8    | 0.95      16.42     12.05     1.32      30.76        2.10      | 1694619  0        241975   387      5        | 160    5365818        25081922     -       
16     8      6      6/8    | 0.94      16.63     12.30     1.30      31.19        2.07      | 1694619  0        242266   96       5        | 192    5365818        25081922     -       
16     8      7      7/8    | 0.94      16.50     12.61     1.28      31.35        2.06      | 1694619  0        242304   58       5        | 224    5365818        25081922     -       
16     8      8      8/8    | 0.92      16.30     13.07     1.32      31.63        2.04      | 1694619  0        242367   0        0        | 256    5365818        25081922     -       
16     16     0      0/8    | 0.93      18.91     15.16     1.43      36.44        1.77      | 1694619  0        0        242362   5        | 1      7123394        25081922     -       
16     16     1      1/8    | 0.87      18.75     15.16     1.42      36.22        1.78      | 1694619  0        0        242362   5        | 32     7123394        25081922     -       
16     16     2      2/8    | 0.92      18.84     12.95     1.43      34.16        1.89      | 1694619  0        76014    166348   5        | 64     7123394        25081922     -       
16     16     3      3/8    | 0.89      18.18     10.80     1.41      31.29        2.07      | 1694619  0        215080   27282    5        | 96     7123394        25081922     -       
16     16     4      4/8    | 0.91      18.35     10.36     1.42      31.05        2.08      | 1694619  0        236262   6100     5        | 128    7123394        25081922     -       
16     16     5      5/8    | 0.88      18.77     10.51     1.43      31.60        2.05      | 1694619  0        241975   387      5        | 160    7123394        25081922     -       
16     16     6      6/8    | 0.91      18.57     10.54     1.40      31.43        2.06      | 1694619  0        242266   96       5        | 192    7123394        25081922     -       
16     16     7      7/8    | 0.93      18.88     10.35     1.43      31.61        2.04      | 1694619  0        242304   58       5        | 224    7123394        25081922     -       
16     16     8      8/8    | 0.92      18.72     9.86      1.42      30.92        2.09      | 1694619  0        242367   0        0        | 256    7123394        25081922     -       
16     32     0      0/8    | 0.97      22.82     22.46     1.65      47.93        1.35      | 1694619  0        0        242362   5        | 1      8737560        25081922     -       
16     32     1      1/8    | 0.96      22.86     22.57     1.66      48.07        1.34      | 1694619  0        0        242362   5        | 32     8737560        25081922     -       
16     32     2      2/8    | 0.95      22.43     16.03     1.63      41.05        1.57      | 1694619  0        76014    166348   5        | 64     8737560        25081922     -       
16     32     3      3/8    | 0.96      22.59     11.45     1.62      36.64        1.76      | 1694619  0        215080   27282    5        | 96     8737560        25081922     -       
16     32     4      4/8    | 0.96      22.59     10.63     1.59      35.78        1.81      | 1694619  0        236262   6100     5        | 128    8737560        25081922     -       
16     32     5      5/8    | 0.98      22.63     10.31     1.64      35.58        1.82      | 1694619  0        241975   387      5        | 160    8737560        25081922     -       
16     32     6      6/8    | 0.96      22.89     10.40     1.65      35.92        1.80      | 1694619  0        242266   96       5        | 192    8737560        25081922     -       
16     32     7      7/8    | 0.96      22.72     10.23     1.64      35.56        1.82      | 1694619  0        242304   58       5        | 224    8737560        25081922     -       
16     32     8      8/8    | 0.99      22.26     9.54      1.73      34.54        1.87      | 1694619  0        242367   0        0        | 256    8737560        25081922     -       
32     8      0      0/8    | 0.89      14.83     16.02     1.35      33.11        1.95      | 955165   0        0        58657    0        | 1      2203344        25081922     -       
32     8      1      1/8    | 0.89      14.58     16.07     1.34      32.92        1.96      | 955165   0        0        58657    0        | 128    2203344        25081922     -       
32     8      2      2/8    | 0.89      14.67     14.82     1.34      31.73        2.04      | 955165   0        15339    43318    0        | 256    2203344        25081922     -       
32     8      3      3/8    | 0.91      14.86     12.66     1.37      29.82        2.17      | 955165   0        55193    3464     0        | 384    2203344        25081922     -       
32     8      4      4/8    | 0.90      14.60     13.54     1.34      30.39        2.13      | 955165   0        57553    1104     0        | 512    2203344        25081922     -       
32     8      5      5/8    | 0.90      14.85     13.30     1.32      30.41        2.13      | 955165   0        58631    26       0        | 640    2203344        25081922     -       
32     8      6      6/8    | 0.89      14.98     13.46     1.32      30.67        2.11      | 955165   0        58641    16       0        | 768    2203344        25081922     -       
32     8      7      7/8    | 0.90      14.97     16.24     1.34      33.48        1.93      | 955165   0        58648    9        0        | 896    2203344        25081922     -       
32     8      8      8/8    | 0.90      14.77     16.91     1.34      33.93        1.90      | 955165   0        58657    0        0        | 1024   2203344        25081922     -       
32     16     0      0/8    | 0.73      13.56     17.20     1.40      32.91        1.96      | 955165   0        0        58657    0        | 1      2562492        25081922     -       
32     16     1      1/8    | 0.73      13.72     17.20     1.41      33.07        1.95      | 955165   0        0        58657    0        | 128    2562492        25081922     -       
32     16     2      2/8    | 0.73      13.39     15.84     1.39      31.36        2.06      | 955165   0        15339    43318    0        | 256    2562492        25081922     -       
32     16     3      3/8    | 0.75      13.58     12.38     1.41      28.13        2.30      | 955165   0        55193    3464     0        | 384    2562492        25081922     -       
32     16     4      4/8    | 0.74      13.65     12.56     1.40      28.36        2.28      | 955165   0        57553    1104     0        | 512    2562492        25081922     -       
32     16     5      5/8    | 0.75      13.83     12.33     1.49      28.42        2.27      | 955165   0        58631    26       0        | 640    2562492        25081922     -       
32     16     6      6/8    | 0.74      13.61     12.39     1.38      28.13        2.30      | 955165   0        58641    16       0        | 768    2562492        25081922     -       
32     16     7      7/8    | 0.74      13.87     12.49     1.46      28.58        2.26      | 955165   0        58648    9        0        | 896    2562492        25081922     -       
32     16     8      8/8    | 0.74      13.74     12.33     1.38      28.20        2.29      | 955165   0        58657    0        0        | 1024   2562492        25081922     -       
32     32     0      0/8    | 0.82      13.85     23.47     1.46      39.62        1.63      | 955165   0        0        58657    0        | 1      2826870        25081922     -       
32     32     1      1/8    | 0.82      13.91     23.45     1.54      39.75        1.63      | 955165   0        0        58657    0        | 128    2826870        25081922     -       
32     32     2      2/8    | 0.82      13.94     18.65     1.55      34.98        1.85      | 955165   0        15339    43318    0        | 256    2826870        25081922     -       
32     32     3      3/8    | 0.82      13.87     13.81     1.44      29.95        2.16      | 955165   0        55193    3464     0        | 384    2826870        25081922     -       
32     32     4      4/8    | 0.81      13.86     14.07     1.47      30.22        2.14      | 955165   0        57553    1104     0        | 512    2826870        25081922     -       
32     32     5      5/8    | 0.83      13.89     13.89     1.48      30.09        2.15      | 955165   0        58631    26       0        | 640    2826870        25081922     -       
32     32     6      6/8    | 0.82      13.86     13.53     1.46      29.68        2.18      | 955165   0        58641    16       0        | 768    2826870        25081922     -       
32     32     7      7/8    | 0.82      13.86     13.65     1.45      29.79        2.17      | 955165   0        58648    9        0        | 896    2826870        25081922     -       
32     32     8      8/8    | 0.82      13.95     13.61     1.47      29.87        2.16      | 955165   0        58657    0        0        | 1024   2826870        25081922     -       
