# Matrix: vsp_c-60_data_cti_cs4
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/vsp_c-60_data_cti_cs4.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:28:37
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 85830
# Cols: 85830
# NNZ(A): 482160
# NNZ(C) estimate: 11793590
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.49      7.89      3.10      0.98      12.48        1.89      | 540708   0        0        65944    78117    | 1      3010327        7405882      -       
8      8      1      1/8    | 0.48      7.92      2.82      0.97      12.20        1.93      | 540708   0        0        65944    78117    | 8      3010327        7405882      -       
8      8      2      2/8    | 0.50      7.92      2.92      0.93      12.29        1.92      | 540708   0        44097    21847    78117    | 16     3010327        7405882      -       
8      8      3      3/8    | 0.45      7.96      1.94      0.99      11.35        2.08      | 540708   0        55127    10817    78117    | 24     3010327        7405882      -       
8      8      4      4/8    | 0.49      8.02      1.98      0.93      11.43        2.06      | 540708   0        59662    6282     78117    | 32     3010327        7405882      -       
8      8      5      5/8    | 0.47      8.20      1.88      1.00      11.58        2.04      | 540708   0        62629    3315     78117    | 40     3010327        7405882      -       
8      8      6      6/8    | 0.47      7.80      1.93      0.94      11.16        2.11      | 540708   0        64046    1898     78117    | 48     3010327        7405882      -       
8      8      7      7/8    | 0.48      7.76      1.88      0.99      11.12        2.12      | 540708   0        65689    255      78117    | 56     3010327        7405882      -       
8      8      8      8/8    | 0.48      7.79      1.82      0.95      11.06        2.13      | 540708   0        144061   0        0        | 64     3010327        7405882      -       
8      16     0      0/8    | 0.51      12.96     2.99      1.07      17.54        1.34      | 540708   0        0        65944    78117    | 1      4944103        7405882      -       
8      16     1      1/8    | 0.49      12.92     3.22      1.02      17.67        1.34      | 540708   0        0        65944    78117    | 8      4944103        7405882      -       
8      16     2      2/8    | 0.51      13.17     2.75      1.06      17.51        1.35      | 540708   0        44097    21847    78117    | 16     4944103        7405882      -       
8      16     3      3/8    | 0.48      13.07     2.16      1.04      16.78        1.41      | 540708   0        55127    10817    78117    | 24     4944103        7405882      -       
8      16     4      4/8    | 0.52      13.19     2.17      1.04      16.94        1.39      | 540708   0        59662    6282     78117    | 32     4944103        7405882      -       
8      16     5      5/8    | 0.50      12.71     2.11      1.04      16.38        1.44      | 540708   0        62629    3315     78117    | 40     4944103        7405882      -       
8      16     6      6/8    | 0.52      13.13     2.12      1.06      16.83        1.40      | 540708   0        64046    1898     78117    | 48     4944103        7405882      -       
8      16     7      7/8    | 0.49      12.93     2.02      1.04      16.50        1.43      | 540708   0        65689    255      78117    | 56     4944103        7405882      -       
8      16     8      8/8    | 0.51      13.11     1.71      1.03      16.37        1.44      | 540708   0        144061   0        0        | 64     4944103        7405882      -       
8      32     0      0/8    | 0.67      19.98     3.40      1.15      25.22        0.94      | 540708   0        0        65944    78117    | 1      7688027        7405882      -       
8      32     1      1/8    | 0.65      20.01     3.40      1.14      25.21        0.94      | 540708   0        0        65944    78117    | 8      7688027        7405882      -       
8      32     2      2/8    | 0.66      20.48     2.98      1.16      25.28        0.93      | 540708   0        44097    21847    78117    | 16     7688027        7405882      -       
