# Matrix: vsp_finan512_scagr7-2c_rlfddd
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/vsp_finan512_scagr7-2c_rlfddd.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:47:59
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 139752
# Cols: 139752
# NNZ(A): 1104040
# NNZ(C) estimate: 40888246
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 33.30     76.03     16.98     3.52      129.85       0.63      | 4446905  0        0        725683   54028    | 1      30350671       31844646     -       
8      8      1      1/8    | 33.55     75.59     16.87     3.48      129.51       0.63      | 4446905  0        0        725683   54028    | 8      30350671       31844646     -       
8      8      2      2/8    | 33.81     76.36     16.16     3.50      129.85       0.63      | 4446905  0        275379   450304   54028    | 16     30350671       31844646     -       
8      8      3      3/8    | 33.44     75.84     15.66     3.52      128.48       0.64      | 4446905  0        451901   273782   54028    | 24     30350671       31844646     -       
8      8      4      4/8    | 33.62     76.22     15.63     3.53      129.02       0.63      | 4446905  0        560694   164989   54028    | 32     30350671       31844646     -       
8      8      5      5/8    | 33.47     77.74     14.85     3.54      129.62       0.63      | 4446905  0        631681   94002    54028    | 40     30350671       31844646     -       
8      8      6      6/8    | 33.60     77.65     14.80     3.49      129.56       0.63      | 4446905  0        679797   45886    54028    | 48     30350671       31844646     -       
8      8      7      7/8    | 33.87     77.57     14.43     3.48      129.38       0.63      | 4446905  0        714304   11379    54028    | 56     30350671       31844646     -       
8      8      8      8/8    | 32.50     76.97     11.45     3.53      124.47       0.66      | 4446905  0        779711   0        0        | 64     30350671       31844646     -       
8      16     0      0/8    | 79.95     120.93    21.62     11.69     234.22       0.35      | 4446917  0        0        725642   54028    | 1      47003319       31843350     -       
8      16     1      1/8    | 80.96     121.16    21.65     11.79     235.59       0.35      | 4446917  0        0        725642   54028    | 8      47003319       31843350     -       
8      16     2      2/8    | 80.62     119.69    20.66     11.48     232.47       0.35      | 4446917  0        275379   450263   54028    | 16     47003319       31843350     -       
8      16     3      3/8    | 80.36     120.20    19.34     11.50     231.42       0.35      | 4446917  0        451901   273741   54028    | 24     47003319       31843350     -       
8      16     4      4/8    | 80.57     119.44    19.19     11.67     230.89       0.35      | 4446917  0        560653   164989   54028    | 32     47003319       31843350     -       
8      16     5      5/8    | 80.59     121.06    18.07     12.06     231.80       0.35      | 4446917  0        631640   94002    54028    | 40     47003319       31843350     -       
