# Matrix: wa2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/wa2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:52:06
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 195574
# Cols: 195574
# NNZ(A): 947432
# NNZ(C) estimate: 6267836
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.41      26.14     5.15      1.26      34.98        0.36      | 2242509  0        0        29924    0        | 1      10284119       4224060      -       
8      8      1      1/8    | 2.65      26.16     5.15      1.29      35.27        0.36      | 2242509  0        0        29924    0        | 8      10284119       4224060      -       
8      8      2      2/8    | 2.49      26.07     4.80      1.22      34.60        0.36      | 2242509  0        27925    1999     0        | 16     10284119       4224060      -       
8      8      3      3/8    | 2.48      25.69     4.80      1.26      34.26        0.37      | 2242509  0        29746    178      0        | 24     10284119       4224060      -       
8      8      4      4/8    | 2.40      25.54     4.84      1.22      34.02        0.37      | 2242509  0        29903    21       0        | 32     10284119       4224060      -       
8      8      5      5/8    | 2.43      26.26     4.80      1.28      34.78        0.36      | 2242509  0        29924    0        0        | 40     10284119       4224060      -       
8      8      6      6/8    | 2.40      26.16     4.80      1.23      34.62        0.36      | 2242509  0        29924    0        0        | 48     10284119       4224060      -       
8      8      7      7/8    | 2.44      26.05     4.80      1.25      34.56        0.36      | 2242509  0        29924    0        0        | 56     10284119       4224060      -       
8      8      8      8/8    | 2.44      25.96     4.80      1.22      34.44        0.36      | 2242509  0        29924    0        0        | 64     10284119       4224060      -       
8      16     0      0/8    | 4.00      39.52     6.45      1.49      51.48        0.24      | 2242509  0        0        29924    0        | 1      15776523       4224060      -       
8      16     1      1/8    | 4.03      40.63     6.47      1.52      52.67        0.24      | 2242509  0        0        29924    0        | 8      15776523       4224060      -       
8      16     2      2/8    | 4.00      40.36     5.91      1.51      51.79        0.24      | 2242509  0        27925    1999     0        | 16     15776523       4224060      -       
8      16     3      3/8    | 3.98      39.64     5.89      1.44      50.97        0.25      | 2242509  0        29746    178      0        | 24     15776523       4224060      -       
8      16     4      4/8    | 3.97      39.53     5.95      1.45      50.91        0.25      | 2242509  0        29903    21       0        | 32     15776523       4224060      -       
8      16     5      5/8    | 3.98      39.43     5.90      1.46      50.78        0.25      | 2242509  0        29924    0        0        | 40     15776523       4224060      -       
8      16     6      6/8    | 4.02      40.62     5.91      1.52      52.09        0.24      | 2242509  0        29924    0        0        | 48     15776523       4224060      -       
8      16     7      7/8    | 4.02      40.38     5.90      1.49      51.81        0.24      | 2242509  0        29924    0        0        | 56     15776523       4224060      -       
8      16     8      8/8    | 4.02      40.33     5.90      1.47      51.73        0.24      | 2242509  0        29924    0        0        | 64     15776523       4224060      -       
8      32     0      0/8    | 7.14      57.63     7.95      1.78      74.51        0.17      | 2242509  0        0        29924    0        | 1      22762551       4224060      -       
8      32     1      1/8    | 7.16      57.10     7.95      1.74      73.98        0.17      | 2242509  0        0        29924    0        | 8      22762551       4224060      -       
8      32     2      2/8    | 7.15      57.14     6.72      1.75      72.78        0.17      | 2242509  0        27925    1999     0        | 16     22762551       4224060      -       
8      32     3      3/8    | 7.14      66.13     6.67      2.12      82.07        0.15      | 2242509  0        29746    178      0        | 24     22762551       4224060      -       
8      32     4      4/8    | 7.17      58.38     6.61      1.81      73.98        0.17      | 2242509  0        29903    21       0        | 32     22762551       4224060      -       
8      32     5      5/8    | 7.15      57.90     6.53      1.78      73.37        0.17      | 2242509  0        29924    0        0        | 40     22762551       4224060      -       
8      32     6      6/8    | 7.13      56.93     6.52      1.76      72.36        0.17      | 2242509  0        29924    0        0        | 48     22762551       4224060      -       
8      32     7      7/8    | 7.12      57.20     6.51      1.75      72.62        0.17      | 2242509  0        29924    0        0        | 56     22762551       4224060      -       
8      32     8      8/8    | 7.20      58.93     6.53      1.89      74.56        0.17      | 2242509  0        29924    0        0        | 64     22762551       4224060      -       
16     8      0      0/8    | 0.57      12.84     5.86      1.22      20.50        0.61      | 1621031  0        0        1215     0        | 1      5070492        4224060      -       
16     8      1      1/8    | 0.57      13.21     5.82      1.21      20.83        0.60      | 1621031  0        0        1215     0        | 32     5070492        4224060      -       
16     8      2      2/8    | 0.55      12.68     5.79      1.21      20.24        0.62      | 1621031  0        1212     3        0        | 64     5070492        4224060      -       
16     8      3      3/8    | 0.57      12.63     5.83      1.20      20.24        0.62      | 1621031  0        1215     0        0        | 96     5070492        4224060      -       
16     8      4      4/8    | 0.57      12.89     5.83      1.22      20.54        0.61      | 1621031  0        1215     0        0        | 128    5070492        4224060      -       
16     8      5      5/8    | 0.57      12.63     5.83      1.25      20.30        0.62      | 1621031  0        1215     0        0        | 160    5070492        4224060      -       
16     8      6      6/8    | 0.57      13.13     5.84      1.31      20.88        0.60      | 1621031  0        1215     0        0        | 192    5070492        4224060      -       
16     8      7      7/8    | 0.56      12.68     5.82      1.22      20.29        0.62      | 1621031  0        1215     0        0        | 224    5070492        4224060      -       
16     8      8      8/8    | 0.57      12.73     5.80      1.22      20.34        0.62      | 1621031  0        1215     0        0        | 256    5070492        4224060      -       
16     16     0      0/8    | 0.68      17.21     6.59      1.27      25.77        0.49      | 1621031  0        0        1215     0        | 1      6634044        4224060      -       
16     16     1      1/8    | 0.69      16.97     6.57      1.24      25.49        0.49      | 1621031  0        0        1215     0        | 32     6634044        4224060      -       
16     16     2      2/8    | 0.68      16.76     6.51      1.21      25.18        0.50      | 1621031  0        1212     3        0        | 64     6634044        4224060      -       
16     16     3      3/8    | 0.68      17.16     6.52      1.25      25.64        0.49      | 1621031  0        1215     0        0        | 96     6634044        4224060      -       
16     16     4      4/8    | 0.69      16.90     6.50      1.22      25.32        0.50      | 1621031  0        1215     0        0        | 128    6634044        4224060      -       
16     16     5      5/8    | 0.81      16.78     6.52      1.21      25.34        0.49      | 1621031  0        1215     0        0        | 160    6634044        4224060      -       
16     16     6      6/8    | 0.69      17.13     6.50      1.28      25.61        0.49      | 1621031  0        1215     0        0        | 192    6634044        4224060      -       
16     16     7      7/8    | 0.68      16.88     6.51      1.27      25.36        0.49      | 1621031  0        1215     0        0        | 224    6634044        4224060      -       
16     16     8      8/8    | 0.69      16.93     6.52      1.24      25.39        0.49      | 1621031  0        1215     0        0        | 256    6634044        4224060      -       
16     32     0      0/8    | 0.90      22.05     8.22      1.54      32.74        0.38      | 1621031  0        0        1215     0        | 1      8391060        4224060      -       
16     32     1      1/8    | 0.89      22.07     8.25      1.53      32.76        0.38      | 1621031  0        0        1215     0        | 32     8391060        4224060      -       
16     32     2      2/8    | 0.90      22.09     7.85      1.56      32.42        0.39      | 1621031  0        1212     3        0        | 64     8391060        4224060      -       
16     32     3      3/8    | 0.90      22.06     7.84      1.49      32.30        0.39      | 1621031  0        1215     0        0        | 96     8391060        4224060      -       
16     32     4      4/8    | 0.89      21.96     7.84      1.48      32.19        0.39      | 1621031  0        1215     0        0        | 128    8391060        4224060      -       
16     32     5      5/8    | 0.89      22.14     7.84      1.50      32.39        0.39      | 1621031  0        1215     0        0        | 160    8391060        4224060      -       
16     32     6      6/8    | 0.88      22.01     7.84      1.50      32.25        0.39      | 1621031  0        1215     0        0        | 192    8391060        4224060      -       
16     32     7      7/8    | 0.89      21.99     7.83      1.50      32.23        0.39      | 1621031  0        1215     0        0        | 224    8391060        4224060      -       
16     32     8      8/8    | 0.88      21.80     7.83      1.50      32.02        0.39      | 1621031  0        1215     0        0        | 256    8391060        4224060      -       
32     8      0      0/8    | 0.46      8.83      8.12      1.22      18.66        0.67      | 990065   0        0        1        0        | 1      2036760        4224060      -       
32     8      1      1/8    | 0.47      8.73      8.18      1.19      18.58        0.67      | 990065   0        0        1        0        | 128    2036760        4224060      -       
32     8      2      2/8    | 0.46      8.77      8.15      1.25      18.66        0.67      | 990065   0        1        0        0        | 256    2036760        4224060      -       
32     8      3      3/8    | 0.46      14.31     8.20      1.34      24.34        0.52      | 990065   0        1        0        0        | 384    2036760        4224060      -       
32     8      4      4/8    | 0.45      8.63      8.13      1.20      18.44        0.68      | 990065   0        1        0        0        | 512    2036760        4224060      -       
32     8      5      5/8    | 0.47      8.80      8.16      1.24      18.70        0.67      | 990065   0        1        0        0        | 640    2036760        4224060      -       
32     8      6      6/8    | 0.46      8.73      8.16      1.19      18.55        0.68      | 990065   0        1        0        0        | 768    2036760        4224060      -       
32     8      7      7/8    | 0.46      8.77      8.18      1.21      18.64        0.67      | 990065   0        1        0        0        | 896    2036760        4224060      -       
32     8      8      8/8    | 0.46      8.76      8.13      1.20      18.57        0.67      | 990065   0        1        0        0        | 1024   2036760        4224060      -       
32     16     0      0/8    | 0.51      11.63     11.04     1.24      24.44        0.51      | 990065   0        0        1        0        | 1      2414220        4224060      -       
32     16     1      1/8    | 0.52      11.63     11.02     1.25      24.43        0.51      | 990065   0        0        1        0        | 128    2414220        4224060      -       
32     16     2      2/8    | 0.51      11.64     11.00     1.24      24.41        0.51      | 990065   0        1        0        0        | 256    2414220        4224060      -       
32     16     3      3/8    | 0.52      11.85     11.02     1.29      24.69        0.51      | 990065   0        1        0        0        | 384    2414220        4224060      -       
32     16     4      4/8    | 0.53      11.75     11.02     1.26      24.58        0.51      | 990065   0        1        0        0        | 512    2414220        4224060      -       
32     16     5      5/8    | 0.52      11.73     11.02     1.27      24.56        0.51      | 990065   0        1        0        0        | 640    2414220        4224060      -       
32     16     6      6/8    | 0.51      11.71     11.02     1.26      24.51        0.51      | 990065   0        1        0        0        | 768    2414220        4224060      -       
32     16     7      7/8    | 0.53      11.82     11.00     1.26      24.64        0.51      | 990065   0        1        0        0        | 896    2414220        4224060      -       
32     16     8      8/8    | 0.52      11.77     11.01     1.25      24.58        0.51      | 990065   0        1        0        0        | 1024   2414220        4224060      -       
32     32     0      0/8    | 0.64      15.46     15.00     1.32      32.44        0.39      | 990065   0        0        1        0        | 1      2874616        4224060      -       
32     32     1      1/8    | 0.62      15.52     14.96     1.30      32.43        0.39      | 990065   0        0        1        0        | 128    2874616        4224060      -       
32     32     2      2/8    | 0.63      15.58     14.97     1.35      32.54        0.39      | 990065   0        1        0        0        | 256    2874616        4224060      -       
32     32     3      3/8    | 0.65      15.60     14.97     1.34      32.58        0.38      | 990065   0        1        0        0        | 384    2874616        4224060      -       
32     32     4      4/8    | 0.64      15.55     14.98     1.32      32.51        0.39      | 990065   0        1        0        0        | 512    2874616        4224060      -       
32     32     5      5/8    | 0.62      15.71     14.95     1.32      32.62        0.38      | 990065   0        1        0        0        | 640    2874616        4224060      -       
32     32     6      6/8    | 0.63      15.69     14.97     1.36      32.67        0.38      | 990065   0        1        0        0        | 768    2874616        4224060      -       
32     32     7      7/8    | 0.64      15.52     14.95     1.31      32.44        0.39      | 990065   0        1        0        0        | 896    2874616        4224060      -       
32     32     8      8/8    | 0.63      15.52     14.97     1.33      32.47        0.39      | 990065   0        1        0        0        | 1024   2874616        4224060      -       
