# Matrix: wy2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001-0.01/wy2010.mtx
# Category: 50k-200k-0.001-0.01
# Date: 2026-03-09 11:57:28
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 86204
# Cols: 86204
# NNZ(A): 427586
# NNZ(C) estimate: 3194734
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.44      9.89      2.58      0.93      13.86        0.46      | 1010937  0        0        20625    0        | 1      3667796        2185998      -       
8      8      1      1/8    | 0.43      9.58      2.58      0.94      13.55        0.47      | 1010937  0        0        20625    0        | 8      3667796        2185998      -       
8      8      2      2/8    | 0.43      9.48      2.35      0.96      13.24        0.48      | 1010937  0        18544    2081     0        | 16     3667796        2185998      -       
8      8      3      3/8    | 0.42      9.43      2.36      0.93      13.15        0.49      | 1010937  0        20322    303      0        | 24     3667796        2185998      -       
8      8      4      4/8    | 0.43      9.27      2.38      0.93      13.03        0.49      | 1010937  0        20591    34       0        | 32     3667796        2185998      -       
8      8      5      5/8    | 0.42      9.36      2.35      0.93      13.09        0.49      | 1010937  0        20623    2        0        | 40     3667796        2185998      -       
8      8      6      6/8    | 0.42      9.29      2.35      0.93      13.01        0.49      | 1010937  0        20624    1        0        | 48     3667796        2185998      -       
8      8      7      7/8    | 0.42      9.47      2.35      1.02      13.28        0.48      | 1010937  0        20625    0        0        | 56     3667796        2185998      -       
8      8      8      8/8    | 0.41      9.35      2.35      0.95      13.07        0.49      | 1010937  0        20625    0        0        | 64     3667796        2185998      -       
8      16     0      0/8    | 0.52      13.46     3.20      1.02      18.22        0.35      | 1010937  0        0        20625    0        | 1      5117286        2185998      -       
8      16     1      1/8    | 0.51      13.38     3.21      1.00      18.11        0.35      | 1010937  0        0        20625    0        | 8      5117286        2185998      -       
8      16     2      2/8    | 0.54      13.33     2.87      1.01      17.76        0.36      | 1010937  0        18544    2081     0        | 16     5117286        2185998      -       
8      16     3      3/8    | 0.51      13.03     2.87      0.99      17.42        0.37      | 1010937  0        20322    303      0        | 24     5117286        2185998      -       
8      16     4      4/8    | 0.51      13.47     2.88      0.99      17.86        0.36      | 1010937  0        20591    34       0        | 32     5117286        2185998      -       
8      16     5      5/8    | 0.52      13.18     2.87      0.97      17.56        0.36      | 1010937  0        20623    2        0        | 40     5117286        2185998      -       
8      16     6      6/8    | 0.52      13.42     2.85      1.00      17.80        0.36      | 1010937  0        20624    1        0        | 48     5117286        2185998      -       
8      16     7      7/8    | 0.52      13.30     2.86      1.03      17.73        0.36      | 1010937  0        20625    0        0        | 56     5117286        2185998      -       
8      16     8      8/8    | 0.52      12.94     2.86      0.99      17.33        0.37      | 1010937  0        20625    0        0        | 64     5117286        2185998      -       
8      32     0      0/8    | 0.66      16.61     4.05      1.06      22.40        0.29      | 1010937  0        0        20625    0        | 1      6529304        2185998      -       
8      32     1      1/8    | 0.66      16.59     4.04      1.06      22.38        0.29      | 1010937  0        0        20625    0        | 8      6529304        2185998      -       
8      32     2      2/8    | 0.66      16.57     3.31      1.06      21.62        0.30      | 1010937  0        18544    2081     0        | 16     6529304        2185998      -       
8      32     3      3/8    | 0.67      16.57     3.28      1.06      21.60        0.30      | 1010937  0        20322    303      0        | 24     6529304        2185998      -       
8      32     4      4/8    | 0.65      17.11     3.23      1.07      22.07        0.29      | 1010937  0        20591    34       0        | 32     6529304        2185998      -       
8      32     5      5/8    | 0.66      16.90     3.14      1.05      21.77        0.29      | 1010937  0        20623    2        0        | 40     6529304        2185998      -       
8      32     6      6/8    | 0.67      16.77     3.15      1.09      21.70        0.29      | 1010937  0        20624    1        0        | 48     6529304        2185998      -       
8      32     7      7/8    | 0.66      16.46     3.14      1.07      21.36        0.30      | 1010937  0        20625    0        0        | 56     6529304        2185998      -       
8      32     8      8/8    | 0.66      16.59     3.15      1.08      21.50        0.30      | 1010937  0        20625    0        0        | 64     6529304        2185998      -       
16     8      0      0/8    | 0.31      4.20      2.69      0.89      8.11         0.79      | 671607   0        0        1285     0        | 1      1525514        2185998      -       
16     8      1      1/8    | 0.29      4.30      2.70      0.88      8.20         0.78      | 671607   0        0        1285     0        | 32     1525514        2185998      -       
16     8      2      2/8    | 0.34      4.60      2.70      1.39      9.05         0.71      | 671607   0        1251     34       0        | 64     1525514        2185998      -       
16     8      3      3/8    | 0.30      4.19      2.67      0.91      8.09         0.79      | 671607   0        1283     2        0        | 96     1525514        2185998      -       
16     8      4      4/8    | 0.31      4.27      2.69      0.92      8.20         0.78      | 671607   0        1285     0        0        | 128    1525514        2185998      -       
16     8      5      5/8    | 0.31      4.23      2.70      0.90      8.16         0.78      | 671607   0        1285     0        0        | 160    1525514        2185998      -       
16     8      6      6/8    | 0.31      4.37      2.68      0.92      8.29         0.77      | 671607   0        1285     0        0        | 192    1525514        2185998      -       
16     8      7      7/8    | 0.29      4.09      2.68      0.87      7.95         0.80      | 671607   0        1285     0        0        | 224    1525514        2185998      -       
16     8      8      8/8    | 0.29      4.25      2.68      0.87      8.11         0.79      | 671607   0        1285     0        0        | 256    1525514        2185998      -       
16     16     0      0/8    | 0.33      5.17      3.10      0.94      9.56         0.67      | 671607   0        0        1285     0        | 1      1827814        2185998      -       
16     16     1      1/8    | 0.34      5.29      3.14      0.97      9.75         0.66      | 671607   0        0        1285     0        | 32     1827814        2185998      -       
16     16     2      2/8    | 0.34      5.24      3.03      0.95      9.58         0.67      | 671607   0        1251     34       0        | 64     1827814        2185998      -       
16     16     3      3/8    | 0.33      5.22      3.02      0.92      9.51         0.67      | 671607   0        1283     2        0        | 96     1827814        2185998      -       
16     16     4      4/8    | 0.34      5.25      3.02      0.95      9.58         0.67      | 671607   0        1285     0        0        | 128    1827814        2185998      -       
16     16     5      5/8    | 0.34      5.21      3.03      0.93      9.53         0.67      | 671607   0        1285     0        0        | 160    1827814        2185998      -       
16     16     6      6/8    | 0.35      5.25      3.01      0.92      9.54         0.67      | 671607   0        1285     0        0        | 192    1827814        2185998      -       
16     16     7      7/8    | 0.34      5.23      3.02      0.94      9.54         0.67      | 671607   0        1285     0        0        | 224    1827814        2185998      -       
16     16     8      8/8    | 0.33      5.22      3.00      0.92      9.49         0.67      | 671607   0        1285     0        0        | 256    1827814        2185998      -       
16     32     0      0/8    | 0.40      6.52      4.04      0.98      11.95        0.53      | 671607   0        0        1285     0        | 1      2126314        2185998      -       
16     32     1      1/8    | 0.40      6.44      4.05      0.98      11.89        0.54      | 671607   0        0        1285     0        | 32     2126314        2185998      -       
16     32     2      2/8    | 0.42      6.57      3.89      0.98      11.88        0.54      | 671607   0        1251     34       0        | 64     2126314        2185998      -       
16     32     3      3/8    | 0.41      6.52      3.75      0.97      11.66        0.55      | 671607   0        1283     2        0        | 96     2126314        2185998      -       
16     32     4      4/8    | 0.40      6.53      3.66      0.98      11.58        0.55      | 671607   0        1285     0        0        | 128    2126314        2185998      -       
16     32     5      5/8    | 0.39      6.43      3.67      0.95      11.45        0.56      | 671607   0        1285     0        0        | 160    2126314        2185998      -       
16     32     6      6/8    | 0.39      6.43      3.66      0.97      11.47        0.56      | 671607   0        1285     0        0        | 192    2126314        2185998      -       
16     32     7      7/8    | 0.40      6.41      3.65      0.95      11.42        0.56      | 671607   0        1285     0        0        | 224    2126314        2185998      -       
16     32     8      8/8    | 0.41      6.57      3.65      1.00      11.64        0.55      | 671607   0        1285     0        0        | 256    2126314        2185998      -       
32     8      0      0/8    | 0.28      3.77      3.83      0.85      8.74         0.73      | 339097   0        0        21       0        | 1      541370         2185998      -       
32     8      1      1/8    | 0.28      3.76      3.83      0.84      8.72         0.73      | 339097   0        0        21       0        | 128    541370         2185998      -       
32     8      2      2/8    | 0.28      3.80      3.83      0.84      8.77         0.73      | 339097   0        21       0        0        | 256    541370         2185998      -       
32     8      3      3/8    | 0.28      3.83      3.80      0.84      8.77         0.73      | 339097   0        21       0        0        | 384    541370         2185998      -       
32     8      4      4/8    | 0.28      3.71      3.80      0.85      8.65         0.74      | 339097   0        21       0        0        | 512    541370         2185998      -       
32     8      5      5/8    | 0.28      3.77      3.82      0.84      8.73         0.73      | 339097   0        21       0        0        | 640    541370         2185998      -       
32     8      6      6/8    | 0.28      3.72      3.79      0.81      8.62         0.74      | 339097   0        21       0        0        | 768    541370         2185998      -       
32     8      7      7/8    | 0.28      3.75      3.80      0.90      8.75         0.73      | 339097   0        21       0        0        | 896    541370         2185998      -       
32     8      8      8/8    | 0.27      3.77      3.77      0.85      8.68         0.74      | 339097   0        21       0        0        | 1024   541370         2185998      -       
32     16     0      0/8    | 0.29      4.67      5.19      0.91      11.08        0.58      | 339097   0        0        21       0        | 1      639314         2185998      -       
32     16     1      1/8    | 0.30      4.64      5.20      0.87      11.02        0.58      | 339097   0        0        21       0        | 128    639314         2185998      -       
32     16     2      2/8    | 0.29      4.56      5.12      0.88      10.86        0.59      | 339097   0        21       0        0        | 256    639314         2185998      -       
32     16     3      3/8    | 0.29      4.71      5.12      0.87      10.99        0.58      | 339097   0        21       0        0        | 384    639314         2185998      -       
32     16     4      4/8    | 0.29      4.61      5.13      0.86      10.91        0.59      | 339097   0        21       0        0        | 512    639314         2185998      -       
32     16     5      5/8    | 0.32      4.66      5.14      0.89      11.03        0.58      | 339097   0        21       0        0        | 640    639314         2185998      -       
32     16     6      6/8    | 0.29      4.61      5.17      0.87      10.95        0.58      | 339097   0        21       0        0        | 768    639314         2185998      -       
32     16     7      7/8    | 0.30      4.67      5.13      0.97      11.10        0.58      | 339097   0        21       0        0        | 896    639314         2185998      -       
32     16     8      8/8    | 0.30      4.63      5.14      0.87      10.96        0.58      | 339097   0        21       0        0        | 1024   639314         2185998      -       
32     32     0      0/8    | 0.31      5.67      6.32      0.98      13.30        0.48      | 339097   0        0        21       0        | 1      775650         2185998      -       
32     32     1      1/8    | 0.30      5.60      6.31      0.95      13.18        0.48      | 339097   0        0        21       0        | 128    775650         2185998      -       
32     32     2      2/8    | 0.31      5.71      6.12      0.94      13.10        0.49      | 339097   0        21       0        0        | 256    775650         2185998      -       
32     32     3      3/8    | 0.32      5.51      6.19      0.95      12.98        0.49      | 339097   0        21       0        0        | 384    775650         2185998      -       
32     32     4      4/8    | 0.31      5.50      6.16      0.96      12.95        0.49      | 339097   0        21       0        0        | 512    775650         2185998      -       
32     32     5      5/8    | 0.30      5.61      6.14      0.99      13.05        0.49      | 339097   0        21       0        0        | 640    775650         2185998      -       
32     32     6      6/8    | 0.30      5.63      6.13      0.94      13.02        0.49      | 339097   0        21       0        0        | 768    775650         2185998      -       
32     32     7      7/8    | 0.30      5.52      6.17      0.94      12.94        0.49      | 339097   0        21       0        0        | 896    775650         2185998      -       
32     32     8      8/8    | 0.33      5.60      6.18      0.98      13.10        0.49      | 339097   0        21       0        0        | 1024   775650         2185998      -       
