# Matrix: ACTIVSg70K
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/ACTIVSg70K.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:03:49
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 69999
# Cols: 69999
# NNZ(A): 238627
# NNZ(C) estimate: 975393
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.14      1.06      0.38      0.74      2.34         0.83      | 163214   0        0        12567    125      | 1      499178         611995       -       
8      8      1      1/8    | 0.15      1.01      0.38      0.78      2.33         0.84      | 163214   0        0        12567    125      | 8      499178         611995       -       
8      8      2      2/8    | 0.15      1.02      0.36      0.76      2.29         0.85      | 163214   0        5845     6722     125      | 16     499178         611995       -       
8      8      3      3/8    | 0.15      1.08      0.34      0.73      2.31         0.85      | 163214   0        9375     3192     125      | 24     499178         611995       -       
8      8      4      4/8    | 0.13      1.07      0.32      0.72      2.26         0.86      | 163214   0        11498    1069     125      | 32     499178         611995       -       
8      8      5      5/8    | 0.13      1.11      0.32      0.74      2.32         0.84      | 163214   0        12226    341      125      | 40     499178         611995       -       
8      8      6      6/8    | 0.13      1.01      0.32      0.71      2.18         0.90      | 163214   0        12377    190      125      | 48     499178         611995       -       
8      8      7      7/8    | 0.15      1.00      0.30      0.79      2.25         0.87      | 163214   0        12567    0        125      | 56     499178         611995       -       
8      8      8      8/8    | 0.14      0.94      0.30      0.73      2.12         0.92      | 163214   0        12692    0        0        | 64     499178         611995       -       
8      16     0      0/8    | 0.14      2.09      0.46      0.77      3.47         0.56      | 163214   0        0        12567    125      | 1      718276         611995       -       
8      16     1      1/8    | 0.15      2.04      0.46      0.76      3.43         0.57      | 163214   0        0        12567    125      | 8      718276         611995       -       
8      16     2      2/8    | 0.15      1.92      0.41      0.74      3.23         0.60      | 163214   0        5845     6722     125      | 16     718276         611995       -       
8      16     3      3/8    | 0.14      1.93      0.38      0.75      3.22         0.61      | 163214   0        9375     3192     125      | 24     718276         611995       -       
8      16     4      4/8    | 0.14      2.04      0.38      0.73      3.29         0.59      | 163214   0        11498    1069     125      | 32     718276         611995       -       
8      16     5      5/8    | 0.13      1.96      0.36      0.73      3.20         0.61      | 163214   0        12226    341      125      | 40     718276         611995       -       
8      16     6      6/8    | 0.14      1.98      0.36      0.71      3.20         0.61      | 163214   0        12377    190      125      | 48     718276         611995       -       
8      16     7      7/8    | 0.14      2.01      0.34      0.73      3.24         0.60      | 163214   0        12567    0        125      | 56     718276         611995       -       
8      16     8      8/8    | 0.15      2.04      0.35      0.77      3.32         0.59      | 163214   0        12692    0        0        | 64     718276         611995       -       
