# Matrix: a0nsdsil
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/a0nsdsil.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:01:33
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 80016
# Cols: 80016
# NNZ(A): 355034
# NNZ(C) estimate: 201495078
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.51      16.35     9.56      2.22      29.65        13.59     | 160525   0        0        18781    2721906  | 1      6079934        175955042    -       
8      8      1      1/8    | 1.51      16.20     9.84      2.20      29.76        13.54     | 160525   0        0        18781    2721906  | 8      6079934        175955042    -       
8      8      2      2/8    | 1.51      15.98     9.48      2.18      29.17        13.81     | 160525   0        2556     16225    2721906  | 16     6079934        175955042    -       
8      8      3      3/8    | 1.49      16.23     9.61      2.21      29.56        13.63     | 160525   0        2564     16217    2721906  | 24     6079934        175955042    -       
8      8      4      4/8    | 1.51      16.04     9.81      2.21      29.58        13.62     | 160525   0        7561     11220    2721906  | 32     6079934        175955042    -       
8      8      5      5/8    | 1.50      15.48     9.53      2.19      28.71        14.03     | 160525   0        7562     11219    2721906  | 40     6079934        175955042    -       
8      8      6      6/8    | 1.49      15.75     9.57      2.25      29.08        13.86     | 160525   0        8810     9971     2721906  | 48     6079934        175955042    -       
8      8      7      7/8    | 1.48      15.98     9.31      2.20      28.99        13.90     | 160525   0        18780    1        2721906  | 56     6079934        175955042    -       
8      8      8      8/8    | 1.47      15.99     9.60      2.18      29.26        13.77     | 160525   0        2740687  0        0        | 64     6079934        175955042    -       
8      16     0      0/8    | 1.04      16.32     9.21      2.23      28.82        13.98     | 160525   0        0        18781    2721906  | 1      6183580        175955042    -       
8      16     1      1/8    | 1.01      15.75     9.10      2.22      28.09        14.35     | 160525   0        0        18781    2721906  | 8      6183580        175955042    -       
8      16     2      2/8    | 1.04      15.95     9.19      2.23      28.43        14.18     | 160525   0        2556     16225    2721906  | 16     6183580        175955042    -       
8      16     3      3/8    | 1.00      16.25     9.16      2.23      28.65        14.06     | 160525   0        2564     16217    2721906  | 24     6183580        175955042    -       
8      16     4      4/8    | 1.05      16.11     9.23      2.20      28.60        14.09     | 160525   0        7561     11220    2721906  | 32     6183580        175955042    -       
8      16     5      5/8    | 1.02      16.26     9.40      2.21      28.91        13.94     | 160525   0        7562     11219    2721906  | 40     6183580        175955042    -       
8      16     6      6/8    | 1.04      16.12     9.11      2.22      28.50        14.14     | 160525   0        8810     9971     2721906  | 48     6183580        175955042    -       
8      16     7      7/8    | 0.98      16.54     9.12      2.24      28.90        13.95     | 160525   0        18780    1        2721906  | 56     6183580        175955042    -       
8      16     8      8/8    | 1.03      16.43     8.54      2.23      28.27        14.26     | 160525   0        2740687  0        0        | 64     6183580        175955042    -       
8      32     0      0/8    | 0.83      16.25     11.25     2.24      30.59        13.18     | 160525   0        0        18781    2721906  | 1      6370346        175955042    -       
8      32     1      1/8    | 0.84      16.76     11.25     2.24      31.10        12.96     | 160525   0        0        18781    2721906  | 8      6370346        175955042    -       
8      32     2      2/8    | 0.81      16.62     11.24     2.21      30.90        13.04     | 160525   0        2556     16225    2721906  | 16     6370346        175955042    -       
8      32     3      3/8    | 0.79      16.57     11.23     2.22      30.82        13.07     | 160525   0        2564     16217    2721906  | 24     6370346        175955042    -       
8      32     4      4/8    | 0.82      16.92     11.21     2.26      31.23        12.90     | 160525   0        7561     11220    2721906  | 32     6370346        175955042    -       
8      32     5      5/8    | 0.79      16.55     11.21     2.25      30.82        13.08     | 160525   0        7562     11219    2721906  | 40     6370346        175955042    -       
8      32     6      6/8    | 0.80      16.59     11.19     2.25      30.85        13.06     | 160525   0        8810     9971     2721906  | 48     6370346        175955042    -       
8      32     7      7/8    | 0.80      16.59     11.16     2.25      30.82        13.08     | 160525   0        18780    1        2721906  | 56     6370346        175955042    -       
8      32     8      8/8    | 0.80      16.58     8.37      2.22      27.98        14.40     | 160525   0        2740687  0        0        | 64     6370346        175955042    -       
16     8      0      0/8    | 1.06      4.49      8.45      2.08      16.09        25.04     | 87127    0        0        10589    676445   | 1      1567293        175955042    -       
16     8      1      1/8    | 1.05      4.46      8.70      2.08      16.30        24.72     | 87127    0        0        10589    676445   | 32     1567293        175955042    -       
16     8      2      2/8    | 1.05      4.34      8.99      2.05      16.45        24.51     | 87127    0        1252     9337     676445   | 64     1567293        175955042    -       
16     8      3      3/8    | 1.05      4.28      8.56      2.07      15.97        25.23     | 87127    0        1878     8711     676445   | 96     1567293        175955042    -       
16     8      4      4/8    | 1.05      4.44      8.62      2.06      16.19        24.89     | 87127    0        3751     6838     676445   | 128    1567293        175955042    -       
16     8      5      5/8    | 1.05      4.27      8.87      2.06      16.26        24.78     | 87127    0        5003     5586     676445   | 160    1567293        175955042    -       
16     8      6      6/8    | 1.06      4.33      8.78      2.08      16.26        24.78     | 87127    0        6249     4340     676445   | 192    1567293        175955042    -       
16     8      7      7/8    | 1.04      4.34      8.83      2.06      16.28        24.75     | 87127    0        6249     4340     676445   | 224    1567293        175955042    -       
16     8      8      8/8    | 1.05      4.24      12.56     2.04      19.91        20.24     | 87127    0        687034   0        0        | 256    1567293        175955042    -       
16     16     0      0/8    | 0.64      4.22      8.25      2.07      15.20        26.52     | 87127    0        0        10589    676445   | 1      1597243        175955042    -       
16     16     1      1/8    | 0.63      4.26      8.57      2.07      15.55        25.91     | 87127    0        0        10589    676445   | 32     1597243        175955042    -       
16     16     2      2/8    | 0.64      4.21      8.31      2.03      15.21        26.49     | 87127    0        1252     9337     676445   | 64     1597243        175955042    -       
16     16     3      3/8    | 0.63      4.32      8.43      2.08      15.46        26.06     | 87127    0        1878     8711     676445   | 96     1597243        175955042    -       
16     16     4      4/8    | 0.65      4.35      8.44      2.11      15.55        25.91     | 87127    0        3751     6838     676445   | 128    1597243        175955042    -       
16     16     5      5/8    | 0.64      4.27      8.24      2.09      15.25        26.42     | 87127    0        5003     5586     676445   | 160    1597243        175955042    -       
16     16     6      6/8    | 0.63      4.36      7.89      2.07      14.96        26.94     | 87127    0        6249     4340     676445   | 192    1597243        175955042    -       
16     16     7      7/8    | 0.64      4.31      8.20      2.06      15.22        26.48     | 87127    0        6249     4340     676445   | 224    1597243        175955042    -       
16     16     8      8/8    | 0.64      4.27      5.80      2.07      12.79        31.51     | 87127    0        687034   0        0        | 256    1597243        175955042    -       
16     32     0      0/8    | 0.42      4.45      8.16      2.10      15.14        26.62     | 87127    0        0        10589    676445   | 1      1645525        175955042    -       
16     32     1      1/8    | 0.43      4.40      8.64      2.08      15.56        25.89     | 87127    0        0        10589    676445   | 32     1645525        175955042    -       
16     32     2      2/8    | 0.42      4.41      8.16      2.08      15.09        26.71     | 87127    0        1252     9337     676445   | 64     1645525        175955042    -       
16     32     3      3/8    | 0.42      4.50      8.23      2.07      15.22        26.47     | 87127    0        1878     8711     676445   | 96     1645525        175955042    -       
16     32     4      4/8    | 0.42      4.48      8.42      2.11      15.45        26.09     | 87127    0        3751     6838     676445   | 128    1645525        175955042    -       
16     32     5      5/8    | 0.41      4.46      8.05      2.06      14.99        26.89     | 87127    0        5003     5586     676445   | 160    1645525        175955042    -       
16     32     6      6/8    | 0.40      4.35      8.15      2.10      15.03        26.82     | 87127    0        6249     4340     676445   | 192    1645525        175955042    -       
16     32     7      7/8    | 0.41      4.43      8.04      2.07      14.96        26.93     | 87127    0        6249     4340     676445   | 224    1645525        175955042    -       
16     32     8      8/8    | 0.41      4.44      5.03      2.09      11.99        33.62     | 87127    0        687034   0        0        | 256    1645525        175955042    -       
32     8      0      0/8    | 0.95      1.70      8.85      2.00      13.52        29.80     | 43846    0        0        5577     166962   | 1      416089         175955042    -       
32     8      1      1/8    | 0.95      1.73      8.78      2.00      13.47        29.91     | 43846    0        0        5577     166962   | 128    416089         175955042    -       
32     8      2      2/8    | 0.95      1.72      9.14      2.05      13.88        29.04     | 43846    0        313      5264     166962   | 256    416089         175955042    -       
32     8      3      3/8    | 0.95      1.68      9.15      2.05      13.85        29.10     | 43846    0        1251     4326     166962   | 384    416089         175955042    -       
32     8      4      4/8    | 0.95      1.65      8.86      2.00      13.47        29.93     | 43846    0        1566     4011     166962   | 512    416089         175955042    -       
32     8      5      5/8    | 0.95      1.68      8.71      2.00      13.36        30.16     | 43846    0        2190     3387     166962   | 640    416089         175955042    -       
32     8      6      6/8    | 0.95      1.68      8.65      2.00      13.29        30.33     | 43846    0        3120     2457     166962   | 768    416089         175955042    -       
32     8      7      7/8    | 0.95      1.73      8.78      2.04      13.52        29.80     | 43846    0        3431     2146     166962   | 896    416089         175955042    -       
32     8      8      8/8    | 0.95      1.67      14.17     2.00      18.82        21.41     | 43846    0        172539   0        0        | 1024   416089         175955042    -       
32     16     0      0/8    | 0.54      1.34      8.20      2.01      12.11        33.29     | 43846    0        0        5577     166962   | 1      422329         175955042    -       
32     16     1      1/8    | 0.54      1.33      8.14      2.04      12.07        33.38     | 43846    0        0        5577     166962   | 128    422329         175955042    -       
32     16     2      2/8    | 0.54      1.39      8.66      2.02      12.63        31.92     | 43846    0        313      5264     166962   | 256    422329         175955042    -       
32     16     3      3/8    | 0.54      1.30      8.76      1.98      12.60        31.99     | 43846    0        1251     4326     166962   | 384    422329         175955042    -       
32     16     4      4/8    | 0.54      1.37      8.65      2.04      12.62        31.93     | 43846    0        1566     4011     166962   | 512    422329         175955042    -       
32     16     5      5/8    | 0.55      1.37      8.40      1.99      12.33        32.69     | 43846    0        2190     3387     166962   | 640    422329         175955042    -       
32     16     6      6/8    | 0.54      1.24      8.15      1.99      11.93        33.77     | 43846    0        3120     2457     166962   | 768    422329         175955042    -       
32     16     7      7/8    | 0.54      1.32      8.05      1.98      11.91        33.82     | 43846    0        3431     2146     166962   | 896    422329         175955042    -       
32     16     8      8/8    | 0.54      1.40      13.60     2.02      17.57        22.94     | 43846    0        172539   0        0        | 1024   422329         175955042    -       
