# Matrix: bcircuit
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/bcircuit.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:05:31
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 68902
# Cols: 68902
# NNZ(A): 375558
# NNZ(C) estimate: 2391204
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.18      1.51      0.79      0.78      3.27         1.46      | 158721   0        0        44924    0        | 1      594129         1261532      -       
8      8      1      1/8    | 0.17      1.47      0.77      0.79      3.22         1.48      | 158721   0        0        44924    0        | 8      594129         1261532      -       
8      8      2      2/8    | 0.17      1.50      0.65      0.79      3.13         1.53      | 158721   0        29213    15711    0        | 16     594129         1261532      -       
8      8      3      3/8    | 0.17      1.50      0.62      0.79      3.10         1.54      | 158721   0        36931    7993     0        | 24     594129         1261532      -       
8      8      4      4/8    | 0.18      1.56      0.63      0.79      3.18         1.50      | 158721   0        39876    5048     0        | 32     594129         1261532      -       
8      8      5      5/8    | 0.17      1.58      0.56      0.75      3.08         1.55      | 158721   0        43070    1854     0        | 40     594129         1261532      -       
8      8      6      6/8    | 0.18      1.52      0.56      0.79      3.07         1.56      | 158721   0        44537    387      0        | 48     594129         1261532      -       
8      8      7      7/8    | 0.17      1.55      0.56      0.79      3.10         1.54      | 158721   0        44910    14       0        | 56     594129         1261532      -       
8      8      8      8/8    | 0.18      1.49      0.56      0.78      3.02         1.58      | 158721   0        44924    0        0        | 64     594129         1261532      -       
8      16     0      0/8    | 0.17      2.60      0.90      0.78      4.46         1.07      | 158721   0        0        44924    0        | 1      907893         1261532      -       
8      16     1      1/8    | 0.17      2.56      0.89      0.81      4.45         1.08      | 158721   0        0        44924    0        | 8      907893         1261532      -       
8      16     2      2/8    | 0.17      2.37      0.71      0.79      4.05         1.18      | 158721   0        29213    15711    0        | 16     907893         1261532      -       
8      16     3      3/8    | 0.17      2.42      0.68      0.78      4.07         1.18      | 158721   0        36931    7993     0        | 24     907893         1261532      -       
8      16     4      4/8    | 0.17      2.60      0.66      0.77      4.21         1.14      | 158721   0        39876    5048     0        | 32     907893         1261532      -       
8      16     5      5/8    | 0.17      2.49      0.58      0.77      4.02         1.19      | 158721   0        43070    1854     0        | 40     907893         1261532      -       
8      16     6      6/8    | 0.16      2.50      0.58      0.77      4.03         1.19      | 158721   0        44537    387      0        | 48     907893         1261532      -       
8      16     7      7/8    | 0.18      2.58      0.58      0.80      4.15         1.15      | 158721   0        44910    14       0        | 56     907893         1261532      -       
8      16     8      8/8    | 0.17      2.40      0.58      0.79      3.95         1.21      | 158721   0        44924    0        0        | 64     907893         1261532      -       
8      32     0      0/8    | 0.18      4.10      1.26      0.84      6.39         0.75      | 158721   0        0        44924    0        | 1      1502061        1261532      -       
8      32     1      1/8    | 0.17      4.03      1.26      0.82      6.30         0.76      | 158721   0        0        44924    0        | 8      1502061        1261532      -       
8      32     2      2/8    | 0.18      4.00      0.93      0.84      5.97         0.80      | 158721   0        29213    15711    0        | 16     1502061        1261532      -       
8      32     3      3/8    | 0.18      3.95      0.91      0.84      5.88         0.81      | 158721   0        36931    7993     0        | 24     1502061        1261532      -       
8      32     4      4/8    | 0.18      3.95      0.86      0.84      5.85         0.82      | 158721   0        39876    5048     0        | 32     1502061        1261532      -       
8      32     5      5/8    | 0.18      4.01      0.66      0.83      5.71         0.84      | 158721   0        43070    1854     0        | 40     1502061        1261532      -       
8      32     6      6/8    | 0.20      4.13      0.63      0.86      5.83         0.82      | 158721   0        44537    387      0        | 48     1502061        1261532      -       
8      32     7      7/8    | 0.19      3.89      0.62      0.86      5.57         0.86      | 158721   0        44910    14       0        | 56     1502061        1261532      -       
8      32     8      8/8    | 0.19      3.92      0.59      0.85      5.56         0.86      | 158721   0        44924    0        0        | 64     1502061        1261532      -       
16     8      0      0/8    | 0.17      0.94      0.72      0.81      2.65         1.80      | 108934   0        0        7425     0        | 1      306153         1261532      -       
16     8      1      1/8    | 0.18      0.98      0.71      0.81      2.69         1.78      | 108934   0        0        7425     0        | 32     306153         1261532      -       
16     8      2      2/8    | 0.17      0.97      0.65      0.80      2.60         1.84      | 108934   0        4068     3357     0        | 64     306153         1261532      -       
16     8      3      3/8    | 0.17      0.98      0.56      0.78      2.50         1.91      | 108934   0        6498     927      0        | 96     306153         1261532      -       
16     8      4      4/8    | 0.17      0.97      0.55      0.79      2.50         1.91      | 108934   0        7352     73       0        | 128    306153         1261532      -       
